"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider1-0000013836",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","11 Mar 2020 13:38:31 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
11-03 13:38:31,1.705,0.546,97.537,0.172,0.039,441405440,4351057920,173502464,3126231040,0,0,34028.638,990451.652,1.215,8.820,397.370,560.825,0.620,0.590,0.460,6,0,6.422,0,0,12,3,0,3,0
11-03 13:38:32,9.645,20.051,70.051,0,0.254,442171392,4349886464,173506560,3126390784,6105,2268,0,73728,0,5,2735,5152,0.620,0.590,0.460,3,0,469,0,0,12,3,0,3,0
11-03 13:38:33,12.563,20.854,66.332,0,0.251,441663488,4349612032,173506560,3127119872,7053,2160,0,32768,0,8,3168,6342,0.620,0.590,0.460,3,0,370,0,0,12,3,0,3,0
11-03 13:38:34,10.076,11.335,78.338,0,0.252,573501440,4217344000,173506560,3255128064,10992,2160,0,3108864,0,11,3491,6549,0.620,0.590,0.460,1,0,110,0,0,14,3,0,3,0
11-03 13:38:35,12.312,14.573,73.116,0,0,585601024,4204998656,173506560,3255357440,7559,2160,0,0,0,0,2133,3471,0.620,0.590,0.460,3,0,296,0,0,14,5,0,5,0
11-03 13:38:36,21.608,2.513,73.869,1.759,0.251,627834880,4162236416,173506560,3255738368,7080,1944,102400,0,5,0,669,763,0.650,0.600,0.470,2,0,3,0,0,14,5,0,5,0
11-03 13:38:37,18.296,3.008,73.434,5.263,0,662208512,4125257728,173785088,3257823232,5377,2160,61440,6111232,8,312,2150,3750,0.650,0.600,0.470,1,1,0,0,0,14,7,0,5,0
11-03 13:38:38,7.053,7.305,71.788,13.854,0,667607040,4050432000,174182400,3325558784,5739,2160,0,22368256,0,804,4105,8438,0.650,0.600,0.470,2,0,0,0,0,14,7,0,5,0
11-03 13:38:39,11.809,3.015,72.111,12.814,0.251,670109696,4046221312,174616576,3326738432,6416,2160,0,62242816,0,746,3971,7340,0.650,0.600,0.470,2,0,0,0,0,14,7,0,5,0
11-03 13:38:40,16.667,5.128,71.026,7.179,0,672174080,4042543104,175206400,3327680512,8426,2160,0,9371648,0,775,5708,12257,0.650,0.600,0.470,2,0,0,0,0,14,7,0,5,0
11-03 13:38:41,12.374,5.556,70.707,11.111,0.253,674291712,4038914048,175878144,3328397312,7908,2160,0,9859072,0,769,4715,10052,0.760,0.620,0.470,1,1,0,0,0,14,7,0,5,0
11-03 13:38:42,13.350,5.793,69.773,10.831,0.252,677306368,4034600960,176566272,3328991232,7124,2160,0,11247616,0,907,4950,11931,0.760,0.620,0.470,2,0,0,0,0,14,7,0,5,0
11-03 13:38:43,21.662,5.542,68.262,4.534,0,678539264,4031107072,176824320,3330924544,7139,2160,0,4456448,0,277,6884,15640,0.760,0.620,0.470,2,0,0,0,0,14,7,0,5,0
11-03 13:38:44,14.322,5.779,66.834,12.814,0.251,679374848,4029620224,177332224,3331018752,7279,1890,0,47472640,0,1088,5102,10407,0.760,0.620,0.470,2,0,0,0,0,14,7,0,5,0
11-03 13:38:45,16.291,5.764,71.930,5.764,0.251,609120256,4099444736,177569792,3331198976,17064,2214,0,6774784,0,467,3588,6244,0.760,0.620,0.470,2,0,78,0,0,14,5,0,6,0
11-03 13:38:46,23.929,2.519,72.040,1.511,0,658767872,4049264640,177618944,3331682304,7000,2160,0,6803456,0,70,1073,1497,0.780,0.630,0.480,2,0,3,0,0,14,5,0,6,0
11-03 13:38:47,22.864,3.266,73.116,0.503,0.251,631304192,4076093440,177639424,3332268032,15164,2214,0,7118848,0,73,1140,1578,0.780,0.630,0.480,2,0,11,0,0,14,5,0,6,0
11-03 13:38:48,23.750,3.250,72.500,0.500,0,603537408,4102533120,177729536,3333505024,5287,2200,0,6295552,0,138,1418,2031,0.780,0.630,0.480,2,0,44,0,0,14,5,0,6,0
11-03 13:38:49,10.178,22.392,65.903,1.272,0.254,602955776,4101939200,177737728,3334561792,6679,2160,0,33357824,0,535,3615,6364,0.780,0.630,0.480,3,1,496,0,0,14,5,0,6,0
11-03 13:38:50,25.570,20.253,52.405,1.519,0.253,634572800,4069744640,177741824,3335434240,6840,2160,0,4452352,0,216,4572,7697,0.780,0.630,0.480,3,0,331,0,0,14,7,0,6,0
11-03 13:38:51,45.363,5.263,49.123,0.251,0,723812352,3980349440,177741824,3335569408,7027,2160,131072,0,1,0,1044,864,0.880,0.650,0.480,3,0,4,0,0,14,7,0,6,0
11-03 13:38:52,47.595,6.582,45.063,0.759,0,779296768,3921870848,177831936,3338047488,7931,1944,20480,0,4,0,2259,5363,0.880,0.650,0.480,2,0,30,0,0,14,5,0,7,0
11-03 13:38:53,19.950,9.476,70.324,0,0.249,815984640,3885031424,177831936,3338059776,7769,2160,0,0,0,0,1951,2468,0.880,0.650,0.480,2,0,138,0,0,14,5,0,7,0
11-03 13:38:54,23.990,2.020,73.990,0,0,860532736,3840466944,177831936,3338076160,9036,2106,0,0,0,0,668,841,0.880,0.650,0.480,2,0,0,0,0,14,5,0,7,0
11-03 13:38:55,23.367,2.764,72.864,1.005,0,872288256,3828621312,177860608,3338096640,5652,2214,0,2244608,0,60,1381,2147,0.880,0.650,0.480,2,0,2,0,0,14,5,0,11,0
11-03 13:38:56,22.556,4.762,72.180,0.251,0.251,821559296,3879337984,177868800,3338100736,6705,2160,0,2064384,0,63,1112,1593,0.890,0.660,0.490,2,0,56,0,0,14,5,0,11,0
11-03 13:38:57,21.106,3.015,73.618,2.010,0.251,843583488,3856932864,177872896,3338182656,5818,1998,69632,65536,17,6,969,1326,0.890,0.660,0.490,2,0,0,0,0,14,23,0,12,0
11-03 13:38:58,22.556,5.263,71.930,0.251,0,815652864,3884834816,177876992,3338199040,5060,2106,0,1064960,0,8,1277,1821,0.890,0.660,0.490,2,0,62,0,0,14,29,0,15,0
11-03 13:38:59,23.441,2.993,73.317,0,0.249,850325504,3850014720,177876992,3338346496,5803,2160,0,0,0,0,1001,1300,0.890,0.660,0.490,2,0,1,0,0,14,29,0,20,0
11-03 13:39:00,21.554,6.516,71.178,0.752,0,838475776,3861856256,177876992,3338354688,5719,2106,0,9936896,0,148,1191,1601,0.890,0.660,0.490,3,0,101,0,0,14,29,0,20,0
11-03 13:39:01,22.613,3.769,73.367,0,0.251,812191744,3887730688,177876992,3338723328,13605,2214,0,0,0,0,1206,1927,0.900,0.660,0.490,2,0,21,0,0,14,29,0,28,0
11-03 13:39:02,23.367,2.764,73.869,0,0,851333120,3848585216,177876992,3338727424,5214,2052,0,0,0,0,761,1100,0.900,0.660,0.490,2,0,2,0,0,14,31,0,30,0
11-03 13:39:03,23.116,5.528,71.106,0.251,0,824623104,3875209216,177885184,3338768384,6281,2268,0,512000,0,15,1379,2175,0.900,0.660,0.490,2,0,74,0,0,14,29,0,36,0
11-03 13:39:04,23.174,2.771,73.804,0.252,0,856551424,3843256320,177885184,3338772480,5271,2160,0,307200,0,15,814,994,0.900,0.660,0.490,2,0,1,0,0,14,31,0,37,0
11-03 13:39:05,21,6.750,71.750,0.250,0.250,816869376,3882770432,177893376,3338932224,5281,2160,0,2490368,0,35,1565,2614,0.900,0.660,0.490,2,0,100,0,0,14,29,0,44,0
11-03 13:39:06,23.058,3.258,73.684,0,0,856416256,3843215360,177893376,3338940416,6934,2160,0,0,0,0,986,1313,0.910,0.670,0.490,2,0,4,0,0,14,31,0,47,0
11-03 13:39:07,19.647,6.549,73.804,0,0,838709248,3860897792,177893376,3338956800,5293,1944,0,0,0,0,1050,1464,0.910,0.670,0.490,2,0,70,0,0,14,29,0,49,0
11-03 13:39:08,23.929,2.519,73.300,0,0.252,860303360,3839250432,177905664,3338977280,7964,2160,0,131072,0,9,1144,1593,0.910,0.670,0.490,2,0,2,0,0,14,29,0,55,0
11-03 13:39:09,21.357,5.025,73.367,0.251,0,846643200,3852898304,177913856,3338981376,6576,2202,0,188416,0,9,996,1410,0.910,0.670,0.490,2,0,70,0,0,14,29,0,55,0
11-03 13:39:10,22.306,5.013,71.930,0.501,0.251,820011008,3879366656,177930240,3339128832,13548,2160,0,1527808,0,73,1263,1975,0.910,0.670,0.490,2,0,68,0,0,14,29,0,59,0
11-03 13:39:11,23.810,2.757,73.434,0,0,855097344,3844280320,177938432,3339120640,7751,2160,0,307200,0,14,878,1023,0.910,0.680,0.500,2,0,2,0,0,14,29,0,59,0
11-03 13:39:12,21,6.250,72.750,0,0,829599744,3869732864,177950720,3339153408,8510,2160,0,61440,0,8,1235,1859,0.910,0.680,0.500,2,0,74,0,0,14,29,0,63,0
11-03 13:39:13,23.058,3.008,73.434,0.251,0.251,860721152,3838599168,177950720,3339165696,8275,2160,0,53248,0,3,912,1157,0.910,0.680,0.500,2,0,0,0,0,14,29,0,67,0
11-03 13:39:14,20.151,6.297,73.552,0,0,847056896,3852263424,177950720,3339165696,13286,2160,0,0,0,0,893,1372,0.910,0.680,0.500,2,0,79,0,0,14,29,0,67,0
11-03 13:39:15,21.053,5.514,72.932,0.251,0.251,822185984,3877097472,177963008,3339190272,16578,2160,0,1187840,0,14,1243,2028,0.910,0.680,0.500,3,0,85,0,0,14,29,0,72,0
11-03 13:39:16,22.980,3.283,73.737,0,0,861859840,3837415424,177963008,3339198464,6979,1944,0,0,0,0,1023,1401,0.920,0.680,0.500,2,0,4,0,0,14,29,0,76,0
11-03 13:39:17,20.500,6.250,73,0,0.250,840011776,3859226624,177975296,3339218944,7370,2106,0,270336,0,9,1128,1793,0.920,0.680,0.500,2,0,99,0,0,14,29,0,77,0
11-03 13:39:18,24.121,2.513,72.864,0.251,0.251,861630464,3837448192,177983488,3339366400,8158,2160,0,204800,0,24,1114,1588,0.920,0.680,0.500,2,0,0,0,0,14,29,0,82,0
11-03 13:39:19,19.647,8.060,72.292,0,0,848105472,3850956800,177987584,3339378688,7108,2160,0,200704,0,14,1173,1975,0.920,0.680,0.500,2,0,146,0,0,14,29,0,82,0
11-03 13:39:20,24.938,2.743,70.574,1.496,0.249,861945856,3837050880,178008064,3339407360,8301,2214,0,4509696,0,473,1917,2161,0.920,0.680,0.500,2,0,0,0,0,14,29,0,91,0
11-03 13:39:21,22.922,3.023,74.055,0,0,851505152,3847479296,178012160,3339415552,6646,1944,0,155648,0,6,839,1012,0.930,0.690,0.500,2,0,23,0,0,14,29,0,91,0
11-03 13:39:22,22.807,5.013,71.679,0.251,0.251,823603200,3875438592,178020352,3339456512,6093,2160,0,180224,0,16,1276,2218,0.930,0.690,0.500,2,0,71,0,0,14,29,0,99,0
11-03 13:39:23,23.559,2.757,73.684,0,0,863170560,3835723776,178032640,3339591680,8816,2160,0,110592,0,6,959,1417,0.930,0.690,0.500,2,0,2,0,0,14,31,0,104,0
11-03 13:39:24,19.395,8.564,71.537,0.252,0.252,834969600,3863883776,178032640,3339632640,13212,2160,0,126976,0,8,1429,2657,0.930,0.690,0.500,2,0,170,0,0,14,29,0,108,0
11-03 13:39:25,22.613,3.769,73.618,0,0,862769152,3836071936,178032640,3339644928,9536,2160,0,122880,0,8,918,1381,0.930,0.690,0.500,2,0,0,0,0,14,29,0,114,0
