"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000106",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","31 Mar 2020 17:47:57 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
31-03 17:47:57,2.215,0.769,96.665,0.301,0.050,445100032,4692340736,150708224,2834313216,0,0,56623.585,1506251.740,2.015,13.082,528.007,836.543,0.630,0.700,0.510,2,0,9.535,0,0,12,3,0,4,0
31-03 17:47:58,7.908,21.939,69.898,0,0.255,444887040,4691664896,150712320,2834780160,6764,2160,24576,163840,1,8,2622,4448,0.630,0.700,0.510,2,0,424,0,0,12,3,0,4,0
31-03 17:47:59,12.879,20.960,65.909,0,0.253,446255104,4689920000,150712320,2835111936,16437,2160,0,32768,0,8,3185,5488,0.630,0.700,0.510,2,0,381,0,0,12,3,0,4,0
31-03 17:48:00,9.343,11.111,79.293,0,0.253,576249856,4559314944,150712320,2963251200,8206,2106,0,4096,0,1,3902,7315,0.630,0.700,0.510,1,0,119,0,0,14,3,0,4,0
31-03 17:48:01,10.076,14.106,75.819,0,0,588230656,4547293184,150712320,2963275776,6388,2148,0,0,0,0,2190,3565,0.630,0.700,0.510,2,0,297,0,0,14,5,0,6,0
31-03 17:48:02,22.166,3.023,74.307,0.504,0,625987584,4509196288,150712320,2963615744,13108,2160,122880,503808,7,20,712,704,0.660,0.710,0.520,1,0,0,0,0,14,5,0,6,0
31-03 17:48:03,16.667,3.030,73.485,6.566,0.253,660525056,4472737792,150908928,2965323776,6984,1998,86016,4911104,7,203,1959,3507,0.660,0.710,0.520,2,0,0,0,0,14,7,0,6,0
31-03 17:48:04,9.091,5.808,72.222,12.879,0,666259456,4396511232,151474176,3033640960,7730,2214,0,78110720,0,1003,4817,8920,0.660,0.710,0.520,1,1,0,0,0,14,7,0,6,0
31-03 17:48:05,9.250,5.500,70.250,14.750,0.250,668938240,4392067072,151986176,3034804224,5839,2106,0,10158080,0,832,4443,8214,0.660,0.710,0.520,0,1,2,0,0,14,7,0,6,0
31-03 17:48:06,15.404,5.051,70.960,8.333,0.253,670957568,4388675584,152514560,3035570176,7328,2214,0,8667136,0,698,4902,13094,0.660,0.710,0.520,1,1,0,0,0,14,7,0,6,0
31-03 17:48:07,10.769,4.359,72.051,12.821,0,673656832,4384362496,153186304,3036487680,6165,2160,0,10338304,0,765,4732,8075,0.690,0.710,0.520,1,1,0,0,0,14,7,0,6,0
31-03 17:48:08,6.582,5.570,60,27.595,0.253,674557952,4382851072,153563136,3036659712,7719,2160,0,89337856,0,1078,3680,6188,0.690,0.710,0.520,1,0,0,0,0,14,7,0,6,0
31-03 17:48:09,18.797,4.261,69.925,6.767,0.251,676704256,4379082752,153927680,3037872128,9826,2160,0,6844416,0,490,6260,12841,0.690,0.710,0.520,2,0,0,0,0,14,7,0,6,0
31-03 17:48:10,17.839,6.533,68.342,7.035,0.251,678604800,4375683072,154345472,3038904320,6631,2052,0,9154560,0,718,6699,13953,0.690,0.710,0.520,2,0,0,0,0,14,7,0,6,0
31-03 17:48:11,16.291,6.767,71.178,5.764,0,605310976,4448452608,154685440,3039072256,6092,2160,0,5881856,0,426,3094,10066,0.690,0.710,0.520,4,0,75,0,0,14,5,0,7,0
31-03 17:48:12,23.618,3.015,71.106,2.010,0.251,654426112,4398825472,154722304,3039539200,15232,2052,0,7008256,0,75,945,1411,0.710,0.720,0.520,1,0,3,0,0,14,5,0,7,0
31-03 17:48:13,23.174,3.023,72.544,1.259,0,627908608,4424667136,154767360,3040145408,6037,2160,0,8495104,0,134,1062,1389,0.710,0.720,0.520,3,0,11,0,0,14,5,0,7,0
31-03 17:48:14,23.367,3.266,72.362,1.005,0,605257728,4446023680,154869760,3041353728,6106,2160,0,6471680,0,135,1124,1758,0.710,0.720,0.520,4,0,24,0,0,14,5,0,7,0
31-03 17:48:15,11.970,20.200,67.332,0,0.499,607219712,4442853376,154873856,3042496512,13935,2160,0,172032,0,12,2818,5854,0.710,0.720,0.520,3,0,466,0,0,14,5,0,7,0
31-03 17:48:16,18.718,21.026,60.256,0,0,630276096,4419133440,154873856,3043487744,8139,2160,0,20480,0,5,4273,8725,0.710,0.720,0.520,4,0,334,0,0,14,5,0,7,0
31-03 17:48:17,48.500,4.750,46.250,0.250,0.250,717598720,4331700224,154873856,3043487744,16203,2160,131072,0,1,0,1110,1303,0.810,0.740,0.530,2,0,54,0,0,14,7,0,7,0
31-03 17:48:18,48.111,6.801,44.584,0.504,0,772046848,4274839552,154882048,3045777408,5636,2160,20480,4145152,4,184,1521,6327,0.810,0.740,0.530,3,0,0,0,0,14,7,0,7,0
31-03 17:48:19,21.859,9.548,68.342,0,0.251,808480768,4237824000,154882048,3045978112,8193,2160,0,0,0,0,2191,3359,0.810,0.740,0.530,2,0,167,0,0,14,5,0,8,0
31-03 17:48:20,22.727,2.778,73.737,0.758,0,857300992,4188991488,154886144,3045986304,6979,2106,0,2117632,0,144,1064,1066,0.810,0.740,0.530,2,0,2,0,0,14,7,0,8,0
31-03 17:48:21,19.949,6.566,73.232,0.253,0,796418048,4249788416,154906624,3046014976,5722,1998,0,528384,0,57,1455,2441,0.810,0.740,0.530,1,0,53,0,0,14,5,0,11,0
31-03 17:48:22,23.367,2.513,73.367,0.503,0.251,832053248,4214149120,154910720,3046014976,15490,2160,0,2846720,0,69,947,1269,0.830,0.740,0.530,2,0,0,0,0,14,15,0,12,0
31-03 17:48:23,20.151,4.786,72.544,2.519,0,807489536,4238581760,154910720,3046117376,7019,2202,73728,9048064,18,131,1289,1896,0.830,0.740,0.530,2,0,62,0,0,14,29,0,16,0
31-03 17:48:24,24.060,2.005,73.684,0,0.251,843055104,4202995712,154910720,3046121472,6353,2160,0,1470464,0,91,1032,1285,0.830,0.740,0.530,1,0,0,0,0,14,31,0,20,0
31-03 17:48:25,20.750,7.250,72,0,0,830824448,4215070720,154910720,3046273024,7785,2160,0,0,0,0,1060,1659,0.830,0.740,0.530,2,0,102,0,0,14,29,0,21,0
31-03 17:48:26,22.807,3.759,73.434,0,0,797097984,4248637440,154910720,3046428672,6554,2160,0,0,0,0,1155,1907,0.830,0.740,0.530,2,0,21,0,0,14,29,0,29,0
31-03 17:48:27,23.426,2.267,74.055,0,0.252,842592256,4203126784,154918912,3046436864,13419,2160,0,315392,0,5,684,764,0.840,0.750,0.540,2,0,1,0,0,14,29,0,29,0
31-03 17:48:28,21.608,6.533,71.106,0.754,0,819929088,4225499136,154939392,3046682624,7590,2202,0,937984,0,67,1486,2350,0.840,0.750,0.540,3,1,74,0,0,14,29,0,37,0
31-03 17:48:29,24.311,2.757,68.672,4.010,0.251,849219584,4196204544,154943488,3046682624,9724,2160,0,6725632,0,266,1431,1932,0.840,0.750,0.540,2,0,0,0,0,14,29,0,45,0
31-03 17:48:30,20.812,5.838,73.350,0,0,837353472,4207902720,154943488,3046850560,7977,1998,0,335872,0,2,1024,1481,0.840,0.750,0.540,3,1,101,0,0,14,29,0,45,0
31-03 17:48:31,20.551,6.266,72.932,0,0.251,810057728,4235177984,154943488,3046871040,7724,2106,0,24576,0,5,1191,1893,0.840,0.750,0.540,3,0,68,0,0,14,29,0,50,0
31-03 17:48:32,22.864,3.015,73.869,0.251,0,844779520,4200448000,154951680,3046871040,6788,2160,0,577536,0,15,672,785,0.860,0.750,0.540,3,0,1,0,0,14,29,0,50,0
31-03 17:48:33,21.750,5.250,72.750,0,0.250,813662208,4231536640,154955776,3046895616,5814,2160,0,258048,0,9,1315,2245,0.860,0.750,0.540,1,0,70,0,0,14,29,0,56,0
31-03 17:48:34,23.116,2.764,73.869,0.251,0,851238912,4193955840,154955776,3046899712,6516,2254,0,1540096,0,56,874,1059,0.860,0.750,0.540,2,0,1,0,0,14,29,0,58,0
31-03 17:48:35,20.250,7.250,72.250,0,0.250,837836800,4207190016,154980352,3047043072,6568,2106,0,446464,0,15,1118,1768,0.860,0.750,0.540,2,0,71,0,0,14,29,0,60,0
31-03 17:48:36,21.500,6,72.250,0.250,0,819441664,4225560576,154988544,3047059456,8837,2214,0,421888,0,9,1206,1771,0.860,0.750,0.540,2,0,73,0,0,14,29,0,64,0
31-03 17:48:37,21.608,5.276,72.864,0,0.251,807321600,4237676544,155004928,3047047168,7191,2106,0,401408,0,10,1212,1785,0.870,0.750,0.540,1,0,77,0,0,14,29,0,68,0
31-03 17:48:38,22,4,73.750,0.250,0,846573568,4198383616,155013120,3047079936,7764,2160,0,520192,0,14,739,765,0.870,0.750,0.540,1,0,1,0,0,14,29,0,68,0
31-03 17:48:39,20.455,6.313,72.727,0.253,0.253,824557568,4220375040,155021312,3047096320,14531,2106,0,2412544,0,16,1371,2107,0.870,0.750,0.540,1,0,86,0,0,14,29,0,73,0
31-03 17:48:40,22.500,4,73.500,0,0,852357120,4192559104,155025408,3047108608,7299,2106,0,483328,0,9,687,944,0.870,0.750,0.540,2,0,0,0,0,14,29,0,75,0
31-03 17:48:41,20.802,6.015,72.932,0,0.251,834080768,4210814976,155029504,3047124992,6057,2052,0,110592,0,3,1254,1986,0.870,0.750,0.540,2,0,98,0,0,14,29,0,78,0
31-03 17:48:42,21.013,6.582,72.152,0.253,0,808128512,4236767232,155041792,3047112704,5019,2214,0,503808,0,22,1394,2753,0.880,0.760,0.540,2,0,144,0,0,14,29,0,83,0
31-03 17:48:43,24,2,73.500,0.250,0.250,852320256,4192387072,155054080,3047284736,6039,2160,0,1073152,0,27,723,788,0.880,0.760,0.540,1,0,1,0,0,14,29,0,83,0
31-03 17:48:44,23.058,3.759,73.183,0,0,829222912,4215435264,155062272,3047325696,14642,2160,0,749568,0,8,1342,2295,0.880,0.760,0.540,2,0,22,0,0,14,29,0,93,0
31-03 17:48:45,23.441,4.988,71.322,0,0.249,808153088,4236492800,155066368,3047329792,6802,2160,0,364544,0,3,1300,2203,0.880,0.760,0.540,3,0,73,0,0,14,29,0,101,0
31-03 17:48:46,23.308,2.757,73.935,0,0,854102016,4190375936,155066368,3047493632,11970,2160,0,409600,0,14,734,768,0.880,0.760,0.540,2,0,1,0,0,14,31,0,101,0
31-03 17:48:47,20.099,9.181,70.471,0,0.248,818737152,4225687552,155066368,3047542784,6474,2160,0,0,0,0,1734,3045,0.890,0.760,0.550,2,0,169,0,0,14,29,0,109,0
31-03 17:48:48,23.990,2.525,73.485,0,0,854462464,4189962240,155066368,3047542784,5949,2052,0,0,0,0,1103,1565,0.890,0.760,0.550,2,0,0,0,0,14,31,0,117,0
31-03 17:48:49,22.362,4.020,72.864,0.754,0,838500352,4205883392,155066368,3047583744,5982,2160,0,1392640,0,108,926,1125,0.890,0.760,0.550,2,0,22,0,0,14,29,0,118,0
