"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000153",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","03 Apr 2020 07:31:45 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
03-04 07:31:45,1.140,0.400,98.279,0.136,0.045,445296640,4629614592,170561536,2863706112,0,0,30248.281,768071.828,1.379,6.730,368.357,499.473,0.650,0.750,0.500,2,0,4.834,0,0,12,3,0,4,0
03-04 07:31:46,10.302,21.106,68.342,0,0.251,445042688,4629204992,170561536,2864009216,8640,2160,24576,176128,1,9,2660,4967,0.650,0.750,0.500,1,0,470,0,0,12,3,0,4,0
03-04 07:31:47,12.437,20.558,66.751,0,0.254,445231104,4628443136,170561536,2864562176,6427,2160,0,36864,0,9,3016,5100,0.650,0.750,0.500,1,0,344,0,0,12,3,0,4,0
03-04 07:31:48,7.634,9.415,82.952,0,0,576946176,4496146432,170561536,2992771072,5846,1998,0,0,0,0,2900,4349,1.160,0.860,0.540,0,0,81,0,0,14,3,0,4,0
03-04 07:31:49,10.804,16.332,72.613,0,0.251,588681216,4484325376,170565632,2992803840,7290,2106,0,0,0,0,2078,3396,1.160,0.860,0.540,1,0,297,0,0,14,5,0,6,0
03-04 07:31:50,22.727,2.273,74.495,0.505,0,631607296,4440903680,170565632,2993299456,7698,2160,122880,0,7,0,575,734,1.160,0.860,0.540,1,0,0,0,0,14,5,0,6,0
03-04 07:31:51,13.636,2.525,74.495,9.091,0.253,662020096,4407975936,170831872,2995474432,8029,2160,86016,7577600,7,415,1648,4372,1.160,0.860,0.540,1,0,0,0,0,14,7,0,6,0
03-04 07:31:52,8.543,5.779,71.859,13.568,0.251,667783168,4332564480,171249664,3063222272,19304,2160,0,76140544,0,814,3566,8244,1.160,0.860,0.540,0,2,0,0,0,14,7,0,6,0
03-04 07:31:53,6.853,4.061,72.589,16.497,0,668778496,4329951232,171651072,3064258560,7455,2160,0,17231872,0,668,3417,5818,1.150,0.860,0.540,0,1,0,0,0,14,7,0,6,0
03-04 07:31:54,10.633,4.051,70.886,14.177,0.253,670924800,4326907904,172240896,3064545280,5661,2160,0,9723904,0,791,4660,8939,1.150,0.860,0.540,1,0,0,0,0,14,7,0,6,0
03-04 07:31:55,14.684,5.063,69.367,10.633,0.253,672976896,4323274752,172826624,3065528320,17205,2160,0,7966720,0,641,4946,11570,1.150,0.860,0.540,1,0,0,0,0,14,7,0,6,0
03-04 07:31:56,10.433,3.817,72.010,13.740,0,675160064,4319719424,173465600,3066216448,7687,2160,0,9564160,0,749,4716,8404,1.150,0.860,0.540,2,0,2,0,0,14,7,0,6,0
03-04 07:31:57,19.652,4.975,67.662,7.463,0.249,677343232,4315938816,173805568,3067379712,8458,2160,0,7241728,0,528,5218,13204,1.150,0.860,0.540,1,0,0,0,0,14,7,0,6,0
03-04 07:31:58,15.909,5.051,69.949,9.091,0,678662144,4313075712,174157824,3068526592,9455,2106,0,80953344,0,873,4256,10972,1.140,0.860,0.540,1,1,0,0,0,14,7,0,6,0
03-04 07:31:59,12.658,3.797,71.646,11.646,0.253,679231488,4312154112,174534656,3068514304,8128,1998,0,7868416,0,640,4032,10536,1.140,0.860,0.540,1,0,0,0,0,14,7,0,6,0
03-04 07:32:00,16.203,7.089,73.671,3.038,0,623919104,4367265792,174608384,3068637184,8835,2160,0,2326528,0,184,1922,3827,1.140,0.860,0.540,1,0,78,0,0,14,5,0,7,0
03-04 07:32:01,23.116,2.764,72.864,1.005,0.251,674332672,4316282880,174641152,3069165568,6799,2160,0,8335360,0,154,1026,1251,1.140,0.860,0.540,1,0,0,0,0,14,5,0,7,0
03-04 07:32:02,22.807,3.759,72.932,0.501,0,654151680,4335898624,174673920,3069685760,8722,2148,0,7081984,0,71,923,1234,1.140,0.860,0.540,1,0,11,0,0,14,5,0,7,0
03-04 07:32:03,16.332,12.060,67.588,3.769,0.251,606429184,4382302208,174784512,3070996480,7496,2160,0,13406208,0,532,3109,3849,1.120,0.860,0.550,1,0,250,0,0,14,5,0,7,0
03-04 07:32:04,11.196,21.374,66.921,0.254,0.254,606810112,4380721152,174788608,3072258048,6734,2214,0,188416,0,17,3084,6295,1.120,0.860,0.550,1,0,426,0,0,14,5,0,7,0
03-04 07:32:05,34.937,16.203,48.861,0,0,660566016,4326424576,174788608,3072860160,7962,2160,0,0,0,0,3265,5248,1.120,0.860,0.550,2,0,203,0,0,14,7,0,7,0
03-04 07:32:06,45.865,3.759,49.123,1.003,0.251,741261312,4245282816,174788608,3073253376,17400,2106,143360,0,3,0,856,757,1.120,0.860,0.550,3,0,2,0,0,14,7,0,7,0
