-- Logs begin at Fri 2020-04-03 04:16:02 UTC, end at Fri 2020-04-03 08:02:23 UTC. --
Apr 03 07:31:45 cloud-provider-iscsi-0000000153 systemd[1]: Started Devstack devstack@dstat.service.
Apr 03 07:31:45 cloud-provider-iscsi-0000000153 dstat.sh[24417]: [286B blob data]
Apr 03 07:31:45 cloud-provider-iscsi-0000000153 dstat.sh[24417]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 03 07:31:45 cloud-provider-iscsi-0000000153 dstat.sh[24417]: 03-04 07:31:45|  1   0  98   0   0| 424M 4416M  163M 2731M|   0     0 |  30k  750k|1.38  6.73 | 368   499 |0.65 0.75 0.50|1.0   0 4.8|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2324  512k 483k0.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 03 07:31:46 cloud-provider-iscsi-0000000153 dstat.sh[24417]: 03-04 07:31:46| 10  21  68   0   0| 424M 4415M  163M 2731M|8580B 2160B|   0   172k|   0  9.00 |2652  4967 |0.65 0.75 0.50|2.0   0 467|   0     0 |bash                 2324 3.8%1973k  30k|bash                 2324 1973k  30k3.8%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 03 07:31:47 cloud-provider-iscsi-0000000153 dstat.sh[24417]: 03-04 07:31:47| 13  20  67   0   0| 425M 4414M  163M 2732M|6427B 2160B|   0    36k|   0  9.00 |3016  5080 |0.65 0.75 0.50|4.0   0 343|   0     0 |systemd              1    3.5%   0    0 |bash                 2324 2646k  22k2.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 03 07:31:48 cloud-provider-iscsi-0000000153 dstat.sh[24417]: 03-04 07:31:48|  7   9  83   0   0| 550M 4288M  163M 2854M|6068B 2160B|   0     0 |   0     0 |2894  4341 |1.16 0.86 0.54|  0   0  81|   0     0 |systemd              1    5.5%   0    0 |bash                 2324  246k 656B0.2%|mysqld       173M|   0     0 |  14    3    0    4    0
Apr 03 07:31:49 cloud-provider-iscsi-0000000153 dstat.sh[24417]: 03-04 07:31:49| 11  17  72   0   0| 561M 4277M  163M 2854M|7068B 1944B|   0     0 |   0     0 |2077  3400 |1.16 0.86 0.54|1.0   0 297|   0     0 |keystone-manage      257296.2%2243k  79k|keystone-manage      257292243k  79k6.2%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 03 07:31:50 cloud-provider-iscsi-0000000153 dstat.sh[24417]: 03-04 07:31:50| 23   2  74   1   0| 603M 4235M  163M 2855M|7758B 2160B| 120k    0 |7.00     0 | 576   734 |1.16 0.86 0.54|1.0   0   0|   0     0 |keystone-manage      25729 24%  11M 170k|keystone-manage      25729  11M 170k 24%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 03 07:31:51 cloud-provider-iscsi-0000000153 dstat.sh[24417]: 03-04 07:31:51| 14   2  74   9   0| 631M 4204M  163M 2857M|7969B 2160B|  84k 7512k|7.00   425 |1678  4443 |1.16 0.86 0.54|  0 1.0   0|   0     0 |keystone-manage      25729 12%3328k 531k|keystone-manage      257293328k 531k 12%|mysqld       187M|   0     0 |  14    7    0    6    0
Apr 03 07:31:52 cloud-provider-iscsi-0000000153 dstat.sh[24417]: 03-04 07:31:52|  8   6  72  13   0| 637M 4132M  163M 2921M|  19k 2160B|   0    73M|   0   811 |3540  8173 |1.16 0.86 0.54|  0 2.0   0|   0     0 |mysqld               236998.2%   0    0 |keystone-manage      25729  20k  11k3.8%|mysqld       192M|   0     0 |  14    7    0    6    0
Apr 03 07:31:53 cloud-provider-iscsi-0000000153 dstat.sh[24417]: 03-04 07:31:53|  7   4  72  17   0| 638M 4129M  164M 2922M|7235B 2160B|   0    16M|   0   665 |3432  5841 |1.15 0.86 0.54|  0 1.0   0|   0     0 |mysqld               236994.5%   0    0 |keystone-manage      25729  20k  12k3.5%|mysqld       194M|   0     0 |  14    7    0    6    0
Apr 03 07:31:54 cloud-provider-iscsi-0000000153 dstat.sh[24417]: 03-04 07:31:54| 11   4  71  14   0| 640M 4126M  164M 2923M|5661B 2160B|   0  9500k|   0   795 |4665  8951 |1.15 0.86 0.54|2.0   0   0|   0     0 |mysqld               236998.0%   0    0 |keystone-manage      25729  29k  17k5.0%|mysqld       195M|   0     0 |  14    7    0    6    0
Apr 03 07:31:55 cloud-provider-iscsi-0000000153 dstat.sh[24417]: 03-04 07:31:55| 15   5  69  11   0| 642M 4123M  165M 2924M|  17k 2160B|   0  7732k|   0   634 |4928    12k|1.15 0.86 0.54|  0 1.0   0|   0     0 |keystone-manage      257299.0%  46k 294k|python3.6            6081  273k 569k1.5%|mysqld       197M|   0     0 |  14    7    0    6    0
Apr 03 07:31:56 cloud-provider-iscsi-0000000153 dstat.sh[24417]: 03-04 07:31:56| 10   4  72  14   0| 644M 4120M  165M 2924M|7687B 2160B|   0  9392k|   0   755 |4732  8416 |1.15 0.86 0.54|2.0   0 2.0|   0     0 |mysqld               236997.5%   0    0 |keystone-manage      25729  28k  17k5.8%|mysqld       198M|   0     0 |  14    7    0    6    0
Apr 03 07:31:57 cloud-provider-iscsi-0000000153 dstat.sh[24417]: 03-04 07:31:57| 20   5  68   8   0| 646M 4116M  166M 2925M|8458B 2160B|   0  7068k|   0   524 |5224    13k|1.15 0.86 0.54|1.0   0   0|   0     0 |keystone-manage      25729 12%  59k 362k|python3.6            6081  339k 708k1.8%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 03 07:31:58 cloud-provider-iscsi-0000000153 dstat.sh[24417]: 03-04 07:31:58| 16   5  70   9   0| 647M 4113M  166M 2926M|9529B 2160B|   0    77M|   0   883 |4266    11k|1.14 0.86 0.54|  0 1.0   0|   0     0 |keystone-manage      25729 10%  42k 349k|python3.6            6081  334k 696k1.8%|mysqld       200M|   0     0 |  14    7    0    6    0
Apr 03 07:31:59 cloud-provider-iscsi-0000000153 dstat.sh[24417]: 03-04 07:31:59| 13   4  72  11   0| 648M 4112M  166M 2926M|8202B 2052B|   0  7616k|   0   627 |4003    10k|1.14 0.86 0.54|2.0   0   0|   0     0 |keystone-manage      257298.2%  46k  30k|keystone-manage      25729  46k  30k8.2%|mysqld       200M|   0     0 |  14    7    0    6    0
Apr 03 07:32:00 cloud-provider-iscsi-0000000153 dstat.sh[24417]: 03-04 07:32:00| 16   7  74   3   0| 595M 4165M  167M 2926M|8687B 2052B|   0  2272k|   0   184 |1911  3805 |1.14 0.86 0.54|2.0   0  78|   0     0 |keystone-manage      258099.2%4679k  37k|bash                 2324   17M1881k1.0%|mysqld       201M|   0     0 |  14    5    0    7    0
