"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000188",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","07 Apr 2020 14:32:23 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
07-04 14:32:23,2.054,0.705,96.945,0.248,0.048,443170816,4683825152,150835200,2840985600,0,0,49001.902,1300829.665,1.754,11.297,513.257,766.452,0.600,0.640,0.500,2,0,9.089,0,0,12,3,0,4,0
07-04 14:32:24,10.456,20.912,68.097,0.268,0.268,444624896,4681408512,150839296,2841899008,6405,1998,24576,81920,1,11,2673,5588,0.600,0.640,0.500,7,0,410,0,0,12,3,0,4,0
07-04 14:32:25,5,7.500,64.500,23,0,441454592,4684472320,150839296,2841751552,6642,2160,0,1044480,0,106,1340,1405,0.600,0.640,0.500,0,2,98,0,0,12,3,0,4,0
07-04 14:32:26,6.015,9.273,54.386,30.075,0.251,442798080,4682842112,150839296,2841976832,6034,2160,0,5558272,0,146,2043,2975,0.600,0.640,0.500,1,0,134,0,0,12,3,0,4,0
07-04 14:32:27,13.165,15.696,71.139,0,0,581033984,4544163840,150839296,2970030080,6662,2106,0,0,0,0,3640,7085,0.630,0.650,0.510,1,0,347,0,0,14,5,0,6,0
07-04 14:32:28,20.854,2.261,74.372,2.513,0,617738240,4507201536,150839296,2970271744,8081,2214,98304,0,4,0,515,623,0.630,0.650,0.510,1,0,0,0,0,14,5,0,6,0
07-04 14:32:29,17.293,2.506,73.434,6.516,0.251,647753728,4476026880,150851584,2971398144,7474,2052,110592,843776,10,3,623,1592,0.630,0.650,0.510,1,0,0,0,0,14,7,0,6,0
07-04 14:32:30,5.263,2.256,73.434,19.048,0,658382848,4464500736,151031808,2972192768,6921,1998,0,4001792,0,229,1552,2504,0.630,0.650,0.510,0,1,0,0,0,14,7,0,6,0
07-04 14:32:31,3.030,3.030,68.939,25,0,659505152,4462497792,151207936,2972778496,8104,2214,0,35262464,0,372,1479,2001,0.630,0.650,0.510,1,2,0,0,0,14,7,0,6,0
07-04 14:32:32,6.818,5.303,65.152,22.475,0.253,660381696,4461035520,151511040,2973020160,6948,2106,0,26669056,0,448,2012,3463,0.740,0.670,0.510,1,1,0,0,0,14,7,0,6,0
07-04 14:32:33,5.779,4.020,69.849,20.352,0,662245376,4458786816,151851008,2973065216,8641,2214,0,4661248,0,375,2188,4492,0.740,0.670,0.510,1,0,0,0,0,14,7,0,6,0
07-04 14:32:34,3.788,3.030,73.990,18.939,0.253,663691264,4388073472,151986176,3040743424,8308,2160,0,70152192,0,268,1408,2806,0.740,0.670,0.510,0,1,0,0,0,14,7,0,6,0
07-04 14:32:35,4.010,2.506,73.434,20.050,0,665001984,4385927168,152236032,3041243136,10528,2160,0,3629056,0,289,1651,3381,0.740,0.670,0.510,0,1,0,0,0,14,7,0,6,0
07-04 14:32:36,5.063,2.025,72.911,19.747,0.253,665780224,4384624640,152530944,3041460224,9607,2106,0,3870720,0,326,1927,4202,0.740,0.670,0.510,2,0,0,0,0,14,7,0,6,0
07-04 14:32:37,4.786,3.778,69.773,21.662,0,667049984,4382810112,152891392,3041607680,24555,2160,0,32718848,0,550,2292,4136,0.840,0.690,0.520,0,1,2,0,0,14,7,0,6,0
07-04 14:32:38,6.870,3.053,72.774,17.303,0,667697152,4381671424,153198592,3041771520,6465,2106,0,4878336,0,382,2064,5055,0.840,0.690,0.520,0,1,0,0,0,14,7,0,6,0
07-04 14:32:39,11.779,5.013,66.165,16.792,0.251,668708864,4379701248,153534464,3042369536,7295,1998,0,3850240,0,302,3311,7922,0.840,0.690,0.520,0,1,0,0,0,14,7,0,6,0
07-04 14:32:40,6.599,3.553,71.574,18.274,0,669745152,4378095616,153825280,3042615296,7683,2214,0,4411392,0,350,1691,4950,0.840,0.690,0.520,0,1,0,0,0,14,7,0,6,0
07-04 14:32:41,5.276,4.523,69.849,20.352,0,670810112,4376186880,154161152,3043069952,5761,2160,0,3973120,0,308,1441,3950,0.840,0.690,0.520,1,1,0,0,0,14,7,0,6,0
07-04 14:32:42,5.542,2.015,70.277,21.914,0.252,671318016,4375126016,154406912,3043307520,6552,2214,0,6803456,0,401,1871,4156,0.940,0.710,0.530,0,2,0,0,0,14,7,0,6,0
07-04 14:32:43,4.304,3.291,70.633,21.772,0,672169984,4373917696,154771456,3043287040,6849,2148,0,4177920,0,347,1658,3781,0.940,0.710,0.530,0,1,0,0,0,14,7,0,6,0
07-04 14:32:44,12.814,4.774,70.603,11.558,0.251,673898496,4370747392,155099136,3044372480,6944,2202,0,6184960,0,474,4597,10709,0.940,0.710,0.530,1,0,0,0,0,14,7,0,6,0
07-04 14:32:45,19.084,6.361,69.211,5.344,0,674660352,4368338944,155381760,3045699584,8093,2160,0,5533696,0,361,5870,15001,0.940,0.710,0.530,0,1,0,0,0,14,7,0,6,0
07-04 14:32:46,12.183,4.569,71.320,11.929,0,675422208,4367028224,155865088,3045736448,6759,2160,0,8544256,0,673,4458,10625,0.940,0.710,0.530,1,0,0,0,0,14,7,0,6,0
07-04 14:32:47,17.337,5.025,71.608,5.779,0.251,602869760,4439220224,156094464,3045863424,5877,2106,0,5783552,0,573,3111,7795,1.020,0.740,0.540,1,0,79,0,0,14,5,0,7,0
07-04 14:32:48,23.116,3.266,73.116,0.503,0,653385728,4388171776,156143616,3046346752,7275,2160,0,6758400,0,66,1005,1237,1.020,0.740,0.540,1,0,1,0,0,14,5,0,7,0
07-04 14:32:49,24.060,3.008,71.178,1.504,0.251,635883520,4405059584,156164096,3046912000,23322,1944,0,7045120,0,71,1006,1260,1.020,0.740,0.540,1,0,11,0,0,14,5,0,7,0
07-04 14:32:50,22.418,4.282,71.537,1.763,0,602533888,4436971520,156233728,3048247296,8764,2214,0,6422528,0,136,1428,2117,1.020,0.740,0.540,1,0,64,0,0,14,5,0,7,0
07-04 14:32:51,11.055,21.608,67.085,0,0.251,602963968,4435509248,156237824,3049222144,6560,2160,0,102400,0,14,2830,5570,1.020,0.740,0.540,3,0,487,0,0,14,5,0,7,0
07-04 14:32:52,24.495,19.697,55.303,0.253,0.253,635518976,4402462720,156241920,3050012672,7424,2160,0,9793536,0,150,4816,11164,1.100,0.760,0.550,2,0,319,0,0,14,7,0,7,0
07-04 14:32:53,44.836,4.786,49.118,1.259,0,713908224,4323790848,156241920,3050283008,8088,2160,131072,0,1,0,924,847,1.100,0.760,0.550,3,0,2,0,0,14,7,0,7,0
07-04 14:32:54,46.883,6.733,45.885,0.249,0.249,769171456,4266213376,156254208,3052310528,11572,2160,20480,663552,4,81,1121,5939,1.100,0.760,0.550,2,0,0,0,0,14,7,0,7,0
