"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000250",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","13 Apr 2020 12:29:10 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
13-04 12:29:10,1.133,0.387,98.306,0.130,0.043,444837888,4661395456,152510464,2858041344,0,0,26936.472,711274.181,0.968,6.236,372.079,481.314,0.520,0.570,0.440,3,0,4.949,0,0,12,3,0,4,0
13-04 12:29:11,11.278,19.549,68.421,0.251,0.501,446386176,4659101696,152514560,2858401792,7289,2106,24576,110592,1,9,2763,5023,0.520,0.570,0.440,2,0,476,0,0,12,3,0,4,0
13-04 12:29:12,12.911,21.013,66.076,0,0,445333504,4659552256,152514560,2858979328,14026,2106,0,32768,0,8,3409,5931,0.520,0.570,0.440,1,0,356,0,0,12,3,0,4,0
13-04 12:29:13,9.114,10.127,80.759,0,0,576745472,4527808512,152514560,2986995712,7016,2160,0,0,0,0,3306,4239,0.520,0.570,0.440,0,0,94,0,0,14,3,0,4,0
13-04 12:29:14,8.816,14.358,76.574,0,0.252,586543104,4517998592,152518656,2987003904,9276,2214,0,503808,0,24,2261,3593,0.480,0.560,0.440,2,0,296,0,0,14,5,0,6,0
13-04 12:29:15,23.116,2.261,74.121,0.503,0,631795712,4472221696,152518656,2987528192,13119,1998,122880,0,7,0,706,771,0.480,0.560,0.440,1,0,0,0,0,14,5,0,6,0
13-04 12:29:16,13.534,4.762,73.183,8.271,0.251,660590592,4441161728,152719360,2989502464,7926,2214,86016,5730304,7,293,1914,3727,0.480,0.560,0.440,0,1,0,0,0,14,7,0,6,0
13-04 12:29:17,9.548,4.523,72.111,13.819,0,665440256,4435111936,153124864,2990239744,17306,2160,0,8925184,0,787,4171,7547,0.480,0.560,0.440,0,1,0,0,0,14,7,0,6,0
13-04 12:29:18,7.286,5.528,72.864,14.070,0.251,668123136,4362194944,153505792,3058487296,6675,2160,0,74600448,0,670,3380,5364,0.480,0.560,0.440,0,1,0,0,0,14,7,0,6,0
13-04 12:29:19,10.152,4.315,70.558,14.975,0,670445568,4359049216,154120192,3058626560,5789,2106,0,9592832,0,779,4521,8710,0.600,0.590,0.450,0,2,0,0,0,14,7,0,6,0
13-04 12:29:20,11.335,8.564,55.416,24.433,0.252,671412224,4357332992,154230784,3059372032,7109,2052,0,92962816,0,1053,2609,4934,0.600,0.590,0.450,0,1,0,0,0,14,7,0,6,0
13-04 12:29:21,10.997,3.069,72.634,13.299,0,673497088,4353822720,154836992,3060154368,6244,2214,0,9101312,0,725,4332,9181,0.600,0.590,0.450,0,1,0,0,0,14,7,0,6,0
13-04 12:29:22,10.050,5.779,70.603,13.317,0.251,675540992,4350746624,155332608,3060600832,5637,2160,0,9998336,0,793,4524,10148,0.600,0.590,0.450,0,1,0,0,0,14,7,0,6,0
13-04 12:29:23,20.558,5.330,68.020,6.091,0,676896768,4347904000,155553792,3061809152,12243,2160,0,5537792,0,409,3756,13098,0.600,0.590,0.450,1,0,2,0,0,14,7,0,6,0
13-04 12:29:24,14.286,5.867,68.878,10.969,0,679051264,4344410112,155951104,3062702080,6848,2052,0,7704576,0,598,4347,12468,0.720,0.610,0.460,0,0,0,0,0,14,7,0,6,0
13-04 12:29:25,16.667,5.224,69.403,8.458,0.249,678875136,4343840768,156454912,3062923264,5888,2160,0,8048640,0,591,4318,12511,0.720,0.610,0.460,1,0,0,0,0,14,7,0,6,0
13-04 12:29:26,21.303,5.013,73.434,0,0.251,639619072,4383043584,156454912,3062976512,8551,2160,0,0,0,0,1075,1419,0.720,0.610,0.460,1,0,78,0,0,14,5,0,7,0
13-04 12:29:27,23.618,3.015,71.859,1.508,0,617168896,4404944896,156487680,3063480320,5959,2106,0,6922240,0,73,1159,1511,0.720,0.610,0.460,1,0,11,0,0,14,5,0,7,0
13-04 12:29:28,23.618,2.513,73.869,0,0,661299200,4360253440,156540928,3063971840,6766,2214,0,6860800,0,68,860,1204,0.720,0.610,0.460,1,0,0,0,0,14,5,0,7,0
13-04 12:29:29,14.394,14.646,68.434,2.273,0.253,606609408,4413177856,156618752,3065643008,7134,1998,0,6750208,0,141,2718,4506,0.900,0.650,0.470,1,0,299,0,0,14,5,0,7,0
13-04 12:29:30,13.854,20.907,64.232,0.756,0.252,606851072,4411883520,156622848,3066564608,7126,2330,0,4009984,0,177,3766,6263,0.900,0.650,0.470,1,0,407,0,0,14,5,0,7,0
13-04 12:29:31,38.791,12.343,48.615,0,0.252,673869824,4344623104,156622848,3067191296,6879,2160,0,0,0,0,2763,4135,0.900,0.650,0.470,2,0,170,0,0,14,7,0,7,0
13-04 12:29:32,43.467,5.779,49.246,1.508,0,757874688,4259905536,156631040,3067842560,14721,2160,151552,462848,5,60,949,727,0.900,0.650,0.470,2,0,0,0,0,14,7,0,7,0
13-04 12:29:33,36.250,12,51.500,0,0.250,784662528,4230709248,156631040,3069804544,13894,2052,0,81920,0,10,2253,6466,0.900,0.650,0.470,7,0,174,0,0,13,5,0,9,0
13-04 12:29:34,23.559,3.008,73.434,0,0,834756608,4180561920,156631040,3069816832,6821,2160,0,0,0,0,781,981,0.990,0.670,0.480,2,0,4,0,0,14,5,0,8,0
13-04 12:29:35,23.869,2.513,72.864,0.754,0,862998528,4152205312,156692480,3069845504,8807,2106,0,10407936,0,172,1549,2330,0.990,0.670,0.480,1,0,2,0,0,14,5,0,11,0
13-04 12:29:36,23.426,3.526,72.292,0.504,0.252,817983488,4197212160,156700672,3069841408,8945,2214,0,5619712,0,116,1166,1664,0.990,0.670,0.480,2,0,53,0,0,14,5,0,11,0
13-04 12:29:37,21.859,2.764,73.116,2.010,0.251,794451968,4220608512,156700672,3069943808,7724,2160,73728,0,18,0,1241,1913,0.990,0.670,0.480,1,0,9,0,0,14,29,0,16,0
13-04 12:29:38,22.166,4.030,73.804,0,0,832212992,4182835200,156708864,3069947904,7318,2160,0,983040,0,7,851,1286,0.990,0.670,0.480,1,0,53,0,0,14,29,0,16,0
