-- Logs begin at Mon 2020-04-13 09:01:08 UTC, end at Mon 2020-04-13 13:00:30 UTC. --
Apr 13 12:29:10 cloud-provider-iscsi-0000000250 systemd[1]: Started Devstack devstack@dstat.service.
Apr 13 12:29:10 cloud-provider-iscsi-0000000250 dstat.sh[29453]: [286B blob data]
Apr 13 12:29:10 cloud-provider-iscsi-0000000250 dstat.sh[29453]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 13 12:29:10 cloud-provider-iscsi-0000000250 dstat.sh[29453]: 13-04 12:29:10|  1   0  98   0   0| 424M 4445M  145M 2726M|   0     0 |  26k  695k|0.97  6.24 | 372   481 |0.52 0.57 0.44|4.0   0 4.9|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2401  487k 453k0.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 13 12:29:11 cloud-provider-iscsi-0000000250 dstat.sh[29453]: 13-04 12:29:11| 12  20  68   0   1| 426M 4443M  145M 2726M|7289B 2106B|  24k  108k|1.00  9.00 |2768  5038 |0.52 0.57 0.44|3.0   0 480|   0     0 |bash                 2401 3.5%1701k  31k|bash                 2401 1701k  31k3.5%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 13 12:29:12 cloud-provider-iscsi-0000000250 dstat.sh[29453]: 13-04 12:29:12| 13  21  66   0   0| 425M 4444M  145M 2727M|  14k 2106B|   0    32k|   0  8.00 |3406  5923 |0.52 0.57 0.44|1.0   0 352|   0     0 |systemd              1    4.2%   0    0 |bash                 2401 2956k  23k2.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 13 12:29:13 cloud-provider-iscsi-0000000250 dstat.sh[29453]: 13-04 12:29:13|  9  10  81   0   0| 550M 4318M  145M 2849M|7016B 2160B|   0     0 |   0     0 |3305  4233 |0.52 0.57 0.44|  0   0  94|   0     0 |systemd              1    6.0%   0    0 |bash                 2401  252k 904B0.2%|mysqld       173M|   0     0 |  14    3    0    4    0
Apr 13 12:29:14 cloud-provider-iscsi-0000000250 dstat.sh[29453]: 13-04 12:29:14|  9  14  76   0   0| 559M 4309M  145M 2849M|9276B 2214B|   0   492k|   0  24.0 |2261  3593 |0.48 0.56 0.44|1.0   0 296|   0     0 |keystone-manage      307663.0%2123k  79k|keystone-manage      307662123k  79k3.0%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 13 12:29:15 cloud-provider-iscsi-0000000250 dstat.sh[29453]: 13-04 12:29:15| 23   2  74   1   0| 603M 4265M  145M 2849M|  13k 1998B| 120k    0 |7.00     0 | 706   771 |0.48 0.56 0.44|1.0   0   0|   0     0 |keystone-manage      30766 25%  11M 153k|keystone-manage      30766  11M 153k 25%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 13 12:29:16 cloud-provider-iscsi-0000000250 dstat.sh[29453]: 13-04 12:29:16| 13   5  73   9   0| 630M 4235M  146M 2851M|7926B 2214B|  84k 5596k|7.00   293 |1915  3728 |0.48 0.56 0.44|  0 1.0   0|   0     0 |keystone-manage      30766 12%3748k 551k|keystone-manage      307663748k 551k 12%|mysqld       187M|   0     0 |  14    7    0    6    0
Apr 13 12:29:17 cloud-provider-iscsi-0000000250 dstat.sh[29453]: 13-04 12:29:17| 10   5  72  14   0| 635M 4230M  146M 2852M|  17k 2160B|   0  8716k|   0   787 |4171  7548 |0.48 0.56 0.44|1.0 1.0   0|   0     0 |mysqld               287346.8%   0    0 |keystone-manage      30766  16k9549B4.0%|mysqld       191M|   0     0 |  14    7    0    6    0
Apr 13 12:29:18 cloud-provider-iscsi-0000000250 dstat.sh[29453]: 13-04 12:29:18|  7   6  73  14   0| 637M 4160M  146M 2917M|6675B 2160B|   0    71M|   0   671 |3387  5370 |0.48 0.56 0.44|2.0   0   0|   0     0 |mysqld               287346.2%   0    0 |keystone-manage      30766  23k  14k3.8%|mysqld       193M|   0     0 |  14    7    0    6    0
Apr 13 12:29:19 cloud-provider-iscsi-0000000250 dstat.sh[29453]: 13-04 12:29:19| 10   4  70  15   0| 639M 4157M  147M 2917M|5789B 2106B|   0  9364k|   0   778 |4514  8705 |0.60 0.59 0.45|  0 2.0   0|   0     0 |mysqld               287346.8%   0    0 |keystone-manage      30766  28k  16k5.0%|mysqld       195M|   0     0 |  14    7    0    6    0
