-- Logs begin at Tue 2020-03-10 17:34:49 UTC, end at Tue 2020-03-10 21:25:07 UTC. --
Mar 10 21:13:51 cloud-provider1-0000013187 systemd[1]: Started Devstack devstack@dstat.service.
Mar 10 21:13:52 cloud-provider1-0000013187 dstat.sh[30521]: [286B blob data]
Mar 10 21:13:52 cloud-provider1-0000013187 dstat.sh[30521]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 10 21:13:52 cloud-provider1-0000013187 dstat.sh[30521]: 10-03 21:13:52|  1   0  98   0   0| 418M 4074M  166M 3057M|   0     0 |  23k  731k|0.88  6.71 | 319   452 |0.58 0.61 0.46|1.0   0 4.8|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2140  565k 497k0.0%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 10 21:13:53 cloud-provider1-0000013187 dstat.sh[30521]: 10-03 21:13:53|  9  20  70   0   0| 418M 4073M  166M 3057M|5360B 2160B|   0    88k|   0  5.00 |2517  4892 |0.58 0.61 0.46|1.0   0 459|   0     0 |bash                 2140 4.0%1384k  29k|bash                 2140 1384k  29k4.0%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 10 21:13:54 cloud-provider1-0000013187 dstat.sh[30521]: 10-03 21:13:54| 13  20  66   0   0| 418M 4073M  166M 3057M|5302B 1944B|   0    32k|   0  8.00 |2953  6358 |0.58 0.61 0.46|2.0   0 373|   0     0 |systemd              1    3.2%   0    0 |bash                 2140 3070k  24k2.5%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 10 21:13:55 cloud-provider1-0000013187 dstat.sh[30521]: 10-03 21:13:55| 10   9  81   0   0| 544M 3946M  166M 3179M|9564B 2160B|   0  4096B|   0  1.00 |3800  7587 |0.58 0.61 0.46|1.0   0 113|   0     0 |systemd              1    6.0%   0    0 |bash                 2140  471k2344B  0%|mysqld       173M|   0     0 |  14    5    0    3    0
Mar 10 21:13:56 cloud-provider1-0000013187 dstat.sh[30521]: 10-03 21:13:56| 13  15  72   0   0| 555M 3935M  166M 3180M|  14k 2160B|   0   804k|   0  8.00 |2037  3574 |0.69 0.63 0.47|1.0   0 295|   0     0 |keystone-manage      318349.0%2245k  79k|keystone-manage      318342245k  79k9.0%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 10 21:13:57 cloud-provider1-0000013187 dstat.sh[30521]: 10-03 21:13:57| 22   4  74   1   0| 601M 3888M  166M 3180M|8488B 2106B| 100k    0 |5.00     0 | 578   754 |0.69 0.63 0.47|1.0   0 2.0|   0     0 |keystone-manage      31834 24%  12M 190k|keystone-manage      31834  12M 190k 24%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 10 21:13:58 cloud-provider1-0000013187 dstat.sh[30521]: 10-03 21:13:58| 15   4  73   8   0| 628M 3859M  166M 3182M|6202B 1998B|  60k 6136k|8.00   329 |2254  3595 |0.69 0.63 0.47|  0   0   0|   0     0 |keystone-manage      31834 13%3406k 571k|keystone-manage      318343406k 571k 13%|mysqld       187M|   0     0 |  14    7    0    5    0
Mar 10 21:13:59 cloud-provider1-0000013187 dstat.sh[30521]: 10-03 21:13:59|  9   6  72  13   0| 634M 3786M  167M 3247M|6235B 2160B|   0    74M|   0   990 |4840  8713 |0.69 0.63 0.47|1.0   0   0|   0     0 |mysqld               297968.8%   0    0 |keystone-manage      31834  23k  14k4.0%|mysqld       192M|   0     0 |  14    7    0    5    0
Mar 10 21:14:00 cloud-provider1-0000013187 dstat.sh[30521]: 10-03 21:14:00|  9   3  73  14   0| 636M 3783M  167M 3248M|5849B 2160B|   0  7308k|   0   629 |3551  7002 |0.69 0.63 0.47|1.0   0   0|   0     0 |mysqld               297965.5%   0    0 |keystone-manage      31834  23k  14k5.5%|mysqld       194M|   0     0 |  14    7    0    5    0
Mar 10 21:14:01 cloud-provider1-0000013187 dstat.sh[30521]: 10-03 21:14:01| 19   5  68   9   0| 638M 3780M  168M 3249M|4835B 2148B|   0    10M|   0   739 |4346    12k|0.80 0.65 0.48|3.0   0   0|   0     0 |keystone-manage      31834 11%  42k 308k|python               6050  291k 606k1.8%|mysqld       195M|   0     0 |  14    7    0    6    0
Mar 10 21:14:02 cloud-provider1-0000013187 dstat.sh[30521]: 10-03 21:14:02| 12   6  71  11   0| 641M 3775M  169M 3249M|5644B 1998B|   0    12M|   0   982 |5017    11k|0.80 0.65 0.48|  0 1.0 2.0|   0     0 |mysqld               297968.2%   0    0 |keystone-manage      31834  46k  32k7.2%|mysqld       198M|   0     0 |  14    7    0    6    0
Mar 10 21:14:03 cloud-provider1-0000013187 dstat.sh[30521]: 10-03 21:14:03| 19   5  69   8   0| 643M 3771M  169M 3251M|6095B 2160B|   0  9068k|   0   702 |5953    15k|0.80 0.65 0.48|1.0   0   0|   0     0 |keystone-manage      31834 11%  52k 380k|python               6050  360k 747k1.8%|mysqld       199M|   0     0 |  14    7    0    5    0
Mar 10 21:14:04 cloud-provider1-0000013187 dstat.sh[30521]: 10-03 21:14:04| 20   5  69   6   0| 645M 3767M  170M 3252M|6152B 2160B|   0  8984k|   0   704 |5893    16k|0.80 0.65 0.48|  0 1.0   0|   0     0 |keystone-manage      31834 14%  61k 384k|python               6050  361k 751k1.8%|mysqld       200M|   0     0 |  14    7    0    5    0
Mar 10 21:14:05 cloud-provider1-0000013187 dstat.sh[30521]: 10-03 21:14:05| 12   4  72  12   0| 645M 3766M  170M 3252M|9805B 2160B|   0  8812k|   0   628 |4283  9982 |0.80 0.65 0.48|1.0   0   0|   0     0 |keystone-manage      318348.5%  46k  33k|keystone-manage      31834  46k  33k8.5%|mysqld       200M|   0     0 |  14    7    0    5    0
Mar 10 21:14:06 cloud-provider1-0000013187 dstat.sh[30521]: 10-03 21:14:06| 20   7  72   1   0| 598M 3813M  170M 3252M|8954B 2160B|   0    46M|   0   423 |1796  1487 |0.81 0.66 0.48|1.0   0  78|   0     0 |keystone-manage      31916 15%6714k  37k|bash                 2140   18M2010k0.8%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 10 21:14:07 cloud-provider1-0000013187 dstat.sh[30521]: 10-03 21:14:07| 24   2  72   2   0| 642M 3769M  170M 3253M|7381B 2106B|   0  9120k|   0   215 |1130  1452 |0.81 0.66 0.48|1.0   0 1.0|   0     0 |keystone-manage      31916 25%  10M  38k|keystone-manage      31916  10M  38k 25%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 10 21:14:08 cloud-provider1-0000013187 dstat.sh[30521]: 10-03 21:14:08| 23   4  73   1   0| 605M 3805M  170M 3253M|9483B 2214B|   0  6756k|   0  68.0 | 930  1422 |0.81 0.66 0.48|1.0   0  12|   0     0 |keystone-manage      31928 22%8362k  73k|bash                 2140   17M  76k0.2%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 10 21:14:09 cloud-provider1-0000013187 dstat.sh[30521]: 10-03 21:14:09| 22   5  72   2   0| 571M 3838M  170M 3254M|  17k 2160B|   0  6284k|   0   137 |1532  2574 |0.81 0.66 0.48|2.0   0 101|   0     0 |bash                 2140 0.8%  17M  81k|bash                 2140   17M  81k0.8%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 10 21:14:10 cloud-provider1-0000013187 dstat.sh[30521]: 10-03 21:14:10| 11  21  67   0   0| 572M 3836M  170M 3255M|6618B 1890B|   0   108k|   0  14.0 |2787  6528 |0.81 0.66 0.48|1.0   0 486|   0     0 |bash                 2140 3.0%3430k  32k|bash                 2140 3430k  32k3.0%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 10 21:14:11 cloud-provider1-0000013187 dstat.sh[30521]: 10-03 21:14:11| 24  22  53   1   0| 602M 3806M  170M 3256M|5873B 2214B|   0    22M|   0   657 |4821  6348 |0.83 0.67 0.48|2.0   0 283|   0     0 |uwsgi                326717.0%2101k   0 |uwsgi                326712101k   0 7.0%|mysqld       200M|   0     0 |  14    7    0    6    0
Mar 10 21:14:12 cloud-provider1-0000013187 dstat.sh[30521]: 10-03 21:14:12| 44   7  49   1   0| 686M 3722M  170M 3256M|  15k 2160B| 128k    0 |1.00     0 |1051   953 |0.83 0.67 0.48|2.0   0 6.0|   0     0 |uwsgi                32672 25%  11M  73k|uwsgi                32671  11M  73k 24%|mysqld       200M|   0     0 |  14    7    0    6    0
