"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000107",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","31 Mar 2020 21:34:22 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
31-03 21:34:22,1.125,0.386,98.293,0.156,0.040,443170816,4668891136,151732224,2858115072,0,0,28554.988,761604.209,1.017,6.672,356.254,487.247,0.710,0.650,0.470,2,0,4.808,0,0,12,3,0,4,0
31-03 21:34:23,9.924,20.865,68.702,0.254,0.254,442204160,4669132800,151740416,2858426368,5363,2160,24576,274432,1,9,2678,4969,0.710,0.650,0.470,1,0,480,0,0,12,3,0,4,0
31-03 21:34:24,14.610,19.647,65.743,0,0,451817472,4659003392,151740416,2858999808,14787,2160,0,311296,0,21,3730,8341,0.710,0.650,0.470,8,0,378,0,0,12,3,0,4,0
31-03 21:34:25,7.789,7.538,84.422,0,0.251,573136896,4537073664,151740416,2986979328,6121,2160,0,0,0,0,2507,3792,0.710,0.650,0.470,1,0,57,0,0,14,3,0,4,0
31-03 21:34:26,9.620,13.671,76.709,0,0,581263360,4528840704,151744512,2987012096,7590,2160,0,0,0,0,2085,3485,0.710,0.650,0.470,2,0,298,0,0,14,5,0,6,0
31-03 21:34:27,22.111,3.266,73.869,0.503,0.251,622092288,4487798784,151744512,2987225088,6396,2160,122880,0,7,0,616,632,0.730,0.660,0.480,1,0,0,0,0,14,5,0,6,0
31-03 21:34:28,18.434,2.778,72.980,5.808,0,657870848,4449828864,151928832,2989232128,7112,1944,86016,5951488,7,276,1863,3171,0.730,0.660,0.480,0,1,0,0,0,14,7,0,6,0
31-03 21:34:29,8.229,6.484,72.569,12.469,0.249,663625728,4373831680,152342528,3057451008,7304,2202,0,116662272,0,1083,3523,9012,0.730,0.660,0.480,1,0,0,0,0,14,7,0,6,0
31-03 21:34:30,11.168,5.838,71.066,11.675,0.254,666804224,4368543744,153100288,3058671616,11528,2160,0,13053952,0,1077,4670,12108,0.730,0.660,0.480,3,0,0,0,0,14,7,0,6,0
