-- Logs begin at Tue 2020-03-31 18:18:32 UTC, end at Tue 2020-03-31 22:01:29 UTC. --
Mar 31 21:34:22 cloud-provider-iscsi-0000000107 systemd[1]: Started Devstack devstack@dstat.service.
Mar 31 21:34:22 cloud-provider-iscsi-0000000107 dstat.sh[24157]: [286B blob data]
Mar 31 21:34:22 cloud-provider-iscsi-0000000107 dstat.sh[24157]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 31 21:34:22 cloud-provider-iscsi-0000000107 dstat.sh[24157]: 31-03 21:34:22|  1   0  98   0   0| 423M 4453M  145M 2726M|   0     0 |  28k  744k|1.02  6.67 | 356   487 |0.71 0.65 0.47|2.0   0 4.8|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2051  510k 481k0.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Mar 31 21:34:23 cloud-provider-iscsi-0000000107 dstat.sh[24157]: 31-03 21:34:23| 10  21  69   0   0| 422M 4453M  145M 2726M|5363B 2160B|  24k  268k|1.00  9.00 |2686  4982 |0.71 0.65 0.47|1.0   0 480|   0     0 |bash                 2051 3.8%1799k  31k|bash                 2051 1799k  31k3.8%|mysqld       173M|   0     0 |  12    3    0    4    0
Mar 31 21:34:24 cloud-provider-iscsi-0000000107 dstat.sh[24157]: 31-03 21:34:24| 15  20  65   0   0| 431M 4443M  145M 2727M|  14k 2160B|   0   304k|   0  21.0 |3728  8354 |0.71 0.65 0.47|3.0   0 379|   0     0 |systemd              1    5.0%   0    0 |bash                 2051 2849k  23k1.8%|mysqld       173M|   0     0 |  12    3    0    4    0
Mar 31 21:34:25 cloud-provider-iscsi-0000000107 dstat.sh[24157]: 31-03 21:34:25|  8   7  85   0   0| 547M 4327M  145M 2849M|6121B 2160B|   0     0 |   0     0 |2511  3780 |0.71 0.65 0.47|  0   0  56|   0     0 |systemd              1    5.8%   0    0 |bash                 2051  246k 656B0.2%|mysqld       173M|   0     0 |  14    3    0    4    0
Mar 31 21:34:26 cloud-provider-iscsi-0000000107 dstat.sh[24157]: 31-03 21:34:26| 10  14  77   0   0| 555M 4319M  145M 2849M|7590B 2160B|   0     0 |   0     0 |2078  3472 |0.71 0.65 0.47|1.0   0 298|   0     0 |keystone-manage      254743.0%1437k  79k|keystone-manage      254741437k  79k3.0%|mysqld       173M|   0     0 |  14    5    0    6    0
Mar 31 21:34:27 cloud-provider-iscsi-0000000107 dstat.sh[24157]: 31-03 21:34:27| 22   3  74   1   0| 593M 4280M  145M 2849M|6396B 2160B| 120k    0 |7.00     0 | 617   634 |0.73 0.66 0.48|1.0   0   0|   0     0 |keystone-manage      25474 24%9768k 128k|keystone-manage      254749768k 128k 24%|mysqld       173M|   0     0 |  14    5    0    6    0
Mar 31 21:34:28 cloud-provider-iscsi-0000000107 dstat.sh[24157]: 31-03 21:34:28| 18   3  73   6   0| 627M 4244M  145M 2851M|7260B 2052B|  84k 5812k|7.00   277 |1871  3176 |0.73 0.66 0.48|1.0   0   0|   0     0 |keystone-manage      25474 17%5387k 574k|keystone-manage      254745387k 574k 17%|mysqld       187M|   0     0 |  14    7    0    6    0
Mar 31 21:34:29 cloud-provider-iscsi-0000000107 dstat.sh[24157]: 31-03 21:34:29|  8   6  73  12   0| 633M 4171M  145M 2916M|7156B 2094B|   0   111M|   0  1088 |3533  9043 |0.73 0.66 0.48|1.0   0   0|   0     0 |mysqld               234307.8%   0    0 |keystone-manage      25474  20k  11k3.5%|mysqld       192M|   0     0 |  14    7    0    6    0
Mar 31 21:34:30 cloud-provider-iscsi-0000000107 dstat.sh[24157]: 31-03 21:34:30| 11   6  71  11   0| 636M 4166M  146M 2917M|  11k 2160B|   0    12M|   0  1072 |4665    12k|0.73 0.66 0.48|1.0   0   0|   0     0 |mysqld               234308.5%   0    0 |keystone-manage      25474  45k  26k6.8%|mysqld       195M|   0     0 |  14    7    0    6    0
Mar 31 21:34:31 cloud-provider-iscsi-0000000107 dstat.sh[24157]: 31-03 21:34:31| 15   5  71  10   0| 638M 4163M  147M 2918M|7643B 2200B|   0  8360k|   0   698 |3614  9304 |0.73 0.66 0.48|1.0 1.0   0|   0     0 |keystone-manage      254748.5%  42k 292k|python3.6            5801  272k 567k1.8%|mysqld       196M|   0     0 |  14    7    0    6    0
