"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider1-0000014890",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","12 Mar 2020 17:17:38 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
12-03 17:17:38,2.276,0.716,96.719,0.252,0.038,439832576,4342226944,173031424,3137085440,0,0,46180.212,1317272.081,1.657,11.961,471.231,718.991,0.800,0.750,0.560,2,0,8.698,0,0,12,3,0,3,0
12-03 17:17:39,10.354,20.202,69.444,0,0,440401920,4341440512,173035520,3137142784,6339,2202,0,73728,0,6,2648,5085,0.730,0.740,0.560,2,0,499,0,0,12,3,0,3,0
12-03 17:17:40,12.755,20.153,66.837,0,0.255,439672832,4341698560,173035520,3137728512,5095,2160,0,32768,0,8,3082,5783,0.730,0.740,0.560,1,0,366,0,0,12,3,0,3,0
12-03 17:17:41,18.575,13.740,62.595,4.835,0.254,443092992,4337946624,173039616,3137679360,5365,2160,0,3100672,0,236,4468,7503,0.730,0.740,0.560,5,0,189,0,0,12,3,0,3,0
12-03 17:17:42,9.596,11.616,74.747,3.788,0.253,444944384,4334301184,173047808,3138871296,6120,2160,401408,1134592,10,170,2847,3916,0.730,0.740,0.560,2,0,87,0,0,12,3,0,3,0
12-03 17:17:43,3,2,94.750,0.250,0,409956352,4369252352,173051904,3138830336,19469,2049860,0,2207744,0,11,562,448,0.730,0.740,0.560,1,0,11,0,0,12,3,0,3,0
12-03 17:17:44,0.251,0.503,99.246,0,0,410054656,4369154048,173051904,3138830336,6500,2160,0,0,0,0,184,148,0.670,0.720,0.550,1,0,0,0,0,12,3,0,3,0
12-03 17:17:45,0.754,0,99.246,0,0,410169344,4369039360,173051904,3138830336,13538,2230,0,0,0,0,191,183,0.670,0.720,0.550,1,0,0,0,0,12,3,0,3,0
12-03 17:17:46,0.754,0,99.246,0,0,410136576,4369072128,173051904,3138830336,6752,2106,0,0,0,0,154,138,0.670,0.720,0.550,1,0,0,0,0,12,3,0,3,0
12-03 17:17:47,0.752,0.251,98.997,0,0,410005504,4369203200,173051904,3138830336,11821,2160,0,0,0,0,183,147,0.670,0.720,0.550,1,0,0,0,0,12,3,0,3,0
12-03 17:17:48,0.501,0.501,98.496,0.251,0.251,410038272,4369170432,173051904,3138830336,7906,2214,0,1413120,0,8,241,267,0.670,0.720,0.550,1,0,2,0,0,12,3,0,3,0
12-03 17:17:49,0.501,0.251,99.248,0,0,410095616,4369108992,173051904,3138834432,6972,2160,0,0,0,0,151,141,0.620,0.710,0.550,1,0,0,0,0,12,3,0,3,0
12-03 17:17:50,0.501,0.251,99.248,0,0,410095616,4369108992,173051904,3138834432,7221,2160,0,0,0,0,187,163,0.620,0.710,0.550,1,0,0,0,0,12,3,0,3,0
12-03 17:17:51,0.501,0.251,99.248,0,0,410193920,4369010688,173051904,3138834432,15743,1944,0,0,0,0,163,137,0.620,0.710,0.550,1,0,0,0,0,12,3,0,3,0
12-03 17:17:52,0.754,0.251,98.995,0,0,410095616,4369108992,173051904,3138834432,8685,2106,0,0,0,0,179,167,0.620,0.710,0.550,1,0,0,0,0,12,3,0,3,0
12-03 17:17:53,0.252,1.763,89.673,8.312,0,410128384,4369076224,173051904,3138834432,7027,2214,0,64200704,0,867,1687,352,0.620,0.710,0.550,1,0,0,0,0,12,3,0,3,0
