"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000315",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","17 Apr 2020 11:08:36 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
17-04 11:08:36,4.065,1.332,94.055,0.488,0.060,446337024,4202520576,153329664,3304538112,0,0,88400.707,2440670.234,3.150,20.954,821.866,1132.048,0.660,0.640,0.460,2,0,16.432,0,0,12,4,0,4,0
17-04 11:08:37,10.769,20.256,68.718,0,0.256,446226432,4201537536,153341952,3305230336,7632,1944,24576,126976,1,14,2856,5011,0.660,0.640,0.460,2,0,484,0,0,12,4,0,4,0
17-04 11:08:38,13.854,21.411,64.484,0,0.252,449359872,4197994496,153341952,3305758720,8398,2160,0,28672,0,7,3570,6903,0.660,0.640,0.460,3,0,366,0,0,12,4,0,4,0
17-04 11:08:39,7.342,7.342,85.316,0,0,577290240,4069531648,153341952,3433762816,8698,2160,0,0,0,0,2700,3439,0.610,0.620,0.450,2,0,55,0,0,14,4,0,4,0
17-04 11:08:40,8.816,14.861,76.071,0,0.252,586387456,4060385280,153341952,3433795584,7573,2160,0,0,0,0,2192,3386,0.610,0.620,0.450,2,0,297,0,0,14,6,0,6,0
17-04 11:08:41,21.717,2.778,74.242,1.263,0,627023872,4019257344,153341952,3434287104,7549,2160,122880,487424,7,3,664,711,0.610,0.620,0.450,2,0,0,0,0,14,6,0,6,0
17-04 11:08:42,15.174,4.478,72.388,7.711,0.249,661295104,3983446016,153440256,3435663360,7992,2160,86016,4026368,7,174,2189,3332,0.610,0.620,0.450,2,0,0,0,0,14,8,0,6,0
17-04 11:08:43,7.868,3.299,73.096,15.736,0,666525696,3976564736,153899008,3436793856,7808,2160,0,9994240,0,856,4409,6652,0.610,0.620,0.450,2,0,0,0,0,14,8,0,6,0
17-04 11:08:44,6.345,4.061,73.858,15.482,0.254,668672000,3904266240,154214400,3505090560,7261,2160,0,73904128,0,590,3202,5926,0.640,0.630,0.460,3,0,0,0,0,14,8,0,6,0
17-04 11:08:45,11.194,4.229,70.647,13.930,0,671645696,3900264448,154873856,3505463296,7473,2106,0,9367552,0,786,4432,8438,0.640,0.630,0.460,2,0,2,0,0,14,8,0,6,0
17-04 11:08:46,10.513,5.385,64.615,19.487,0,672522240,3898585088,155049984,3506089984,7518,2214,0,87986176,0,920,3615,8420,0.640,0.630,0.460,2,1,0,0,0,14,8,0,6,0
17-04 11:08:47,10.864,4.938,70.123,13.827,0.247,674742272,3894853632,155602944,3506958336,7049,1944,0,9342976,0,749,3475,10050,0.640,0.630,0.460,2,0,0,0,0,14,8,0,6,0
17-04 11:08:48,11.386,4.208,70.050,14.356,0,677408768,3890888704,156237824,3507576832,15576,2160,0,11448320,0,906,3658,10934,0.640,0.630,0.460,1,1,0,0,0,14,8,0,6,0
17-04 11:08:49,22.278,4.557,67.595,5.570,0,678871040,3887206400,156569600,3509395456,17991,2160,0,6488064,0,450,5333,17270,0.750,0.650,0.460,1,1,0,0,0,14,8,0,6,0
17-04 11:08:50,14.578,3.836,71.100,10.230,0.256,679337984,3885912064,157020160,3509719040,6910,2106,0,9150464,0,707,3516,13252,0.750,0.650,0.460,3,0,0,0,0,14,8,0,6,0
17-04 11:08:51,17.632,7.053,72.796,2.519,0,622096384,3942952960,157155328,3509776384,8814,2160,0,5242880,0,179,1744,4144,0.750,0.650,0.460,2,0,78,0,0,14,6,0,7,0
17-04 11:08:52,23.810,2.506,72.431,1.003,0.251,676700160,3888328704,157163520,3509784576,10115,2214,0,5545984,0,35,760,1119,0.750,0.650,0.460,3,0,0,0,0,14,6,0,7,0
17-04 11:08:53,22.278,4.051,73.165,0.506,0,649875456,3914104832,157212672,3510775808,10798,2160,0,8302592,0,104,931,1628,0.750,0.650,0.460,2,0,11,0,0,14,6,0,7,0
17-04 11:08:54,18.204,9.975,70.823,0.998,0,607465472,3955486720,157253632,3511717888,10561,2160,0,3567616,0,64,1757,3046,0.850,0.680,0.470,2,1,188,0,0,14,6,0,8,0
