"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider1-0000015752",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","13 Mar 2020 15:50:17 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
13-03 15:50:17,3.475,1.113,94.983,0.382,0.047,444772352,4336685056,173314048,3137626112,0,0,69352.069,1986113.125,2.469,18.029,638.396,1017.600,0.700,0.640,0.490,2,0,13.082,0,0,12,3,0,3,0
13-03 15:50:18,10.526,20.050,69.173,0,0.251,443965440,4336992256,173318144,3137855488,5618,2106,0,94208,0,5,2704,5193,0.700,0.640,0.490,1,0,477,0,0,12,3,0,3,0
13-03 15:50:19,13.740,19.084,66.921,0,0.254,443899904,4336607232,173318144,3138232320,14835,2214,0,36864,0,9,2867,6085,0.700,0.640,0.490,4,0,390,0,0,12,3,0,3,0
13-03 15:50:20,10.406,11.675,77.919,0,0,576303104,4203757568,173318144,3266314240,5664,2160,0,0,0,0,3480,6310,0.700,0.640,0.490,2,0,149,0,0,14,5,0,3,0
13-03 15:50:21,16.792,10.526,72.431,0,0.251,598204416,4181553152,173318144,3266617344,5723,2160,0,3104768,0,10,1860,2891,0.700,0.640,0.490,4,0,230,0,0,14,5,0,6,0
13-03 15:50:22,22.418,2.519,74.559,0.504,0,645480448,4133076992,173330432,3267452928,6135,2160,151552,0,12,0,634,887,0.730,0.650,0.490,2,0,3,0,0,14,5,0,6,0
13-03 15:50:23,14,4.750,70.750,10.500,0,668446720,4107411456,173785088,3269533696,5683,1944,12288,13692928,1,1006,4671,9373,0.730,0.650,0.490,6,0,0,0,0,14,7,0,5,0
13-03 15:50:24,7.323,4.545,72.980,14.899,0.253,671641600,4034215936,174141440,3337887744,4861,2160,0,74379264,0,640,3642,5656,0.730,0.650,0.490,0,1,0,0,0,14,7,0,5,0
13-03 15:50:25,10.354,4.040,71.212,14.394,0,673726464,4031266816,174608384,3338199040,8916,2160,0,9998336,0,817,4416,9126,0.730,0.650,0.490,1,0,0,0,0,14,7,0,5,0
13-03 15:50:26,15.578,5.025,68.593,10.804,0,675610624,4027772928,175132672,3339198464,7556,2160,0,8359936,0,622,4727,11977,0.730,0.650,0.490,1,0,0,0,0,14,7,0,5,0
13-03 15:50:27,10.448,4.478,70.398,14.428,0.249,677785600,4024078336,175923200,3339870208,6949,2160,0,9633792,0,759,4709,9053,0.750,0.660,0.490,1,0,0,0,0,14,7,0,5,0
13-03 15:50:28,18.228,4.304,68.608,8.861,0,679784448,4020424704,176283648,3341103104,6531,2106,0,7208960,0,539,4564,11840,0.750,0.660,0.490,5,0,0,0,0,14,7,0,5,0
13-03 15:50:29,16.958,5.486,68.579,8.728,0.249,681652224,4017057792,176680960,3342209024,5402,2214,0,8335360,0,639,5417,13901,0.750,0.660,0.490,0,1,0,0,0,14,7,0,5,0
13-03 15:50:30,15.443,5.316,70.886,8.101,0.253,682504192,4015562752,177041408,3342454784,16406,2106,0,7868416,0,581,4983,11729,0.750,0.660,0.490,1,0,0,0,0,14,7,0,5,0
13-03 15:50:31,20.506,6.329,71.139,2.025,0,640319488,4057686016,177041408,3342495744,13757,2214,0,51064832,0,487,1500,1436,0.750,0.660,0.490,1,0,79,0,0,14,5,0,6,0
13-03 15:50:32,24,3,71.500,1.500,0,678490112,4018941952,177070080,3343015936,7441,1944,0,7684096,0,73,859,1214,0.770,0.660,0.500,1,0,2,0,0,14,5,0,6,0
13-03 15:50:33,22.750,3.500,73.250,0.250,0.250,649269248,4047634432,177086464,3343523840,6488,2160,0,6873088,0,68,1009,1478,0.770,0.660,0.500,1,0,12,0,0,14,5,0,6,0
13-03 15:50:34,17.588,10.302,70.352,1.759,0,605659136,4089794560,177217536,3344842752,5376,2160,0,6475776,0,137,2206,3838,0.770,0.660,0.500,3,0,236,0,0,14,5,0,6,0
13-03 15:50:35,11.616,21.465,66.667,0,0.253,604811264,4089376768,177225728,3345985536,7897,2160,0,143360,0,17,2763,5523,0.770,0.660,0.500,1,0,437,0,0,14,5,0,6,0
13-03 15:50:36,35.190,15.949,48.354,0.506,0,644255744,4049690624,177233920,3346468864,8026,2160,0,19660800,0,335,4345,7867,0.770,0.660,0.500,2,0,201,0,0,14,7,0,6,0
13-03 15:50:37,40.750,4.500,51,3.750,0,748974080,3944476672,177242112,3346800640,8196,2160,143360,0,4,0,931,721,0.870,0.680,0.510,0,2,2,0,0,14,7,0,6,0
13-03 15:50:38,40.351,8.020,49.123,2.256,0.251,781766656,3908808704,177258496,3349192704,5983,2160,8192,520192,1,72,1947,5119,0.870,0.680,0.510,1,0,68,0,0,14,5,0,8,0
13-03 15:50:39,22.922,6.045,71.033,0,0,826556416,3863646208,177258496,3349372928,5705,2202,0,0,0,0,1788,2283,0.870,0.680,0.510,1,0,107,0,0,14,5,0,8,0
13-03 15:50:40,23.116,3.015,73.618,0,0.251,869437440,3820711936,177270784,3349393408,6354,2160,0,839680,0,4,776,1029,0.870,0.680,0.510,1,0,2,0,0,14,7,0,8,0
13-03 15:50:41,20.948,5.985,72.569,0.499,0,799297536,3890802688,177307648,3349377024,4967,2052,0,2289664,0,270,1899,2290,0.870,0.680,0.510,1,1,52,0,0,14,5,0,11,0
13-03 15:50:42,23.426,3.023,73.552,0,0,840916992,3848863744,177324032,3349426176,6499,2052,0,6344704,0,238,1356,1284,0.880,0.690,0.510,1,0,4,0,0,14,13,0,12,0
