-- Logs begin at Fri 2020-03-13 14:30:32 UTC, end at Fri 2020-03-13 16:01:26 UTC. --
Mar 13 15:50:17 cloud-provider1-0000015752 systemd[1]: Started Devstack devstack@dstat.service.
Mar 13 15:50:17 cloud-provider1-0000015752 dstat.sh[30333]: [286B blob data]
Mar 13 15:50:17 cloud-provider1-0000015752 dstat.sh[30333]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 13 15:50:17 cloud-provider1-0000015752 dstat.sh[30333]: 13-03 15:50:17|  3   1  95   0   0| 423M 4137M  165M 2992M|   0     0 |  68k 1940k|2.47  18.0 | 638  1018 |0.70 0.64 0.49|2.0   0  13|   0     0 |systemd              1    0.1%   0    0 |bash                 1941 1524k1328k0.1%|mysqld       174M|   0     0 |  12    3    0    3    0
Mar 13 15:50:18 cloud-provider1-0000015752 dstat.sh[30333]: 13-03 15:50:18| 10  20  70   0   0| 423M 4136M  165M 2992M|5725B 2106B|   0    92k|   0  5.00 |2705  5191 |0.70 0.64 0.49|3.0   0 478|   0     0 |bash                 1941 3.8%1504k  30k|bash                 1941 1504k  30k3.8%|mysqld       174M|   0     0 |  12    3    0    3    0
Mar 13 15:50:19 cloud-provider1-0000015752 dstat.sh[30333]: 13-03 15:50:19| 14  19  67   0   0| 423M 4136M  165M 2993M|  14k 2214B|   0    36k|   0  9.00 |2867  6087 |0.70 0.64 0.49|3.0   0 388|   0     0 |systemd              1    2.8%   0    0 |bash                 1941 3189k  25k2.2%|mysqld       174M|   0     0 |  12    3    0    3    0
Mar 13 15:50:20 cloud-provider1-0000015752 dstat.sh[30333]: 13-03 15:50:20| 10  12  78   0   0| 550M 4009M  165M 3115M|5664B 2160B|   0     0 |   0     0 |3479  6316 |0.70 0.64 0.49|1.0   0 149|   0     0 |systemd              1    7.2%   0    0 |bash                 1941  461k4892B0.2%|mysqld       174M|   0     0 |  14    5    0    3    0
Mar 13 15:50:21 cloud-provider1-0000015752 dstat.sh[30333]: 13-03 15:50:21| 17  11  72   0   0| 570M 3988M  165M 3115M|5723B 2160B|   0  3032k|   0  10.0 |1882  2929 |0.70 0.64 0.49|4.0   0 230|   0     0 |keystone-manage      31644 13%5213k  79k|keystone-manage      316445213k  79k 13%|mysqld       174M|   0     0 |  14    5    0    6    0
Mar 13 15:50:22 cloud-provider1-0000015752 dstat.sh[30333]: 13-03 15:50:22| 22   3  75   1   0| 616M 3941M  165M 3116M|6135B 2160B| 148k    0 |12.0     0 | 619   850 |0.73 0.65 0.49|1.0   0 3.0|   0     0 |keystone-manage      31644 24%  11M 505k|keystone-manage      31644  11M 505k 24%|mysqld       174M|   0     0 |  14    5    0    6    0
Mar 13 15:50:23 cloud-provider1-0000015752 dstat.sh[30333]: 13-03 15:50:23| 14   5  71  11   0| 637M 3917M  166M 3118M|5683B 1944B|  12k   13M|1.00  1008 |4678  9388 |0.73 0.65 0.49|3.0 1.0   0|   0     0 |keystone-manage      316448.5%1154k 262k|keystone-manage      316441154k 262k8.5%|mysqld       191M|   0     0 |  14    7    0    5    0
Mar 13 15:50:24 cloud-provider1-0000015752 dstat.sh[30333]: 13-03 15:50:24|  7   5  73  15   0| 641M 3847M  166M 3183M|4861B 2160B|   0    71M|   0   643 |3648  5660 |0.73 0.65 0.49|1.0 1.0   0|   0     0 |mysqld               296085.2%   0    0 |keystone-manage      31644  22k  14k4.5%|mysqld       193M|   0     0 |  14    7    0    5    0
Mar 13 15:50:25 cloud-provider1-0000015752 dstat.sh[30333]: 13-03 15:50:25| 10   4  71  14   0| 643M 3845M  167M 3184M|8916B 2160B|   0  9744k|   0   812 |4395  9096 |0.73 0.65 0.49|2.0   0   0|   0     0 |mysqld               296087.2%   0    0 |keystone-manage      31644  36k  21k4.8%|mysqld       195M|   0     0 |  14    7    0    5    0
Mar 13 15:50:26 cloud-provider1-0000015752 dstat.sh[30333]: 13-03 15:50:26| 16   5  69  11   0| 644M 3841M  167M 3185M|7556B 2160B|   0  8212k|   0   625 |4753    12k|0.73 0.65 0.49|1.0   0   0|   0     0 |keystone-manage      316449.8%  41k 310k|python               5862  292k 606k1.5%|mysqld       196M|   0     0 |  14    7    0    5    0
