"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000063",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","28 Mar 2020 14:56:54 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
28-03 14:56:54,1.331,0.420,98.062,0.143,0.045,506544128,4364500992,175771648,3049738240,0,0,27226.834,745621.418,0.974,6.793,387.099,489.441,0.570,0.540,0.440,2,0,5.013,0,0,12,5,0,3,1
28-03 14:56:55,9.320,21.662,68.766,0,0.252,506245120,4364288000,175775744,3049988096,29945,2712,0,65536,0,5,2734,4873,0.570,0.540,0.440,4,0,464,0,0,12,5,0,3,1
28-03 14:56:56,12.594,20.907,66.247,0,0.252,507305984,4362719232,175775744,3050496000,26969,2676,0,36864,0,9,3421,5848,0.610,0.550,0.440,1,0,380,0,0,12,5,0,3,1
28-03 14:56:57,17.513,15.482,65.482,1.269,0.254,523014144,4346736640,175775744,3050602496,28510,2820,0,3526656,0,298,5399,7649,0.610,0.550,0.440,1,0,189,0,0,12,5,0,3,1
28-03 14:56:58,12.091,10.076,74.559,3.023,0.252,492527616,4375461888,175779840,3051716608,27156,2966,401408,4423680,10,186,3001,4073,0.610,0.550,0.440,1,0,102,0,0,12,5,0,3,1
28-03 14:56:59,2.005,1.253,96.742,0,0,476549120,4391374848,175779840,3051651072,50017,2050194,0,1470464,0,6,660,534,0.610,0.550,0.440,0,0,0,0,0,12,5,0,3,1
28-03 14:57:00,0.501,0.501,98.997,0,0,476581888,4391342080,175779840,3051651072,38265,3084,0,0,0,0,231,218,0.610,0.550,0.440,0,0,0,0,0,12,5,0,3,1
28-03 14:57:01,1.003,0.251,98.747,0,0,476672000,4391182336,175779840,3051720704,34582,3052,0,0,0,0,222,212,0.560,0.540,0.440,0,0,0,0,0,12,5,0,3,1
28-03 14:57:02,1.003,0,98.997,0,0,476540928,4391313408,175779840,3051720704,35174,3018,0,0,0,0,232,252,0.560,0.540,0.440,0,0,0,0,0,12,5,0,4,1
28-03 14:57:03,0.998,0.249,98.504,0,0.249,476413952,4391440384,175779840,3051720704,21981,2502,0,1011712,0,3,295,291,0.560,0.540,0.440,0,0,2,0,0,12,5,0,4,1
28-03 14:57:04,1.003,0.251,98.496,0.251,0,476569600,4391211008,175788032,3051786240,62693,3592,0,81920,0,2,270,276,0.560,0.540,0.440,0,0,0,0,0,12,5,0,3,1
28-03 14:57:05,0.752,0.251,98.997,0,0,476602368,4391178240,175788032,3051786240,41093,3228,0,0,0,0,206,214,0.560,0.540,0.440,0,0,0,0,0,12,5,0,3,1
28-03 14:57:06,0.752,0.251,98.997,0,0,476405760,4391309312,175788032,3051851776,33634,3250,0,0,0,0,196,199,0.510,0.530,0.440,0,0,0,0,0,12,5,0,3,1
28-03 14:57:07,0.750,0.250,99,0,0,476405760,4391309312,175788032,3051851776,12279,2226,0,0,0,0,221,211,0.510,0.530,0.440,0,0,0,0,0,12,5,0,3,1
28-03 14:57:08,1.008,1.259,95.718,2.015,0,476651520,4391063552,175788032,3051851776,26013,2502,0,52129792,0,478,1063,357,0.510,0.530,0.440,0,0,0,0,0,12,5,0,3,1
28-03 14:57:09,0.503,0.754,98.492,0.251,0,476516352,4391194624,175788032,3051855872,19137,2490,0,978944,0,3,271,264,0.510,0.530,0.440,0,0,0,0,0,12,5,0,3,1
28-03 14:57:10,1,0.250,98.500,0,0.250,476549120,4391096320,175788032,3051921408,38678,3382,0,0,0,0,242,232,0.510,0.530,0.440,0,0,0,0,0,12,5,0,3,1
28-03 14:57:11,0.501,0.501,98.997,0,0,476614656,4391030784,175788032,3051921408,37700,3084,0,0,0,0,196,186,0.470,0.520,0.440,0,0,0,0,0,12,5,0,3,1
28-03 14:57:12,0.501,0.501,98.997,0,0,476516352,4391129088,175788032,3051921408,21243,2622,0,0,0,0,229,225,0.470,0.520,0.440,0,0,0,0,0,12,5,0,3,1
28-03 14:57:13,0.750,1.500,97,0.750,0,476733440,4390846464,175788032,3051986944,40311,3262,0,15777792,0,275,652,412,0.470,0.520,0.440,0,0,2,0,0,12,5,0,3,1
28-03 14:57:14,1,0,98.500,0.500,0,476725248,4390846464,175796224,3051986944,38224,3018,0,491520,0,2,231,240,0.470,0.520,0.440,0,0,0,0,0,12,5,0,3,1
