-- Logs begin at Sat 2020-03-28 11:29:00 UTC, end at Sat 2020-03-28 14:57:36 UTC. --
Mar 28 14:56:54 cloud-provider-iscsi-0000000063 systemd[1]: Started Devstack devstack@dstat.service.
Mar 28 14:56:54 cloud-provider-iscsi-0000000063 dstat.sh[30211]: [286B blob data]
Mar 28 14:56:54 cloud-provider-iscsi-0000000063 dstat.sh[30211]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 28 14:56:54 cloud-provider-iscsi-0000000063 dstat.sh[30211]: 28-03 14:56:54|  1   0  98   0   0| 483M 4162M  168M 2908M|   0     0 |  27k  728k|0.97  6.79 | 387   489 |0.57 0.54 0.44|1.0   0 5.0|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2321  566k 490k0.0%|mysqld       174M|   0     0 |  12    5    0    3    1
Mar 28 14:56:55 cloud-provider-iscsi-0000000063 dstat.sh[30211]: 28-03 14:56:55|  9  22  69   0   0| 483M 4162M  168M 2909M|  29k 2658B|   0    68k|   0  6.00 |2737  4874 |0.57 0.54 0.44|1.0   0 462|   0     0 |bash                 2321 3.8%1684k  29k|bash                 2321 1684k  29k3.8%|mysqld       174M|   0     0 |  12    5    0    3    1
Mar 28 14:56:56 cloud-provider-iscsi-0000000063 dstat.sh[30211]: 28-03 14:56:56| 13  21  66   0   0| 484M 4161M  168M 2909M|  26k 2676B|   0    32k|   0  8.00 |3421  5836 |0.61 0.55 0.44|1.0   0 380|   0     0 |systemd              1    2.8%   0    0 |bash                 2321 2995k  25k2.5%|mysqld       174M|   0     0 |  12    5    0    3    1
Mar 28 14:56:57 cloud-provider-iscsi-0000000063 dstat.sh[30211]: 28-03 14:56:57| 18  15  65   1   0| 499M 4145M  168M 2909M|  28k 2820B|   0  3444k|   0   298 |5389  7639 |0.61 0.55 0.44|1.0   0 188|   0     0 |generate-subuni      31307 10%3643k  44B|generate-subuni      313073643k  44B 10%|mysqld       174M|   0     0 |  12    5    0    3    1
Mar 28 14:56:58 cloud-provider-iscsi-0000000063 dstat.sh[30211]: 28-03 14:56:58| 12  10  75   3   0| 471M 4171M  168M 2910M|  27k 2966B| 392k 4320k|10.0   186 |3003  4073 |0.61 0.55 0.44|1.0   0 102|   0     0 |systemd-journal      384  0.8%   0    0 |python3              1656 7197M6183M0.8%|mysqld       174M|   0     0 |  12    5    0    3    1
Mar 28 14:56:59 cloud-provider-iscsi-0000000063 dstat.sh[30211]: 28-03 14:56:59|  2   2  97   0   0| 454M 4188M  168M 2910M|  49k 2002k|   0  1436k|   0  6.00 | 659   534 |0.61 0.55 0.44|  0   0   0|   0     0 |sshd                 1551 0.5%   0    0 |python2              30264  13k 446B  0%|mysqld       174M|   0     0 |  12    5    0    3    1
Mar 28 14:57:00 cloud-provider-iscsi-0000000063 dstat.sh[30211]: 28-03 14:57:00|  1   1  99   0   0| 455M 4188M  168M 2910M|  37k 3084B|   0     0 |   0     0 | 229   217 |0.61 0.55 0.44|  0   0   0|   0     0 |git-remote-http      159150.2%   0   29k|git-remote-http      15915   0   29k0.2%|mysqld       174M|   0     0 |  12    5    0    3    1
Mar 28 14:57:01 cloud-provider-iscsi-0000000063 dstat.sh[30211]: 28-03 14:57:01|  1   0  99   0   0| 455M 4188M  168M 2910M|  34k 3052B|   0     0 |   0     0 | 222   211 |0.56 0.54 0.44|  0   0   0|   0     0 |git                  166220.5%  64k  64k|git                  16622  64k  64k0.5%|mysqld       174M|   0     0 |  12    5    0    3    1
Mar 28 14:57:02 cloud-provider-iscsi-0000000063 dstat.sh[30211]: 28-03 14:57:02|  1   0  99   0   0| 454M 4188M  168M 2910M|  34k 3018B|   0     0 |   0     0 | 232   252 |0.56 0.54 0.44|  0   0   0|   0     0 |beam.smp             214160.2%   0    0 |git-remote-http      15915   0   28k  0%|mysqld       174M|   0     0 |  12    5    0    4    1
Mar 28 14:57:03 cloud-provider-iscsi-0000000063 dstat.sh[30211]: 28-03 14:57:03|  1   0  99   0   0| 454M 4188M  168M 2910M|  21k 2502B|   0   988k|   0  3.00 | 295   291 |0.56 0.54 0.44|  0   0 2.0|   0     0 |beam.smp             214160.2%   0    0 |git-remote-http      15915   0   27k  0%|mysqld       174M|   0     0 |  12    5    0    4    1
Mar 28 14:57:04 cloud-provider-iscsi-0000000063 dstat.sh[30211]: 28-03 14:57:04|  1   0  98   0   0| 454M 4188M  168M 2910M|  61k 3646B|   0    80k|   0  2.00 | 271   276 |0.56 0.54 0.44|  0   0   0|   0     0 |git-remote-http      159150.2%   0   29k|git                  16622  64k  64k0.2%|mysqld       174M|   0     0 |  12    5    0    3    1
Mar 28 14:57:05 cloud-provider-iscsi-0000000063 dstat.sh[30211]: 28-03 14:57:05|  1   0  99   0   0| 455M 4188M  168M 2910M|  40k 3174B|   0     0 |   0     0 | 206   214 |0.56 0.54 0.44|  0   0   0|   0     0 |systemd-journal      384  0.2%   0    0 |git-remote-http      15915   0   34k  0%|mysqld       174M|   0     0 |  12    5    0    3    1
Mar 28 14:57:06 cloud-provider-iscsi-0000000063 dstat.sh[30211]: 28-03 14:57:06|  1   0  99   0   0| 454M 4188M  168M 2910M|  33k 3250B|   0     0 |   0     0 | 195   199 |0.51 0.53 0.44|  0   0   0|   0     0 |git                  166220.2%  64k  64k|git                  16622  64k  64k0.2%|mysqld       174M|   0     0 |  12    5    0    3    1
Mar 28 14:57:07 cloud-provider-iscsi-0000000063 dstat.sh[30211]: 28-03 14:57:07|  1   0  99   0   0| 454M 4188M  168M 2910M|  12k 2226B|   0     0 |   0     0 | 222   213 |0.51 0.53 0.44|  0   0   0|   0     0 |beam.smp             214160.2%   0    0 |python2              30264  13k 415B0.2%|mysqld       174M|   0     0 |  12    5    0    3    1
Mar 28 14:57:08 cloud-provider-iscsi-0000000063 dstat.sh[30211]: 28-03 14:57:08|  1   1  96   2   0| 455M 4188M  168M 2910M|  25k 2502B|   0    50M|   0   478 |1062   355 |0.51 0.53 0.44|  0   0   0|   0     0 |kworker/u8:3         7672 1.2%   0    0 |git-remote-http      15915   0   16k  0%|mysqld       174M|   0     0 |  12    5    0    3    1
Mar 28 14:57:09 cloud-provider-iscsi-0000000063 dstat.sh[30211]: 28-03 14:57:09|  1   1  98   0   0| 454M 4188M  168M 2910M|  19k 2490B|   0   956k|   0  3.00 | 272   264 |0.51 0.53 0.44|  0   0   0|   0     0 |python2              302640.5%  13k 446B|python2              30264  13k 446B0.5%|mysqld       174M|   0     0 |  12    5    0    3    1
Mar 28 14:57:10 cloud-provider-iscsi-0000000063 dstat.sh[30211]: 28-03 14:57:10|  1   0  99   0   0| 454M 4188M  168M 2911M|  38k 3382B|   0     0 |   0     0 | 242   232 |0.51 0.53 0.44|  0   0   0|   0     0 |beam.smp             214160.2%   0    0 |git                  16622  64k  64k  0%|mysqld       174M|   0     0 |  12    5    0    3    1
Mar 28 14:57:11 cloud-provider-iscsi-0000000063 dstat.sh[30211]: 28-03 14:57:11|  1   1  99   0   0| 455M 4188M  168M 2911M|  37k 3084B|   0     0 |   0     0 | 195   186 |0.47 0.52 0.44|  0   0   0|   0     0 |python2              302640.2%  13k 425B|git-remote-http      15915   0   24k  0%|mysqld       174M|   0     0 |  12    5    0    3    1
Mar 28 14:57:12 cloud-provider-iscsi-0000000063 dstat.sh[30211]: 28-03 14:57:12|  1   1  99   0   0| 454M 4188M  168M 2911M|  21k 2622B|   0     0 |   0     0 | 229   225 |0.47 0.52 0.44|  0   0   0|   0     0 |systemd-journal      384  0.2%   0    0 |git-remote-http      15915   0   16k0.2%|mysqld       174M|   0     0 |  12    5    0    3    1
Mar 28 14:57:13 cloud-provider-iscsi-0000000063 dstat.sh[30211]: 28-03 14:57:13|  1   2  97   1   0| 455M 4187M  168M 2911M|  45k 3448B|   0    15M|   0   275 | 653   415 |0.47 0.52 0.44|  0   0 2.0|   0     0 |kworker/u8:3         7672 0.5%   0    0 |git                  16622  64k  64k  0%|mysqld       174M|   0     0 |  12    5    0    3    1
Mar 28 14:57:14 cloud-provider-iscsi-0000000063 dstat.sh[30211]: 28-03 14:57:14|  1   0  99   1   0| 455M 4187M  168M 2911M|  31k 2832B|   0   480k|   0  2.00 | 230   237 |0.47 0.52 0.44|  0   0   0|   0     0 |kworker/u8:3         7672 0.2%   0    0 |git-remote-http      15915   0   26k  0%|mysqld       174M|   0     0 |  12    5    0    3    1
Mar 28 14:57:15 cloud-provider-iscsi-0000000063 dstat.sh[30211]: 28-03 14:57:15|  0   1  99   0   0| 455M 4188M  168M 2911M|  31k 2862B|   0     0 |   0     0 | 211   205 |0.47 0.52 0.44|  0   0   0|   0     0 |beam.smp             214160.2%   0    0 |git-remote-http      15915   0   21k  0%|mysqld       174M|   0     0 |  12    5    0    3    1
Mar 28 14:57:16 cloud-provider-iscsi-0000000063 dstat.sh[30211]: 28-03 14:57:16|  1   0  99   0   0| 454M 4188M  168M 2911M|  31k 2944B|   0     0 |   0     0 | 224   202 |0.43 0.51 0.43|  0   0   0|   0     0 |git-remote-http      159150.2%   0   23k|git                  16622  64k  64k0.2%|mysqld       174M|   0     0 |  12    5    0    3    1
Mar 28 14:57:17 cloud-provider-iscsi-0000000063 dstat.sh[30211]: 28-03 14:57:17|  1   0  98   0   0| 455M 4187M  168M 2911M|  55k 3844B|   0     0 |   0     0 | 240   226 |0.43 0.51 0.43|  0   0   0|   0     0 |git                  166220.2%  64k  64k|git                  16622  64k  64k0.2%|mysqld       174M|   0     0 |  12    5    0    3    1
