-- Logs begin at Thu 2020-04-09 06:50:51 UTC, end at Thu 2020-04-09 07:53:10 UTC. --
Apr 09 07:21:57 cloud-provider-iscsi-0000000215 systemd[1]: Started Devstack devstack@dstat.service.
Apr 09 07:21:57 cloud-provider-iscsi-0000000215 dstat.sh[24113]: [286B blob data]
Apr 09 07:21:57 cloud-provider-iscsi-0000000215 dstat.sh[24113]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 09 07:21:57 cloud-provider-iscsi-0000000215 dstat.sh[24113]: 09-04 07:21:57|  7   2  89   1   0| 419M 4450M  144M 2733M|   0     0 | 175k 4624k|6.40  41.4 |1307  2345 |0.26 0.31 0.37|2.0   0  30|   0     0 |systemd              1    0.2%   0    0 |bash                 1913 3210k3029k0.1%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 09 07:21:58 cloud-provider-iscsi-0000000215 dstat.sh[24113]: 09-04 07:21:58| 10  20  70   0   0| 419M 4449M  144M 2733M|5228B 2160B|  24k  184k|1.00  8.00 |2516  4992 |0.26 0.31 0.37|2.0   0 460|   0     0 |bash                 1913 3.5%1679k  29k|bash                 1913 1679k  29k3.5%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 09 07:21:59 cloud-provider-iscsi-0000000215 dstat.sh[24113]: 09-04 07:21:59| 11  22  66   0   0| 421M 4446M  144M 2734M|5476B 2160B|   0  7228k|   0   116 |3312  6121 |0.24 0.30 0.37|7.0   0 398|   0     0 |systemd              1    3.2%   0    0 |bash                 1913 2988k  25k2.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 09 07:22:00 cloud-provider-iscsi-0000000215 dstat.sh[24113]: 09-04 07:22:00| 10   8  82   0   0| 545M 4322M  144M 2856M|5042B 2160B|   0     0 |   0     0 |2726  4789 |0.24 0.30 0.37|1.0   0  82|   0     0 |systemd              1    6.8%   0    0 |bash                 1913  246k 656B  0%|mysqld       173M|   0     0 |  14    3    0    4    0
Apr 09 07:22:01 cloud-provider-iscsi-0000000215 dstat.sh[24113]: 09-04 07:22:01| 13  14  73   0   0| 559M 4308M  144M 2856M|5473B 1998B|   0     0 |   0     0 |2203  3570 |0.24 0.30 0.37|2.0   0 295|   0     0 |keystone-manage      254368.0%3400k  79k|keystone-manage      254363400k  79k8.0%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 09 07:22:02 cloud-provider-iscsi-0000000215 dstat.sh[24113]: 09-04 07:22:02| 22   3  74   2   0| 598M 4268M  144M 2856M|7291B 2160B| 120k    0 |7.00     0 | 779   850 |0.24 0.30 0.37|2.0   0 2.0|   0     0 |keystone-manage      25436 23%9884k 182k|keystone-manage      254369884k 182k 23%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 09 07:22:03 cloud-provider-iscsi-0000000215 dstat.sh[24113]: 09-04 07:22:03| 14   4  72   9   0| 625M 4239M  144M 2858M|7740B 2200B|  84k 6352k|7.00   302 |2326  3979 |0.24 0.30 0.37|2.0   0   0|   0     0 |keystone-manage      25436 12%3332k 520k|keystone-manage      254363332k 520k 12%|mysqld       187M|   0     0 |  14    7    0    6    0
Apr 09 07:22:04 cloud-provider-iscsi-0000000215 dstat.sh[24113]: 09-04 07:22:04|  8   5  70  17   0| 632M 4231M  145M 2859M|7575B 2160B|   0    68M|   0  1048 |3732  7076 |0.30 0.31 0.37|2.0 1.0   0|   0     0 |mysqld               233845.8%   0    0 |keystone-manage      254369810B5286B2.8%|mysqld       191M|   0     0 |  14    7    0    6    0
Apr 09 07:22:05 cloud-provider-iscsi-0000000215 dstat.sh[24113]: 09-04 07:22:05|  7   7  72  14   0| 632M 4164M  145M 2924M|6775B 2160B|   0    83M|   0   626 |3003  5464 |0.30 0.31 0.37|1.0 1.0   0|   0     0 |mysqld               233846.5%   0    0 |keystone-manage      25436  20k  12k3.8%|mysqld       193M|   0     0 |  14    7    0    6    0
Apr 09 07:22:06 cloud-provider-iscsi-0000000215 dstat.sh[24113]: 09-04 07:22:06| 11   5  71  13   0| 634M 4161M  146M 2924M|6942B 2160B|   0  9320k|   0   792 |4355  9893 |0.30 0.31 0.37|  0 1.0   0|   0     0 |mysqld               233847.0%   0    0 |keystone-manage      25436  35k  19k5.0%|mysqld       195M|   0     0 |  14    7    0    6    0
Apr 09 07:22:07 cloud-provider-iscsi-0000000215 dstat.sh[24113]: 09-04 07:22:07| 15   8  69   8   0| 636M 4157M  146M 2925M|  15k 2160B|   0    10M|   0   857 |6771    15k|0.30 0.31 0.37|1.0 1.0   0|   0     0 |keystone-manage      254369.8%  50k 298k|python3.6            5666  276k 576k1.5%|mysqld       196M|   0     0 |  14    7    0    6    0
Apr 09 07:22:08 cloud-provider-iscsi-0000000215 dstat.sh[24113]: 09-04 07:22:08| 13   6  71   9   0| 639M 4153M  147M 2926M|6636B 2160B|   0    11M|   0   926 |4917    12k|0.30 0.31 0.37|  0 1.0   0|   0     0 |mysqld               233848.8%   0    0 |keystone-manage      25436  32k  21k6.8%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 09 07:22:09 cloud-provider-iscsi-0000000215 dstat.sh[24113]: 09-04 07:22:09| 20   5  68   6   0| 641M 4149M  147M 2927M|7880B 2106B|   0  6972k|   0   513 |6387    14k|0.36 0.33 0.37|4.0   0   0|   0     0 |keystone-manage      25436 13%  66k 372k|python3.6            5666  345k 721k2.2%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 09 07:22:10 cloud-provider-iscsi-0000000215 dstat.sh[24113]: 09-04 07:22:10| 18   6  69   7   0| 642M 4147M  148M 2928M|  12k 2214B|   0  9464k|   0   758 |5748    15k|0.36 0.33 0.37|  0 1.0   0|   0     0 |keystone-manage      25436 11%  54k 361k|python3.6            5666  340k 709k1.8%|mysqld       200M|   0     0 |  14    7    0    6    0
Apr 09 07:22:11 cloud-provider-iscsi-0000000215 dstat.sh[24113]: 09-04 07:22:11| 17   7  70   6   0| 573M 4215M  148M 2928M|7862B 2052B|   0  6788k|   0   447 |4039  9107 |0.36 0.33 0.37|2.0   0  67|   0     0 |mysqld               233846.0%   0    0 |bash                 1913   17M1895k0.5%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 09 07:22:12 cloud-provider-iscsi-0000000215 dstat.sh[24113]: 09-04 07:22:12| 23   3  73   1   0| 627M 4161M  148M 2929M|6782B 2052B|   0  6900k|   0  71.0 |1076  1522 |0.36 0.33 0.37|2.0   0  13|   0     0 |keystone-manage      25516 24%  14M  37k|keystone-manage      25516  14M  37k 24%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 09 07:22:13 cloud-provider-iscsi-0000000215 dstat.sh[24113]: 09-04 07:22:13| 23   4  72   1   0| 614M 4174M  148M 2929M|  15k 2160B|   0  7140k|   0  84.0 |1087  1409 |0.36 0.33 0.37|2.0   0  11|   0     0 |keystone-manage      25529 17%9782k  37k|bash                 1913   16M  39k0.5%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 09 07:22:14 cloud-provider-iscsi-0000000215 dstat.sh[24113]: 09-04 07:22:14| 18   9  71   2   0| 573M 4213M  148M 2931M|7306B 2160B|   0  8000k|   0   327 |2651  3643 |0.41 0.34 0.38|1.0   0 212|   0     0 |bash                 1913 1.8%  16M  53k|bash                 1913   16M  53k1.8%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 09 07:22:15 cloud-provider-iscsi-0000000215 dstat.sh[24113]: 09-04 07:22:15| 12  22  66   0   0| 578M 4207M  148M 2932M|6914B 2160B|   0  3572k|   0   162 |3247  6254 |0.41 0.34 0.38| 18   0 479|   0     0 |bash                 1913 2.8%4062k  29k|bash                 1913 4062k  29k2.8%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 09 07:22:16 cloud-provider-iscsi-0000000215 dstat.sh[24113]: 09-04 07:22:16| 34  15  50   0   0| 621M 4163M  148M 2932M|7119B 2160B|   0     0 |   0     0 |3547  5358 |0.41 0.34 0.38|2.0   0 181|   0     0 |uwsgi                26271 14%4261k  37k|uwsgi                262725571k  37k 14%|mysqld       200M|   0     0 |  14    7    0    7    0
Apr 09 07:22:17 cloud-provider-iscsi-0000000215 dstat.sh[24113]: 09-04 07:22:17| 44   5  49   1   0| 703M 4081M  148M 2933M|6963B 2160B| 148k   16k|5.00  1.00 | 937   840 |0.41 0.34 0.38|2.0   0   0|   0     0 |uwsgi                26271 25%  11M 124k|uwsgi                26271  11M 124k 25%|mysqld       200M|   0     0 |  14    7    0    7    0
Apr 09 07:22:18 cloud-provider-iscsi-0000000215 dstat.sh[24113]: 09-04 07:22:18| 40  10  50   0   0| 734M 4048M  148M 2935M|8997B 2160B|   0   116k|   0  14.0 |3224  8343 |0.41 0.34 0.38|1.0   0 102|   0     0 |uwsgi                26272 20%2129k 304k|uwsgi                262712192k 550k 19%|mysqld       200M|   0     0 |  14    5    0    8    0
