"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000245",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","13 Apr 2020 07:43:34 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
13-04 07:43:34,1.818,0.635,97.155,0.339,0.054,448122880,4607164416,168472576,2884702208,0,0,46990.740,1192222.858,2.147,10.544,649.456,705.653,0.710,0.700,0.510,2,0,7.455,0,0,12,4,0,4,0
13-04 07:43:35,9.572,22.418,68.010,0,0,448401408,4606164992,168476672,2885087232,9926,17544,24576,196608,1,12,3792,5544,0.710,0.700,0.510,2,0,469,0,0,12,4,0,4,0
13-04 07:43:36,14.787,19.048,65.915,0,0.251,448208896,4605779968,168476672,2885750784,7504,18564,0,32768,0,8,4257,7332,0.710,0.700,0.510,0,0,370,0,0,12,4,0,4,0
13-04 07:43:37,8.794,10.553,80.653,0,0,579461120,4473925632,168476672,3013754880,9095,7780,0,0,0,0,3318,6184,0.710,0.700,0.510,0,0,82,0,0,14,4,0,4,0
13-04 07:43:38,8.564,12.846,78.338,0.252,0,583819264,4469501952,168480768,3013783552,10814,4202,0,405504,0,18,2714,3368,0.650,0.690,0.500,2,0,295,0,0,14,6,0,6,0
13-04 07:43:39,21.092,3.722,72.953,1.985,0.248,624246784,4428832768,168484864,3014017024,13620,14024,98304,0,4,0,1194,770,0.650,0.690,0.500,1,0,1,0,0,14,6,0,6,0
13-04 07:43:40,17.293,3.759,73.183,5.764,0,662757376,4388667392,168558592,3015565312,19797,2160,110592,3530752,10,105,1782,2560,0.650,0.690,0.500,0,1,0,0,0,14,8,0,6,0
13-04 07:43:41,8.291,3.518,72.362,15.829,0,667713536,4382015488,169103360,3016654848,10384,129150,0,10735616,0,898,4922,8472,0.650,0.690,0.500,0,1,0,0,0,14,8,0,6,0
13-04 07:43:42,7.848,4.051,73.418,14.430,0.253,670588928,4308549632,169533440,3085164544,9285,5806,0,74776576,0,685,3595,7174,0.650,0.690,0.500,1,0,0,0,0,14,8,0,6,0
13-04 07:43:43,11.083,4.786,70.277,13.854,0,673263616,4304830464,170196992,3085467648,10233,4956,0,14544896,0,956,4793,8883,0.680,0.700,0.510,1,1,0,0,0,14,8,0,6,0
13-04 07:43:44,14.394,5.303,66.162,14.141,0,674942976,4301778944,170651648,3086331904,15889,313978,0,79818752,0,901,4616,12655,0.680,0.700,0.510,1,0,0,0,0,14,8,0,6,0
13-04 07:43:45,9.774,4.261,71.679,14.035,0.251,677388288,4298047488,171192320,3087020032,8525,10020,0,9625600,0,748,4143,6608,0.680,0.700,0.510,1,1,0,0,0,14,8,0,6,0
13-04 07:43:46,13.671,5.063,70.127,11.139,0,679858176,4294115328,171683840,3087945728,6565,9050,0,7876608,0,619,4538,8678,0.680,0.700,0.510,2,0,2,0,0,14,8,0,6,0
13-04 07:43:47,19.750,6,69,5.250,0,680775680,4291321856,172044288,3089412096,18602,395182,0,6123520,0,419,6256,16613,0.680,0.700,0.510,2,1,0,0,0,14,8,0,6,0
13-04 07:43:48,16.584,4.455,69.802,8.911,0.248,681517056,4289847296,172552192,3089559552,16274,389362,0,9285632,0,715,5002,13948,0.630,0.680,0.500,2,0,0,0,0,14,8,0,6,0
13-04 07:43:49,19.849,5.779,72.362,2.010,0,620388352,4350656512,172666880,3089747968,8670,16208,0,11124736,0,258,2229,4111,0.630,0.680,0.500,1,0,78,0,0,14,6,0,7,0
13-04 07:43:50,24.060,2.506,72.932,0.501,0,671457280,4299079680,172711936,3090198528,8487,6324,0,6647808,0,95,1457,1332,0.630,0.680,0.500,0,2,0,0,0,14,6,0,7,0
13-04 07:43:51,22.362,3.266,73.618,0.503,0.251,648069120,4321845248,172744704,3090767872,7790,4310,0,9105408,0,151,1452,1311,0.630,0.680,0.500,1,0,11,0,0,14,6,0,7,0
13-04 07:43:52,21.750,5.500,71.750,1,0,608792576,4359688192,172826624,3092119552,6825,2106,0,5709824,0,91,1706,2025,0.630,0.680,0.500,1,1,84,0,0,14,6,0,7,0
13-04 07:43:53,12.030,20.802,65.664,1.504,0,609005568,4358467584,172851200,3093024768,20860,18220,0,1241088,0,60,3818,6177,0.740,0.710,0.510,2,0,455,0,0,14,6,0,7,0
13-04 07:43:54,21.859,19.849,58.040,0,0.251,641372160,4325720064,172867584,3093716992,10921,12518,0,4419584,0,258,4599,7426,0.740,0.710,0.510,3,0,315,0,0,14,6,0,7,0
13-04 07:43:55,46.366,4.511,47.870,1.253,0,722767872,4243804160,172867584,3094130688,17981,10118,131072,0,1,0,1797,1074,0.740,0.710,0.510,2,0,23,0,0,14,8,0,7,0
13-04 07:43:56,42.424,4.293,48.737,4.545,0,774225920,4190027776,172867584,3096150016,7788,2052,12288,540672,2,77,2868,6321,0.740,0.710,0.510,2,0,2,0,0,14,8,0,7,0
13-04 07:43:57,23.604,9.898,66.244,0,0.254,801808384,4161818624,172867584,3096494080,10668,8416,0,0,0,0,2946,3812,0.740,0.710,0.510,1,0,168,0,0,14,6,0,8,0
13-04 07:43:58,23.940,2.244,73.815,0,0,849633280,4113985536,172867584,3096502272,8468,2966,0,0,0,0,1139,703,0.760,0.710,0.520,1,0,0,0,0,14,6,0,8,0
13-04 07:43:59,23.058,2.757,72.431,1.504,0.251,864743424,4098777088,172912640,3096526848,7283,12974,0,1953792,0,73,1447,1830,0.760,0.710,0.520,1,0,2,0,0,14,12,0,8,0
13-04 07:44:00,22.556,4.511,72.682,0.251,0,816984064,4146536448,172920832,3096518656,7788,7724,0,2396160,0,63,1560,1356,0.760,0.710,0.520,1,0,53,0,0,14,6,0,11,0
13-04 07:44:01,21.357,2.010,71.859,4.774,0,843735040,4119650304,172929024,3096612864,7215,2160,73728,110592,18,6,1712,1546,0.760,0.710,0.520,1,0,1,0,0,14,26,0,13,0
13-04 07:44:02,22.750,4,73,0,0.250,824115200,4139245568,172929024,3096637440,6929,3958,0,0,0,0,1735,1632,0.760,0.710,0.520,2,0,61,0,0,14,30,0,16,0
13-04 07:44:03,21.411,6.297,72.292,0,0,805220352,4157984768,172929024,3096793088,6363,2106,0,0,0,0,1927,2056,0.780,0.720,0.520,2,0,99,0,0,14,30,0,21,0
13-04 07:44:04,23.232,2.778,66.667,7.323,0,848908288,4114296832,172929024,3096793088,6853,5890,0,11874304,0,253,1396,825,0.780,0.720,0.520,1,1,1,0,0,14,30,0,21,0
13-04 07:44:05,23.077,3.970,69.975,2.730,0.248,833163264,4129669120,172933120,3097157632,9643,3262,0,3346432,0,68,1893,2135,0.780,0.720,0.520,1,0,22,0,0,14,30,0,29,0
13-04 07:44:06,23.810,2.757,71.178,2.256,0,851419136,4111306752,172945408,3097194496,19304,2052,0,1736704,0,22,1816,2088,0.780,0.720,0.520,1,0,4,0,0,14,30,0,37,0
13-04 07:44:07,22.166,5.793,71.788,0.252,0,847294464,4115431424,172949504,3097190400,6797,4240,0,540672,0,14,1467,1307,0.780,0.720,0.520,1,0,72,0,0,14,30,0,37,0
13-04 07:44:08,20.449,7.481,71.571,0.249,0.249,810770432,4151783424,172957696,3097354240,18862,2106,0,167936,0,6,2347,2747,0.790,0.720,0.520,1,0,100,0,0,14,30,0,45,0
13-04 07:44:09,22.250,3.750,74,0,0,847904768,4114640896,172957696,3097362432,8692,5086,0,0,0,0,952,709,0.790,0.720,0.520,1,0,1,0,0,14,30,0,45,0
13-04 07:44:10,22.500,5,72.250,0,0.250,821276672,4141244416,172957696,3097387008,9897,2214,0,421888,0,9,1881,1966,0.790,0.720,0.520,1,0,69,0,0,14,30,0,50,0
13-04 07:44:11,24.433,2.015,73.552,0,0,853065728,4109434880,172957696,3097407488,6059,4254,0,0,0,0,1510,1535,0.790,0.720,0.520,1,0,0,0,0,14,32,0,55,0
13-04 07:44:12,20.250,6.500,73,0,0.250,833421312,4129058816,172961792,3097407488,10877,4374,0,364544,0,3,1668,1430,0.790,0.720,0.520,1,0,71,0,0,14,30,0,56,0
13-04 07:44:13,23.691,2.993,73.067,0.249,0,856567808,4105891840,172974080,3097415680,8846,2406,0,569344,0,19,1374,1403,0.810,0.730,0.520,1,0,0,0,0,14,30,0,60,0
13-04 07:44:14,20.352,5.779,73.618,0,0.251,844763136,4117553152,172974080,3097559040,11710,4526,0,667648,0,18,1488,1327,0.810,0.730,0.520,1,0,69,0,0,14,30,0,60,0
13-04 07:44:15,21.859,5.276,72.864,0,0,817696768,4144599040,172978176,3097575424,9844,2160,0,1220608,0,24,1607,1715,0.810,0.730,0.520,1,0,72,0,0,14,30,0,64,0
13-04 07:44:16,23.367,2.764,73.618,0.251,0,856838144,4105445376,172978176,3097587712,8073,4754,0,393216,0,3,1301,1213,0.810,0.730,0.520,1,0,3,0,0,14,30,0,68,0
13-04 07:44:17,21.250,5.250,73,0.250,0.250,838823936,4123451392,172986368,3097587712,8958,4862,0,385024,0,9,1477,1427,0.810,0.730,0.520,1,0,78,0,0,14,30,0,68,0
13-04 07:44:18,21.914,5.290,72.544,0,0.252,808476672,4153753600,172998656,3097620480,18338,2106,0,262144,0,9,1760,1886,0.910,0.750,0.530,1,0,85,0,0,14,30,0,73,0
13-04 07:44:19,22.532,3.291,74.177,0,0,853098496,4109131776,173002752,3097616384,8962,6306,0,417792,0,9,968,919,0.910,0.750,0.530,1,0,1,0,0,14,30,0,73,0
13-04 07:44:20,19.899,7.305,72.796,0,0,820105216,4142100480,173006848,3097636864,7339,3006,0,1163264,0,13,1984,2197,0.910,0.750,0.530,1,0,97,0,0,14,30,0,78,0
13-04 07:44:21,23.250,2.750,73.500,0.250,0.250,857776128,4104425472,173015040,3097628672,7335,5068,0,512000,0,9,1130,1064,0.910,0.750,0.530,1,0,1,0,0,14,30,0,80,0
13-04 07:44:22,21.554,7.268,71.178,0,0,840183808,4121833472,173027328,3097800704,9113,7736,0,471040,0,19,2043,2589,0.910,0.750,0.530,1,0,145,0,0,14,30,0,83,0
