-- Logs begin at Mon 2020-04-13 05:37:20 UTC, end at Mon 2020-04-13 08:14:42 UTC. --
Apr 13 07:43:33 cloud-provider-iscsi-0000000245 systemd[1]: Started Devstack devstack@dstat.service.
Apr 13 07:43:34 cloud-provider-iscsi-0000000245 dstat.sh[24132]: [286B blob data]
Apr 13 07:43:34 cloud-provider-iscsi-0000000245 dstat.sh[24132]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 13 07:43:34 cloud-provider-iscsi-0000000245 dstat.sh[24132]: 13-04 07:43:34|  2   1  97   0   0| 427M 4394M  161M 2751M|   0     0 |  46k 1164k|2.15  10.5 | 649   706 |0.71 0.70 0.51|1.0   0 7.5|   0     0 |systemd              1    0.0%   0    0 |bash                 2351  784k 740k0.0%|mysqld       173M|   0     0 |  12    4    0    4    0
Apr 13 07:43:35 cloud-provider-iscsi-0000000245 dstat.sh[24132]: 13-04 07:43:35| 10  22  68   0   0| 428M 4392M  161M 2751M|9578B   17k|   0    60k|   0  7.00 |3785  5537 |0.71 0.70 0.51|1.0   0 470|   0     0 |bash                 2351 4.2%1691k  30k|bash                 2351 1691k  30k4.2%|mysqld       173M|   0     0 |  12    4    0    4    0
Apr 13 07:43:36 cloud-provider-iscsi-0000000245 dstat.sh[24132]: 13-04 07:43:36| 15  19  66   0   0| 428M 4392M  161M 2752M|7800B   18k|   0    32k|   0  8.00 |4235  7300 |0.71 0.70 0.51|  0   0 363|   0     0 |systemd              1    3.2%   0    0 |bash                 2351 2966k  23k1.8%|mysqld       173M|   0     0 |  12    4    0    4    0
Apr 13 07:43:37 cloud-provider-iscsi-0000000245 dstat.sh[24132]: 13-04 07:43:37|  9  11  81   0   0| 553M 4267M  161M 2874M|8947B 7618B|   0     0 |   0     0 |3321  6177 |0.65 0.69 0.50|  0   0  82|   0     0 |systemd              1    7.0%   0    0 |bash                 2351  247k 656B0.2%|mysqld       173M|   0     0 |  14    4    0    4    0
Apr 13 07:43:38 cloud-provider-iscsi-0000000245 dstat.sh[24132]: 13-04 07:43:38|  9  13  78   0   0| 557M 4262M  161M 2874M|  10k 4148B|   0   396k|   0  18.0 |2720  3373 |0.65 0.69 0.50|1.0   0 295|   0     0 |bash                 2351 2.5% 608k  18k|keystone-manage      25450 955k  42k1.5%|mysqld       173M|   0     0 |  14    6    0    6    0
Apr 13 07:43:39 cloud-provider-iscsi-0000000245 dstat.sh[24132]: 13-04 07:43:39| 21   4  73   2   0| 596M 4223M  161M 2874M|  13k   14k|  96k    0 |4.00     0 |1190   767 |0.65 0.69 0.50|1.0   0 1.0|   0     0 |keystone-manage      25450 23%9664k  83k|keystone-manage      254509664k  83k 23%|mysqld       173M|   0     0 |  14    6    0    6    0
Apr 13 07:43:40 cloud-provider-iscsi-0000000245 dstat.sh[24132]: 13-04 07:43:40| 17   4  73   6   0| 632M 4185M  161M 2876M|  19k 2160B| 108k 3484k|10.0   111 |1794  2585 |0.65 0.69 0.50|1.0   0   0|   0     0 |keystone-manage      25450 16%6014k 658k|keystone-manage      254506014k 658k 16%|mysqld       186M|   0     0 |  14    8    0    6    0
Apr 13 07:43:41 cloud-provider-iscsi-0000000245 dstat.sh[24132]: 13-04 07:43:41|  8   4  72  16   0| 637M 4179M  161M 2877M|  10k  126k|   0    10M|   0   910 |4961  8557 |0.65 0.69 0.50|2.0 1.0   0|   0     0 |mysqld               234086.2%   0    0 |tail                 6356  120k 120k  0%|mysqld       191M|   0     0 |  14    8    0    6    0
Apr 13 07:43:42 cloud-provider-iscsi-0000000245 dstat.sh[24132]: 13-04 07:43:42|  8   4  74  14   0| 640M 4109M  162M 2942M|9285B 5806B|   0    71M|   0   672 |3561  7098 |0.68 0.70 0.51|  0 1.0   0|   0     0 |mysqld               234085.8%   0    0 |keystone-manage      25450  26k  16k4.2%|mysqld       193M|   0     0 |  14    8    0    6    0
Apr 13 07:43:43 cloud-provider-iscsi-0000000245 dstat.sh[24132]: 13-04 07:43:43| 11   5  70  14   0| 642M 4105M  162M 2943M|  10k 4956B|   0    21M|   0  1015 |4886  8852 |0.68 0.70 0.51|1.0 2.0   0|   0     0 |mysqld               234087.5%   0    0 |keystone-manage      25450  32k  18k5.0%|mysqld       195M|   0     0 |  14    8    0    6    0
