-- Logs begin at Thu 2020-04-16 19:36:09 UTC, end at Thu 2020-04-16 20:47:47 UTC. --
Apr 16 20:17:06 cloud-provider-iscsi-0000000306 systemd[1]: Started Devstack devstack@dstat.service.
Apr 16 20:17:06 cloud-provider-iscsi-0000000306 dstat.sh[24350]: [286B blob data]
Apr 16 20:17:06 cloud-provider-iscsi-0000000306 dstat.sh[24350]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 16 20:17:06 cloud-provider-iscsi-0000000306 dstat.sh[24350]: 16-04 20:17:06|  6   2  92   1   0| 427M 4015M  142M 3151M|   0     0 | 133k 3688k|4.84  32.1 |1058  1579 |0.82 0.75 0.54|2.0   0  23|   0     0 |systemd              1    0.1%   0    0 |bash                 2608 2930k2783k0.1%|mysqld       173M|   0     0 |  12    4    0    4    0
Apr 16 20:17:07 cloud-provider-iscsi-0000000306 dstat.sh[24350]: 16-04 20:17:07|  8  22  69   0   0| 427M 4015M  142M 3151M|7125B 2214B|  24k  880k|1.00  39.0 |2603  4890 |0.82 0.75 0.54|2.0   0 469|   0     0 |bash                 2608 3.8%1694k  30k|bash                 2608 1694k  30k3.8%|mysqld       173M|   0     0 |  12    4    0    4    0
Apr 16 20:17:08 cloud-provider-iscsi-0000000306 dstat.sh[24350]: 16-04 20:17:08| 11  23  66   0   0| 428M 4014M  142M 3151M|  10k 2160B|   0    32k|   0  8.00 |2777  4916 |0.82 0.75 0.54|1.0   0 364|   0     0 |systemd              1    3.0%   0    0 |bash                 2608 2971k  23k2.2%|mysqld       173M|   0     0 |  12    4    0    4    0
Apr 16 20:17:09 cloud-provider-iscsi-0000000306 dstat.sh[24350]: 16-04 20:17:09|  8  10  82   0   0| 552M 3888M  142M 3274M|  17k 2052B|   0     0 |   0     0 |3715  7525 |0.82 0.75 0.54|  0   0  91|   0     0 |systemd              1    5.8%   0    0 |bash                 2608  250k 859B  0%|mysqld       173M|   0     0 |  14    4    0    4    0
Apr 16 20:17:10 cloud-provider-iscsi-0000000306 dstat.sh[24350]: 16-04 20:17:10|  6  11  82   0   0| 553M 3888M  142M 3274M|  19k 2052B|   0     0 |   0     0 |1711  2965 |0.82 0.75 0.54|1.0   0 269|   0     0 |bash                 2608 2.5% 581k  17k|bash                 2608  581k  17k2.5%|mysqld       173M|   0     0 |  14    6    0    6    0
Apr 16 20:17:11 cloud-provider-iscsi-0000000306 dstat.sh[24350]: 16-04 20:17:11| 21   4  74   0   0| 596M 3844M  142M 3274M|8308B 2160B|  96k    0 |4.00     0 | 783   942 |0.84 0.76 0.54|1.0   0  26|   0     0 |keystone-manage      25667 23%  10M 126k|keystone-manage      25667  10M 126k 23%|mysqld       173M|   0     0 |  14    6    0    6    0
Apr 16 20:17:12 cloud-provider-iscsi-0000000306 dstat.sh[24350]: 16-04 20:17:12| 17   4  73   6   0| 633M 3805M  142M 3276M|8449B 2160B| 108k 4564k|10.0   194 |1627  3209 |0.84 0.76 0.54|3.0   0   0|   0     0 |keystone-manage      25667 16%5902k 658k|keystone-manage      256675902k 658k 16%|mysqld       186M|   0     0 |  14    8    0    6    0
Apr 16 20:17:13 cloud-provider-iscsi-0000000306 dstat.sh[24350]: 16-04 20:17:13|  5   3  70  22   0| 637M 3800M  143M 3277M|  13k 2160B|   0    11M|   0   818 |2941  6439 |0.84 0.76 0.54|5.0   0   0|   0     0 |mysqld               236254.0%   0    0 |python2              24416  14k 463B  0%|mysqld       190M|   0     0 |  14    8    0    6    0
Apr 16 20:17:14 cloud-provider-iscsi-0000000306 dstat.sh[24350]: 16-04 20:17:14|  7   4  73  16   0| 640M 3730M  143M 3342M|8172B 2160B|   0    73M|   0   775 |3771  7968 |0.84 0.76 0.54|  0 1.0   0|   0     0 |mysqld               236255.0%   0    0 |keystone-manage      25667  27k  17k4.0%|mysqld       193M|   0     0 |  14    8    0    6    0
Apr 16 20:17:15 cloud-provider-iscsi-0000000306 dstat.sh[24350]: 16-04 20:17:15| 11   3  72  14   0| 642M 3727M  144M 3342M|8476B 2160B|   0  9392k|   0   796 |3589  8738 |0.84 0.76 0.54|1.0   0   0|   0     0 |mysqld               236257.2%   0    0 |keystone-manage      25667  33k  19k4.8%|mysqld       195M|   0     0 |  14    8    0    6    0
