"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000303",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","16 Apr 2020 18:59:12 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
16-04 18:59:12,4.695,1.436,93.186,0.623,0.059,447328256,4206899200,152162304,3303227392,0,0,97686.523,2867719.194,3.472,23.325,920.373,1323.562,0.810,0.830,0.590,2,0,16.442,0,0,12,4,0,4,0
16-04 18:59:13,8.883,21.320,69.543,0,0.254,446967808,4206555136,152162304,3303550976,8202,2160,24576,172032,1,8,2422,5121,0.830,0.840,0.600,1,0,453,0,0,12,4,0,4,0
16-04 18:59:14,13.819,20.603,65.578,0,0,448106496,4204978176,152162304,3303931904,8020,2160,0,32768,0,8,3039,5587,0.830,0.840,0.600,2,0,367,0,0,12,4,0,4,0
16-04 18:59:15,10.178,10.433,79.135,0,0.254,579051520,4073451520,152162304,3432165376,6775,2052,0,491520,0,3,3726,6038,0.830,0.840,0.600,0,0,112,0,0,14,4,0,4,0
16-04 18:59:16,7.323,11.869,80.556,0,0.253,581165056,4071358464,152162304,3432099840,15825,1998,0,0,0,0,1928,3527,0.830,0.840,0.600,1,0,295,0,0,14,6,0,6,0
16-04 18:59:17,22.864,2.513,74.121,0.503,0,626106368,4026134528,152162304,3432382464,8220,2214,98304,0,4,0,768,801,0.830,0.840,0.600,1,0,3,0,0,14,6,0,6,0
16-04 18:59:18,16.583,4.020,73.116,6.030,0.251,664186880,3985641472,152395776,3434504192,8922,2160,110592,6311936,10,309,2132,3578,0.830,0.840,0.600,0,1,0,0,0,14,8,0,6,0
16-04 18:59:19,7.557,5.290,72.040,15.113,0,669351936,3910561792,153063424,3502366720,6766,2160,0,76541952,0,877,4244,8615,0.920,0.850,0.600,1,0,0,0,0,14,8,0,6,0
16-04 18:59:20,11.028,4.762,70.927,13.033,0.251,672870400,3904983040,153718784,3503628288,7421,2160,0,11431936,0,939,4705,8967,0.920,0.850,0.600,1,0,0,0,0,14,8,0,6,0
16-04 18:59:21,8.333,6.313,54.293,31.061,0,673656832,3903713280,153935872,3503951872,5975,2160,0,90722304,0,1336,3326,5140,0.920,0.850,0.600,0,1,0,0,0,14,8,0,6,0
16-04 18:59:22,17.380,5.793,69.521,7.305,0,675405824,3900821504,154304512,3504689152,6381,2106,0,8871936,0,714,4448,11929,0.920,0.850,0.600,1,0,0,0,0,14,8,0,6,0
16-04 18:59:23,12.687,6.468,69.652,10.945,0.249,678621184,3895795712,155017216,3505725440,14113,2214,0,12849152,0,1018,5448,11737,0.920,0.850,0.600,0,1,0,0,0,14,8,0,6,0
16-04 18:59:24,22.166,5.290,68.262,4.030,0.252,680288256,3892527104,155394048,3506896896,5657,2106,0,5414912,0,377,4635,13286,1.010,0.870,0.610,2,0,0,0,0,14,8,0,6,0
16-04 18:59:25,19.347,6.533,67.337,6.784,0,681357312,3889954816,155836416,3507888128,6397,2160,0,8933376,0,711,5460,13460,1.010,0.870,0.610,0,1,0,0,0,14,8,0,6,0
16-04 18:59:26,18.020,6.345,71.320,4.061,0.254,611356672,3959418880,156151808,3508076544,16031,1998,0,14741504,0,495,4454,9114,1.010,0.870,0.610,1,0,77,0,0,14,6,0,7,0
16-04 18:59:27,22.807,3.759,72.180,1.253,0,670146560,3900096512,156188672,3508572160,7928,2244,0,7331840,0,76,1268,1575,1.010,0.870,0.610,1,0,3,0,0,14,6,0,7,0
16-04 18:59:28,22.807,3.258,72.682,1.003,0.251,653955072,3915689984,156217344,3509121024,8454,2160,0,7221248,0,69,1106,1519,1.010,0.870,0.610,1,0,11,0,0,14,6,0,7,0
16-04 18:59:29,15.113,13.854,70.529,0.504,0,609058816,3959070720,156299264,3510525952,8307,2160,0,6828032,0,135,2595,4020,1.010,0.880,0.610,1,0,254,0,0,14,6,0,7,0
16-04 18:59:30,13.350,21.159,65.239,0,0.252,616734720,3950018560,156311552,3512037376,7838,2160,0,196608,0,17,3025,6392,1.010,0.880,0.610,14,0,441,0,0,14,6,0,7,0
16-04 18:59:31,35.768,14.861,49.370,0,0,671195136,3895513088,156311552,3512233984,7136,2160,0,0,0,0,3137,4895,1.010,0.880,0.610,2,0,177,0,0,14,8,0,7,0
16-04 18:59:32,46.750,3.750,48.750,0.500,0.250,760262656,3805265920,156319744,3513278464,7024,2160,151552,4288512,5,191,1218,885,1.010,0.880,0.610,2,0,0,0,0,14,8,0,7,0
16-04 18:59:33,37.722,10.380,51.899,0,0,788430848,3775053824,156319744,3514986496,6675,2106,0,0,0,0,2397,8703,1.010,0.880,0.610,2,0,171,0,0,14,6,0,8,0
16-04 18:59:34,22.864,2.764,74.372,0,0,831688704,3731783680,156319744,3514998784,7694,2214,0,0,0,0,646,755,1.010,0.880,0.620,1,0,0,0,0,14,6,0,8,0
16-04 18:59:35,23.192,2.993,73.317,0.249,0.249,864710656,3698745344,156332032,3515002880,6565,2106,0,1564672,0,17,997,1325,1.010,0.880,0.620,1,0,2,0,0,14,12,0,8,0
16-04 18:59:36,20.655,5.793,73.048,0.252,0.252,798482432,3764879360,156360704,3515031552,6433,1998,0,352256,0,44,1151,1933,1.010,0.880,0.620,1,0,53,0,0,14,6,0,11,0
16-04 18:59:37,23.559,2.506,73.684,0.251,0,835629056,3727691776,156360704,3515039744,5944,2160,0,2834432,0,64,862,1256,1.010,0.880,0.620,1,0,2,0,0,14,14,0,12,0
16-04 18:59:38,20.253,4.557,73.418,1.772,0,807636992,3755585536,156360704,3515138048,6568,2160,73728,0,18,0,1339,2097,1.010,0.880,0.620,1,0,61,0,0,14,30,0,16,0
16-04 18:59:39,23.500,2.500,73.500,0.250,0.250,837636096,3725582336,156360704,3515138048,6253,2160,0,823296,0,7,760,966,1.010,0.880,0.620,1,0,1,0,0,14,30,0,16,0
16-04 18:59:40,21.212,6.566,72.222,0,0,811450368,3751616512,156360704,3515289600,9366,2160,0,0,0,0,1320,2140,1.010,0.880,0.620,1,0,99,0,0,14,30,0,21,0
16-04 18:59:41,22.807,3.008,73.935,0,0.251,848924672,3714125824,156368896,3515293696,7975,2160,0,319488,0,6,708,1030,1.010,0.880,0.620,1,0,1,0,0,14,32,0,22,0
16-04 18:59:42,23.618,3.769,72.362,0.251,0,829517824,3733282816,156368896,3515527168,7184,2160,0,10072064,0,137,1230,1930,1.010,0.880,0.620,1,0,22,0,0,14,30,0,29,0
16-04 18:59:43,23.426,2.519,73.300,0.504,0.252,851120128,3711459328,156389376,3515695104,6718,2160,0,1134592,0,27,1126,1973,1.010,0.880,0.620,1,0,2,0,0,14,30,0,37,0
16-04 18:59:44,23.367,4.523,72.111,0,0,844197888,3718377472,156389376,3515699200,13514,2160,0,3448832,0,58,1048,1430,1.010,0.880,0.620,1,0,72,0,0,14,30,0,37,0
16-04 18:59:45,20.455,7.071,72.475,0,0,811122688,3751292928,156389376,3515858944,19604,2106,0,0,0,0,1582,2750,1.010,0.880,0.620,1,0,100,0,0,14,30,0,45,0
16-04 18:59:46,22.613,3.015,74.121,0,0.251,849317888,3713077248,156397568,3515854848,8304,2052,0,319488,0,6,683,893,1.010,0.880,0.620,1,0,1,0,0,14,30,0,46,0
16-04 18:59:47,21.750,5.500,72.750,0,0,831729664,3730657280,156401664,3515858944,6874,2106,0,2535424,0,31,1224,2098,1.010,0.880,0.620,1,0,71,0,0,14,30,0,50,0
16-04 18:59:48,23.881,2.488,73.134,0.249,0.249,856317952,3705995264,156401664,3515908096,9888,2160,0,339968,0,3,1042,1684,1.010,0.880,0.620,1,0,2,0,0,14,30,0,56,0
16-04 18:59:49,21.357,5.528,72.864,0.251,0,840273920,3722031104,156409856,3515908096,9488,2160,0,466944,0,15,1027,1408,1.010,0.890,0.620,1,0,69,0,0,14,30,0,56,0
16-04 18:59:50,22.864,3.266,73.618,0.251,0,806043648,3756118016,156413952,3516047360,18140,2160,0,294912,0,12,988,1602,1.010,0.890,0.620,1,0,31,0,0,14,30,0,60,0
16-04 18:59:51,21.805,4.762,73.183,0,0.251,846393344,3715747840,156418048,3516063744,6534,2202,0,569344,0,19,811,1093,1.010,0.890,0.620,1,0,38,0,0,14,30,0,60,0
