-- Logs begin at Thu 2020-04-16 18:02:05 UTC, end at Thu 2020-04-16 19:30:31 UTC. --
Apr 16 18:59:12 cloud-provider-iscsi-0000000303 systemd[1]: Started Devstack devstack@dstat.service.
Apr 16 18:59:12 cloud-provider-iscsi-0000000303 dstat.sh[24085]: [286B blob data]
Apr 16 18:59:12 cloud-provider-iscsi-0000000303 dstat.sh[24085]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 16 18:59:12 cloud-provider-iscsi-0000000303 dstat.sh[24085]: 16-04 18:59:12|  5   1  93   1   0| 427M 4012M  145M 3150M|   0     0 |  95k 2800k|3.47  23.3 | 920  1324 |0.81 0.83 0.59|1.0   0  16|   0     0 |systemd              1    0.1%   0    0 |bash                 2151 2104k2005k0.1%|mysqld       173M|   0     0 |  12    4    0    4    0
Apr 16 18:59:13 cloud-provider-iscsi-0000000303 dstat.sh[24085]: 16-04 18:59:13|  9  21  70   0   0| 427M 4011M  145M 3151M|8147B 2160B|   0   168k|   0  8.00 |2414  5078 |0.83 0.84 0.60|2.0   0 445|   0     0 |bash                 2151 3.2%1561k  28k|bash                 2151 1561k  28k3.2%|mysqld       173M|   0     0 |  12    4    0    4    0
Apr 16 18:59:14 cloud-provider-iscsi-0000000303 dstat.sh[24085]: 16-04 18:59:14| 14  21  66   0   0| 427M 4011M  145M 3151M|7858B 2160B|   0    32k|   0  8.00 |3036  5588 |0.83 0.84 0.60|1.0   0 367|   0     0 |systemd              1    2.8%   0    0 |bash                 2151 2976k  24k2.0%|mysqld       173M|   0     0 |  12    4    0    4    0
Apr 16 18:59:15 cloud-provider-iscsi-0000000303 dstat.sh[24085]: 16-04 18:59:15| 10  10  80   0   0| 552M 3885M  145M 3273M|6923B 2106B|   0   480k|   0  3.00 |3679  5917 |0.83 0.84 0.60|  0   0 105|   0     0 |systemd              1    6.2%   0    0 |bash                 2151  372k2353B0.2%|mysqld       173M|   0     0 |  14    4    0    4    0
Apr 16 18:59:16 cloud-provider-iscsi-0000000303 dstat.sh[24085]: 16-04 18:59:16|  8  12  80   0   0| 556M 3881M  145M 3273M|  16k 2160B|   0     0 |   0     0 |1949  3537 |0.83 0.84 0.60|1.0   0 295|   0     0 |bash                 2151 2.5% 608k  18k|bash                 2151  608k  18k2.5%|mysqld       173M|   0     0 |  14    6    0    6    0
Apr 16 18:59:17 cloud-provider-iscsi-0000000303 dstat.sh[24085]: 16-04 18:59:17| 23   3  74   1   0| 598M 3838M  145M 3273M|8311B 2214B|  96k    0 |4.00     0 | 762   800 |0.83 0.84 0.60|  0 1.0 3.0|   0     0 |keystone-manage      25402 24%  10M 159k|keystone-manage      25402  10M 159k 24%|mysqld       173M|   0     0 |  14    6    0    6    0
Apr 16 18:59:18 cloud-provider-iscsi-0000000303 dstat.sh[24085]: 16-04 18:59:18| 16   4  73   7   0| 633M 3801M  145M 3275M|8580B 2052B| 108k 6416k|10.0   330 |2224  3705 |0.92 0.85 0.60|1.0   0   0|   0     0 |keystone-manage      25402 16%5476k 623k|keystone-manage      254025476k 623k 16%|mysqld       187M|   0     0 |  14    8    0    6    0
Apr 16 18:59:19 cloud-provider-iscsi-0000000303 dstat.sh[24085]: 16-04 18:59:19|  8   5  72  15   0| 638M 3729M  146M 3340M|6618B 2052B|   0    73M|   0   860 |4167  8523 |0.92 0.85 0.60|  0 1.0   0|   0     0 |mysqld               233617.5%   0    0 |keystone-manage      25402  20k  11k2.8%|mysqld       192M|   0     0 |  14    8    0    6    0
Apr 16 18:59:20 cloud-provider-iscsi-0000000303 dstat.sh[24085]: 16-04 18:59:20| 11   5  71  13   0| 642M 3724M  147M 3341M|7481B 2160B|   0    11M|   0   969 |4797  9128 |0.92 0.85 0.60|1.0 1.0   0|   0     0 |mysqld               233617.0%   0    0 |keystone-manage      25402  31k  18k6.0%|mysqld       194M|   0     0 |  14    8    0    6    0
Apr 16 18:59:21 cloud-provider-iscsi-0000000303 dstat.sh[24085]: 16-04 18:59:21|  8   6  54  31   0| 643M 3723M  147M 3342M|5855B 2160B|   0    87M|   0  1336 |3352  5224 |0.92 0.85 0.60|  0 1.0   0|   0     0 |mysqld               233618.0%   0    0 |keystone-manage      25402  17k  10k3.0%|mysqld       195M|   0     0 |  14    8    0    6    0
