"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000065",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","30 Mar 2020 00:47:55 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
30-03 00:47:55,0.358,0.110,99.441,0.048,0.043,442744832,4432461824,176623616,3044016128,0,0,7063.224,197143.441,0.252,1.822,238.854,235.080,0.920,0.600,0.430,2,0,1.312,0,0,12,3,0,3,0
30-03 00:47:56,9.572,21.411,69.018,0,0,443514880,4431089664,176627712,3044278272,7102,2160,0,94208,0,6,2720,5167,0.920,0.600,0.430,2,0,492,0,0,12,3,0,3,0
30-03 00:47:57,12.308,19.231,68.205,0,0.256,442892288,4431245312,176627712,3044761600,10537,1890,0,28672,0,7,2866,5393,0.920,0.600,0.430,1,0,341,0,0,12,3,0,3,0
30-03 00:47:58,10.178,14.758,75.064,0,0,574976000,4298424320,176627712,3173097472,7279,2214,0,4096,0,1,3889,6330,0.920,0.600,0.430,1,0,240,0,0,14,5,0,3,0
30-03 00:47:59,17.677,9.091,72.980,0,0.253,609185792,4264103936,176648192,3173101568,15210,2160,0,3104768,0,9,1430,2463,0.920,0.600,0.430,1,1,169,0,0,14,5,0,5,0
30-03 00:48:00,22.250,2.500,73.750,1.500,0,652402688,4219256832,176676864,3174350848,6089,2160,163840,0,13,0,848,1336,0.930,0.600,0.430,3,0,0,0,0,14,7,0,5,0
30-03 00:48:01,9.669,5.089,72.265,12.723,0.254,666865664,4202344448,177184768,3176222720,9252,2106,0,12115968,0,900,3836,8598,0.930,0.600,0.430,0,1,0,0,0,14,7,0,5,0
30-03 00:48:02,8.629,3.807,73.096,14.467,0,671096832,4128038912,177680384,3244462080,7186,2214,0,75558912,0,729,2930,7489,0.930,0.600,0.430,2,0,0,0,0,14,7,0,5,0
30-03 00:48:03,13.716,3.990,70.574,11.721,0,673218560,4124819456,178331648,3244822528,7486,2160,0,10420224,0,846,3654,10016,0.930,0.600,0.430,2,0,0,0,0,14,7,0,5,0
30-03 00:48:04,14.358,5.290,71.788,8.312,0.252,675139584,4121231360,178880512,3245895680,9148,2160,0,9814016,0,720,4803,12524,0.930,0.600,0.430,2,0,0,0,0,14,7,0,5,0
30-03 00:48:05,10.459,4.082,71.684,13.776,0,677236736,4118028288,179429376,3246428160,6414,2160,0,9023488,0,712,3599,6528,1.010,0.630,0.440,1,0,2,0,0,14,7,0,5,0
30-03 00:48:06,17.632,5.038,71.537,5.542,0.252,679182336,4114534400,179789824,3247583232,7539,2160,0,7221248,0,532,5440,12404,1.010,0.630,0.440,1,0,0,0,0,14,7,0,5,0
30-03 00:48:07,17.812,5.598,68.957,7.634,0,681029632,4110819328,180264960,3248914432,8277,2106,0,9662464,0,737,7889,16013,1.010,0.630,0.440,0,1,0,0,0,14,7,0,5,0
30-03 00:48:08,17.092,6.122,71.939,4.592,0.255,603504640,4187865088,180588544,3249041408,6726,1998,0,6402048,0,461,4858,9339,1.010,0.630,0.440,2,0,67,0,0,14,5,0,6,0
30-03 00:48:09,21.608,6.281,64.573,7.538,0,648007680,4142768128,180629504,3249598464,6619,2160,0,63959040,0,733,1528,1397,1.010,0.630,0.440,1,0,12,0,0,14,5,0,6,0
30-03 00:48:10,23.058,3.509,72.180,1.253,0,625491968,4164755456,180690944,3250065408,18078,2160,0,7069696,0,66,954,1467,1.010,0.630,0.440,1,0,11,0,0,14,5,0,6,0
30-03 00:48:11,23.559,2.757,72.431,1.003,0.251,677400576,4111310848,180760576,3251482624,7472,2160,0,6443008,0,138,1173,1563,1.010,0.630,0.440,1,0,1,0,0,14,5,0,6,0
30-03 00:48:12,10.433,20.611,68.957,0,0,604934144,4183035904,180760576,3252203520,7205,2106,0,110592,0,11,2634,5551,1.010,0.630,0.440,1,0,443,0,0,14,5,0,6,0
30-03 00:48:13,12.596,21.080,66.324,0,0,607744000,4179558400,180760576,3252805632,7190,2214,0,24576,0,6,4473,7680,1.010,0.630,0.440,1,0,297,0,0,14,5,0,6,0
30-03 00:48:14,45.522,9.950,43.035,1.244,0.249,714096640,4072898560,180760576,3253391360,8062,2160,131072,17813504,1,327,1920,2135,1.010,0.630,0.440,2,0,134,0,0,14,7,0,6,0
30-03 00:48:15,45.844,6.549,46.851,0.756,0,777474048,4007350272,180793344,3255361536,8867,2160,20480,217088,4,25,1748,3712,1.090,0.660,0.450,2,0,2,0,0,14,7,0,6,0
30-03 00:48:16,24.242,9.091,66.667,0,0,813789184,3970232320,180793344,3255730176,9426,2160,0,69632,0,11,2395,3739,1.090,0.660,0.450,1,0,176,0,0,14,5,0,7,0
30-03 00:48:17,22.807,2.506,73.684,1.003,0,864665600,3919368192,180805632,3255738368,9586,2160,0,2400256,0,105,942,921,1.090,0.660,0.450,1,0,0,0,0,14,7,0,7,0
30-03 00:48:18,21.303,4.010,72.431,2.005,0.251,798674944,3985256448,180842496,3255771136,7531,1944,0,557056,0,62,1423,2440,1.090,0.660,0.450,1,0,54,0,0,14,5,0,10,0
30-03 00:48:19,23.174,2.771,70.781,3.275,0,833019904,3950735360,180846592,3255767040,7302,2160,0,7057408,0,387,1567,1150,1.090,0.660,0.450,1,0,2,0,0,14,5,0,10,0
30-03 00:48:20,18.640,2.015,73.804,5.542,0,852168704,3931430912,180846592,3255865344,6289,2160,69632,0,17,0,1221,1788,1.080,0.660,0.460,1,0,1,0,0,14,29,0,15,0
30-03 00:48:21,21.106,5.276,73.116,0.503,0,839217152,3944378368,180850688,3255865344,6822,2160,0,819200,0,7,1021,1383,1.080,0.660,0.460,1,0,62,0,0,14,29,0,15,0
30-03 00:48:22,22.922,4.534,72.292,0,0.252,816091136,3967328256,180850688,3256037376,5705,2160,0,0,0,0,1286,2097,1.080,0.660,0.460,1,0,99,0,0,14,29,0,20,0
30-03 00:48:23,22.980,2.525,74.495,0,0,854564864,3928834048,180850688,3256041472,13813,2160,0,0,0,0,720,826,1.080,0.660,0.460,1,0,2,0,0,14,31,0,20,0
30-03 00:48:24,24.814,2.978,71.960,0.248,0,830681088,3952357376,180850688,3256385536,5839,2160,0,9965568,0,137,1392,2024,1.080,0.660,0.460,2,0,23,0,0,14,29,0,28,0
30-03 00:48:25,24.372,2.513,73.116,0,0,855322624,3927527424,180854784,3256565760,6239,2202,0,417792,0,8,1212,1841,1.080,0.670,0.460,1,0,4,0,0,14,31,0,35,0
30-03 00:48:26,22.613,5.276,72.111,0,0,838213632,3944615936,180862976,3256561664,14890,2160,0,118784,0,12,982,1433,1.080,0.670,0.460,1,0,73,0,0,14,29,0,36,0
30-03 00:48:27,24.685,1.763,73.300,0,0.252,859922432,3922849792,180862976,3256598528,7131,2106,0,0,0,0,1203,1738,1.080,0.670,0.460,3,0,0,0,0,14,31,0,43,0
30-03 00:48:28,21.266,5.570,73.165,0,0,837414912,3945349120,180862976,3256606720,6404,2052,0,0,0,0,1187,1766,1.080,0.670,0.460,1,0,102,0,0,14,29,0,44,0
30-03 00:48:29,22.166,4.534,73.300,0,0,816640000,3966103552,180862976,3256627200,8223,2148,0,892928,0,3,1241,1872,1.080,0.670,0.460,2,1,68,0,0,14,29,0,49,0
30-03 00:48:30,23.308,2.506,73.935,0.251,0,857595904,3925143552,180879360,3256614912,8793,2160,0,2109440,0,54,832,957,1.070,0.670,0.460,1,0,2,0,0,14,29,0,49,0
30-03 00:48:31,21.106,5.779,72.864,0,0.251,823169024,3959361536,180879360,3256791040,7024,2160,0,32768,0,3,1257,2024,1.070,0.670,0.460,1,0,70,0,0,14,29,0,55,0
30-03 00:48:32,22.807,3.258,73.935,0,0,862408704,3920121856,180887552,3256782848,6855,2160,0,233472,0,15,837,941,1.070,0.670,0.460,1,0,2,0,0,14,31,0,56,0
30-03 00:48:33,21.106,5.779,72.864,0.251,0,835485696,3947024384,180895744,3256795136,7346,2160,0,135168,0,13,1239,1717,1.070,0.670,0.460,1,0,70,0,0,14,29,0,59,0
30-03 00:48:34,22.670,3.526,73.552,0,0.252,811544576,3970932736,180899840,3256819712,8121,2160,0,36864,0,3,967,1339,1.070,0.670,0.460,1,0,30,0,0,14,29,0,63,0
30-03 00:48:35,22.166,4.282,73.552,0,0,849100800,3933356032,180908032,3256827904,6236,2160,0,1515520,0,60,933,1155,1.060,0.680,0.460,1,0,46,0,0,14,29,0,63,0
