"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000268",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","15 Apr 2020 17:10:46 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
15-04 17:10:46,1.469,0.499,97.748,0.240,0.044,441630720,4681535488,149381120,2850447360,0,0,35879.433,948320.627,1.261,8.336,420.464,591.275,0.830,0.660,0.480,3,0,6.021,0,0,12,3,0,4,0
15-04 17:10:47,10.660,21.320,67.766,0,0.254,442699776,4679680000,149385216,2850942976,9343,2052,24576,159744,1,15,2570,4912,0.830,0.660,0.480,3,0,477,0,0,12,3,0,4,0
15-04 17:10:48,13.555,19.949,66.496,0,0,442986496,4679061504,149385216,2851450880,10079,2106,0,24576,0,6,4102,7629,0.830,0.660,0.480,2,0,315,0,0,12,3,0,4,0
15-04 17:10:49,9.645,13.198,77.157,0,0,573308928,4548255744,149385216,2979344384,8914,2106,0,0,0,0,3174,5218,0.830,0.660,0.480,3,0,307,0,0,14,5,0,4,0
15-04 17:10:50,18.750,5.250,72,3.750,0.250,612503552,4508823552,149389312,2979577856,9953,2160,98304,7036928,4,241,1153,1204,0.840,0.670,0.480,2,0,39,0,0,14,5,0,6,0
15-04 17:10:51,20.101,3.015,73.618,3.266,0,646533120,4473745408,149401600,2980614144,10130,2202,110592,0,10,0,778,858,0.840,0.670,0.480,3,0,0,0,0,14,7,0,6,0
15-04 17:10:52,7.614,3.807,73.350,15.228,0,659988480,4458283008,149843968,2982248448,9305,2160,0,10526720,0,709,3716,6364,0.840,0.670,0.480,2,1,0,0,0,14,7,0,6,0
15-04 17:10:53,6.030,4.271,71.859,17.588,0.251,663400448,4385693696,150085632,3049713664,7635,2160,0,72888320,0,501,2527,4831,0.840,0.670,0.480,2,0,0,0,0,14,7,0,6,0
15-04 17:10:54,5.303,2.273,73.232,19.192,0,665464832,4382216192,150499328,3050622976,7448,2160,0,6107136,0,507,2781,5326,0.840,0.670,0.480,1,1,2,0,0,14,7,0,6,0
