-- Logs begin at Wed 2020-04-15 14:35:23 UTC, end at Wed 2020-04-15 17:42:46 UTC. --
Apr 15 17:10:46 cloud-provider-iscsi-0000000268 systemd[1]: Started Devstack devstack@dstat.service.
Apr 15 17:10:46 cloud-provider-iscsi-0000000268 dstat.sh[23739]: [286B blob data]
Apr 15 17:10:46 cloud-provider-iscsi-0000000268 dstat.sh[23739]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 15 17:10:46 cloud-provider-iscsi-0000000268 dstat.sh[23739]: 15-04 17:10:46|  1   0  98   0   0| 421M 4465M  142M 2718M|   0     0 |  35k  926k|1.26  8.34 | 420   591 |0.83 0.66 0.48|2.0   0 6.0|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2039  632k 596k0.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 15 17:10:47 cloud-provider-iscsi-0000000268 dstat.sh[23739]: 15-04 17:10:47| 11  21  68   0   0| 422M 4463M  142M 2719M|9343B 2052B|  24k  156k|1.00  15.0 |2562  4908 |0.83 0.66 0.48|2.0   0 477|   0     0 |bash                 2039 3.5%2270k  31k|bash                 2039 2270k  31k3.5%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 15 17:10:48 cloud-provider-iscsi-0000000268 dstat.sh[23739]: 15-04 17:10:48| 14  20  67   0   0| 422M 4462M  142M 2719M|9931B 2052B|   0    24k|   0  6.00 |3964  7347 |0.83 0.66 0.48|  0   0 315|   0     0 |systemd              1    6.0%   0    0 |bash                 2039 2400k  18k1.8%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 15 17:10:49 cloud-provider-iscsi-0000000268 dstat.sh[23739]: 15-04 17:10:49|  9  13  77   0   0| 547M 4337M  142M 2841M|9062B 2160B|   0     0 |   0     0 |3310  5498 |0.83 0.66 0.48|1.0   0 307|   0     0 |systemd              1    2.5%   0    0 |bash                 2039  565k  15k1.8%|mysqld       173M|   0     0 |  14    5    0    5    0
Apr 15 17:10:50 cloud-provider-iscsi-0000000268 dstat.sh[23739]: 15-04 17:10:50| 19   5  72   4   0| 584M 4300M  142M 2842M|9953B 2160B|  96k 6872k|4.00   241 |1156  1205 |0.84 0.67 0.48|1.0   0  39|   0     0 |keystone-manage      25054 21%8924k 125k|keystone-manage      250548924k 125k 21%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 15 17:10:51 cloud-provider-iscsi-0000000268 dstat.sh[23739]: 15-04 17:10:51| 20   3  73   3   0| 617M 4266M  142M 2843M|  10k 2202B| 108k    0 |10.0     0 | 772   844 |0.84 0.67 0.48|1.0   0   0|   0     0 |keystone-manage      25054 22%7670k 549k|keystone-manage      250547670k 549k 22%|mysqld       177M|   0     0 |  14    7    0    6    0
Apr 15 17:10:52 cloud-provider-iscsi-0000000268 dstat.sh[23739]: 15-04 17:10:52|  8   4  73  15   0| 629M 4252M  143M 2844M|9305B 2160B|   0    10M|   0   693 |3669  6264 |0.84 0.67 0.48|1.0   0   0|   0     0 |mysqld               230084.2%   0    0 |python3.6            5789   84k 174k0.5%|mysqld       189M|   0     0 |  14    7    0    6    0
Apr 15 17:10:53 cloud-provider-iscsi-0000000268 dstat.sh[23739]: 15-04 17:10:53|  6   4  72  17   0| 633M 4183M  143M 2908M|7635B 2160B|   0    70M|   0   517 |2581  4943 |0.84 0.67 0.48|  0 1.0   0|   0     0 |mysqld               230085.8%   0    0 |keystone-manage      25054  20k  11k2.8%|mysqld       192M|   0     0 |  14    7    0    6    0
Apr 15 17:10:54 cloud-provider-iscsi-0000000268 dstat.sh[23739]: 15-04 17:10:54|  5   3  73  19   0| 635M 4179M  144M 2909M|7448B 2160B|   0  5964k|   0   507 |2782  5330 |0.84 0.67 0.48|  0 1.0 2.0|   0     0 |mysqld               230083.0%   0    0 |keystone-manage      25054  16k  10k2.8%|mysqld       193M|   0     0 |  14    7    0    6    0
Apr 15 17:10:55 cloud-provider-iscsi-0000000268 dstat.sh[23739]: 15-04 17:10:55|  8   4  71  18   0| 636M 4177M  144M 2910M|  15k 2160B|   0    15M|   0   655 |3319  6884 |0.85 0.68 0.48|  0 2.0   0|   0     0 |mysqld               230086.2%   0    0 |keystone-manage      25054  25k  14k3.8%|mysqld       194M|   0     0 |  14    7    0    6    0
Apr 15 17:10:56 cloud-provider-iscsi-0000000268 dstat.sh[23739]: 15-04 17:10:56| 12   6  70  12   0| 637M 4175M  144M 2910M|8961B 2106B|   0    77M|   0   962 |3628  8170 |0.85 0.68 0.48|1.0   0   0|   0     0 |keystone-manage      250547.5%  23k 280k|python3.6            5789  272k 566k1.5%|mysqld       195M|   0     0 |  14    7    0    6    0
Apr 15 17:10:57 cloud-provider-iscsi-0000000268 dstat.sh[23739]: 15-04 17:10:57| 11   4  71  13   0| 640M 4171M  145M 2911M|  10k 2106B|   0    11M|   0   861 |4273    11k|0.85 0.68 0.48|1.0   0   0|   0     0 |mysqld               230086.8%   0    0 |keystone-manage      25054  49k  33k6.5%|mysqld       197M|   0     0 |  14    7    0    6    0
Apr 15 17:10:58 cloud-provider-iscsi-0000000268 dstat.sh[23739]: 15-04 17:10:58| 13   4  70  13   0| 642M 4167M  146M 2912M|  18k 2052B|   0    10M|   0   841 |4463    11k|0.85 0.68 0.48|3.0   0   0|   0     0 |keystone-manage      250547.8%  28k 133k|python3.6            5789  100k 207k0.8%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 15 17:10:59 cloud-provider-iscsi-0000000268 dstat.sh[23739]: 15-04 17:10:59| 24   6  67   4   0| 644M 4164M  146M 2913M|7552B 2160B|   0  4504k|   0   303 |7068    17k|0.85 0.68 0.48|1.0   0   0|   0     0 |keystone-manage      25054 16%  75k 588k|python3.6            5789  583k1216k3.8%|mysqld       200M|   0     0 |  14    7    0    6    0
Apr 15 17:11:00 cloud-provider-iscsi-0000000268 dstat.sh[23739]: 15-04 17:11:00| 11   5  70  13   0| 644M 4163M  146M 2914M|7539B 2160B|   0  8016k|   0   660 |4790    10k|0.87 0.68 0.49|  0   0   0|   0     0 |mysqld               230087.0%   0    0 |keystone-manage      25054  32k  22k6.2%|mysqld       200M|   0     0 |  14    7    0    6    0
