-- Logs begin at Fri 2020-04-17 15:00:42 UTC, end at Fri 2020-04-17 15:58:50 UTC. --
Apr 17 15:27:24 cloud-provider-iscsi-0000000322 systemd[1]: Started Devstack devstack@dstat.service.
Apr 17 15:27:24 cloud-provider-iscsi-0000000322 dstat.sh[23837]: [286B blob data]
Apr 17 15:27:24 cloud-provider-iscsi-0000000322 dstat.sh[23837]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 17 15:27:24 cloud-provider-iscsi-0000000322 dstat.sh[23837]: 17-04 15:27:24|  9   3  87   1   0| 423M 4018M  145M 3149M|   0     0 | 204k 5629k|7.40  48.3 |1559  2382 |0.86 0.69 0.50|4.0   0  35|   0     0 |systemd              1    0.2%   0    0 |bash                 2114 4494k4276k0.2%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 17 15:27:25 cloud-provider-iscsi-0000000322 dstat.sh[23837]: 17-04 15:27:25| 10  22  68   0   1| 422M 4018M  145M 3150M|6193B 2106B|  24k  152k|1.00  8.00 |2689  4853 |0.87 0.70 0.50|2.0   0 483|   0     0 |bash                 2114 3.5%2198k  32k|bash                 2114 2198k  32k3.5%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 17 15:27:26 cloud-provider-iscsi-0000000322 dstat.sh[23837]: 17-04 15:27:26| 10  18  65   7   0| 423M 4016M  145M 3150M|7435B 2160B|   0  7224k|   0   291 |3043  6045 |0.87 0.70 0.50|2.0   0 269|   0     0 |systemd              1    4.2%   0    0 |bash                 2114 2075k  18k1.8%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 17 15:27:27 cloud-provider-iscsi-0000000322 dstat.sh[23837]: 17-04 15:27:27|  9   9  81   0   0| 548M 3891M  145M 3272M|6153B 2106B|   0  4096B|   0  1.00 |3473  5430 |0.87 0.70 0.50|2.0   0 119|   0     0 |systemd              1    5.5%   0    0 |bash                 2114  578k2894B  0%|mysqld       174M|   0     0 |  14    3    0    4    0
Apr 17 15:27:28 cloud-provider-iscsi-0000000322 dstat.sh[23837]: 17-04 15:27:28|  7  13  79   0   0| 553M 3886M  145M 3272M|6735B 2160B|   0     0 |   0     0 |1997  3297 |0.87 0.70 0.50|1.0   0 296|   0     0 |bash                 2114 3.0% 608k  18k|keystone-manage      25152 744k  42k1.5%|mysqld       174M|   0     0 |  14    5    0    6    0
Apr 17 15:27:29 cloud-provider-iscsi-0000000322 dstat.sh[23837]: 17-04 15:27:29| 22   3  74   1   0| 595M 3844M  145M 3273M|6656B 2160B| 120k    0 |7.00     0 | 707   719 |0.87 0.70 0.50|1.0   0 1.0|   0     0 |keystone-manage      25152 24%  10M 135k|keystone-manage      25152  10M 135k 24%|mysqld       174M|   0     0 |  14    5    0    6    0
Apr 17 15:27:30 cloud-provider-iscsi-0000000322 dstat.sh[23837]: 17-04 15:27:30| 17   3  73   7   0| 628M 3809M  145M 3274M|6247B 2160B|  84k 5300k|7.00   237 |2054  3156 |0.96 0.72 0.51|1.0   0   0|   0     0 |keystone-manage      25152 15%5453k 606k|keystone-manage      251525453k 606k 15%|mysqld       187M|   0     0 |  14    7    0    6    0
Apr 17 15:27:31 cloud-provider-iscsi-0000000322 dstat.sh[23837]: 17-04 15:27:31|  7   5  72  16   0| 635M 3800M  146M 3275M|6665B 2160B|   0    36M|   0  1007 |3525  6465 |0.96 0.72 0.51|  0 2.0 2.0|   0     0 |mysqld               231176.0%   0    0 |keystone-manage      251529810B5286B2.8%|mysqld       190M|   0     0 |  14    7    0    6    0
Apr 17 15:27:32 cloud-provider-iscsi-0000000322 dstat.sh[23837]: 17-04 15:27:32|  7   4  72  16   0| 635M 3734M  146M 3340M|6443B 2160B|   0    93M|   0   692 |2665  4675 |0.96 0.72 0.51|1.0   0   0|   0     0 |mysqld               231174.8%   0    0 |keystone-manage      25152  20k  12k3.8%|mysqld       193M|   0     0 |  14    7    0    6    0
Apr 17 15:27:33 cloud-provider-iscsi-0000000322 dstat.sh[23837]: 17-04 15:27:33| 10   5  72  14   0| 637M 3731M  146M 3341M|7953B 2106B|   0  8792k|   0   755 |3639  9230 |0.96 0.72 0.51|1.0   0   0|   0     0 |mysqld               231177.0%   0    0 |keystone-manage      25152  35k  19k5.0%|mysqld       195M|   0     0 |  14    7    0    6    0
Apr 17 15:27:34 cloud-provider-iscsi-0000000322 dstat.sh[23837]: 17-04 15:27:34| 14   6  69  11   0| 639M 3727M  147M 3341M|  16k 2106B|   0  7048k|   0   597 |5001    10k|0.96 0.72 0.51|1.0 1.0   0|   0     0 |keystone-manage      251528.5%  32k 287k|python3.6            5863  273k 569k2.2%|mysqld       196M|   0     0 |  14    7    0    6    0
Apr 17 15:27:35 cloud-provider-iscsi-0000000322 dstat.sh[23837]: 17-04 15:27:35| 11   4  71  14   0| 641M 3724M  147M 3342M|7028B 2202B|   0  8964k|   0   688 |4278  8085 |1.04 0.74 0.52|1.0 1.0   0|   0     0 |mysqld               231176.0%   0    0 |keystone-manage      25152  37k  24k6.0%|mysqld       198M|   0     0 |  14    7    0    6    0
Apr 17 15:27:36 cloud-provider-iscsi-0000000322 dstat.sh[23837]: 17-04 15:27:36| 11   4  71  14   0| 643M 3721M  148M 3343M|7602B 2160B|   0  9196k|   0   765 |4450  8908 |1.04 0.74 0.52|1.0   0   0|   0     0 |mysqld               231177.2%   0    0 |keystone-manage      25152  20k  13k4.5%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 17 15:27:37 cloud-provider-iscsi-0000000322 dstat.sh[23837]: 17-04 15:27:37| 21   7  66   6   0| 644M 3719M  148M 3344M|6576B 2052B|   0    36M|   0   532 |6042    13k|1.04 0.74 0.52|3.0   0   0|   0     0 |keystone-manage      25152 15%  72k 444k|python3.6            5863  399k 832k2.5%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 17 15:27:38 cloud-provider-iscsi-0000000322 dstat.sh[23837]: 17-04 15:27:38| 15   6  68  11   0| 645M 3717M  149M 3345M|  17k 2160B|   0  7476k|   0   620 |5919    12k|1.04 0.74 0.52|1.0   0   0|   0     0 |keystone-manage      251528.5%  33k 278k|python3.6            5863  284k 591k1.0%|mysqld       200M|   0     0 |  14    7    0    6    0
Apr 17 15:27:39 cloud-provider-iscsi-0000000322 dstat.sh[23837]: 17-04 15:27:39| 16   5  71   8   0| 598M 3763M  149M 3345M|8434B 2160B|   0  6616k|   0   482 |4350  8625 |1.04 0.74 0.52|2.0   0 1.0|   0     0 |mysqld               231176.0%   0    0 |bash                 2114   17M1894k  0%|mysqld       201M|   0     0 |  14    5    0    7    0
Apr 17 15:27:40 cloud-provider-iscsi-0000000322 dstat.sh[23837]: 17-04 15:27:40| 20   7  73   1   0| 616M 3744M  149M 3345M|7898B 2160B|   0  6824k|   0  71.0 |1367  2113 |1.04 0.74 0.52|1.0   0  77|   0     0 |keystone-manage      25232 20%9791k  37k|keystone-manage      252329791k  37k 20%|mysqld       201M|   0     0 |  14    5    0    7    0
Apr 17 15:27:41 cloud-provider-iscsi-0000000322 dstat.sh[23837]: 17-04 15:27:41| 23   3  71   2   0| 583M 3777M  149M 3346M|9401B 2254B|   0  6980k|   0  69.0 |1127  1434 |1.04 0.74 0.52|3.0   0  13|   0     0 |keystone-manage      252451.8%1423k  37k|bash                 2114   16M  39k  0%|mysqld       201M|   0     0 |  14    5    0    7    0
Apr 17 15:27:42 cloud-provider-iscsi-0000000322 dstat.sh[23837]: 17-04 15:27:42| 24   2  73   1   0| 624M 3734M  149M 3347M|7601B 2160B|   0  9860k|   0   274 |1278  1495 |1.04 0.74 0.52|1.0   0   0|   0     0 |keystone-manage      25245 25%  10M   0 |keystone-manage      25245  10M   0  25%|mysqld       201M|   0     0 |  14    5    0    7    0
Apr 17 15:27:43 cloud-provider-iscsi-0000000322 dstat.sh[23837]: 17-04 15:27:43| 16  12  72   0   0| 576M 3782M  149M 3347M|8184B 2160B|   0   140k|   0  6.00 |1659  2603 |1.04 0.74 0.52|1.0   0 190|   0     0 |bash                 2114 2.0%  16M  51k|bash                 2114   16M  51k2.0%|mysqld       201M|   0     0 |  14    5    0    7    0
Apr 17 15:27:44 cloud-provider-iscsi-0000000322 dstat.sh[23837]: 17-04 15:27:44| 11  22  67   0   0| 577M 3780M  149M 3348M|7258B 2106B|   0    40k|   0  10.0 |2694  5408 |1.04 0.74 0.52|2.0   0 453|   0     0 |bash                 2114 3.0%3676k  29k|bash                 2114 3676k  29k3.0%|mysqld       201M|   0     0 |  14    5    0    7    0
Apr 17 15:27:45 cloud-provider-iscsi-0000000322 dstat.sh[23837]: 17-04 15:27:45| 28  18  54   0   0| 608M 3749M  149M 3349M|  16k 2106B|   0  4096B|   0  1.00 |3539  6015 |1.20 0.78 0.53|3.0   0 229|   0     0 |uwsgi                259898.2%2201k   0 |uwsgi                259902468k   0 8.2%|mysqld       201M|   0     0 |  14    7    0    7    0
Apr 17 15:27:46 cloud-provider-iscsi-0000000322 dstat.sh[23837]: 17-04 15:27:46| 47   3  49   1   0| 693M 3663M  149M 3349M|6645B 2052B| 128k    0 |1.00     0 | 889   796 |1.20 0.78 0.53|2.0   0 2.0|   0     0 |uwsgi                25989 25%  12M  37k|uwsgi                25989  12M  37k 25%|mysqld       201M|   0     0 |  14    7    0    7    0
Apr 17 15:27:47 cloud-provider-iscsi-0000000322 dstat.sh[23837]: 17-04 15:27:47| 43   9  47   0   0| 737M 3617M  149M 3351M|6603B 2160B|  20k  336k|4.00  45.0 |2675  5897 |1.20 0.78 0.53|  0   0 126|   0     0 |uwsgi                25990 22%4039k 349k|uwsgi                259893576k 812k 19%|mysqld       201M|   0     0 |  13    5    0    8    0
Apr 17 15:27:48 cloud-provider-iscsi-0000000322 dstat.sh[23837]: 17-04 15:27:48| 23   6  71   1   0| 781M 3573M  149M 3351M|6789B 2160B|   0  2324k|   0   184 |1602  1582 |1.20 0.78 0.53|1.0   0  46|   0     0 |keystone-manage      26264 23%  11M  37k|keystone-manage      26264  11M  37k 23%|mysqld       201M|   0     0 |  14    5    0    8    0
Apr 17 15:27:49 cloud-provider-iscsi-0000000322 dstat.sh[23837]: 17-04 15:27:49| 23   3  74   0   0| 821M 3533M  149M 3351M|6165B 2160B|   0   472k|   0  35.0 |1125  1630 |1.20 0.78 0.53|1.0   0 2.0|   0     0 |keystone-manage      26264 24%6911k  11k|keystone-manage      262646911k  11k 24%|mysqld       203M|   0     0 |  14   11    0    8    0
