"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000074",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","30 Mar 2020 09:31:29 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
30-03 09:31:29,3.536,1.208,94.777,0.426,0.053,449462272,4659838976,151965696,2858176512,0,0,85727.623,2227050.366,3.080,19.623,757.327,1218.416,0.490,0.630,0.490,3,0,15.760,0,0,12,4,0,4,0
30-03 09:31:30,10.152,20.305,69.036,0,0.508,449105920,4659245056,151965696,2858618880,8060,16680,24576,102400,1,7,3030,5236,0.530,0.640,0.490,2,0,495,0,0,12,4,0,4,0
30-03 09:31:31,12.723,20.611,66.667,0,0,450203648,4657729536,151965696,2858991616,18829,19798,0,32768,0,8,3857,6889,0.530,0.640,0.490,3,0,347,0,0,12,4,0,4,0
30-03 09:31:32,10.354,10.606,78.788,0,0.253,581066752,4526338048,151965696,2987094016,7446,8740,0,0,0,0,3998,7181,0.530,0.640,0.490,1,0,90,0,0,14,4,0,4,0
30-03 09:31:33,8.462,13.333,77.692,0.256,0.256,588763136,4518547456,151965696,2987114496,7854,2678,0,405504,0,23,2165,3500,0.530,0.640,0.490,2,0,298,0,0,14,6,0,6,0
30-03 09:31:34,22.922,2.771,73.804,0.504,0,632311808,4474499072,151965696,2987614208,7519,15666,122880,0,7,0,766,912,0.530,0.640,0.490,2,0,0,0,0,14,6,0,6,0
30-03 09:31:35,15.404,2.778,73.232,8.586,0,665276416,4439482368,152141824,2989469696,10646,2106,86016,5726208,7,291,1939,3334,0.650,0.660,0.500,1,1,0,0,0,14,8,0,6,0
30-03 09:31:36,7.828,5.303,71.970,14.646,0.253,671367168,4393951232,152698880,3027714048,21711,129054,0,9469952,0,798,4124,7465,0.650,0.660,0.500,2,0,0,0,0,14,8,0,6,0
30-03 09:31:37,8.838,5.051,71.970,13.889,0.253,673165312,4359766016,153153536,3058540544,5825,6250,0,76378112,0,825,4567,7811,0.650,0.660,0.500,4,0,0,0,0,14,8,0,6,0
30-03 09:31:38,15.345,4.859,65.729,13.811,0.256,677568512,4353908736,153735168,3059376128,10427,5094,0,50225152,0,905,4684,10294,0.650,0.660,0.500,1,2,0,0,0,14,8,0,6,0
30-03 09:31:39,13.466,5.736,68.080,12.718,0,678117376,4351873024,154288128,3060293632,17500,310446,0,41971712,0,1010,5300,10274,0.650,0.660,0.500,2,0,0,0,0,14,8,0,6,0
30-03 09:31:40,11.809,5.779,69.849,12.312,0.251,680230912,4348641280,155025408,3060641792,13161,10908,0,10952704,0,875,4764,10530,0.680,0.660,0.500,2,0,0,0,0,14,8,0,6,0
30-03 09:31:41,23.737,6.061,66.667,3.283,0.253,681537536,4345151488,155271168,3062517760,11440,381328,0,4218880,0,267,7529,17033,0.680,0.660,0.500,4,0,0,0,0,14,8,0,6,0
30-03 09:31:42,15.152,5.808,69.697,9.091,0.253,682553344,4343238656,155832320,3062824960,19080,390834,0,11063296,0,862,5431,14616,0.680,0.660,0.500,3,0,0,0,0,14,8,0,6,0
30-03 09:31:43,17.172,6.313,72.727,3.788,0,621703168,4403773440,156041216,3062919168,8140,15378,0,3403776,0,238,2436,5388,0.680,0.660,0.500,2,0,80,0,0,14,6,0,7,0
30-03 09:31:44,23.869,2.261,71.608,2.010,0.251,671268864,4353687552,156061696,3063390208,7927,9018,0,20848640,0,296,1253,1364,0.680,0.660,0.500,2,0,0,0,0,14,6,0,7,0
30-03 09:31:45,22.922,3.526,73.300,0.252,0,653160448,4371238912,156119040,3063889920,14787,4364,0,7081984,0,74,1167,1516,0.700,0.670,0.510,2,0,11,0,0,14,6,0,7,0
30-03 09:31:46,17.128,10.327,71.285,1.008,0.252,610689024,4412174336,156213248,3065315328,5840,1998,0,6467584,0,149,2217,3544,0.700,0.670,0.510,4,0,209,0,0,14,6,0,7,0
30-03 09:31:47,12.500,20.918,66.071,0.255,0.255,610652160,4410966016,156225536,3066466304,7164,21940,0,1269760,0,75,2743,6302,0.700,0.670,0.510,3,0,463,0,0,14,6,0,7,0
30-03 09:31:48,33.760,16.113,50.128,0,0,658550784,4362608640,156225536,3067211776,7816,11714,0,0,0,0,3825,6325,0.700,0.670,0.510,3,0,200,0,0,14,8,0,7,0
30-03 09:31:49,46.135,4.738,46.883,2.244,0,745078784,4275933184,156233728,3067334656,7708,9628,151552,3977216,6,217,1172,842,0.700,0.670,0.510,3,0,0,0,0,14,8,0,7,0
30-03 09:31:50,38.791,10.831,50.126,0,0.252,783597568,4234637312,156246016,3069677568,6191,2254,0,454656,0,50,2159,7324,0.810,0.690,0.510,2,0,152,0,0,13,6,0,8,0
30-03 09:31:51,23.559,4.010,72.180,0,0.251,830824448,4187131904,156246016,3069829120,8032,10928,0,0,0,0,1074,1453,0.810,0.690,0.510,2,0,19,0,0,14,6,0,8,0
30-03 09:31:52,23.426,2.771,73.048,0.756,0,866279424,4151574528,156291072,3069865984,6908,2160,0,1388544,0,66,1435,2329,0.810,0.690,0.510,2,0,2,0,0,14,12,0,8,0
30-03 09:31:53,21.662,5.038,73.048,0,0.252,816680960,4201172992,156291072,3069865984,8069,17658,0,0,0,0,944,1509,0.810,0.690,0.510,2,0,55,0,0,14,6,0,11,0
30-03 09:31:54,21.250,4.250,73,1.500,0,846073856,4171644928,156291072,3069952000,15547,3658,73728,9031680,18,124,1100,1525,0.810,0.690,0.510,2,0,1,0,0,14,26,0,13,0
30-03 09:31:55,21.465,5.051,73.485,0,0,833806336,4183887872,156291072,3069972480,13920,2280,0,0,0,0,1153,1665,0.900,0.720,0.520,3,0,61,0,0,14,30,0,16,0
30-03 09:31:56,22.500,5.500,71.750,0,0.250,811962368,4205580288,156291072,3070119936,12467,3832,0,0,0,0,1263,2184,0.900,0.720,0.520,3,0,99,0,0,14,30,0,21,0
30-03 09:31:57,23.678,3.023,72.796,0.504,0,850411520,4166828032,156299264,3070386176,7747,5782,0,7151616,0,122,1416,2358,0.900,0.720,0.520,6,0,1,0,0,14,32,0,28,0
30-03 09:31:58,22.750,3.500,73.500,0,0.250,841461760,4175671296,156299264,3070488576,9888,3262,0,0,0,0,883,1146,0.900,0.720,0.520,3,0,22,0,0,14,30,0,29,0
30-03 09:31:59,21.662,6.549,71.788,0,0,820473856,4196585472,156303360,3070521344,6219,2160,0,1265664,0,27,1465,2674,0.900,0.720,0.520,2,0,74,0,0,14,30,0,38,0
30-03 09:32:00,24.060,3.008,72.932,0,0,853475328,4163432448,156303360,3070672896,11650,4246,0,0,0,0,1240,2209,0.910,0.720,0.520,2,0,0,0,0,14,30,0,46,0
30-03 09:32:01,20.101,6.533,73.116,0,0.251,839258112,4177620992,156303360,3070697472,9073,5196,0,0,0,0,968,1568,0.910,0.720,0.520,3,0,101,0,0,14,30,0,46,0
30-03 09:32:02,21.945,5.237,72.818,0,0,815452160,4201410560,156303360,3070713856,8143,2160,0,0,0,0,1194,1931,0.910,0.720,0.520,3,0,68,0,0,14,30,0,51,0
30-03 09:32:03,23.559,3.509,72.682,0,0.251,853303296,4163538944,156319744,3070717952,11694,4254,0,327680,0,15,1078,1564,0.910,0.720,0.520,4,0,3,0,0,14,32,0,55,0
30-03 09:32:04,20.707,6.313,72.727,0.253,0,833437696,4183367680,156327936,3070742528,8062,2106,0,2752512,0,43,1196,1812,0.910,0.720,0.520,4,0,71,0,0,14,30,0,57,0
30-03 09:32:05,21.696,5.237,72.569,0.249,0.249,815927296,4200706048,156340224,3070885888,8381,4566,0,159744,0,14,1132,2001,0.920,0.720,0.530,4,0,68,0,0,14,30,0,61,0
30-03 09:32:06,23.929,2.519,73.552,0,0,856477696,4160135168,156352512,3070894080,11119,4364,0,483328,0,22,1046,1392,0.920,0.720,0.530,2,0,1,0,0,14,30,0,65,0
30-03 09:32:07,21.750,5.250,73,0,0,842510336,4174090240,156352512,3070902272,9971,4766,0,0,0,0,940,1476,0.920,0.720,0.530,4,0,73,0,0,14,30,0,65,0
30-03 09:32:08,21.608,5.276,72.613,0.251,0.251,820035584,4196532224,156356608,3070930944,6679,2214,0,49152,0,3,1186,1953,0.920,0.720,0.530,3,0,77,0,0,14,30,0,69,0
30-03 09:32:09,24.372,2.261,72.864,0.251,0.251,858042368,4158525440,156356608,3070930944,8352,5018,0,1556480,0,60,1130,1459,0.920,0.720,0.530,2,0,1,0,0,14,32,0,73,0
30-03 09:32:10,21.357,5.779,72.864,0,0,844550144,4172013568,156360704,3070930944,6003,4990,0,57344,0,5,951,1538,0.930,0.730,0.530,3,0,86,0,0,14,30,0,74,0
30-03 09:32:11,21.092,7.196,71.464,0,0.248,819843072,4196679680,156364800,3070963712,6538,2160,0,36864,0,3,1466,2374,0.930,0.730,0.530,3,0,97,0,0,14,30,0,79,0
30-03 09:32:12,23.116,3.266,73.618,0,0,858292224,4158210048,156372992,3070976000,6367,5542,0,249856,0,13,1183,1729,0.930,0.730,0.530,2,1,1,0,0,14,32,0,83,0
30-03 09:32:13,21.805,7.018,70.677,0.251,0.251,845459456,4170862592,156401664,3071111168,8062,7542,0,434176,0,30,1640,2995,0.930,0.730,0.530,2,0,147,0,0,14,30,0,84,0
30-03 09:32:14,22.613,4.020,73.367,0,0,812691456,4203573248,156409856,3071152128,14345,2652,0,114688,0,6,1264,2214,0.930,0.730,0.530,4,0,21,0,0,14,30,0,93,0
30-03 09:32:15,24.311,2.256,73.183,0.251,0,854511616,4161740800,156418048,3071156224,6567,3180,0,1531904,0,30,665,937,0.930,0.730,0.530,2,0,1,0,0,14,30,0,93,0
30-03 09:32:16,23.116,5.528,71.106,0,0.251,839196672,4177055744,156422144,3071152128,7397,2160,0,45056,0,3,1401,2322,0.930,0.730,0.530,2,0,72,0,0,14,30,0,101,0
30-03 09:32:17,23.678,3.275,73.048,0,0,859803648,4156215296,156430336,3071356928,6864,4564,0,65536,0,6,1307,2120,0.930,0.730,0.530,3,0,0,0,0,14,30,0,110,0
30-03 09:32:18,18.593,9.799,71.357,0,0.251,840736768,4175265792,156430336,3071373312,7602,6258,0,0,0,0,1431,2454,0.930,0.730,0.530,3,0,169,0,0,14,30,0,110,0
30-03 09:32:19,24.242,2.273,73.485,0,0,810217472,4205740032,156430336,3071414272,10681,5082,0,0,0,0,1279,1961,0.930,0.730,0.530,2,0,13,0,0,14,30,0,119,0
30-03 09:32:20,22.613,3.769,72.864,0.503,0.251,855248896,4160708608,156430336,3071414272,20286,3294,0,2396160,0,152,1157,1014,0.940,0.740,0.540,2,0,9,0,0,14,30,0,119,0
30-03 09:32:21,23.308,5.013,71.429,0.251,0,836354048,4179603456,156442624,3071401984,7400,2160,0,253952,0,14,1443,2377,0.940,0.740,0.540,2,0,72,0,0,14,30,0,127,0
30-03 09:32:22,24.181,2.519,73.048,0,0.252,860102656,4155678720,156450816,3071569920,7674,4372,0,86016,0,6,1253,2050,0.940,0.740,0.540,3,0,0,0,0,14,30,0,136,0
30-03 09:32:23,20.151,8.312,71.537,0,0,843411456,4172316672,156450816,3071623168,9872,6746,0,0,0,0,1408,2547,0.940,0.740,0.540,2,0,171,0,0,14,30,0,136,0
30-03 09:32:24,23.367,3.266,73.367,0,0,855932928,4159619072,156454912,3071791104,7821,4482,0,53248,0,5,1210,1922,0.940,0.740,0.540,2,0,0,0,0,14,30,0,145,0
30-03 09:32:25,22.864,3.518,72.362,1.005,0.251,849408000,4166139904,156454912,3071795200,5908,3078,0,2424832,0,275,1375,1134,0.940,0.740,0.540,2,0,22,0,0,14,30,0,145,0
30-03 09:32:26,23.174,4.534,72.292,0,0,824111104,4191395840,156471296,3071819776,5933,2106,0,237568,0,10,1221,2163,0.940,0.740,0.540,2,0,71,0,0,14,30,0,150,0
30-03 09:32:27,23.691,2.993,73.067,0,0.249,859893760,4155416576,156471296,3071995904,6619,4332,0,0,0,0,1281,2117,0.940,0.740,0.540,2,0,1,0,0,14,30,0,159,0
30-03 09:32:28,20.151,7.809,72.040,0,0,846622720,4168675328,156471296,3072004096,16297,8538,0,0,0,0,1362,2507,0.940,0.740,0.540,3,0,169,0,0,14,30,0,159,0
30-03 09:32:29,22.613,4.271,73.116,0,0,820187136,4195065856,156471296,3072045056,7387,2478,0,0,0,0,1394,2082,0.940,0.740,0.540,3,0,21,0,0,14,30,0,168,0
