-- Logs begin at Sat 2020-03-28 15:01:23 UTC, end at Mon 2020-03-30 00:59:56 UTC. --
Mar 30 00:48:09 cloud-provider-iscsi-0000000064 systemd[1]: Started Devstack devstack@dstat.service.
Mar 30 00:48:09 cloud-provider-iscsi-0000000064 dstat.sh[31698]: [286B blob data]
Mar 30 00:48:09 cloud-provider-iscsi-0000000064 dstat.sh[31698]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 30 00:48:09 cloud-provider-iscsi-0000000064 dstat.sh[31698]: 30-03 00:48:09|  0   0 100   0   0| 421M 4196M  186M 2907M|   0     0 |2965B   77k|0.14  0.76 | 211   184 |0.64 0.57 0.45|2.0 1.0 0.5|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 3615   58k  50k0.0%|mysqld       174M|   0     0 |  12    3    0    3    0
Mar 30 00:48:10 cloud-provider-iscsi-0000000064 dstat.sh[31698]: 30-03 00:48:10|  9  22  70   0   0| 421M 4195M  186M 2907M|8769B 2160B|   0   240k|   0  17.0 |2648  5242 |0.64 0.57 0.45|1.0   0 486|   0     0 |bash                 3615 3.5%1997k  31k|bash                 3615 1997k  31k3.5%|mysqld       174M|   0     0 |  12    3    0    3    0
Mar 30 00:48:11 cloud-provider-iscsi-0000000064 dstat.sh[31698]: 30-03 00:48:11| 13  19  68   0   0| 424M 4192M  186M 2908M|  16k 2160B|   0    32k|   0  8.00 |3302  5796 |0.58 0.56 0.45| 11   0 357|   0     0 |systemd              1    3.0%   0    0 |bash                 3615 2649k  22k2.2%|mysqld       174M|   0     0 |  12    3    0    3    0
Mar 30 00:48:12 cloud-provider-iscsi-0000000064 dstat.sh[31698]: 30-03 00:48:12|  7   8  85   0   0| 547M 4069M  186M 3030M|7251B 2106B|   0     0 |   0     0 |2642  4903 |0.58 0.56 0.45|  0   0  67|   0     0 |systemd              1    5.0%   0    0 |bash                 3615  246k 656B0.2%|mysqld       174M|   0     0 |  14    3    0    3    0
Mar 30 00:48:13 cloud-provider-iscsi-0000000064 dstat.sh[31698]: 30-03 00:48:13| 12  15  73   0   0| 558M 4057M  186M 3030M|7019B 2160B|   0     0 |   0     0 |2117  3356 |0.58 0.56 0.45|2.0   0 298|   0     0 |keystone-manage      556  7.0%2250k  79k|keystone-manage      556  2250k  79k7.0%|mysqld       174M|   0     0 |  14    5    0    5    0
Mar 30 00:48:14 cloud-provider-iscsi-0000000064 dstat.sh[31698]: 30-03 00:48:14| 22   4  73   1   0| 607M 4008M  186M 3030M|8480B 2160B| 100k  804k|5.00  8.00 | 753   789 |0.58 0.56 0.45|1.0   0 1.0|   0     0 |keystone-manage      556   24%  12M 224k|keystone-manage      556    12M 224k 24%|mysqld       174M|   0     0 |  14    5    0    5    0
Mar 30 00:48:15 cloud-provider-iscsi-0000000064 dstat.sh[31698]: 30-03 00:48:15| 11   3  73  13   0| 632M 3980M  186M 3032M|7237B 2214B|  52k 6204k|6.00   327 |2255  4032 |0.58 0.56 0.45|  0 1.0 2.0|   0     0 |keystone-manage      556  9.8%3090k 537k|keystone-manage      556  3090k 537k9.8%|mysqld       187M|   0     0 |  14    7    0    5    0
Mar 30 00:48:16 cloud-provider-iscsi-0000000064 dstat.sh[31698]: 30-03 00:48:16|  7   5  72  16   0| 637M 3908M  186M 3097M|9612B 2160B|   0    74M|   0   933 |4512  9342 |0.62 0.57 0.45|  0 1.0   0|   0     0 |mysqld               309776.2%   0    0 |keystone-manage      556    23k  14k3.8%|mysqld       192M|   0     0 |  14    7    0    5    0
Mar 30 00:48:17 cloud-provider-iscsi-0000000064 dstat.sh[31698]: 30-03 00:48:17| 10   4  71  15   0| 640M 3905M  187M 3098M|  10k 2202B|   0  8616k|   0   764 |4219  8369 |0.62 0.57 0.45|  0 1.0   0|   0     0 |keystone-manage      556  5.8%  23k  14k|keystone-manage      556    23k  14k5.8%|mysqld       194M|   0     0 |  14    7    0    5    0
Mar 30 00:48:18 cloud-provider-iscsi-0000000064 dstat.sh[31698]: 30-03 00:48:18| 13   5  70  12   0| 641M 3901M  187M 3099M|7630B 2106B|   0  8588k|   0   718 |3814    12k|0.62 0.57 0.45|1.0   0   0|   0     0 |keystone-manage      556  7.8%  42k 306k|python               6673  290k 602k1.2%|mysqld       196M|   0     0 |  14    7    0    5    0
