-- Logs begin at Tue 2020-04-14 16:06:00 UTC, end at Tue 2020-04-14 18:47:30 UTC. --
Apr 14 18:15:57 cloud-provider-iscsi-0000000257 systemd[1]: Started Devstack devstack@dstat.service.
Apr 14 18:15:57 cloud-provider-iscsi-0000000257 dstat.sh[23716]: [286B blob data]
Apr 14 18:15:57 cloud-provider-iscsi-0000000257 dstat.sh[23716]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 14 18:15:57 cloud-provider-iscsi-0000000257 dstat.sh[23716]: 14-04 18:15:57|  2   1  97   0   0| 421M 4431M  144M 2748M|   0     0 |  42k 1099k|1.54  9.95 | 589   682 |1.69 0.91 0.54|2.0   0 7.2|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2046  760k 719k0.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 14 18:15:58 cloud-provider-iscsi-0000000257 dstat.sh[23716]: 14-04 18:15:58| 11  21  68   0   0| 422M 4429M  144M 2748M|6610B 2160B|  24k  252k|1.00  8.00 |3359  4492 |1.69 0.91 0.54|2.0   0 435|   0     0 |bash                 2046 4.5%1354k  28k|bash                 2046 1354k  28k4.5%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 14 18:15:59 cloud-provider-iscsi-0000000257 dstat.sh[23716]: 14-04 18:15:59| 12  22  66   0   0| 422M 4430M  144M 2749M|5860B 2160B|   0   304k|   0  24.0 |3994  6133 |1.69 0.91 0.54|2.0   0 368|   0     0 |systemd              1    3.5%   0    0 |bash                 2046 3075k  24k2.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 14 18:16:00 cloud-provider-iscsi-0000000257 dstat.sh[23716]: 14-04 18:16:00|  9  10  80   0   0| 547M 4304M  144M 2871M|8280B 2160B|   0  4096B|   0  1.00 |3741  6168 |1.69 0.91 0.54|1.0   0 111|   0     0 |systemd              1    6.2%   0    0 |bash                 2046  471k2354B0.2%|mysqld       173M|   0     0 |  14    3    0    4    0
Apr 14 18:16:01 cloud-provider-iscsi-0000000257 dstat.sh[23716]: 14-04 18:16:01|  8  13  79   0   0| 551M 4299M  144M 2871M|5593B 2106B|   0     0 |   0     0 |2657  3561 |1.69 0.91 0.54|2.0   0 296|   0     0 |bash                 2046 2.8% 608k  18k|bash                 2046  608k  18k2.8%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 14 18:16:02 cloud-provider-iscsi-0000000257 dstat.sh[23716]: 14-04 18:16:02| 23   3  74   1   0| 590M 4261M  144M 2871M|  16k 2214B|  96k    0 |4.00     0 |1163   768 |1.63 0.91 0.54|1.0   0 1.0|   0     0 |keystone-manage      25026 24%9537k 125k|keystone-manage      250269537k 125k 24%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 14 18:16:03 cloud-provider-iscsi-0000000257 dstat.sh[23716]: 14-04 18:16:03| 17   4  73   6   0| 627M 4221M  144M 2873M|9939B 2160B| 108k 3948k|10.0   142 |2259  2978 |1.63 0.91 0.54|2.0   0   0|   0     0 |keystone-manage      25026 17%6651k 658k|keystone-manage      250266651k 658k 17%|mysqld       186M|   0     0 |  14    7    0    6    0
Apr 14 18:16:04 cloud-provider-iscsi-0000000257 dstat.sh[23716]: 14-04 18:16:04|  4   4  69  24   0| 631M 4216M  145M 2874M|5886B 1944B|   0    49M|   0   809 |3174  4443 |1.63 0.91 0.54|2.0   0   0|   0     0 |mysqld               229953.5%   0    0 |python2              23780  14k 458B0.2%|mysqld       189M|   0     0 |  14    7    0    6    0
Apr 14 18:16:05 cloud-provider-iscsi-0000000257 dstat.sh[23716]: 14-04 18:16:05|  6   6  73  14   0| 634M 4146M  145M 2938M|6556B 2106B|   0    75M|   0   783 |4038  7921 |1.63 0.91 0.54|1.0 1.0   0|   0     0 |mysqld               229957.0%   0    0 |keystone-manage      25026  25k  14k4.0%|mysqld       192M|   0     0 |  14    7    0    6    0
Apr 14 18:16:06 cloud-provider-iscsi-0000000257 dstat.sh[23716]: 14-04 18:16:06| 10   4  71  15   0| 636M 4143M  145M 2939M|6090B 2214B|   0  8236k|   0   709 |4382  7199 |1.63 0.91 0.54|1.0 1.0   0|   0     0 |mysqld               229956.5%   0    0 |keystone-manage      25026  23k  13k3.8%|mysqld       194M|   0     0 |  14    7    0    6    0
