"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000343",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","21 Apr 2020 13:27:25 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
21-04 13:27:25,1.164,0.384,98.287,0.128,0.036,440709120,4177797120,152092672,3334221824,0,0,25123.073,690756.011,0.895,5.955,350.523,411.329,0.670,0.410,0.390,3,0,4.670,0,0,12,3,0,4,0
21-04 13:27:26,11.500,19.750,68.500,0,0.250,441548800,4176330752,152096768,3334541312,6161,2160,24576,77824,1,8,2692,5062,0.670,0.410,0.390,1,0,478,0,0,12,3,0,4,0
21-04 13:27:27,13.924,19.241,66.582,0,0.253,445538304,4171816960,152096768,3335159808,15190,2160,0,45056,0,8,3714,6582,0.670,0.410,0.390,1,0,366,0,0,12,3,0,4,0
21-04 13:27:28,11.675,17.766,70.305,0,0.254,573128704,4043726848,152096768,3463118848,7406,2092,0,0,0,0,4525,6993,0.670,0.410,0.390,2,0,317,0,0,14,7,0,4,0
21-04 13:27:29,21.500,4.750,73.250,0.250,0.250,615776256,4000915456,152096768,3463266304,7298,2106,98304,0,4,0,871,1117,0.700,0.420,0.390,1,0,39,0,0,14,5,0,6,0
21-04 13:27:30,20.301,3.509,72.682,3.509,0,655577088,3959255040,152178688,3464994816,7079,2160,110592,2457600,10,75,1090,1989,0.700,0.420,0.390,0,1,0,0,0,14,7,0,7,0
21-04 13:27:31,6.516,4.010,72.431,16.792,0.251,660516864,3952918528,152608768,3465850880,7017,2160,0,9183232,0,784,4052,5758,0.700,0.420,0.390,2,0,2,0,0,14,7,0,7,0
21-04 13:27:32,5.263,4.010,70.927,19.799,0,662392832,3881631744,152809472,3533631488,8714,2106,0,72962048,0,455,2461,3375,0.700,0.420,0.390,0,2,1,0,0,14,7,0,6,0
21-04 13:27:33,5.779,4.523,68.090,21.357,0.251,664375296,3878612992,153182208,3534401536,7261,2214,0,58093568,0,1076,3966,4519,0.700,0.420,0.390,2,1,0,0,0,14,7,0,6,0
21-04 13:27:34,9.524,4.261,70.426,15.539,0.251,666308608,3875467264,153829376,3534909440,7888,2160,0,9134080,0,747,4295,8618,0.800,0.440,0.400,0,1,0,0,0,14,7,0,6,0
21-04 13:27:35,14.392,6.452,67.494,11.663,0,668012544,3872423936,154296320,3535728640,14775,2160,0,8024064,0,666,4775,12073,0.800,0.440,0.400,1,0,0,0,0,14,7,0,6,0
21-04 13:27:36,8.122,5.076,72.335,14.213,0.254,670466048,3868770304,154865664,3536326656,7467,2106,0,9179136,0,707,3771,6625,0.800,0.440,0.400,1,0,0,0,0,14,7,0,6,0
21-04 13:27:37,15.920,4.726,68.657,10.448,0.249,672751616,3864743936,155377664,3537522688,9941,2106,0,7843840,0,602,4547,9493,0.800,0.440,0.400,3,0,0,0,0,14,7,0,6,0
21-04 13:27:38,17.812,5.852,67.430,8.906,0,673673216,3862364160,155570176,3538735104,11172,2160,0,44253184,0,563,4750,10143,0.800,0.440,0.400,1,0,0,0,0,14,7,0,6,0
21-04 13:27:39,13.827,5.432,69.136,11.358,0.247,674406400,3860926464,156049408,3538907136,7386,2106,0,9269248,0,733,4142,10572,0.900,0.470,0.410,1,0,0,0,0,14,7,0,6,0
21-04 13:27:40,16,6.500,71.750,5.500,0.250,604545024,3930320896,156311552,3539095552,6895,2052,0,4476928,0,314,3138,5701,0.900,0.470,0.410,1,0,77,0,0,14,5,0,7,0
21-04 13:27:41,22.613,4.523,72.613,0.251,0,655691776,3878641664,156364800,3539574784,17930,2214,0,6811648,0,75,1194,1562,0.900,0.470,0.410,1,0,3,0,0,14,5,0,7,0
21-04 13:27:42,24.060,2.506,70.927,2.506,0,635371520,3898327040,156393472,3540152320,7418,2106,0,7008256,0,68,982,1298,0.900,0.470,0.410,1,0,11,0,0,14,5,0,7,0
21-04 13:27:43,22.250,4.750,71.500,1.250,0.250,602402816,3929927680,156463104,3541450752,9634,2214,0,9879552,0,270,1775,2062,0.900,0.470,0.410,2,1,58,0,0,14,5,0,7,0
