-- Logs begin at Tue 2020-04-21 09:45:12 UTC, end at Tue 2020-04-21 13:58:31 UTC. --
Apr 21 13:27:24 cloud-provider-iscsi-0000000343 systemd[1]: Started Devstack devstack@dstat.service.
Apr 21 13:27:25 cloud-provider-iscsi-0000000343 dstat.sh[29917]: [286B blob data]
Apr 21 13:27:25 cloud-provider-iscsi-0000000343 dstat.sh[29917]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 21 13:27:25 cloud-provider-iscsi-0000000343 dstat.sh[29917]: 21-04 13:27:25|  1   0  98   0   0| 421M 3984M  145M 3180M|   0     0 |  25k  675k|0.90  5.95 | 351   411 |0.67 0.41 0.39|1.0   0 4.7|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2695  560k 530k0.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 21 13:27:26 cloud-provider-iscsi-0000000343 dstat.sh[29917]: 21-04 13:27:26| 12  19  69   0   0| 421M 3983M  145M 3180M|6001B 2160B|   0    76k|   0  8.00 |2702  5076 |0.67 0.41 0.39|1.0   0 478|   0     0 |bash                 2695 3.5%1989k  31k|bash                 2695 1989k  31k3.5%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 21 13:27:27 cloud-provider-iscsi-0000000343 dstat.sh[29917]: 21-04 13:27:27| 14  19  67   0   0| 423M 3981M  145M 3181M|  15k 2160B|   0    44k|   0  8.00 |3708  6549 |0.67 0.41 0.39|2.0   0 363|   0     0 |systemd              1    3.5%   0    0 |bash                 2695 2640k  22k1.5%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 21 13:27:28 cloud-provider-iscsi-0000000343 dstat.sh[29917]: 21-04 13:27:28| 12  18  70   0   0| 547M 3856M  145M 3303M|7418B 2200B|   0     0 |   0     0 |4538  7015 |0.67 0.41 0.39|1.0   0 318|   0     0 |systemd              1    6.2%   0    0 |bash                 2695  754k  16k2.0%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 21 13:27:29 cloud-provider-iscsi-0000000343 dstat.sh[29917]: 21-04 13:27:29| 21   5  73   0   0| 587M 3816M  145M 3303M|7090B 2052B|  96k    0 |4.00     0 | 854  1093 |0.70 0.42 0.39|1.0   0  38|   0     0 |keystone-manage      31229 23%9809k 126k|keystone-manage      312299809k 126k 23%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 21 13:27:30 cloud-provider-iscsi-0000000343 dstat.sh[29917]: 21-04 13:27:30| 20   3  73   4   0| 625M 3776M  145M 3304M|7005B 2106B| 108k 2432k|10.0  76.0 |1092  1995 |0.70 0.42 0.39|  0 1.0   0|   0     0 |keystone-manage      31229 19%6825k 658k|keystone-manage      312296825k 658k 19%|mysqld       186M|   0     0 |  14    7    0    7    0
Apr 21 13:27:31 cloud-provider-iscsi-0000000343 dstat.sh[29917]: 21-04 13:27:31|  7   4  72  17   0| 630M 3770M  146M 3305M|7017B 2160B|   0  9088k|   0   798 |4099  5832 |0.70 0.42 0.39|5.0   0 2.0|   0     0 |mysqld               291875.0%   0    0 |python2              29993  14k 467B0.2%|mysqld       190M|   0     0 |  14    7    0    7    0
Apr 21 13:27:32 cloud-provider-iscsi-0000000343 dstat.sh[29917]: 21-04 13:27:32|  5   4  71  20   0| 632M 3702M  146M 3370M|8714B 2106B|   0    69M|   0   441 |2409  3293 |0.70 0.42 0.39|  0 2.0 1.0|   0     0 |mysqld               291874.2%   0    0 |keystone-manage      31229  20k  11k2.5%|mysqld       192M|   0     0 |  14    7    0    6    0
Apr 21 13:27:33 cloud-provider-iscsi-0000000343 dstat.sh[29917]: 21-04 13:27:33|  6   5  68  21   0| 634M 3699M  146M 3371M|7261B 2214B|   0    56M|   0  1080 |3980  4544 |0.70 0.42 0.39|  0 1.0   0|   0     0 |mysqld               291873.5%   0    0 |keystone-manage      31229  16k  10k2.8%|mysqld       193M|   0     0 |  14    7    0    6    0
Apr 21 13:27:34 cloud-provider-iscsi-0000000343 dstat.sh[29917]: 21-04 13:27:34| 10   5  70  15   0| 635M 3696M  147M 3371M|8040B 2160B|   0  8848k|   0   755 |4333  8680 |0.80 0.44 0.40|1.0 1.0   0|   0     0 |mysqld               291876.8%   0    0 |keystone-manage      31229  32k  18k4.8%|mysqld       195M|   0     0 |  14    7    0    6    0
