"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000199",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","08 Apr 2020 13:54:36 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
08-04 13:54:36,1.337,0.453,98.008,0.154,0.047,443854848,4657037312,150945792,2865127424,0,0,31591.665,848150.494,1.125,7.309,412.708,545.569,0.460,0.600,0.450,2,0,5.851,0,0,12,3,0,4,0
08-04 13:54:37,10.406,20.812,68.528,0,0.254,444039168,4655886336,150949888,2865684480,6249,2160,24576,102400,1,8,2836,5254,0.460,0.600,0.450,2,0,505,0,0,12,3,0,4,0
08-04 13:54:38,13.065,20.352,66.332,0,0.251,443904000,4655566848,150949888,2866196480,6336,2160,0,28672,0,7,3274,7065,0.500,0.610,0.460,2,0,318,0,0,12,3,0,4,0
08-04 13:54:39,8.816,10.579,80.353,0,0.252,577187840,4521897984,150949888,2994077696,6350,2160,0,0,0,0,3275,7059,0.500,0.610,0.460,4,0,116,0,0,14,5,0,4,0
08-04 13:54:40,15.909,11.364,72.727,0,0,596754432,4502163456,150953984,2994176000,7232,2160,0,0,0,0,1978,3131,0.500,0.610,0.460,2,0,266,0,0,14,5,0,6,0
08-04 13:54:41,20.655,3.023,74.307,1.763,0.252,636506112,4461727744,150953984,2994860032,7403,2160,192512,0,12,0,711,800,0.500,0.610,0.460,2,0,2,0,0,14,5,0,6,0
08-04 13:54:42,11.335,4.030,73.300,11.335,0,660455424,4435308544,151314432,2996891648,5701,2202,16384,8110080,2,523,2407,5770,0.500,0.610,0.460,2,0,0,0,0,14,7,0,6,0
08-04 13:54:43,8.397,4.580,73.028,13.740,0.254,664666112,4361646080,151642112,3064545280,22061,2052,0,78753792,0,760,2862,7410,0.620,0.630,0.460,2,0,0,0,0,14,7,0,6,0
08-04 13:54:44,8.081,3.535,72.980,15.404,0,667058176,4357799936,151986176,3065565184,10561,2052,0,7380992,0,609,2735,6779,0.620,0.630,0.460,6,0,0,0,0,14,7,0,6,0
08-04 13:54:45,11.083,5.290,71.537,11.839,0.252,668921856,4355264512,152555520,3065622528,7998,2160,0,9170944,0,756,3466,9254,0.620,0.630,0.460,2,1,0,0,0,14,7,0,6,0
08-04 13:54:46,13.811,5.115,71.355,9.463,0.256,670695424,4351827968,152956928,3066834944,6586,2160,0,7102464,0,562,4051,10631,0.620,0.630,0.460,2,0,0,0,0,14,7,0,6,0
08-04 13:54:47,9.367,4.810,71.646,14.177,0,672636928,4348624896,153477120,3067506688,7055,2160,0,9048064,0,726,4223,6975,0.620,0.630,0.460,2,0,0,0,0,14,7,0,6,0
08-04 13:54:48,6.091,6.091,58.883,28.680,0.254,674160640,4346667008,153763840,3067592704,8769,2160,0,93618176,0,1104,3498,3781,0.730,0.660,0.470,2,0,0,0,0,14,7,0,6,0
08-04 13:54:49,18.718,4.103,71.282,5.897,0,675295232,4344094720,154087424,3068723200,7075,2160,0,4567040,0,319,5384,10466,0.730,0.660,0.470,2,0,0,0,0,14,7,0,6,0
08-04 13:54:50,16.031,4.835,69.720,9.160,0.254,676691968,4341559296,154435584,3069480960,6817,2160,0,6385664,0,489,5815,11027,0.730,0.660,0.470,2,0,0,0,0,14,7,0,6,0
08-04 13:54:51,14.684,5.316,69.620,10.127,0.253,677228544,4340097024,154935296,3069894656,6441,2160,0,9048064,0,666,4402,12839,0.730,0.660,0.470,1,1,2,0,0,14,7,0,6,0
08-04 13:54:52,19.849,6.281,73.869,0,0,628756480,4388536320,154951680,3069911040,7245,2052,0,163840,0,15,1169,1805,0.730,0.660,0.470,2,0,78,0,0,14,5,0,7,0
08-04 13:54:53,23.367,3.266,71.106,2.261,0,611155968,4405604352,154988544,3070406656,6385,2094,0,6971392,0,71,1024,1419,0.750,0.660,0.470,2,0,11,0,0,14,5,0,7,0
08-04 13:54:54,22.807,3.509,72.932,0.752,0,655261696,4360892416,155033600,3070967808,8064,2160,0,10035200,0,204,1120,1272,0.750,0.660,0.470,2,0,0,0,0,14,5,0,7,0
08-04 13:54:55,15.482,12.944,70.558,0.761,0.254,605749248,4408791040,155148288,3072446464,6704,2160,0,6479872,0,139,2496,4284,0.750,0.660,0.470,2,0,281,0,0,14,5,0,7,0
08-04 13:54:56,12.214,21.120,66.412,0,0.254,605507584,4407844864,155152384,3073581056,6444,2160,0,114688,0,15,3106,6214,0.750,0.660,0.470,2,0,419,0,0,14,5,0,7,0
08-04 13:54:57,39.698,13.568,46.734,0,0,673476608,4339445760,155152384,3074338816,8273,2160,0,0,0,0,2667,4150,0.750,0.660,0.470,3,0,172,0,0,14,7,0,7,0
08-04 13:54:58,45.113,3.759,49.373,1.504,0.251,749215744,4263206912,155160576,3074781184,7464,2160,151552,16384,5,1,953,750,0.850,0.680,0.480,3,0,0,0,0,14,7,0,7,0
08-04 13:54:59,41.457,10.302,48.241,0,0,782700544,4227330048,155168768,3076820992,7853,2160,0,24576,0,1,2351,8033,0.850,0.680,0.480,4,0,170,0,0,14,5,0,8,0
08-04 13:55:00,23.250,2.750,73.750,0,0.250,832819200,4177063936,155168768,3076833280,7737,2160,0,0,0,0,620,833,0.850,0.680,0.480,3,0,0,0,0,14,5,0,8,0
08-04 13:55:01,23.678,2.519,73.300,0.504,0,859975680,4149850112,155230208,3076808704,8007,3051,0,1359872,0,66,1350,2339,0.850,0.680,0.480,2,0,4,0,0,14,11,0,8,0
08-04 13:55:02,21.772,4.304,73.924,0,0,813416448,4196352000,155230208,3076866048,10552,1944,0,0,0,0,930,1244,0.850,0.680,0.480,2,0,53,0,0,14,5,0,11,0
08-04 13:55:03,21.465,2.273,74.242,1.768,0.253,840224768,4169424896,155230208,3076952064,7667,2160,73728,0,18,0,1024,1498,0.870,0.690,0.490,2,0,1,0,0,14,27,0,13,0
08-04 13:55:04,21.197,5.985,72.319,0.499,0,824463360,4185165824,155230208,3076968448,14035,2106,0,9420800,0,124,1198,1697,0.870,0.690,0.490,2,0,61,0,0,14,29,0,16,0
08-04 13:55:05,23.618,3.266,72.864,0,0.251,795561984,4213882880,155250688,3077103616,19820,2214,0,1425408,0,15,1134,1640,0.870,0.690,0.490,4,0,46,0,0,14,29,0,21,0
