-- Logs begin at Wed 2020-04-08 10:57:43 UTC, end at Wed 2020-04-08 14:05:16 UTC. --
Apr 08 13:54:35 cloud-provider-iscsi-0000000199 systemd[1]: Started Devstack devstack@dstat.service.
Apr 08 13:54:36 cloud-provider-iscsi-0000000199 dstat.sh[29758]: [286B blob data]
Apr 08 13:54:36 cloud-provider-iscsi-0000000199 dstat.sh[29758]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 08 13:54:36 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:54:36|  1   0  98   0   0| 423M 4441M  144M 2732M|   0     0 |  31k  828k|1.13  7.31 | 413   546 |0.46 0.60 0.45|2.0   0 5.9|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2285  595k 552k0.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 08 13:54:37 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:54:37| 10  21  69   0   0| 424M 4440M  144M 2733M|6249B 2160B|  24k  100k|1.00  8.00 |2835  5250 |0.46 0.60 0.45|2.0   0 505|   0     0 |bash                 2285 3.5%2021k  32k|bash                 2285 2021k  32k3.5%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 08 13:54:38 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:54:38| 13  20  66   0   0| 423M 4440M  144M 2733M|6336B 2160B|   0    28k|   0  7.00 |3275  7069 |0.50 0.61 0.46|2.0   0 318|   0     0 |systemd              1    3.8%   0    0 |bash                 2285 2619k  21k2.2%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 08 13:54:39 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:54:39|  9  11  80   0   0| 550M 4312M  144M 2855M|6350B 2160B|   0     0 |   0     0 |3274  7058 |0.50 0.61 0.46|3.0   0 116|   0     0 |systemd              1    6.0%   0    0 |bash                 2285  399k2132B0.5%|mysqld       173M|   0     0 |  14    5    0    4    0
Apr 08 13:54:40 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:54:40| 16  11  73   0   0| 569M 4294M  144M 2855M|7232B 2160B|   0     0 |   0     0 |1978  3131 |0.50 0.61 0.46|1.0   0 266|   0     0 |keystone-manage      31070 11%4942k  79k|keystone-manage      310704942k  79k 11%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 08 13:54:41 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:54:41| 21   3  74   2   0| 607M 4255M  144M 2856M|7403B 2160B| 188k    0 |12.0     0 | 712   801 |0.50 0.61 0.46|2.0   0 2.0|   0     0 |keystone-manage      31070 23%  10M 274k|keystone-manage      31070  10M 274k 23%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 08 13:54:42 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:54:42| 11   4  73  11   0| 630M 4230M  144M 2858M|5701B 2202B|  16k 7916k|2.00   521 |2405  5769 |0.50 0.61 0.46|1.0 1.0   0|   0     0 |keystone-manage      310708.5%1551k 427k|keystone-manage      310701551k 427k8.5%|mysqld       188M|   0     0 |  14    7    0    6    0
Apr 08 13:54:43 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:54:43|  8   5  73  14   0| 634M 4160M  145M 2923M|  22k 2052B|   0    75M|   0   761 |2860  7402 |0.62 0.63 0.46|1.0 1.0   0|   0     0 |mysqld               290347.8%   0    0 |keystone-manage      31070  20k  11k3.2%|mysqld       192M|   0     0 |  14    7    0    6    0
Apr 08 13:54:44 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:54:44|  8   4  73  15   0| 636M 4156M  145M 2924M|  10k 2052B|   0  7212k|   0   609 |2734  6779 |0.62 0.63 0.46|5.0 1.0   0|   0     0 |mysqld               290345.5%   0    0 |keystone-manage      31070  20k  12k4.2%|mysqld       194M|   0     0 |  14    7    0    6    0
Apr 08 13:54:45 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:54:45| 11   5  72  12   0| 638M 4154M  145M 2924M|7998B 2160B|   0  8944k|   0   755 |3465  9257 |0.62 0.63 0.46|3.0   0   0|   0     0 |mysqld               290348.2%   0    0 |keystone-manage      31070  29k  17k5.2%|mysqld       196M|   0     0 |  14    7    0    6    0
Apr 08 13:54:46 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:54:46| 14   5  71   9   0| 640M 4150M  146M 2925M|6586B 2160B|   0  6916k|   0   564 |4055    11k|0.62 0.63 0.46|1.0 1.0   0|   0     0 |keystone-manage      310708.8%  45k 293k|python3.6            6043  273k 569k1.8%|mysqld       196M|   0     0 |  14    7    0    6    0
Apr 08 13:54:47 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:54:47|  9   5  72  14   0| 641M 4147M  146M 2925M|7055B 2160B|   0  8868k|   0   726 |4225  6981 |0.62 0.63 0.46|2.0   0   0|   0     0 |mysqld               290346.8%   0    0 |keystone-manage      31070  23k  14k5.2%|mysqld       198M|   0     0 |  14    7    0    6    0
Apr 08 13:54:48 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:54:48|  6   6  59  29   0| 643M 4145M  147M 2925M|8769B 2160B|   0    89M|   0  1104 |3497  3780 |0.73 0.66 0.47|2.0   0   0|   0     0 |mysqld               290344.8%   0    0 |keystone-manage      31070  14k9515B2.5%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 08 13:54:49 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:54:49| 19   4  71   6   0| 644M 4143M  147M 2927M|7075B 2160B|   0  4460k|   0   319 |5383    10k|0.73 0.66 0.47|1.0   0   0|   0     0 |keystone-manage      31070 14%  58k 362k|python3.6            6043  339k 708k2.8%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 08 13:54:50 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:54:50| 16   5  70   9   0| 645M 4140M  147M 2927M|6817B 2160B|   0  6236k|   0   489 |5817    11k|0.73 0.66 0.47|2.0   0   0|   0     0 |keystone-manage      310709.8%  39k 346k|python3.6            6043  332k 692k2.2%|mysqld       200M|   0     0 |  14    7    0    6    0
Apr 08 13:54:51 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:54:51| 15   5  70  10   0| 646M 4139M  148M 2928M|6441B 2160B|   0  8836k|   0   666 |4402    13k|0.73 0.66 0.47|1.0 1.0 2.0|   0     0 |keystone-manage      310708.8%  49k  32k|keystone-manage      31070  49k  32k8.8%|mysqld       201M|   0     0 |  14    7    0    6    0
Apr 08 13:54:52 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:54:52| 20   6  74   0   0| 600M 4185M  148M 2928M|7245B 2052B|   0   160k|   0  15.0 |1170  1805 |0.73 0.66 0.47|2.0   0  78|   0     0 |keystone-manage      31152 15%6062k  37k|bash                 2285   17M1881k1.0%|mysqld       201M|   0     0 |  14    5    0    7    0
Apr 08 13:54:53 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:54:53| 23   3  71   2   0| 583M 4202M  148M 2928M|6385B 2094B|   0  6808k|   0  71.0 |1023  1419 |0.75 0.66 0.47|2.0   0  11|   0     0 |keystone-manage      311632.5%1569k  37k|bash                 2285   16M  39k  0%|mysqld       201M|   0     0 |  14    5    0    7    0
Apr 08 13:54:54 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:54:54| 23   4  73   1   0| 625M 4159M  148M 2929M|8064B 2160B|   0  9800k|   0   204 |1119  1270 |0.75 0.66 0.47|2.0   0   0|   0     0 |keystone-manage      31163 25%  11M   0 |keystone-manage      31163  11M   0  25%|mysqld       201M|   0     0 |  14    5    0    7    0
Apr 08 13:54:55 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:54:55| 15  13  71   1   0| 578M 4205M  148M 2930M|6704B 2160B|   0  6328k|   0   139 |2496  4285 |0.75 0.66 0.47|1.0   0 281|   0     0 |bash                 2285 2.8%  17M  57k|bash                 2285   17M  57k2.8%|mysqld       201M|   0     0 |  14    5    0    7    0
Apr 08 13:54:56 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:54:56| 12  21  66   0   0| 577M 4204M  148M 2931M|6444B 2160B|   0   112k|   0  15.0 |3107  6215 |0.75 0.66 0.47|2.0   0 419|   0     0 |systemd              1    2.8%   0    0 |bash                 2285 3590k  25k2.0%|mysqld       201M|   0     0 |  14    5    0    7    0
Apr 08 13:54:57 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:54:57| 40  14  47   0   0| 642M 4139M  148M 2932M|8273B 2160B|   0     0 |   0     0 |2666  4149 |0.75 0.66 0.47|2.0   0 172|   0     0 |uwsgi                31906 18%5968k  37k|uwsgi                319057698k  37k 17%|mysqld       201M|   0     0 |  14    7    0    7    0
Apr 08 13:54:58 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:54:58| 45   4  49   2   0| 714M 4066M  148M 2932M|7464B 2160B| 148k   16k|5.00  1.00 | 954   751 |0.85 0.68 0.48|3.0   0   0|   0     0 |uwsgi                31906 25%9916k 240k|uwsgi                319069916k 240k 25%|mysqld       201M|   0     0 |  14    7    0    7    0
Apr 08 13:54:59 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:54:59| 41  10  48   0   0| 746M 4032M  148M 2934M|7853B 2160B|   0    24k|   0  1.00 |2349  8032 |0.85 0.68 0.48|2.0   0 170|   0     0 |uwsgi                31906 18%1588k 236k|uwsgi                319051786k 433k 15%|mysqld       201M|   0     0 |  14    5    0    8    0
Apr 08 13:55:00 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:55:00| 23   3  74   0   0| 794M 3984M  148M 2934M|7737B 2160B|   0     0 |   0     0 | 622   834 |0.85 0.68 0.48|3.0   0   0|   0     0 |keystone-manage      32181 25%  12M   0 |keystone-manage      32181  12M   0  25%|mysqld       201M|   0     0 |  14    5    0    8    0
Apr 08 13:55:01 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:55:01| 24   3  73   1   0| 820M 3958M  148M 2934M|8007B 3051B|   0  1328k|   0  66.0 |1350  2339 |0.85 0.68 0.48|2.0   0 4.0|   0     0 |keystone-manage      32181 23%3151k  13k|keystone-manage      321813151k  13k 23%|mysqld       203M|   0     0 |  14   11    0    8    0
Apr 08 13:55:02 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:55:02| 22   4  74   0   0| 776M 4002M  148M 2934M|  10k 1944B|   0     0 |   0     0 | 929  1243 |0.85 0.68 0.48|1.0   0  53|   0     0 |openstack            32262 18%7743k  37k|bash                 2285   18M  50k  0%|mysqld       203M|   0     0 |  14    5    0   11    0
Apr 08 13:55:03 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:55:03| 21   2  74   2   0| 801M 3976M  148M 2934M|7667B 2160B|  72k    0 |18.0     0 |1025  1499 |0.87 0.69 0.49|2.0   0 1.0|   0     0 |openstack            32262 12%3504k   0 |openstack            322623504k   0  12%|mysqld       205M|   0     0 |  14   31    0   14    0
Apr 08 13:55:04 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:55:04| 21   6  72   0   0| 786M 3991M  148M 2934M|  14k 2106B|   0  9200k|   0   124 |1197  1696 |0.87 0.69 0.49|1.0   0  61|   0     0 |openstack            32324 17%7018k  37k|bash                 2285   11M  39k  0%|mysqld       205M|   0     0 |  14   29    0   16    0
Apr 08 13:55:05 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:55:05| 24   3  73   0   0| 759M 4019M  148M 2935M|  19k 2214B|   0  1392k|   0  15.0 |1131  1626 |0.87 0.69 0.49|4.0   0  45|   0     0 |uwsgi                319051.8%2677B8386B|bash                 2285   11M  40k0.5%|mysqld       205M|   0     0 |  14   29    0   21    0
Apr 08 13:55:06 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:55:06| 23   4  73   1   0| 800M 3977M  148M 2935M|8062B 2275B|   0  1932k|   0  65.0 | 945  1375 |0.87 0.69 0.49|2.0   0  55|   0     0 |openstack            32424 24%  10M  37k|openstack            32424  10M  37k 24%|mysqld       205M|   0     0 |  14   29    0   21    0
Apr 08 13:55:07 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:55:07| 23   3  73   0   0| 777M 4000M  148M 2935M|7635B 2214B|   0     0 |   0     0 |1325  2134 |0.87 0.69 0.49|2.0   0  22|   0     0 |openstack            324469.2%4782k  37k|bash                 2285   11M  41k  0%|mysqld       205M|   0     0 |  14   29    0   29    0
Apr 08 13:55:08 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:55:08| 24   3  74   0   0| 804M 3973M  148M 2935M|8704B 2160B|   0     0 |   0     0 |1061  1711 |0.88 0.69 0.49|2.0   0   0|   0     0 |openstack            32446 19%6441k   0 |openstack            324466441k   0  19%|mysqld       205M|   0     0 |  14   31    0   36    0
Apr 08 13:55:09 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:55:09| 23   4  72   0   0| 795M 3982M  148M 2935M|5790B 2254B|   0  3108k|   0  47.0 |1011  1554 |0.88 0.69 0.49|2.0   0  74|   0     0 |openstack            32520 17%7873k  37k|bash                 2285   11M  37k  0%|mysqld       205M|   0     0 |  14   29    0   37    0
Apr 08 13:55:10 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:55:10| 21   6  72   0   0| 765M 4012M  148M 2935M|5974B 2160B|   0   204k|   0  12.0 |1825  3247 |0.88 0.69 0.49|2.0   0 100|   0     0 |uwsgi                319064.5%5041B  16k|bash                 2285   11M  44k0.2%|mysqld       205M|   0     0 |  14   29    0   46    0
Apr 08 13:55:11 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:55:11| 23   3  73   0   0| 808M 3969M  148M 2935M|7756B 2196B|   0   388k|   0  21.0 | 729   938 |0.88 0.69 0.49|2.0   0 3.0|   0     0 |openstack            32621 25%  10M  37k|openstack            32621  10M  37k 25%|mysqld       205M|   0     0 |  14   30    0   46    1
Apr 08 13:55:12 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:55:12| 21   6  73   0   0| 789M 3987M  148M 2935M|7326B 1998B|   0     0 |   0     0 |1288  1879 |0.88 0.69 0.49|2.0   0  69|   0     0 |openstack            32692 14%6482k  37k|bash                 2285   11M  40k  0%|mysqld       205M|   0     0 |  14   29    0   50    0
Apr 08 13:55:13 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:55:13| 24   2  74   0   0| 811M 3965M  148M 2935M|6329B 2106B|   0   100k|   0  9.00 |1091  1515 |0.89 0.70 0.49|2.0   0 2.0|   0     0 |uwsgi                319057.0% 683k  12k|bash                 32649  11M  37k0.2%|mysqld       205M|   0     0 |  14   29    0   56    0
Apr 08 13:55:14 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:55:14| 22   5  73   0   0| 804M 3972M  148M 2935M|8046B 2214B|   0  1416k|   0  60.0 |1118  1388 |0.89 0.70 0.49|2.0   0  69|   0     0 |openstack            32763 22%9871k  37k|bash                 2285   11M  40k0.2%|mysqld       205M|   0     0 |  14   29    0   56    0
Apr 08 13:55:15 cloud-provider-iscsi-0000000199 dstat.sh[29758]: 08-04 13:55:15| 22   5  72   0   0| 775M 4002M  148M 2935M|6566B 2160B|   0   148k|   0  14.0 |1273  1924 |0.89 0.70 0.49|2.0   0  68|   0     0 |openstack            366  7.8%2056k   0 |bash                 2285   11M  40k0.2%|mysqld       205M|   0     0 |  14   29    0   60    0
