-- Logs begin at Thu 2020-04-23 16:11:53 UTC, end at Thu 2020-04-23 18:13:53 UTC. --
Apr 23 17:41:59 cloud-provider-iscsi-0000000377 systemd[1]: Started Devstack devstack@dstat.service.
Apr 23 17:41:59 cloud-provider-iscsi-0000000377 dstat.sh[23846]: [286B blob data]
Apr 23 17:41:59 cloud-provider-iscsi-0000000377 dstat.sh[23846]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 23 17:41:59 cloud-provider-iscsi-0000000377 dstat.sh[23846]: 23-04 17:41:59|  3   1  96   0   0| 424M 4012M  145M 3154M|   0     0 |  60k 1674k|2.22  14.4 | 552   774 |0.61 0.65 0.50|2.0   0  10|   0     0 |systemd              1    0.1%   0    0 |bash                 2154 1330k1267k0.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 23 17:42:00 cloud-provider-iscsi-0000000377 dstat.sh[23846]: 23-04 17:42:00|  9  22  69   0   0| 423M 4013M  145M 3155M|8490B 2160B|  24k  164k|1.00  9.00 |2892  5215 |0.61 0.65 0.50|1.0   0 495|   0     0 |bash                 2154 3.8%1910k  31k|bash                 2154 1910k  31k3.8%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 23 17:42:01 cloud-provider-iscsi-0000000377 dstat.sh[23846]: 23-04 17:42:01| 13  21  66   0   0| 424M 4011M  145M 3155M|7060B 2214B|   0    32k|   0  8.00 |3227  5781 |0.61 0.65 0.50|  0   0 344|   0     0 |systemd              1    3.0%   0    0 |bash                 2154 2749k  23k2.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 23 17:42:02 cloud-provider-iscsi-0000000377 dstat.sh[23846]: 23-04 17:42:02|  9  10  73   8   0| 549M 3885M  145M 3277M|6789B 2094B|   0  7132k|   0   282 |3099  3165 |0.61 0.65 0.50|  0   0  84|   0     0 |systemd              1    7.2%   0    0 |bash                 2154  246k 656B  0%|mysqld       173M|   0     0 |  14    3    0    4    0
Apr 23 17:42:03 cloud-provider-iscsi-0000000377 dstat.sh[23846]: 23-04 17:42:03| 10  16  74   0   0| 560M 3874M  145M 3277M|  11k 2052B|   0     0 |   0     0 |2193  3575 |0.80 0.69 0.52|1.0   0 296|   0     0 |keystone-manage      251584.5%2243k  79k|keystone-manage      251582243k  79k4.5%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 23 17:42:04 cloud-provider-iscsi-0000000377 dstat.sh[23846]: 23-04 17:42:04| 23   3  74   1   0| 601M 3833M  145M 3278M|  10k 2106B| 120k    0 |7.00     0 | 631   817 |0.80 0.69 0.52|1.0   0 2.0|   0     0 |keystone-manage      25158 25%  10M 153k|keystone-manage      25158  10M 153k 25%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 23 17:42:05 cloud-provider-iscsi-0000000377 dstat.sh[23846]: 23-04 17:42:05| 15   3  73   9   0| 629M 3803M  145M 3280M|8791B 2160B|  84k 5932k|7.00   294 |2570  4127 |0.80 0.69 0.52|  0 1.0   0|   0     0 |keystone-manage      25158 13%3748k 551k|keystone-manage      251583748k 551k 13%|mysqld       187M|   0     0 |  14    7    0    6    0
Apr 23 17:42:06 cloud-provider-iscsi-0000000377 dstat.sh[23846]: 23-04 17:42:06|  9   4  72  16   0| 633M 3797M  145M 3280M|8472B 2160B|   0  8916k|   0   791 |3760  8453 |0.80 0.69 0.52|  0 1.0   0|   0     0 |mysqld               231236.2%   0    0 |keystone-manage      25158  20k  11k3.8%|mysqld       192M|   0     0 |  14    7    0    6    0
Apr 23 17:42:07 cloud-provider-iscsi-0000000377 dstat.sh[23846]: 23-04 17:42:07|  6   7  69  18   0| 639M 3725M  146M 3345M|  16k 2160B|   0   116M|   0   894 |3201  5268 |0.80 0.69 0.52|  0 2.0   0|   0     0 |mysqld               231236.8%   0    0 |keystone-manage      25158  12k7673B2.8%|mysqld       193M|   0     0 |  14    7    0    6    0
Apr 23 17:42:08 cloud-provider-iscsi-0000000377 dstat.sh[23846]: 23-04 17:42:08| 10   5  71  15   0| 638M 3725M  146M 3346M|6513B 2160B|   0    16M|   0   767 |3930  8205 |0.82 0.69 0.52|3.0   0   0|   0     0 |mysqld               231236.8%   0    0 |keystone-manage      25158  34k  18k5.0%|mysqld       195M|   0     0 |  14    7    0    6    0
Apr 23 17:42:09 cloud-provider-iscsi-0000000377 dstat.sh[23846]: 23-04 17:42:09| 14   5  69  12   0| 640M 3722M  147M 3347M|6164B 2160B|   0  7216k|   0   607 |5007    11k|0.82 0.69 0.52|1.0   0   0|   0     0 |keystone-manage      251587.8%  36k 290k|python3.6            5906  274k 570k1.8%|mysqld       196M|   0     0 |  14    7    0    6    0
Apr 23 17:42:10 cloud-provider-iscsi-0000000377 dstat.sh[23846]: 23-04 17:42:10|  9   3  73  14   0| 641M 3719M  147M 3347M|5541B 2052B|   0  7780k|   0   599 |3869  7038 |0.82 0.69 0.52|1.0   0   0|   0     0 |keystone-manage      251585.8%  32k  20k|keystone-manage      25158  32k  20k5.8%|mysqld       197M|   0     0 |  14    7    0    6    0
Apr 23 17:42:11 cloud-provider-iscsi-0000000377 dstat.sh[23846]: 23-04 17:42:11| 12   4  70  14   0| 644M 3716M  148M 3348M|7081B 2160B|   0  9316k|   0   764 |4491  8714 |0.82 0.69 0.52|  0 1.0   0|   0     0 |mysqld               231237.8%   0    0 |keystone-manage      25158  18k  12k5.0%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 23 17:42:12 cloud-provider-iscsi-0000000377 dstat.sh[23846]: 23-04 17:42:12| 20   6  70   5   0| 645M 3714M  148M 3349M|6866B 2160B|   0  4064k|   0   277 |3933    10k|0.82 0.69 0.52|1.0   0   0|   0     0 |keystone-manage      25158 15%  61k 368k|python3.6            5906  345k 719k2.8%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 23 17:42:13 cloud-provider-iscsi-0000000377 dstat.sh[23846]: 23-04 17:42:13| 15   5  67  13   0| 646M 3711M  148M 3350M|8808B 2160B|   0    36M|   0   755 |3951  8697 |0.75 0.68 0.52|  0 1.0   0|   0     0 |keystone-manage      251588.2%  37k 350k|python3.6            5906  336k 701k1.5%|mysqld       200M|   0     0 |  14    7    0    6    0
Apr 23 17:42:14 cloud-provider-iscsi-0000000377 dstat.sh[23846]: 23-04 17:42:14| 15   5  68  11   0| 647M 3709M  148M 3350M|8931B 2052B|   0  8372k|   0   607 |5293    12k|0.75 0.68 0.52|1.0   0 2.0|   0     0 |keystone-manage      251589.2%  49k  33k|keystone-manage      25158  49k  33k9.2%|mysqld       200M|   0     0 |  14    7    0    7    0
Apr 23 17:42:15 cloud-provider-iscsi-0000000377 dstat.sh[23846]: 23-04 17:42:15| 22   5  73   0   0| 608M 3748M  148M 3350M|7124B 2160B|   0     0 |   0     0 |1085  1467 |0.75 0.68 0.52|1.0   0  78|   0     0 |keystone-manage      25240 16%7266k  37k|bash                 2154   17M1898k0.8%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 23 17:42:16 cloud-provider-iscsi-0000000377 dstat.sh[23846]: 23-04 17:42:16| 23   3  73   1   0| 583M 3772M  148M 3350M|7164B 2160B|   0  7028k|   0  73.0 |1031  1505 |0.75 0.68 0.52|1.0   0  11|   0     0 |keystone-manage      252511.5%1393k  37k|bash                 2154   16M  39k  0%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 23 17:42:17 cloud-provider-iscsi-0000000377 dstat.sh[23846]: 23-04 17:42:17| 23   3  73   0   0| 625M 3731M  148M 3351M|5779B 2160B|   0  7012k|   0  73.0 | 925  1243 |0.75 0.68 0.52|1.0   0   0|   0     0 |keystone-manage      25251 25%  10M   0 |keystone-manage      25251  10M   0  25%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 23 17:42:18 cloud-provider-iscsi-0000000377 dstat.sh[23846]: 23-04 17:42:18| 16  13  69   2   0| 577M 3777M  149M 3352M|  16k 2160B|   0    10M|   0   426 |2913  3824 |0.77 0.69 0.52|2.0   0 250|   0     0 |bash                 2154 2.2%  16M  55k|bash                 2154   16M  55k2.2%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 23 17:42:19 cloud-provider-iscsi-0000000377 dstat.sh[23846]: 23-04 17:42:19| 12  23  64   0   0| 578M 3774M  149M 3354M|5958B 2160B|   0   216k|   0  17.0 |2957  5984 |0.77 0.69 0.52|2.0   0 450|   0     0 |bash                 2154 2.5%3822k  27k|bash                 2154 3822k  27k2.5%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 23 17:42:20 cloud-provider-iscsi-0000000377 dstat.sh[23846]: 23-04 17:42:20| 36  13  51   0   0| 635M 3717M  149M 3354M|7192B 2052B|   0     0 |   0     0 |3071  4245 |0.77 0.69 0.52|2.0   0 172|   0     0 |uwsgi                25993 15%5886k  37k|uwsgi                259935886k  37k 15%|mysqld       200M|   0     0 |  14    7    0    7    0
