"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000316",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","17 Apr 2020 11:57:20 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
17-04 11:57:20,7.754,2.486,88.462,1.243,0.056,446513152,4203851776,153559040,3303034880,0,0,170903.301,4688155.805,6.114,39.394,1395.762,1995.803,0.590,0.610,0.490,2,0,31.798,0,0,12,4,0,4,0
17-04 11:57:21,9.067,23.057,67.876,0,0,447041536,4202422272,153563136,3303620608,7839,23940,24576,102400,1,10,2591,5128,0.590,0.610,0.490,4,0,478,0,0,12,4,0,4,0
17-04 11:57:22,16.203,17.975,65.570,0,0.253,448368640,4200685568,153563136,3303956480,7727,12442,0,20480,0,5,3916,6614,0.590,0.610,0.490,1,0,281,0,0,12,4,0,4,0
17-04 11:57:23,12.437,14.721,72.589,0,0.254,587345920,4061126656,153563136,3432136704,22425,8154,0,0,0,0,3629,6419,0.590,0.610,0.490,1,0,318,0,0,14,6,0,6,0
17-04 11:57:24,20.907,2.015,74.055,3.023,0,625512448,4022743040,153563136,3432353792,9662,13666,98304,0,4,0,680,796,0.590,0.610,0.490,1,0,0,0,0,14,6,0,6,0
17-04 11:57:25,12.250,2.250,73.750,11.750,0,648187904,3999031296,153563136,3433377792,15341,2106,98304,0,9,0,469,560,0.620,0.620,0.500,0,1,0,0,0,14,6,0,6,0
17-04 11:57:26,5.556,2.525,67.172,24.747,0,665042944,3981500416,153645056,3433914368,8507,97368,12288,36880384,1,318,1925,2796,0.620,0.620,0.500,0,2,0,0,0,14,8,0,6,0
17-04 11:57:27,6.250,4.500,71.500,17.500,0.250,666300416,3978510336,154112000,3435118592,7763,33780,0,25526272,0,882,3834,6976,0.620,0.620,0.500,0,1,0,0,0,14,8,0,6,0
17-04 11:57:28,6.219,2.985,72.886,17.910,0,669110272,3906428928,154292224,3502837760,7377,5752,0,71790592,0,398,2193,4217,0.620,0.620,0.500,1,0,0,0,0,14,8,0,6,0
17-04 11:57:29,7.848,3.797,71.899,16.456,0,670765056,3903442944,154710016,3503677440,6973,3500,0,7389184,0,631,3062,6422,0.620,0.620,0.500,0,1,0,0,0,14,8,0,6,0
17-04 11:57:30,8.271,2.757,72.682,16.040,0.251,672157696,3901374464,155136000,3503915008,6066,3918,0,5926912,0,489,2769,6009,0.650,0.630,0.500,0,1,0,0,0,14,8,0,6,0
17-04 11:57:31,12.846,4.534,70.529,12.091,0,673755136,3898634240,155529216,3504578560,8315,13388,0,6201344,0,521,3864,9571,0.650,0.630,0.500,2,1,2,0,0,14,8,0,6,0
17-04 11:57:32,7.595,3.291,72.658,16.456,0,675053568,3896160256,155906048,3505360896,12669,306094,0,41406464,0,712,3059,6272,0.650,0.630,0.500,0,1,0,0,0,14,8,0,6,0
17-04 11:57:33,8.816,4.030,71.285,15.617,0.252,676732928,3893903360,156360704,3505451008,6387,7796,0,7651328,0,617,3831,7920,0.650,0.630,0.500,0,1,0,0,0,14,8,0,6,0
17-04 11:57:34,13.250,4.750,69.500,12.500,0,678858752,3890241536,156659712,3506634752,15070,6612,0,5271552,0,415,3705,8442,0.650,0.630,0.500,3,0,0,0,0,14,8,0,6,0
17-04 11:57:35,17.005,3.299,70.558,9.137,0,679723008,3888173056,156844032,3507646464,13420,390170,0,4427776,0,284,3850,10272,0.680,0.630,0.500,1,0,0,0,0,14,8,0,6,0
17-04 11:57:36,10.406,4.315,71.574,13.452,0.254,680140800,3887058944,157175808,3507961856,19389,393680,0,7798784,0,616,4424,9288,0.680,0.630,0.500,0,1,0,0,0,14,8,0,6,0
17-04 11:57:37,12.846,3.275,71.285,12.594,0,680673280,3885985792,157519872,3508101120,9404,13276,0,8450048,0,527,3123,8203,0.680,0.630,0.500,1,0,0,0,0,14,8,0,6,0
17-04 11:57:38,20.698,6.234,73.067,0,0,644120576,3922522112,157519872,3508117504,8733,10044,0,0,0,0,1028,1413,0.680,0.630,0.500,1,0,78,0,0,14,6,0,7,0
17-04 11:57:39,23.232,2.525,72.980,1.263,0,611463168,3954642944,157569024,3508604928,6258,2160,0,6926336,0,73,1072,1314,0.680,0.630,0.500,1,0,10,0,0,14,6,0,7,0
17-04 11:57:40,23.618,3.015,72.613,0.503,0.251,655773696,3909726208,157593600,3509161984,9493,4310,0,6905856,0,67,993,1289,0.710,0.640,0.500,1,0,1,0,0,14,6,0,7,0
17-04 11:57:41,17.500,11,70.750,0.750,0,608460800,3955720192,157683712,3510390784,8990,3782,0,6721536,0,137,2332,3893,0.710,0.640,0.500,1,0,248,0,0,14,6,0,7,0
17-04 11:57:42,11.111,21.970,63.636,3.283,0,609292288,3953606656,157687808,3511775232,8699,20932,0,4333568,0,272,3676,6567,0.710,0.640,0.500,1,0,454,0,0,14,6,0,7,0
17-04 11:57:43,38.035,12.846,49.118,0,0,679084032,3883429888,157687808,3512356864,6137,10528,0,0,0,0,3073,3641,0.710,0.640,0.500,2,0,174,0,0,14,8,0,7,0
17-04 11:57:44,35.930,2.261,49.749,11.809,0.251,738533376,3823673344,157696000,3512541184,16048,7684,139264,0,3,0,753,617,0.710,0.640,0.500,0,2,0,0,0,14,8,0,7,0
17-04 11:57:45,41.750,7,46.250,5,0,775999488,3783827456,157696000,3514691584,6166,2160,12288,24576,2,3,2201,6852,0.810,0.660,0.510,1,0,78,0,0,14,6,0,8,0
17-04 11:57:46,21.662,7.053,71.033,0,0.252,818204672,3741155328,157696000,3514863616,7053,9120,0,0,0,0,1622,1945,0.810,0.660,0.510,1,0,95,0,0,14,6,0,8,0
17-04 11:57:47,23.174,2.771,72.544,1.511,0,860602368,3698704384,157700096,3514880000,6370,2106,0,10608640,0,152,935,964,0.810,0.660,0.510,1,0,2,0,0,14,8,0,8,0
17-04 11:57:48,21.750,4.500,72.500,1.250,0,796983296,3762307072,157745152,3514896384,7924,16852,0,790528,0,73,1611,2560,0.810,0.660,0.510,1,0,53,0,0,14,6,0,11,0
17-04 11:57:49,22.922,3.275,73.552,0.252,0,838606848,3720663040,157753344,3514904576,6298,3718,0,2371584,0,65,1050,1584,0.810,0.660,0.510,1,0,0,0,0,14,18,0,13,0
17-04 11:57:50,13.317,2.010,72.864,11.558,0.251,795889664,3763302400,157753344,3514982400,6205,2160,73728,0,18,0,1042,1488,0.830,0.670,0.520,1,0,14,0,0,14,30,0,16,0
17-04 11:57:51,22.807,4.261,72.932,0,0,837021696,3722149888,157753344,3514998784,8819,3958,0,0,0,0,973,1309,0.830,0.670,0.520,1,0,50,0,0,14,30,0,16,0
17-04 11:57:52,21.446,6.484,71.820,0,0.249,809996288,3749015552,157757440,3515150336,8054,2160,0,2752512,0,22,1321,1959,0.830,0.670,0.520,2,0,99,0,0,14,30,0,21,0
17-04 11:57:53,23.485,3.030,73.485,0,0,848764928,3709956096,157765632,3515432960,8403,5782,0,684032,0,7,1096,1711,0.830,0.670,0.520,1,0,1,0,0,14,30,0,28,0
17-04 11:57:54,23,3.500,73.250,0,0.250,828878848,3729883136,157765632,3515387904,10058,3262,0,0,0,0,965,1243,0.830,0.670,0.520,1,0,22,0,0,14,30,0,29,0
17-04 11:57:55,24.372,2.261,73.367,0,0,818917376,3739840512,157769728,3515387904,8890,2160,0,77824,0,8,1214,1764,0.840,0.670,0.520,1,0,2,0,0,14,30,0,37,0
17-04 11:57:56,21.554,5.514,72.431,0.501,0,847224832,3711430656,157786112,3515432960,18173,5020,0,446464,0,18,798,1381,0.840,0.670,0.520,1,0,72,0,0,14,30,0,37,0
17-04 11:57:57,20.907,6.297,72.544,0,0.252,813240320,3745185792,157794304,3515650048,9148,2052,0,1409024,0,34,1530,2503,0.840,0.670,0.520,1,0,100,0,0,14,30,0,45,0
17-04 11:57:58,22.418,3.778,72.040,1.763,0,851451904,3706937344,157810688,3515670528,7611,5344,0,2969600,0,54,1052,1561,0.840,0.670,0.520,1,0,1,0,0,14,32,0,48,0
17-04 11:57:59,21.805,5.013,73.183,0,0,836587520,3721658368,157810688,3515813888,7497,4454,0,0,0,0,1041,1546,0.840,0.670,0.520,1,0,69,0,0,14,30,0,50,0
17-04 11:58:00,22.750,2.250,72.750,2,0.250,854487040,3703721984,157822976,3515834368,7885,2160,0,69632,0,8,1130,1565,0.850,0.680,0.520,1,0,2,0,0,14,30,0,57,0
17-04 11:58:01,22.556,4.511,72.932,0,0,844070912,3714134016,157822976,3515838464,17900,4518,0,0,0,0,1006,1532,0.850,0.680,0.520,1,0,71,0,0,14,30,0,57,0
17-04 11:58:02,21.608,5.276,72.864,0,0.251,816123904,3742072832,157822976,3515842560,7176,2160,0,122880,0,13,1304,1883,0.850,0.680,0.520,1,0,68,0,0,14,30,0,61,0
17-04 11:58:03,24,2.500,73,0.500,0,854814720,3703361536,157827072,3515854848,6181,4526,0,2596864,0,31,861,980,0.850,0.680,0.520,2,0,1,0,0,14,30,0,63,0
17-04 11:58:04,21.266,4.810,73.924,0,0,826073088,3732082688,157827072,3515875328,8249,4712,0,32768,0,3,1231,1617,0.850,0.680,0.520,1,0,73,0,0,14,30,0,65,0
17-04 11:58:05,23.869,2.261,73.367,0.251,0.251,854843392,3703296000,157839360,3515879424,8790,2214,0,204800,0,17,965,1196,0.870,0.690,0.520,1,0,0,0,0,14,30,0,69,0
17-04 11:58:06,21.859,4.774,73.367,0,0,843673600,3714453504,157839360,3515891712,10308,4908,0,0,0,0,965,1438,0.870,0.690,0.520,1,0,78,0,0,14,30,0,69,0
17-04 11:58:07,19.395,4.786,72.544,3.023,0.252,817045504,3740925952,157851648,3516035072,18017,2160,0,118784,0,9,1275,1962,0.870,0.690,0.520,1,0,85,0,0,14,30,0,74,0
17-04 11:58:08,23.367,2.764,73.367,0.503,0,856195072,3701755904,157859840,3516047360,9042,5406,0,1110016,0,15,1004,1456,0.870,0.690,0.520,1,0,1,0,0,14,32,0,77,0
17-04 11:58:09,20.948,5.985,73.067,0,0,843706368,3714220032,157859840,3516071936,8082,5802,0,32768,0,3,1193,1934,0.870,0.690,0.520,1,0,98,0,0,14,30,0,79,0
17-04 11:58:10,19.898,7.908,72.194,0,0,818503680,3739406336,157876224,3516071936,6924,1998,0,229376,0,20,1661,2718,0.880,0.690,0.530,1,0,144,0,0,14,30,0,84,0
17-04 11:58:11,23.250,3.500,72.750,0.250,0.250,857165824,3700711424,157880320,3516100608,9267,10670,0,856064,0,26,967,1541,0.880,0.690,0.530,1,0,3,0,0,14,32,0,88,0
17-04 11:58:12,22.864,4.271,72.864,0,0,835485696,3722215424,157880320,3516272640,6259,3294,0,0,0,0,1092,1618,0.880,0.690,0.530,1,0,22,0,0,14,30,0,93,0
17-04 11:58:13,24.378,2.736,72.886,0,0,854810624,3702886400,157884416,3516272640,8690,2160,0,4288512,0,377,1747,1606,0.880,0.690,0.530,2,0,0,0,0,14,30,0,101,0
