"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000093",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","31 Mar 2020 12:44:59 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
31-03 12:44:59,1.515,0.520,97.714,0.204,0.048,441761792,4666621952,151879680,2857910272,0,0,36026.068,940374.975,1.295,8.289,435.028,600.315,0.600,0.640,0.490,3,0,6.666,0,0,12,3,0,4,0
31-03 12:45:00,10.753,19.892,69.355,0,0,441999360,4665704448,151879680,2858364928,5758,1944,24576,102400,1,7,2516,4731,0.600,0.640,0.490,3,0,446,0,0,12,3,0,4,0
31-03 12:45:01,12.312,21.106,66.583,0,0,440942592,4666331136,151879680,2858885120,5989,2160,0,32768,0,8,3024,5691,0.600,0.640,0.490,1,0,361,0,0,12,3,0,4,0
31-03 12:45:02,12.183,12.690,74.873,0,0.254,572432384,4534333440,151879680,2986844160,6340,2160,0,0,0,0,3576,5237,0.600,0.640,0.490,2,0,198,0,0,14,5,0,4,0
31-03 12:45:03,17.085,10.302,72.362,0,0.251,601223168,4505374720,151883776,2986938368,6656,2160,0,335872,0,16,1615,2462,0.600,0.640,0.490,1,0,190,0,0,14,5,0,6,0
31-03 12:45:04,22.980,2.020,73.737,1.263,0,645672960,4459790336,151883776,2988068864,10428,2052,208896,0,14,0,836,977,0.630,0.640,0.490,1,0,0,0,0,14,7,0,6,0
31-03 12:45:05,9,4.750,72,14.250,0,660189184,4442849280,152428544,2989826048,15933,2268,0,11468800,0,838,4369,7781,0.630,0.640,0.490,1,0,0,0,0,14,7,0,6,0
31-03 12:45:06,8.376,4.569,72.335,14.467,0.254,664014848,4368789504,152858624,3058118656,16537,1944,0,75239424,0,672,3201,8479,0.630,0.640,0.490,2,0,2,0,0,14,7,0,6,0
31-03 12:45:07,10.127,3.797,71.646,14.430,0,666320896,4365611008,153276416,3058507776,7044,2106,0,9093120,0,765,3560,8833,0.630,0.640,0.490,1,1,0,0,0,14,7,0,6,0
31-03 12:45:08,13.671,7.342,63.544,15.190,0.253,668028928,4362752000,153657344,3059224576,8345,2214,0,81334272,0,958,4978,9135,0.630,0.640,0.490,3,0,0,0,0,14,7,0,6,0
31-03 12:45:09,12.977,5.089,70.992,10.941,0,670760960,4358471680,154402816,3059998720,11519,2106,0,12525568,0,971,5317,11882,0.740,0.660,0.500,1,0,0,0,0,14,7,0,6,0
31-03 12:45:10,20.403,5.793,67.506,6.045,0.252,673173504,4354056192,154865664,3061489664,6229,2214,0,8790016,0,646,7961,17739,0.740,0.660,0.500,1,0,0,0,0,14,7,0,6,0
31-03 12:45:11,17.647,4.092,69.309,8.696,0.256,674295808,4351324160,155381760,3062530048,10275,2160,0,9146368,0,715,6751,14664,0.740,0.660,0.500,1,1,0,0,0,14,7,0,6,0
31-03 12:45:12,16.667,6.566,71.212,5.556,0,602611712,4422443008,155746304,3062714368,6995,2160,0,6598656,0,474,3505,10882,0.740,0.660,0.500,2,0,49,0,0,14,5,0,7,0
31-03 12:45:13,22.864,3.266,73.116,0.503,0.251,644075520,4380463104,155750400,3063214080,12717,2160,0,6774784,0,73,993,1817,0.740,0.660,0.500,2,0,29,0,0,14,5,0,7,0
31-03 12:45:14,23.232,3.535,71.212,2.020,0,618840064,4405166080,155799552,3063697408,9224,2106,0,17530880,0,148,943,1607,0.760,0.670,0.500,2,0,11,0,0,14,5,0,7,0
31-03 12:45:15,24.623,2.261,72.111,1.005,0,670953472,4351488000,155897856,3065102336,7518,2160,0,6463488,0,135,901,1679,0.760,0.670,0.500,2,0,0,0,0,14,5,0,7,0
31-03 12:45:16,12.281,19.298,67.920,0.251,0.251,602071040,4419362816,155906048,3066073088,6655,1998,0,110592,0,12,2781,5463,0.760,0.670,0.500,2,0,467,0,0,14,5,0,7,0
31-03 12:45:17,15.327,22.111,62.312,0,0.251,622137344,4398792704,155906048,3066925056,7508,2160,0,20480,0,5,4463,8749,0.760,0.670,0.500,3,0,318,0,0,14,5,0,7,0
31-03 12:45:18,46.717,7.576,45.455,0.253,0,711417856,4309159936,155906048,3067203584,8610,2202,131072,0,1,0,1349,1608,0.760,0.670,0.500,3,0,89,0,0,14,7,0,7,0
31-03 12:45:19,42.965,5.276,46.734,5.025,0,763842560,4254863360,155918336,3068788736,6017,2160,20480,8843264,4,520,1932,4725,0.860,0.690,0.510,3,0,0,0,0,14,7,0,7,0
31-03 12:45:20,25.888,10.914,62.944,0,0.254,791162880,4226580480,155926528,3069566976,7492,2160,0,188416,0,27,2378,4279,0.860,0.690,0.510,2,0,174,0,0,14,5,0,8,0
31-03 12:45:21,24.121,2.261,73.618,0,0,846323712,4171358208,155930624,3069587456,16238,2160,0,917504,0,11,761,876,0.860,0.690,0.510,2,0,0,0,0,14,5,0,8,0
31-03 12:45:22,22.388,4.726,71.891,0.746,0.249,786505728,4231110656,155979776,3069603840,6155,2106,0,634880,0,67,1509,2573,0.860,0.690,0.510,1,0,54,0,0,14,5,0,11,0
31-03 12:45:23,22.922,2.771,74.055,0.252,0,827441152,4190101504,156000256,3069607936,7338,2214,0,2617344,0,73,891,1295,0.860,0.690,0.510,2,0,1,0,0,14,13,0,12,0
31-03 12:45:24,20.403,4.786,72.544,2.015,0.252,800800768,4216594432,156004352,3069706240,14004,2202,73728,9900032,18,122,1480,2104,0.870,0.700,0.510,3,0,61,0,0,14,29,0,16,0
31-03 12:45:25,23.308,3.008,73.434,0.251,0,838737920,4178657280,156020736,3069689856,6425,2106,0,217088,0,12,1081,1630,0.870,0.700,0.510,3,0,1,0,0,14,31,0,18,0
31-03 12:45:26,21.662,6.297,72.040,0,0,823619584,4193615872,156020736,3069845504,6212,1998,0,0,0,0,1299,2050,0.870,0.700,0.510,3,0,102,0,0,14,29,0,21,0
31-03 12:45:27,23.559,2.757,73.434,0,0.251,792219648,4224634880,156020736,3070205952,10380,2160,0,0,0,0,1118,1813,0.870,0.700,0.510,2,0,5,0,0,14,29,0,29,0
31-03 12:45:28,22.418,3.526,74.055,0,0,826044416,4190810112,156020736,3070205952,6795,2160,0,0,0,0,721,965,0.870,0.700,0.510,1,0,17,0,0,14,29,0,29,0
31-03 12:45:29,23.678,4.282,71.788,0,0.252,799199232,4217556992,156024832,3070242816,5972,2106,0,1224704,0,23,1492,2505,0.800,0.690,0.510,3,0,73,0,0,14,29,0,37,0
31-03 12:45:30,23.618,2.513,73.367,0.503,0,839733248,4176998400,156041216,3070251008,7790,2160,0,348160,0,21,747,887,0.800,0.690,0.510,2,0,1,0,0,14,29,0,37,0
31-03 12:45:31,20.603,7.035,72.362,0,0,803921920,4212641792,156041216,3070414848,6317,2214,0,49152,0,5,1665,2824,0.800,0.690,0.510,3,0,100,0,0,14,29,0,45,0
31-03 12:45:32,23.308,2.506,73.935,0,0.251,842588160,4173975552,156041216,3070414848,15549,2106,0,0,0,0,654,779,0.800,0.690,0.510,3,0,1,0,0,14,29,0,45,0
31-03 12:45:33,20.603,6.030,73.367,0,0,818417664,4198125568,156041216,3070435328,10247,2214,0,0,0,0,1181,1915,0.800,0.690,0.510,3,0,69,0,0,14,29,0,50,0
31-03 12:45:34,24.372,2.261,72.864,0.251,0.251,848072704,4168445952,156045312,3070455808,8321,2160,0,2805760,0,46,1092,1698,0.820,0.690,0.510,2,0,2,0,0,14,31,0,55,0
31-03 12:45:35,22.362,4.271,73.367,0,0,836546560,4179968000,156045312,3070459904,8023,2106,0,0,0,0,990,1350,0.820,0.690,0.510,2,0,69,0,0,14,29,0,56,0
31-03 12:45:36,21.411,5.542,72.544,0.252,0.252,809635840,4206723072,156049408,3070607360,6735,2092,0,155648,0,14,1214,2006,0.820,0.690,0.510,1,0,70,0,0,14,29,0,60,0
31-03 12:45:37,23.058,3.258,73.684,0,0,848044032,4168294400,156053504,3070623744,6310,2106,0,475136,0,22,852,1324,0.820,0.690,0.510,3,0,1,0,0,14,29,0,64,0
31-03 12:45:38,20.802,5.514,73.183,0.251,0.251,834322432,4182011904,156053504,3070627840,8220,2214,0,49152,0,5,1034,1439,0.820,0.690,0.510,2,0,73,0,0,14,29,0,64,0
31-03 12:45:39,22.055,5.013,72.932,0,0,811057152,4205268992,156057600,3070631936,6784,2160,0,1146880,0,40,1321,1814,0.830,0.700,0.510,2,0,77,0,0,14,29,0,68,0
31-03 12:45:40,23.810,2.757,73.183,0,0.251,849084416,4167208960,156065792,3070656512,7039,2106,0,299008,0,10,959,1352,0.830,0.700,0.510,3,0,1,0,0,14,31,0,72,0
