"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000100",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","31 Mar 2020 15:37:21 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
31-03 15:37:21,9.159,3.146,86.109,1.513,0.073,441757696,4694941696,151629824,2834153472,0,0,234501.527,6229699.304,8.334,53.763,1626.449,3019.804,0.810,0.750,0.560,2,0,39.459,0,0,12,3,0,4,0
31-03 15:37:22,7.398,21.684,70.663,0,0.255,442060800,4693753856,151629824,2834599936,6376,2160,24576,176128,1,8,2688,4770,0.810,0.750,0.560,2,0,438,0,0,12,3,0,4,0
31-03 15:37:23,11.224,21.684,66.837,0,0.255,441974784,4693487616,151629824,2834944000,6389,2214,0,32768,0,8,2855,4982,0.810,0.750,0.560,2,0,355,0,0,12,3,0,4,0
31-03 15:37:24,9.415,15.776,74.809,0,0,574173184,4560789504,151629824,2963161088,6343,2160,0,4096,0,1,3864,6576,0.810,0.750,0.560,2,0,219,0,0,14,5,0,4,0
31-03 15:37:25,15.539,12.030,72.180,0,0.251,598908928,4535934976,151629824,2963263488,6373,2160,0,0,0,0,1745,2719,0.810,0.750,0.560,1,0,210,0,0,14,5,0,6,0
31-03 15:37:26,22.306,2.506,73.935,1.253,0,636809216,4497113088,151629824,2964185088,10855,2160,196608,335872,13,21,727,722,0.900,0.770,0.570,1,0,0,0,0,14,5,0,6,0
31-03 15:37:27,13.740,4.835,71.756,9.415,0.254,660975616,4470185984,152297472,2966114304,5738,1998,12288,13553664,1,972,5637,8621,0.900,0.770,0.570,1,0,0,0,0,14,7,0,6,0
31-03 15:37:28,9.343,6.566,71.970,12.121,0,664850432,4395761664,152768512,3034648576,6380,2106,0,76267520,0,790,4497,6638,0.900,0.770,0.570,4,0,2,0,0,14,7,0,6,0
31-03 15:37:29,9.596,4.040,70.960,15.152,0.253,667357184,4392419328,153243648,3034963968,13986,2160,0,8851456,0,721,4091,8548,0.900,0.770,0.570,0,1,0,0,0,14,7,0,6,0
31-03 15:37:30,16.541,4.511,68.421,10.526,0,668909568,4389646336,153743360,3035631616,7518,2160,0,6868992,0,569,5339,11702,0.900,0.770,0.570,3,0,0,0,0,14,7,0,6,0
31-03 15:37:31,7.323,3.535,64.646,24.242,0.253,670195712,4387160064,154148864,3036368896,7050,2106,0,75530240,0,787,2891,5781,0.990,0.790,0.570,1,1,0,0,0,14,7,0,6,0
31-03 15:37:32,10.553,5.528,70.101,13.819,0,672735232,4383776768,154619904,3036729344,7239,2214,0,9801728,0,800,4406,9612,0.990,0.790,0.570,1,1,0,0,0,14,7,0,6,0
31-03 15:37:33,22.111,4.271,70.352,3.015,0.251,673742848,4380954624,154918912,3038167040,7405,2160,0,4595712,0,292,5516,14979,0.990,0.790,0.570,1,0,0,0,0,14,7,0,6,0
31-03 15:37:34,14.646,4.293,69.444,11.616,0,674988032,4378599424,155336704,3038818304,6409,2160,0,8114176,0,654,4491,10499,0.990,0.790,0.570,0,1,0,0,0,14,7,0,6,0
31-03 15:37:35,14.541,5.867,72.959,6.378,0.255,602599424,4450398208,155680768,3039035392,10584,2160,0,6189056,0,441,3044,9029,0.990,0.790,0.570,2,0,13,0,0,14,5,0,7,0
31-03 15:37:36,21.106,5.025,72.362,1.508,0,644722688,4407742464,155701248,3039535104,6873,1998,0,6991872,0,72,1299,1844,0.990,0.790,0.580,1,0,65,0,0,14,5,0,7,0
31-03 15:37:37,23.250,3.750,72,0.750,0.250,616435712,4435398656,155746304,3040083968,17440,2214,0,23506944,0,255,1184,1293,0.990,0.790,0.580,0,1,11,0,0,14,5,0,7,0
31-03 15:37:38,23.797,2.532,70.633,3.038,0,671150080,4379234304,155840512,3041406976,8116,1998,0,6586368,0,130,1158,1603,0.990,0.790,0.580,2,0,2,0,0,14,5,0,7,0
31-03 15:37:39,11.139,18.987,69.367,0.253,0.253,603009024,4446531584,155844608,3042222080,6544,2214,0,49152,0,9,2590,4598,0.990,0.790,0.580,1,0,410,0,0,14,5,0,7,0
31-03 15:37:40,15.522,19.847,64.631,0,0,605097984,4443697152,155844608,3043115008,15682,2160,0,159744,0,12,3695,7046,0.990,0.790,0.580,1,0,330,0,0,14,5,0,7,0
31-03 15:37:41,45.226,10.804,43.216,0.503,0.251,704397312,4344188928,155844608,3043532800,7480,2106,131072,0,1,0,1498,2026,1.230,0.850,0.600,2,0,132,0,0,14,7,0,7,0
31-03 15:37:42,46.750,5.500,47.500,0.250,0,762839040,4283953152,155852800,3045122048,6577,2214,20480,4218880,4,187,1264,4411,1.230,0.850,0.600,2,0,0,0,0,14,7,0,7,0
31-03 15:37:43,29.723,9.824,60.202,0,0.252,794710016,4251009024,155852800,3045900288,7591,2106,0,159744,0,21,2306,4282,1.230,0.850,0.600,3,0,174,0,0,14,5,0,8,0
31-03 15:37:44,23.678,2.267,74.055,0,0,852664320,4192976896,155856896,3045920768,5872,2214,0,1425408,0,23,821,1092,1.230,0.850,0.600,1,0,2,0,0,14,7,0,8,0
31-03 15:37:45,19.395,4.786,73.048,2.771,0,786972672,4258627584,155881472,3045933056,5781,2202,0,1466368,0,237,1868,2584,1.230,0.850,0.600,1,0,52,0,0,14,5,0,11,0
31-03 15:37:46,24,2.250,72.750,0.750,0.250,826966016,4218589184,155885568,3045933056,6959,1944,0,2727936,0,67,960,1229,1.300,0.870,0.600,1,0,1,0,0,14,13,0,12,0
31-03 15:37:47,17.588,4.774,68.593,9.045,0,793198592,4252213248,155893760,3046035456,8886,2160,73728,9179136,18,128,1442,2223,1.300,0.870,0.600,1,0,61,0,0,14,29,0,16,0
31-03 15:37:48,23.116,3.015,73.869,0,0,831864832,4213542912,155893760,3046035456,7443,2160,0,0,0,0,771,916,1.300,0.870,0.600,1,0,3,0,0,14,29,0,16,0
31-03 15:37:49,21.859,6.030,72.111,0,0,807542784,4237701120,155901952,3046191104,8225,2106,0,1150976,0,23,1237,2220,1.300,0.870,0.600,1,0,100,0,0,14,29,0,21,0
31-03 15:37:50,23.308,3.008,73.434,0,0.251,841773056,4203237376,155901952,3046424576,7236,2256,0,0,0,0,1040,1835,1.300,0.870,0.600,1,0,0,0,0,14,29,0,29,0
31-03 15:37:51,21.717,4.293,73.990,0,0,837062656,4207947776,155901952,3046424576,6487,2160,0,0,0,0,804,1018,1.270,0.870,0.610,1,0,22,0,0,14,29,0,29,0
31-03 15:37:52,22.864,5.528,67.588,4.020,0,815017984,4230021120,155910144,3046461440,9308,2160,0,8134656,0,354,2219,2799,1.270,0.870,0.610,1,0,74,0,0,14,29,0,37,0
31-03 15:37:53,23.869,2.261,73.618,0.251,0,845697024,4199260160,155910144,3046535168,17233,2160,0,90112,0,6,1241,1983,1.270,0.870,0.610,1,0,0,0,0,14,29,0,45,0
31-03 15:37:54,20.802,6.015,72.932,0,0.251,831143936,4213665792,155910144,3046682624,11042,2160,0,0,0,0,989,1591,1.270,0.870,0.610,1,0,101,0,0,14,29,0,45,0
