"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000212",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","09 Apr 2020 06:13:28 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
09-04 06:13:28,1.572,0.550,97.630,0.199,0.049,441274368,4662751232,151658496,2865262592,0,0,38854.501,1029126.005,1.400,9.097,435.939,632.496,0.540,0.540,0.440,2,0,6.543,0,0,12,3,0,4,0
09-04 06:13:29,9.524,21.303,68.922,0,0.251,441868288,4661542912,151666688,2865553408,14861,2160,24576,172032,1,8,2514,4571,0.580,0.550,0.440,2,0,444,0,0,12,3,0,4,0
09-04 06:13:30,12.879,21.212,65.657,0,0.253,441257984,4661518336,151666688,2866110464,9913,2160,0,36864,0,9,3086,5192,0.580,0.550,0.440,2,0,389,0,0,12,3,0,4,0
09-04 06:13:31,10.633,9.620,78.228,1.266,0.253,572956672,4529340416,151666688,2994192384,8485,2160,0,2891776,0,177,4052,5623,0.580,0.550,0.440,1,0,84,0,0,14,3,0,4,0
09-04 06:13:32,5.750,12,82.250,0,0,573267968,4529020928,151666688,2994200576,19936,2160,0,0,0,0,1768,3162,0.580,0.550,0.440,2,0,262,0,0,14,5,0,5,0
09-04 06:13:33,21.696,4.489,73.317,0.249,0.249,616423424,4485746688,151670784,2994298880,9302,2160,98304,0,4,0,924,1115,0.580,0.550,0.440,2,0,33,0,0,14,5,0,6,0
09-04 06:13:34,19.849,4.271,72.362,3.518,0,655347712,4445032448,151736320,2996023296,9305,2160,110592,2895872,10,59,1106,2021,0.610,0.560,0.450,1,1,0,0,0,14,7,0,6,0
09-04 06:13:35,6.784,3.518,72.613,16.834,0.251,659779584,4439003136,152129536,2997153792,6229,2160,0,9420800,0,811,3912,7142,0.610,0.560,0.450,2,1,0,0,0,14,7,0,6,0
09-04 06:13:36,8.521,5.013,69.925,16.291,0.251,665919488,4362690560,152489984,3065286656,7378,1998,0,118521856,0,852,4019,6194,0.610,0.560,0.450,1,2,0,0,0,14,7,0,6,0
