"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000092",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","31 Mar 2020 09:37:31 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
31-03 09:37:31,5.912,2.016,91.299,0.704,0.069,449269760,4680511488,153837568,2834739200,0,0,142295.680,3676525.031,5.116,32.317,1138.376,1932.344,0.630,0.790,0.540,2,0,26.159,0,0,12,4,0,4,0
31-03 09:37:32,9.669,21.374,68.448,0.254,0.254,449789952,4679057408,153849856,2835267584,8539,27122,24576,102400,1,9,2929,5304,0.660,0.790,0.550,4,0,496,0,0,12,4,0,4,0
31-03 09:37:33,14.937,18.987,65.823,0,0.253,451596288,4676816896,153849856,2835816448,10046,12034,0,32768,0,8,4201,7628,0.660,0.790,0.550,4,0,369,0,0,12,4,0,4,0
31-03 09:37:34,7.809,7.305,84.887,0,0,581357568,4546662400,153849856,2963689472,7316,2934,0,0,0,0,2913,4101,0.660,0.790,0.550,1,0,56,0,0,14,4,0,4,0
31-03 09:37:35,11.392,12.911,75.443,0,0.253,592977920,4534833152,153853952,2963857408,7764,16972,0,0,0,0,2135,3783,0.660,0.790,0.550,2,0,295,0,0,14,6,0,6,0
31-03 09:37:36,23.618,2.764,73.116,0.503,0,639119360,4488294400,153853952,2964254720,8298,2106,155648,0,8,0,791,849,0.660,0.790,0.550,2,0,2,0,0,14,6,0,6,0
31-03 09:37:37,14,4.250,72,9.500,0.250,665640960,4459134976,154103808,2966568960,9885,131436,53248,6803456,6,377,2707,5569,0.690,0.790,0.550,1,1,0,0,0,14,8,0,6,0
31-03 09:37:38,8.354,6.329,68.608,16.456,0.253,670969856,4384370688,154464256,3034112000,14500,5806,0,77271040,0,876,4242,8474,0.690,0.790,0.550,1,3,0,0,0,14,8,0,6,0
31-03 09:37:39,8.020,3.759,70.175,18.045,0,672989184,4380823552,154796032,3035230208,6497,4150,0,17289216,0,747,2542,6431,0.690,0.790,0.550,1,1,0,0,0,14,8,0,6,0
31-03 09:37:40,11.869,4.798,70.455,12.879,0,675459072,4377509888,155357184,3035455488,13141,6738,0,9519104,0,794,2888,9767,0.690,0.790,0.550,2,0,0,0,0,14,8,0,6,0
31-03 09:37:41,14.610,5.793,68.514,10.831,0.252,677523456,4373934080,155840512,3036467200,15180,314334,0,8126464,0,640,4296,11698,0.690,0.790,0.550,2,0,0,0,0,14,8,0,6,0
31-03 09:37:42,10.579,4.786,70.781,13.854,0,679415808,4370735104,156393472,3037179904,6454,7812,0,9719808,0,759,3832,8245,0.800,0.810,0.560,2,0,0,0,0,14,8,0,6,0
31-03 09:37:43,19.949,5.051,67.424,7.323,0.253,681553920,4366843904,156827648,3038433280,16178,391214,0,7663616,0,554,5983,16053,0.800,0.810,0.560,2,0,0,0,0,14,8,0,6,0
31-03 09:37:44,15.113,5.542,66.751,12.594,0,683347968,4363739136,157151232,3039367168,10910,379464,0,82817024,0,898,4334,10367,0.800,0.810,0.560,2,0,0,0,0,14,8,0,6,0
31-03 09:37:45,15.152,4.798,70.960,8.838,0.253,683515904,4362911744,157523968,3039629312,7072,16490,0,8519680,0,625,4266,9958,0.800,0.810,0.560,2,0,0,0,0,14,8,0,6,0
31-03 09:37:46,19.549,6.767,73.434,0,0.251,651030528,4395384832,157523968,3039641600,5923,6628,0,0,0,0,1150,1570,0.800,0.810,0.560,2,0,80,0,0,14,6,0,7,0
31-03 09:37:47,23.232,3.283,72.222,1.263,0,622190592,4423766016,157552640,3040063488,7049,4420,0,6909952,0,68,920,1448,0.810,0.820,0.560,2,0,11,0,0,14,6,0,7,0
31-03 09:37:48,24.250,2.500,72.500,0.750,0,679661568,4365611008,157593600,3040686080,9563,3782,0,6881280,0,67,732,1291,0.810,0.820,0.560,2,0,0,0,0,14,6,0,7,0
31-03 09:37:49,10.914,19.797,66.751,2.284,0.254,612950016,4430118912,157687808,3042758656,9672,21276,0,7499776,0,155,3050,7380,0.810,0.820,0.560,6,0,479,0,0,14,6,0,7,0
31-03 09:37:50,15.857,19.182,64.706,0,0.256,626864128,4415422464,157691904,3043737600,15882,9206,0,118784,0,16,4632,7067,0.810,0.820,0.560,4,0,287,0,0,14,6,0,7,0
31-03 09:37:51,45.750,9.250,44.750,0.250,0,712318976,4329721856,157691904,3044012032,7559,9256,131072,94208,1,5,1353,1653,0.810,0.820,0.560,3,0,106,0,0,14,8,0,7,0
31-03 09:37:52,46.633,6.234,46.633,0.249,0.249,772247552,4267491328,157700096,3045969920,12496,2106,20480,53248,4,3,1230,3201,0.810,0.820,0.560,4,0,0,0,0,14,8,0,7,0
31-03 09:37:53,26.750,11.250,62,0,0,796966912,4242010112,157700096,3046502400,9076,9294,0,0,0,0,2639,3879,0.910,0.840,0.570,2,0,166,0,0,14,6,0,8,0
31-03 09:37:54,24.372,2.010,72.613,1.005,0,854376448,4184584192,157700096,3046518784,16907,5366,0,3862528,0,273,1180,914,0.910,0.840,0.570,2,0,0,0,0,14,6,0,8,0
31-03 09:37:55,21.750,5.500,72,0.500,0.250,795258880,4243615744,157753344,3046531072,9488,15192,0,1363968,0,71,1608,2679,0.910,0.840,0.570,2,0,54,0,0,14,6,0,11,0
31-03 09:37:56,23.869,3.015,73.116,0,0,837206016,4201615360,157761536,3046539264,8475,2160,0,2617344,0,68,1019,1290,0.910,0.840,0.570,2,0,3,0,0,14,14,0,12,0
31-03 09:37:57,18.844,5.528,72.613,2.764,0.251,809488384,4229222400,157761536,3046637568,8452,3958,73728,0,18,0,1356,1956,0.910,0.840,0.570,2,0,61,0,0,14,30,0,16,0
31-03 09:37:58,23.929,3.023,73.048,0,0,848101376,4190433280,157761536,3046776832,8514,2160,0,0,0,0,988,1290,0.920,0.840,0.570,2,0,1,0,0,14,30,0,21,1
31-03 09:37:59,21.465,6.566,71.465,0.505,0,836022272,4202475520,157761536,3046793216,6401,5734,0,10035200,0,160,1183,1526,0.920,0.840,0.570,2,0,100,0,0,14,30,0,21,0
31-03 09:38:00,23.559,3.258,72.682,0.251,0.251,806846464,4231385088,157765632,3047026688,7040,3262,0,917504,0,7,1322,2025,0.920,0.840,0.570,2,0,21,0,0,14,30,0,29,0
31-03 09:38:01,22.807,4.010,73.183,0,0,848584704,4189646848,157765632,3047026688,6076,1944,0,0,0,0,841,1063,0.920,0.840,0.570,2,0,1,0,0,14,32,0,31,0
31-03 09:38:02,22.613,5.276,71.859,0,0.251,815972352,4222193664,157773824,3047059456,14096,2214,0,155648,0,14,1437,2277,0.920,0.840,0.570,2,0,73,0,0,14,30,0,37,0
31-03 09:38:03,24.372,3.015,72.613,0,0,853614592,4184543232,157773824,3047067648,7349,4192,0,0,0,0,957,1328,0.920,0.840,0.570,3,0,1,0,0,14,32,0,41,0
31-03 09:38:04,20.854,6.281,72.613,0,0.251,833675264,4204253184,157773824,3047297024,6572,5180,0,0,0,0,1392,2089,0.920,0.840,0.570,4,0,101,0,0,14,30,0,45,0
31-03 09:38:05,23,4,73,0,0,812281856,4225486848,157777920,3047452672,7681,4254,0,2437120,0,31,1380,1895,0.920,0.840,0.570,2,0,68,0,0,14,30,0,50,0
31-03 09:38:06,23,3.500,73,0.250,0.250,848220160,4189544448,157782016,3047452672,6987,2160,0,339968,0,15,823,975,0.920,0.840,0.570,2,0,3,0,0,14,30,0,50,0
31-03 09:38:07,20.960,6.061,72.980,0,0,818425856,4219297792,157782016,3047473152,10142,4464,0,69632,0,8,1484,2250,0.920,0.840,0.570,3,0,70,0,0,14,30,0,56,0
31-03 09:38:08,22.864,3.769,73.116,0,0.251,856449024,4181266432,157786112,3047477248,8576,2214,0,184320,0,9,988,1249,0.930,0.850,0.570,2,0,1,0,0,14,32,0,58,0
31-03 09:38:09,21.608,5.276,72.864,0.251,0,842649600,4195033088,157802496,3047493632,16182,4526,0,139264,0,14,1137,1686,0.930,0.850,0.570,2,0,69,0,0,14,30,0,60,0
