-- Logs begin at Thu 2020-04-09 08:05:17 UTC, end at Thu 2020-04-09 09:03:24 UTC. --
Apr 09 08:32:56 cloud-provider-iscsi-0000000221 systemd[1]: Started Devstack devstack@dstat.service.
Apr 09 08:32:56 cloud-provider-iscsi-0000000221 dstat.sh[24040]: [286B blob data]
Apr 09 08:32:56 cloud-provider-iscsi-0000000221 dstat.sh[24040]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 09 08:32:56 cloud-provider-iscsi-0000000221 dstat.sh[24040]: 09-04 08:32:56|  8   3  88   1   0| 418M 4449M  145M 2733M|   0     0 | 197k 5172k|7.16  46.4 |1454  2626 |0.83 0.77 0.55|2.0   0  34|   0     0 |systemd              1    0.2%   0    0 |bash                 1937 3607k3406k0.2%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 09 08:32:57 cloud-provider-iscsi-0000000221 dstat.sh[24040]: 09-04 08:32:57| 11  20  69   0   1| 418M 4449M  145M 2733M|8287B 2160B|  24k  168k|1.00  10.0 |2696  5165 |0.83 0.77 0.55|2.0   0 488|   0     0 |bash                 1937 3.2%1999k  32k|bash                 1937 1999k  32k3.2%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 09 08:32:58 cloud-provider-iscsi-0000000221 dstat.sh[24040]: 09-04 08:32:58| 14  19  66   0   0| 419M 4447M  145M 2734M|7977B 2160B|   0    28k|   0  7.00 |3696  7459 |0.83 0.77 0.55|5.0   0 343|   0     0 |systemd              1    4.8%   0    0 |bash                 1937 2611k  20k1.8%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 09 08:32:59 cloud-provider-iscsi-0000000221 dstat.sh[24040]: 09-04 08:32:59| 11  18  71   0   0| 545M 4321M  145M 2856M|8713B 2160B|   0     0 |   0     0 |3534  5952 |1.01 0.81 0.56|2.0   0 275|   0     0 |systemd              1    6.2%   0    0 |bash                 1937  644k  13k1.5%|mysqld       173M|   0     0 |  14    5    0    4    0
Apr 09 08:33:00 cloud-provider-iscsi-0000000221 dstat.sh[24040]: 09-04 08:33:00| 20   6  74   0   0| 580M 4286M  145M 2856M|  10k 2160B|  96k    0 |4.00     0 |1001  1489 |1.01 0.81 0.56|2.0   0  76|   0     0 |keystone-manage      25353 20%8351k 125k|keystone-manage      253538351k 125k 20%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 09 08:33:01 cloud-provider-iscsi-0000000221 dstat.sh[24040]: 09-04 08:33:01| 22   3  73   2   0| 613M 4251M  145M 2857M|  10k 2160B| 108k 1948k|10.0  8.00 | 906  1633 |1.01 0.81 0.56|1.0 1.0   0|   0     0 |keystone-manage      25353 23%8227k 603k|keystone-manage      253538227k 603k 23%|mysqld       177M|   0     0 |  14    7    0    6    0
Apr 09 08:33:02 cloud-provider-iscsi-0000000221 dstat.sh[24040]: 09-04 08:33:02|  8   4  73  15   0| 626M 4237M  145M 2859M|8647B 2160B|   0  8348k|   0   695 |2912  5408 |1.01 0.81 0.56|2.0   0   0|   0     0 |mysqld               233186.2%   0    0 |keystone-manage      25353  38k  53k3.2%|mysqld       189M|   0     0 |  14    7    0    6    0
Apr 09 08:33:03 cloud-provider-iscsi-0000000221 dstat.sh[24040]: 09-04 08:33:03|  8   6  71  15   0| 629M 4167M  146M 2923M|8051B 1998B|   0    72M|   0   636 |3523  5272 |1.01 0.81 0.56|1.0 1.0   0|   0     0 |mysqld               233186.5%   0    0 |keystone-manage      25353  23k  13k3.8%|mysqld       192M|   0     0 |  14    7    0    6    0
Apr 09 08:33:04 cloud-provider-iscsi-0000000221 dstat.sh[24040]: 09-04 08:33:04|  8   4  73  15   0| 631M 4164M  146M 2924M|9886B 2160B|   0  7540k|   0   645 |3960  5705 |1.01 0.81 0.57|2.0   0   0|   0     0 |mysqld               233186.8%   0    0 |keystone-manage      25353  18k  11k4.0%|mysqld       194M|   0     0 |  14    7    0    6    0
Apr 09 08:33:05 cloud-provider-iscsi-0000000221 dstat.sh[24040]: 09-04 08:33:05| 12   5  70  13   0| 633M 4161M  146M 2924M|7306B 2106B|   0  7928k|   0   650 |4051  8457 |1.01 0.81 0.57|2.0   0   0|   0     0 |mysqld               233187.2%   0    0 |python3.6            5689   42k  87k0.2%|mysqld       195M|   0     0 |  14    7    0    6    0
Apr 09 08:33:06 cloud-provider-iscsi-0000000221 dstat.sh[24040]: 09-04 08:33:06| 16   6  69  10   0| 635M 4158M  147M 2925M|6516B 2160B|   0  6956k|   0   567 |5283    11k|1.01 0.81 0.57|2.0   0   0|   0     0 |keystone-manage      253539.0%  42k 251k|python3.6            5689  237k 494k1.5%|mysqld       196M|   0     0 |  14    7    0    6    0
Apr 09 08:33:07 cloud-provider-iscsi-0000000221 dstat.sh[24040]: 09-04 08:33:07| 12   5  70  12   0| 637M 4155M  148M 2926M|7904B 2160B|   0  9708k|   0   778 |4716  8982 |1.01 0.81 0.57|3.0   0 2.0|   0     0 |mysqld               233188.2%   0    0 |keystone-manage      25353  27k  17k5.5%|mysqld       198M|   0     0 |  14    7    0    6    0
Apr 09 08:33:08 cloud-provider-iscsi-0000000221 dstat.sh[24040]: 09-04 08:33:08| 14   7  63  17   0| 640M 4151M  148M 2926M|  16k 2160B|   0    49M|   0   681 |4457  8617 |1.01 0.81 0.57|3.0 1.0   0|   0     0 |mysqld               233188.0%   0    0 |python3.6            5689  193k 401k1.8%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 09 08:33:09 cloud-provider-iscsi-0000000221 dstat.sh[24040]: 09-04 08:33:09| 20   5  63  12   0| 640M 4149M  148M 2928M|  18k 2160B|   0    49M|   0   891 |5995    11k|1.00 0.81 0.57|3.0   0   0|   0     0 |keystone-manage      25353 15%  67k 430k|python3.6            5689  390k 814k2.8%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 09 08:33:10 cloud-provider-iscsi-0000000221 dstat.sh[24040]: 09-04 08:33:10| 12   5  70  12   0| 641M 4148M  149M 2928M|9540B 2160B|   0  8248k|   0   674 |4851  9532 |1.00 0.81 0.57|2.0   0   0|   0     0 |keystone-manage      253537.5%  35k 105k|python3.6            5689  104k 217k0.8%|mysqld       200M|   0     0 |  14    7    0    6    0
Apr 09 08:33:11 cloud-provider-iscsi-0000000221 dstat.sh[24040]: 09-04 08:33:11| 17   4  72   8   0| 641M 4147M  149M 2928M|7340B 2160B|   0  5840k|   0   429 |3845  7538 |1.00 0.81 0.57|2.0   0   0|   0     0 |keystone-manage      25353 12%  34k  22k|keystone-manage      25353  34k  22k 12%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 09 08:33:12 cloud-provider-iscsi-0000000221 dstat.sh[24040]: 09-04 08:33:12| 20   6  74   0   0| 612M 4176M  149M 2928M|8200B 2254B|   0     0 |   0     0 |1099  1568 |1.00 0.81 0.57|3.0   0  78|   0     0 |keystone-manage      25433 20%9782k  37k|bash                 1937   17M1895k0.5%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 09 08:33:13 cloud-provider-iscsi-0000000221 dstat.sh[24040]: 09-04 08:33:13| 23   3  74   0   0| 588M 4199M  149M 2929M|7933B 2052B|   0  7052k|   0  65.0 |1165  1557 |1.00 0.81 0.57|2.0   0  11|   0     0 |keystone-manage      254449.2%4248k  37k|bash                 1937   16M  39k  0%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 09 08:33:14 cloud-provider-iscsi-0000000221 dstat.sh[24040]: 09-04 08:33:14| 24   3  73   1   0| 637M 4149M  149M 2929M|8784B 2052B|   0    10M|   0   206 |1270  1420 |1.00 0.82 0.57|2.0   0   0|   0     0 |keystone-manage      25444 25%  12M1362B|keystone-manage      25444  12M1362B 25%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 09 08:33:15 cloud-provider-iscsi-0000000221 dstat.sh[24040]: 09-04 08:33:15| 11  21  67   1   0| 572M 4212M  149M 2931M|6399B 2160B|   0  6752k|   0   141 |3244  6442 |1.00 0.82 0.57|2.0   0 446|   0     0 |bash                 1937 3.8%  18M  67k|bash                 1937   18M  67k3.8%|mysqld       200M|   0     0 |  14    5    0    7    0
