"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000053",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","27 Mar 2020 17:21:03 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
27-03 17:21:03,5.944,1.884,91.443,0.662,0.067,441044992,4442800128,174137344,3043172352,0,0,129869.668,3584800.055,4.616,32.369,1039.259,1762.775,0.760,0.670,0.470,2,0,21.763,0,0,12,3,0,3,0
27-03 17:21:04,8.955,22.139,68.657,0,0.249,441225216,4441800704,174137344,3043676160,8674,2106,0,245760,0,5,2725,5012,0.760,0.670,0.470,1,0,466,0,0,12,3,0,3,0
27-03 17:21:05,14.070,19.849,65.829,0,0.251,441655296,4440891392,174145536,3044110336,5662,2106,0,581632,0,21,3357,6085,0.760,0.670,0.470,1,0,362,0,0,12,3,0,4,0
27-03 17:21:06,10.633,14.937,74.430,0,0,573202432,4308893696,174145536,3172208640,6740,2202,0,3104768,0,10,3745,5706,0.760,0.670,0.470,1,0,214,0,0,14,5,0,3,0
27-03 17:21:07,16.459,11.471,71.820,0,0.249,595345408,4286623744,174149632,3172237312,6195,2160,0,0,0,0,1547,2621,0.780,0.680,0.470,2,0,192,0,0,14,5,0,5,0
27-03 17:21:08,21.554,3.008,73.935,1.253,0.251,645726208,4235075584,174174208,3173203968,5454,2160,151552,0,12,0,667,752,0.780,0.680,0.470,1,0,1,0,0,14,5,0,5,0
27-03 17:21:09,10,4.250,73,12.750,0,664539136,4213723136,174649344,3174973440,7181,2160,12288,8630272,1,527,2631,5282,0.780,0.680,0.470,0,1,0,0,0,14,7,0,5,0
27-03 17:21:10,7.342,4.810,72.911,14.684,0.253,669306880,4138737664,175300608,3243175936,6720,2160,0,76468224,0,845,4187,8838,0.780,0.680,0.470,1,1,0,0,0,14,7,0,5,0
27-03 17:21:11,14.035,4.762,70.677,10.526,0,671531008,4135038976,176054272,3243810816,6803,2160,0,12230656,0,945,5240,11413,0.780,0.680,0.470,0,1,0,0,0,14,7,0,5,0
