-- Logs begin at Fri 2020-03-27 16:37:34 UTC, end at Fri 2020-03-27 17:53:02 UTC. --
Mar 27 17:21:03 cloud-provider-iscsi-0000000053 systemd[1]: Started Devstack devstack@dstat.service.
Mar 27 17:21:03 cloud-provider-iscsi-0000000053 dstat.sh[24535]: [286B blob data]
Mar 27 17:21:03 cloud-provider-iscsi-0000000053 dstat.sh[24535]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 27 17:21:03 cloud-provider-iscsi-0000000053 dstat.sh[24535]: 27-03 17:21:03|  6   2  91   1   0| 421M 4237M  166M 2902M|   0     0 | 127k 3501k|4.62  32.4 |1039  1763 |0.76 0.67 0.47|1.0   0  22|   0     0 |bash                 2029 0.1%2614k2289k|bash                 2029 2614k2289k0.1%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 27 17:21:04 cloud-provider-iscsi-0000000053 dstat.sh[24535]: 27-03 17:21:04|  9  22  69   0   0| 421M 4236M  166M 2903M|8600B 2052B|   0   240k|   0  5.00 |2706  4970 |0.76 0.67 0.47|2.0   0 462|   0     0 |bash                 2029 4.0%1682k  29k|bash                 2029 1682k  29k4.0%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 27 17:21:05 cloud-provider-iscsi-0000000053 dstat.sh[24535]: 27-03 17:21:05| 14  20  66   0   0| 421M 4235M  166M 2903M|5588B 2052B|   0   568k|   0  21.0 |3368  6103 |0.76 0.67 0.47|1.0   0 365|   0     0 |systemd              1    2.8%   0    0 |bash                 2029 2970k  24k2.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Mar 27 17:21:06 cloud-provider-iscsi-0000000053 dstat.sh[24535]: 27-03 17:21:06| 11  15  74   0   0| 546M 4110M  166M 3025M|6740B 2202B|   0  3032k|   0  10.0 |3744  5715 |0.76 0.67 0.47|1.0   0 214|   0     0 |systemd              1    6.0%   0    0 |bash                 2029  524k7592B1.0%|mysqld       173M|   0     0 |  14    5    0    3    0
Mar 27 17:21:07 cloud-provider-iscsi-0000000053 dstat.sh[24535]: 27-03 17:21:07| 16  12  72   0   0| 569M 4087M  166M 3025M|6195B 2160B|   0     0 |   0     0 |1535  2603 |0.78 0.68 0.47|1.0   0 189|   0     0 |keystone-manage      25852 15%5266k  79k|keystone-manage      258525266k  79k 15%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 27 17:21:08 cloud-provider-iscsi-0000000053 dstat.sh[24535]: 27-03 17:21:08| 22   3  74   1   0| 616M 4038M  166M 3026M|5454B 2160B| 148k    0 |12.0     0 | 666   753 |0.78 0.68 0.47|1.0   0 1.0|   0     0 |keystone-manage      25852 24%  12M 617k|keystone-manage      25852  12M 617k 24%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 27 17:21:09 cloud-provider-iscsi-0000000053 dstat.sh[24535]: 27-03 17:21:09| 10   4  73  13   0| 634M 4018M  167M 3028M|7181B 2160B|  12k 8560k|1.00   542 |2698  5412 |0.78 0.68 0.47|1.0   0   0|   0     0 |keystone-manage      258526.8% 540k 145k|keystone-manage      25852 540k 145k6.8%|mysqld       188M|   0     0 |  14    7    0    5    0
Mar 27 17:21:10 cloud-provider-iscsi-0000000053 dstat.sh[24535]: 27-03 17:21:10|  7   5  73  14   0| 638M 3947M  167M 3093M|6720B 2160B|   0    73M|   0   840 |4165  8819 |0.78 0.68 0.47|1.0   0   0|   0     0 |mysqld               238167.0%   0    0 |keystone-manage      25852  23k  14k3.5%|mysqld       192M|   0     0 |  14    7    0    5    0
Mar 27 17:21:11 cloud-provider-iscsi-0000000053 dstat.sh[24535]: 27-03 17:21:11| 14   5  71  11   0| 640M 3943M  168M 3094M|6803B 2160B|   0    12M|   0   939 |5200    11k|0.78 0.68 0.47|  0 1.0   0|   0     0 |mysqld               238167.5%   0    0 |keystone-manage      25852  42k  25k7.2%|mysqld       195M|   0     0 |  14    7    0    5    0
Mar 27 17:21:12 cloud-provider-iscsi-0000000053 dstat.sh[24535]: 27-03 17:21:12| 16   6  70   8   0| 643M 3939M  168M 3095M|8574B 2160B|   0    11M|   0   931 |4606    15k|0.87 0.70 0.48|1.0   0   0|   0     0 |keystone-manage      25852 11%  52k 318k|python               5088  294k 611k1.8%|mysqld       197M|   0     0 |  14    7    0    5    0
