"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000253",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","14 Apr 2020 08:53:41 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
14-04 08:53:41,0.297,0.101,99.521,0.040,0.041,446685184,4607164416,169824256,2883989504,0,0,7602.825,188862.288,0.347,1.734,237.866,235.127,0.890,0.690,0.480,2,0,1.207,0,0,12,3,0,4,0
14-04 08:53:42,9.207,20.716,70.077,0,0,447385600,4605657088,169824256,2884358144,7346,2052,24576,237568,1,8,2457,4589,0.890,0.690,0.480,1,0,444,0,0,12,3,0,4,0
14-04 08:53:43,12.374,20.707,66.667,0,0.253,446173184,4606414848,169824256,2884780032,6521,2052,0,32768,0,8,3362,5595,0.890,0.690,0.480,1,0,367,0,0,12,3,0,4,0
14-04 08:53:44,7.828,11.111,78.788,2.273,0,578613248,4473200640,169824256,3013169152,7441,2160,0,2822144,0,161,3343,5947,0.890,0.690,0.480,0,0,108,0,0,14,3,0,4,0
14-04 08:53:45,6.329,12.658,80.759,0,0.253,580595712,4471218176,169824256,3013169152,5769,2160,0,0,0,0,2010,3657,0.890,0.690,0.480,1,0,298,0,0,14,5,0,6,0
14-04 08:53:46,20.854,5.025,73.869,0.251,0,625827840,4425830400,169828352,3013271552,9309,2160,98304,0,4,0,760,808,0.900,0.690,0.480,1,0,1,0,0,14,5,0,6,0
14-04 08:53:47,16.915,4.229,72.139,6.468,0.249,661942272,4388065280,169885696,3014864896,6138,2160,110592,3796992,10,135,1691,3232,0.900,0.690,0.480,1,0,0,0,0,14,7,0,6,0
14-04 08:53:48,6.818,4.040,72.222,16.667,0.253,666693632,4381396992,170393600,3016146944,13683,2106,0,9445376,0,826,4186,6475,0.900,0.690,0.480,0,1,0,0,0,14,7,0,6,0
14-04 08:53:49,5.823,5.823,69.367,18.987,0,669593600,4308471808,170733568,3084255232,6925,2214,0,145842176,0,887,2838,4437,0.900,0.690,0.480,0,1,0,0,0,14,7,0,6,0
14-04 08:53:50,10.433,3.308,70.992,15.267,0,671576064,4305281024,171298816,3084804096,8314,2160,0,9388032,0,783,4170,8184,0.900,0.690,0.480,0,1,0,0,0,14,7,0,6,0
14-04 08:53:51,13.750,6.250,67.500,12.250,0.250,673673216,4301918208,171900928,3085434880,14389,2146,0,8548352,0,699,5735,12595,0.990,0.710,0.490,1,0,0,0,0,14,7,0,6,0
14-04 08:53:52,10.076,4.030,72.796,12.846,0.252,675700736,4298280960,172490752,3086364672,5455,2106,0,8204288,0,605,3781,8134,0.990,0.710,0.490,0,1,0,0,0,14,7,0,6,0
