"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000364",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","22 Apr 2020 16:40:51 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
22-04 16:40:51,2.547,0.820,96.293,0.293,0.047,444489728,4208889856,150061056,3307261952,0,0,59266.802,1644085.440,2.110,13.944,554.053,764.835,0.730,0.680,0.490,3,0,9.932,0,0,12,3,0,4,0
22-04 16:40:52,9.669,21.120,69.211,0,0,443293696,4209213440,150069248,3307782144,7014,2160,24576,389120,0,10,2646,4940,0.730,0.680,0.490,2,0,458,0,0,12,3,0,4,0
22-04 16:40:53,12.911,22.278,64.557,0,0.253,445435904,4206596096,150069248,3308306432,5182,2160,0,28672,0,7,3030,5828,0.910,0.720,0.500,1,0,353,0,0,12,3,0,4,0
22-04 16:40:54,10.276,12.030,77.694,0,0,575950848,4075790336,150069248,3436093440,8766,2052,0,0,0,0,3221,5140,0.910,0.720,0.500,1,0,169,0,0,14,5,0,4,0
22-04 16:40:55,16.958,10.723,72.070,0,0.249,600416256,4051083264,150069248,3436212224,10982,2160,0,0,0,0,1511,2595,0.910,0.720,0.500,1,0,187,0,0,14,5,0,6,0
22-04 16:40:56,23.058,2.506,73.183,1.253,0,644743168,4005470208,150081536,3437486080,5816,2106,208896,0,14,0,688,813,0.910,0.720,0.500,1,0,0,0,0,14,5,0,6,0
22-04 16:40:57,10.302,4.020,72.864,12.563,0.251,661704704,3986452480,150409216,3439112192,7016,2214,0,10928128,0,655,3592,6504,0.910,0.720,0.500,1,1,0,0,0,14,7,0,6,0
22-04 16:40:58,7.250,5.250,72.500,15,0,665169920,3913764864,150720512,3506548736,7500,2160,0,73605120,0,571,2772,5844,1,0.740,0.510,0,1,0,0,0,14,7,0,6,0
22-04 16:40:59,7.426,3.218,72.030,17.079,0.248,666644480,3910885376,151007232,3507568640,6221,2052,0,5816320,0,486,2575,5452,1,0.740,0.510,1,0,0,0,0,14,7,0,6,0
22-04 16:41:00,9.415,4.326,71.756,14.504,0,668901376,3907485696,151670784,3507970048,7253,2160,0,9453568,0,768,4240,9001,1,0.740,0.510,0,1,0,0,0,14,7,0,6,0
22-04 16:41:01,14.640,5.955,69.479,9.677,0.248,670138368,3904884736,152186880,3508764672,6735,2160,0,6680576,0,555,4905,10765,1,0.740,0.510,1,0,0,0,0,14,7,0,6,0
22-04 16:41:02,3.769,4.774,59.799,31.658,0,671735808,3902648320,152371200,3509211136,6732,2160,0,93294592,0,1206,2599,3047,1,0.740,0.510,1,0,2,0,0,14,7,0,6,0
22-04 16:41:03,9.873,4.304,71.139,14.430,0.253,673542144,3899854848,152850432,3509633024,15711,2052,0,9003008,0,713,4466,7080,1.080,0.760,0.520,1,0,0,0,0,14,7,0,6,0
22-04 16:41:04,14.035,5.263,71.178,9.273,0.251,675749888,3896111104,153239552,3510734848,8582,2160,0,5718016,0,453,4582,9714,1.080,0.760,0.520,2,0,0,0,0,14,7,0,6,0
22-04 16:41:05,18.408,5.473,69.652,6.468,0,676425728,3894145024,153497600,3511738368,5928,2160,0,5505024,0,375,5799,11960,1.080,0.760,0.520,1,0,0,0,0,14,7,0,6,0
22-04 16:41:06,12.846,4.786,70.025,12.091,0.252,677466112,3892539392,153853952,3512033280,6444,2160,0,8552448,0,658,3619,9005,1.080,0.760,0.520,1,0,0,0,0,14,7,0,6,0
