-- Logs begin at Wed 2020-04-22 15:06:38 UTC, end at Wed 2020-04-22 17:12:24 UTC. --
Apr 22 16:40:51 cloud-provider-iscsi-0000000364 systemd[1]: Started Devstack devstack@dstat.service.
Apr 22 16:40:51 cloud-provider-iscsi-0000000364 dstat.sh[23785]: [286B blob data]
Apr 22 16:40:51 cloud-provider-iscsi-0000000364 dstat.sh[23785]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 22 16:40:51 cloud-provider-iscsi-0000000364 dstat.sh[23785]: 22-04 16:40:51|  3   1  96   0   0| 423M 4014M  143M 3154M|   0     0 |  58k 1606k|2.11  13.9 | 554   765 |0.73 0.68 0.49|1.0   0 9.9|   0     0 |systemd              1    0.1%   0    0 |bash                 2111 1280k1222k0.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 22 16:40:52 cloud-provider-iscsi-0000000364 dstat.sh[23785]: 22-04 16:40:52| 10  21  69   0   0| 424M 4013M  143M 3155M|7074B 2160B|   0   380k|   0  10.0 |2662  4955 |0.73 0.68 0.49|1.0   0 461|   0     0 |bash                 2111 3.5%1962k  30k|bash                 2111 1962k  30k3.5%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 22 16:40:53 cloud-provider-iscsi-0000000364 dstat.sh[23785]: 22-04 16:40:53| 13  22  65   0   0| 425M 4012M  143M 3155M|5182B 2160B|   0    28k|   0  7.00 |3005  5762 |0.91 0.72 0.50|1.0   0 344|   0     0 |systemd              1    4.0%   0    0 |bash                 2111 2619k  21k2.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 22 16:40:54 cloud-provider-iscsi-0000000364 dstat.sh[23785]: 22-04 16:40:54| 10  12  78   0   0| 549M 3887M  143M 3277M|8914B 2160B|   0     0 |   0     0 |3235  5173 |0.91 0.72 0.50|1.0   0 174|   0     0 |systemd              1    5.5%   0    0 |bash                 2111  514k7134B1.2%|mysqld       173M|   0     0 |  14    5    0    4    0
Apr 22 16:40:55 cloud-provider-iscsi-0000000364 dstat.sh[23785]: 22-04 16:40:55| 17  10  72   0   0| 573M 3863M  143M 3277M|  11k 2052B|   0     0 |   0     0 |1491  2556 |0.91 0.72 0.50|1.0   0 182|   0     0 |keystone-manage      25102 15%6094k  79k|keystone-manage      251026094k  79k 15%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 22 16:40:56 cloud-provider-iscsi-0000000364 dstat.sh[23785]: 22-04 16:40:56| 23   3  73   1   0| 615M 3819M  143M 3278M|5816B 2106B| 204k    0 |14.0     0 | 688   840 |0.91 0.72 0.50|1.0   0   0|   0     0 |keystone-manage      25102 23%  10M 595k|keystone-manage      25102  10M 595k 23%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 22 16:40:57 cloud-provider-iscsi-0000000364 dstat.sh[23785]: 22-04 16:40:57| 10   4  72  13   0| 631M 3802M  143M 3280M|7016B 2214B|   0    11M|   0   666 |3637  6557 |0.91 0.72 0.50|  0 1.0   0|   0     0 |keystone-manage      251025.5% 166k 109k|keystone-manage      25102 166k 109k5.5%|mysqld       189M|   0     0 |  14    7    0    6    0
Apr 22 16:40:58 cloud-provider-iscsi-0000000364 dstat.sh[23785]: 22-04 16:40:58|  7   5  73  15   0| 635M 3732M  144M 3344M|7440B 2160B|   0    70M|   0   561 |2729  5768 |1.00 0.74 0.51|  0 1.0   0|   0     0 |mysqld               230586.0%   0    0 |keystone-manage      25102  20k  11k3.2%|mysqld       192M|   0     0 |  14    7    0    6    0
Apr 22 16:40:59 cloud-provider-iscsi-0000000364 dstat.sh[23785]: 22-04 16:40:59|  7   3  72  17   0| 636M 3730M  144M 3345M|6295B 2106B|   0  5748k|   0   488 |2581  5460 |1.00 0.74 0.51|  0 1.0   0|   0     0 |mysqld               230583.8%   0    0 |keystone-manage      25102  16k  10k3.2%|mysqld       193M|   0     0 |  14    7    0    6    0
Apr 22 16:41:00 cloud-provider-iscsi-0000000364 dstat.sh[23785]: 22-04 16:41:00|  9   5  72  14   0| 638M 3726M  145M 3345M|7179B 2106B|   0  9228k|   0   784 |4305  9167 |1.00 0.74 0.51|1.0   0   0|   0     0 |mysqld               230587.2%   0    0 |keystone-manage      25102  32k  18k5.5%|mysqld       195M|   0     0 |  14    7    0    6    0
