-- Logs begin at Fri 2020-03-27 17:58:10 UTC, end at Sat 2020-03-28 00:24:20 UTC. --
Mar 28 00:13:05 cloud-provider-iscsi-0000000057 systemd[1]: Started Devstack devstack@dstat.service.
Mar 28 00:13:05 cloud-provider-iscsi-0000000057 dstat.sh[24799]: [286B blob data]
Mar 28 00:13:05 cloud-provider-iscsi-0000000057 dstat.sh[24799]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 28 00:13:05 cloud-provider-iscsi-0000000057 dstat.sh[24799]: 28-03 00:13:05|  1   0  99   0   0| 421M 4235M  166M 2903M|   0     0 |  15k  410k|0.54  3.87 | 309   338 |0.72 0.61 0.46|1.0   0 2.5|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2247  304k 266k0.0%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 28 00:13:06 cloud-provider-iscsi-0000000057 dstat.sh[24799]: 28-03 00:13:06|  9  22  69   0   0| 421M 4234M  166M 2903M|6609B 2106B|   0   248k|   0  5.00 |2227  4481 |0.72 0.61 0.46|3.0   0 420|   0     0 |bash                 2247 4.0%1330k  26k|bash                 2247 1330k  26k4.0%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 28 00:13:07 cloud-provider-iscsi-0000000057 dstat.sh[24799]: 28-03 00:13:07| 13  20  66   0   0| 421M 4234M  166M 2903M|6681B 2214B|   0    32k|   0  8.00 |2980  5562 |0.72 0.61 0.46|2.0   0 363|   0     0 |systemd              1    4.2%   0    0 |bash                 2247 2968k  24k2.2%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 28 00:13:08 cloud-provider-iscsi-0000000057 dstat.sh[24799]: 28-03 00:13:08| 12  13  75   0   0| 548M 4106M  166M 3026M|7275B 2160B|   0  4096B|   0  1.00 |3551  5244 |0.72 0.61 0.46|2.0   0 165|   0     0 |systemd              1    7.2%   0    0 |bash                 2247  757k5831B0.5%|mysqld       173M|   0     0 |  14    5    0    3    0
Mar 28 00:13:09 cloud-provider-iscsi-0000000057 dstat.sh[24799]: 28-03 00:13:09| 14  13  72   0   0| 561M 4093M  166M 3026M|6631B 2052B|   0   792k|   0  7.00 |1873  3429 |0.82 0.63 0.47|2.0   0 281|   0     0 |keystone-manage      26118 10%3276k  79k|keystone-manage      261183276k  79k 10%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 28 00:13:10 cloud-provider-iscsi-0000000057 dstat.sh[24799]: 28-03 00:13:10| 22   3  74   1   0| 608M 4045M  166M 3026M|  14k 2052B| 100k    0 |5.00     0 | 697   723 |0.82 0.63 0.47|2.0   0 1.0|   0     0 |keystone-manage      26118 24%  11M 258k|keystone-manage      26118  11M 258k 24%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 28 00:13:11 cloud-provider-iscsi-0000000057 dstat.sh[24799]: 28-03 00:13:11| 12   5  73  10   0| 633M 4017M  167M 3028M|8089B 2160B|  60k 8836k|8.00   582 |2685  6463 |0.82 0.63 0.47|3.0   0   0|   0     0 |keystone-manage      26118 10%2682k 504k|keystone-manage      261182682k 504k 10%|mysqld       188M|   0     0 |  14    7    0    5    0
Mar 28 00:13:12 cloud-provider-iscsi-0000000057 dstat.sh[24799]: 28-03 00:13:12| 10   5  72  13   0| 638M 3945M  167M 3094M|7820B 2160B|   0    74M|   0   903 |3175  9037 |0.82 0.63 0.47|2.0   0 2.0|   0     0 |mysqld               240797.8%   0    0 |keystone-manage      26118  30k  18k4.8%|mysqld       193M|   0     0 |  14    7    0    5    0
Mar 28 00:13:13 cloud-provider-iscsi-0000000057 dstat.sh[24799]: 28-03 00:13:13| 11   6  71  13   0| 640M 3942M  168M 3094M|  15k 2160B|   0  8376k|   0   721 |3747  6369 |0.82 0.63 0.47|2.0 1.0   0|   0     0 |mysqld               240797.2%   0    0 |keystone-manage      26118  30k  17k6.8%|mysqld       194M|   0     0 |  14    7    0    5    0
Mar 28 00:13:14 cloud-provider-iscsi-0000000057 dstat.sh[24799]: 28-03 00:13:14| 12   4  65  19   0| 642M 3940M  168M 3094M|6550B 2106B|   0    15M|   0   858 |4941  7452 |0.92 0.66 0.48|1.0   0   0|   0     0 |keystone-manage      261188.2%  24k 297k|python               5310  288k 599k1.5%|mysqld       196M|   0     0 |  14    7    0    5    0
