-- Logs begin at Mon 2020-03-30 21:47:58 UTC, end at Tue 2020-03-31 01:48:09 UTC. --
Mar 31 01:16:59 cloud-provider-iscsi-0000000081 systemd[1]: Started Devstack devstack@dstat.service.
Mar 31 01:17:00 cloud-provider-iscsi-0000000081 dstat.sh[23857]: [286B blob data]
Mar 31 01:17:00 cloud-provider-iscsi-0000000081 dstat.sh[23857]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 31 01:17:00 cloud-provider-iscsi-0000000081 dstat.sh[23857]: 31-03 01:17:00|  1   0  98   0   0| 420M 4455M  145M 2725M|   0     0 |  26k  690k|0.96  6.29 | 362   478 |0.66 0.62 0.48|2.0   0 4.5|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2052  477k 450k0.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Mar 31 01:17:01 cloud-provider-iscsi-0000000081 dstat.sh[23857]: 31-03 01:17:01|  9  21  69   0   0| 421M 4454M  145M 2725M|9637B 2052B|  24k  264k|1.00  10.0 |2730  5118 |0.66 0.62 0.48|1.0   0 493|   0     0 |bash                 2052 3.8%2005k  32k|bash                 2052 2005k  32k3.8%|mysqld       173M|   0     0 |  12    3    0    4    0
Mar 31 01:17:02 cloud-provider-iscsi-0000000081 dstat.sh[23857]: 31-03 01:17:02| 14  21  65   0   0| 428M 4446M  145M 2726M|6901B 2202B|   0    28k|   0  7.00 |3449  6755 |0.66 0.62 0.48|1.0   0 363|   0     0 |systemd              1    4.0%   0    0 |bash                 2052 2638k  22k1.8%|mysqld       173M|   0     0 |  12    3    0    4    0
Mar 31 01:17:03 cloud-provider-iscsi-0000000081 dstat.sh[23857]: 31-03 01:17:03|  8   8  84   0   0| 547M 4327M  145M 2848M|  17k 2160B|   0     0 |   0     0 |3154  4074 |0.66 0.62 0.48|2.0   0  82|   0     0 |systemd              1    5.2%   0    0 |bash                 2052  399k2132B0.5%|mysqld       173M|   0     0 |  14    5    0    4    0
Mar 31 01:17:04 cloud-provider-iscsi-0000000081 dstat.sh[23857]: 31-03 01:17:04| 15  14  71   0   0| 567M 4306M  145M 2848M|9301B 2160B|   0     0 |   0     0 |1896  3050 |0.69 0.62 0.48|1.0   0 274|   0     0 |keystone-manage      25173 11%5306k  79k|keystone-manage      251735306k  79k 11%|mysqld       173M|   0     0 |  14    5    0    6    0
Mar 31 01:17:05 cloud-provider-iscsi-0000000081 dstat.sh[23857]: 31-03 01:17:05| 22   3  74   1   0| 610M 4263M  145M 2849M|  16k 2160B| 192k    0 |13.0     0 | 604   724 |0.69 0.62 0.48|1.0   0   0|   0     0 |keystone-manage      25173 24%  10M 508k|keystone-manage      25173  10M 508k 24%|mysqld       173M|   0     0 |  14    5    0    6    0
Mar 31 01:17:06 cloud-provider-iscsi-0000000081 dstat.sh[23857]: 31-03 01:17:06| 11   4  72  14   0| 628M 4242M  146M 2851M|8089B 2160B|  12k 9084k|1.00   545 |2860  5295 |0.69 0.62 0.48|2.0 1.0   0|   0     0 |keystone-manage      251736.5%1089k 194k|keystone-manage      251731089k 194k6.5%|mysqld       188M|   0     0 |  14    7    0    6    0
Mar 31 01:17:07 cloud-provider-iscsi-0000000081 dstat.sh[23857]: 31-03 01:17:07|  8   5  72  14   0| 632M 4171M  146M 2915M|9872B 2160B|   0    72M|   0   788 |4117  8292 |0.69 0.62 0.48|1.0   0 2.0|   0     0 |mysqld               231387.0%   0    0 |keystone-manage      25173  23k  13k3.8%|mysqld       192M|   0     0 |  14    7    0    6    0
Mar 31 01:17:08 cloud-provider-iscsi-0000000081 dstat.sh[23857]: 31-03 01:17:08|  9   4  72  15   0| 635M 4167M  147M 2916M|  11k 2160B|   0  8448k|   0   727 |3843  7880 |0.69 0.62 0.48|  0 1.0   0|   0     0 |mysqld               231385.8%   0    0 |keystone-manage      25173  23k  13k4.5%|mysqld       194M|   0     0 |  14    7    0    6    0
Mar 31 01:17:09 cloud-provider-iscsi-0000000081 dstat.sh[23857]: 31-03 01:17:09| 14   5  69  11   0| 637M 4164M  147M 2917M|8985B 2106B|   0  7092k|   0   564 |4111    11k|0.71 0.63 0.48|1.0   0   0|   0     0 |keystone-manage      251737.8%  37k 285k|python3.6            5802  271k 564k2.0%|mysqld       196M|   0     0 |  14    7    0    6    0
