"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000271",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","15 Apr 2020 20:51:04 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
15-04 20:51:04,1.279,0.430,98.104,0.145,0.042,444821504,4675481600,151592960,2850357248,0,0,31354.806,824653.468,1.111,7.274,374.541,530.847,0.690,0.610,0.450,3,0,5.268,0,0,12,3,0,4,0
15-04 20:51:05,9.343,21.717,68.687,0,0.253,444432384,4675194880,151592960,2850914304,8209,2160,0,413696,0,22,2807,5241,0.690,0.610,0.450,2,0,497,0,0,12,3,0,4,0
15-04 20:51:06,12.152,21.772,65.823,0,0.253,446140416,4673007616,151592960,2851438592,5942,2254,0,28672,0,7,3613,7000,0.690,0.610,0.450,2,0,361,0,0,12,3,0,4,0
15-04 20:51:07,11.509,17.647,70.588,0,0.256,576917504,4541829120,151592960,2979307520,7851,1890,0,0,0,0,3914,5734,0.690,0.610,0.450,3,0,330,0,0,14,5,0,5,0
15-04 20:51:08,21.159,4.534,74.055,0.252,0,620269568,4498317312,151597056,2979409920,15971,2214,98304,0,4,0,879,1070,0.720,0.610,0.460,2,0,33,0,0,14,5,0,6,0
15-04 20:51:09,17.128,3.526,72.796,6.549,0,659398656,4456968192,151724032,2981478400,9025,2160,110592,4034560,10,152,1201,2450,0.720,0.610,0.460,1,1,0,0,0,14,7,0,6,0
15-04 20:51:10,8.395,4.444,71.605,15.309,0.247,664432640,4450570240,152096768,2982391808,11123,2160,0,11018240,0,840,3463,7478,0.720,0.610,0.460,2,1,0,0,0,14,7,0,6,0
15-04 20:51:11,7.848,4.051,73.418,14.430,0.253,667324416,4377518080,152522752,3050561536,7594,2160,0,74174464,0,603,2810,6060,0.720,0.610,0.460,2,0,0,0,0,14,7,0,6,0
15-04 20:51:12,11.558,3.518,71.608,13.317,0,669278208,4374564864,153092096,3050946560,10066,2160,0,7905280,0,670,3275,8275,0.720,0.610,0.460,3,0,2,0,0,14,7,0,6,0
15-04 20:51:13,14.035,5.263,68.922,11.529,0.251,671043584,4371488768,153657344,3051671552,8240,2250,0,7475200,0,598,3849,10702,0.740,0.620,0.460,1,1,0,0,0,14,7,0,6,0
15-04 20:51:14,10.152,3.553,72.081,14.213,0,672886784,4368441344,154132480,3052351488,8032,2106,0,7823360,0,603,3279,8000,0.740,0.620,0.460,1,1,0,0,0,14,7,0,6,0
15-04 20:51:15,9.415,5.598,68.957,15.776,0.254,677101568,4363259904,154615808,3052789760,7100,2214,0,35540992,0,924,4076,7685,0.740,0.620,0.460,1,3,0,0,0,14,7,0,6,0
15-04 20:51:16,16.414,5.303,65.404,12.879,0,676573184,4362502144,154869760,3053768704,9997,2160,0,62562304,0,751,5029,11446,0.740,0.620,0.460,7,0,0,0,0,14,7,0,6,0
15-04 20:51:17,17.413,5.721,67.910,8.706,0.249,677933056,4359487488,155230208,3055013888,6257,1944,0,7548928,0,546,3934,11706,0.740,0.620,0.460,2,0,0,0,0,14,7,0,6,0
15-04 20:51:18,15.657,4.293,69.444,10.606,0,677998592,4358758400,155664384,3055235072,6988,2160,0,9015296,0,671,4355,12479,0.680,0.610,0.460,2,0,0,0,0,14,7,0,6,0
15-04 20:51:19,20.101,6.030,73.618,0,0.251,625516544,4411150336,155672576,3055292416,8673,2160,0,90112,0,10,1242,1805,0.680,0.610,0.460,2,0,78,0,0,14,5,0,7,0
