"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider1-0000014300",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","12 Mar 2020 05:43:56 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
12-03 05:43:56,1.545,0.492,97.754,0.171,0.038,444723200,4344918016,175611904,3126956032,0,0,30716.085,877833.107,1.107,8.025,382.547,520.359,0.980,0.770,0.560,3,0,5.794,0,0,12,4,0,3,0
12-03 05:43:57,10.101,20.707,68.939,0,0.253,444420096,4344508416,175611904,3127341056,6602,21304,0,2842624,0,18,2653,5562,0.980,0.770,0.560,2,0,497,0,0,12,4,0,3,0
12-03 05:43:58,11.929,21.066,67.005,0,0,444878848,4343574528,175611904,3128000512,7524,14432,0,32768,0,8,2893,6341,0.980,0.770,0.560,3,0,364,0,0,12,4,0,3,0
12-03 05:43:59,9.596,9.848,80.556,0,0,575766528,4212277248,175611904,3255836672,6622,8036,0,0,0,0,2165,5510,0.980,0.770,0.560,0,0,86,0,0,14,4,0,3,0
12-03 05:44:00,10.076,12.846,76.826,0,0.252,584241152,4203642880,175611904,3255980032,7155,9668,0,0,0,0,2138,3454,0.980,0.770,0.560,1,0,295,0,0,14,6,0,5,0
12-03 05:44:01,22.250,3.750,73.500,0.500,0,622354432,4165271552,175611904,3256205312,4864,7838,77824,0,2,0,764,868,0.980,0.770,0.560,1,0,1,0,0,14,6,0,5,0
12-03 05:44:02,18.640,3.275,73.552,4.534,0,650846208,4135342080,175620096,3257266176,7909,2160,86016,1671168,11,7,903,1156,0.980,0.770,0.560,2,0,0,0,0,14,8,0,5,0
12-03 05:44:03,10.224,3.990,71.072,14.464,0.249,666533888,4117434368,176074752,3258945536,9008,137748,0,9392128,0,718,4182,7907,0.980,0.770,0.560,2,1,0,0,0,14,8,0,5,0
12-03 05:44:04,7.653,4.082,73.214,15.051,0,670867456,4043214848,176570368,3326955520,6823,6628,0,75526144,0,726,3502,7564,0.980,0.770,0.560,0,1,0,0,0,14,8,0,5,0
12-03 05:44:05,10.025,4.261,70.927,14.787,0,673087488,4039573504,177143808,3327725568,5456,4924,0,8228864,0,689,2529,7214,0.980,0.770,0.560,1,1,0,0,0,14,8,0,5,0
12-03 05:44:06,15.233,4.423,68.796,11.302,0.246,674713600,4036841472,177483776,3328417792,8711,7566,0,5943296,0,464,2668,9634,0.980,0.770,0.560,1,1,0,0,0,14,8,0,5,0
12-03 05:44:07,8.978,5.736,68.828,16.459,0,675561472,4035588096,177733632,3328528384,11720,328626,0,6295552,0,380,2685,4714,0.980,0.770,0.560,0,1,0,0,0,14,8,0,5,0
12-03 05:44:08,6.281,3.518,72.111,17.839,0.251,676401152,4034162688,178016256,3328806912,16047,6908,0,3715072,0,270,2078,3999,0.980,0.770,0.560,0,1,2,0,0,14,8,0,5,0
12-03 05:44:09,5.263,3.008,72.431,19.298,0,677195776,4032700416,178339840,3329101824,8387,3686,0,3395584,0,261,1991,3873,0.980,0.770,0.560,0,1,0,0,0,14,8,0,5,0
12-03 05:44:10,5.808,2.778,71.970,19.192,0.253,677818368,4031528960,178606080,3329363968,6383,5670,0,4182016,0,334,1895,3546,0.980,0.770,0.560,0,1,0,0,0,14,8,0,5,0
12-03 05:44:11,7.268,2.506,71.178,19.048,0,679043072,4029972480,178860032,3329429504,8458,4822,0,4448256,0,327,2227,4175,1.060,0.800,0.570,0,1,0,0,0,14,8,0,5,0
12-03 05:44:12,5.985,3.242,68.329,22.444,0,680566784,4027977728,179064832,3329687552,13567,4886,0,40058880,0,883,2956,3782,1.060,0.800,0.570,3,1,0,0,0,14,8,0,5,0
12-03 05:44:13,19.849,6.784,67.337,5.779,0.251,680349696,4026515456,179253248,3331190784,8310,406550,0,38043648,0,571,6328,14867,1.060,0.800,0.570,2,0,0,0,0,14,8,0,5,0
12-03 05:44:14,11.139,4.051,71.392,13.418,0,682127360,4023840768,179617792,3331702784,9330,417070,0,6844416,0,563,4088,9148,1.060,0.800,0.570,1,0,0,0,0,14,8,0,5,0
12-03 05:44:15,16.834,4.774,70.603,7.538,0.251,682405888,4022861824,180068352,3331907584,6236,17180,0,7376896,0,527,4589,10322,1.060,0.800,0.570,1,0,0,0,0,14,6,0,6,0
12-03 05:44:16,19.750,7,73.250,0,0,632705024,4072513536,180068352,3331952640,5863,11410,0,0,0,0,1067,1763,1.060,0.800,0.570,1,0,78,0,0,14,6,0,6,0
