-- Logs begin at Thu 2020-03-12 02:43:31 UTC, end at Thu 2020-03-12 06:15:51 UTC. --
Mar 12 05:43:55 cloud-provider1-0000014300 systemd[1]: Started Devstack devstack@dstat.service.
Mar 12 05:43:56 cloud-provider1-0000014300 dstat.sh[30418]: [286B blob data]
Mar 12 05:43:56 cloud-provider1-0000014300 dstat.sh[30418]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 12 05:43:56 cloud-provider1-0000014300 dstat.sh[30418]: 12-03 05:43:56|  2   0  98   0   0| 423M 4144M  167M 2982M|   0     0 |  30k  857k|1.11  8.02 | 383   520 |0.98 0.77 0.56|1.0   0 5.8|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2096  671k 584k0.0%|mysqld       174M|   0     0 |  12    4    0    3    0
Mar 12 05:43:57 cloud-provider1-0000014300 dstat.sh[30418]: 12-03 05:43:57| 10  21  69   0   0| 424M 4143M  167M 2982M|6662B   21k|   0  2776k|   0  18.0 |2662  5550 |0.98 0.77 0.56|2.0   0 495|   0     0 |bash                 2096 3.2%1715k  31k|bash                 2096 1715k  31k3.2%|mysqld       174M|   0     0 |  12    4    0    3    0
Mar 12 05:43:58 cloud-provider1-0000014300 dstat.sh[30418]: 12-03 05:43:58| 12  21  68   0   0| 424M 4142M  167M 2983M|7404B   14k|   0    32k|   0  8.00 |2873  6310 |0.98 0.77 0.56|  0   0 357|   0     0 |systemd              1    3.8%   0    0 |bash                 2096 2970k  23k2.2%|mysqld       174M|   0     0 |  12    4    0    3    0
Mar 12 05:43:59 cloud-provider1-0000014300 dstat.sh[30418]: 12-03 05:43:59| 10  10  80   0   0| 549M 4017M  167M 3105M|6622B 8036B|   0     0 |   0     0 |2159  5494 |0.98 0.77 0.56|  0   0  86|   0     0 |systemd              1    7.2%   0    0 |bash                 2096  247k 656B  0%|mysqld       174M|   0     0 |  14    4    0    3    0
Mar 12 05:44:00 cloud-provider1-0000014300 dstat.sh[30418]: 12-03 05:44:00| 11  13  76   0   0| 558M 4008M  167M 3105M|7155B 9668B|   0     0 |   0     0 |2137  3438 |0.98 0.77 0.56|2.0   0 295|   0     0 |keystone-manage      317334.2%1679k  79k|keystone-manage      317331679k  79k4.2%|mysqld       174M|   0     0 |  14    6    0    5    0
Mar 12 05:44:01 cloud-provider1-0000014300 dstat.sh[30418]: 12-03 05:44:01| 22   4  74   0   0| 594M 3972M  167M 3105M|4864B 7838B|  76k    0 |2.00     0 | 765   878 |0.98 0.77 0.56|1.0   0 1.0|   0     0 |keystone-manage      31733 25%9654k  83k|keystone-manage      317339654k  83k 25%|mysqld       174M|   0     0 |  14    6    0    5    0
Mar 12 05:44:02 cloud-provider1-0000014300 dstat.sh[30418]: 12-03 05:44:02| 19   3  73   5   0| 623M 3942M  167M 3106M|8155B 2214B|  84k 1632k|11.0  7.00 | 912  1161 |0.98 0.77 0.56|1.0   0   0|   0     0 |keystone-manage      31733 20%6201k 594k|keystone-manage      317336201k 594k 20%|mysqld       177M|   0     0 |  14    8    0    5    0
Mar 12 05:44:03 cloud-provider1-0000014300 dstat.sh[30418]: 12-03 05:44:03| 10   4  71  15   0| 636M 3927M  168M 3108M|9058B  135k|   0  9428k|   0   738 |4239  8044 |0.98 0.77 0.56|  0 1.0   0|   0     0 |mysqld               296994.8%   0    0 |tail                 22022 129k 129k0.2%|mysqld       189M|   0     0 |  14    8    0    5    0
Mar 12 05:44:04 cloud-provider1-0000014300 dstat.sh[30418]: 12-03 05:44:04|  7   4  73  15   0| 640M 3856M  168M 3173M|6527B 6412B|   0    72M|   0   713 |3448  7451 |0.98 0.77 0.56|1.0   0   0|   0     0 |mysqld               296996.2%   0    0 |keystone-manage      31733  27k  17k4.2%|mysqld       193M|   0     0 |  14    8    0    5    0
Mar 12 05:44:05 cloud-provider1-0000014300 dstat.sh[30418]: 12-03 05:44:05| 10   4  71  15   0| 642M 3852M  169M 3174M|5456B 4924B|   0  8020k|   0   686 |2519  7204 |0.98 0.77 0.56|1.0   0   0|   0     0 |mysqld               296995.8%   0    0 |keystone-manage      31733  21k  12k5.8%|mysqld       195M|   0     0 |  14    8    0    5    0
Mar 12 05:44:06 cloud-provider1-0000014300 dstat.sh[30418]: 12-03 05:44:06| 15   5  69  11   0| 643M 3850M  169M 3174M|8711B 7566B|   0  5852k|   0   470 |2690  9725 |0.98 0.77 0.56|1.0   0   0|   0     0 |keystone-manage      317338.0%  35k 302k|python               6015  290k 602k1.5%|mysqld       196M|   0     0 |  14    8    0    5    0
Mar 12 05:44:07 cloud-provider1-0000014300 dstat.sh[30418]: 12-03 05:44:07|  9   5  69  17   0| 644M 3849M  170M 3174M|  11k  321k|   0  6224k|   0   382 |2701  4670 |0.98 0.77 0.56|1.0 1.0   0|   0     0 |mysqld               296997.2%   0    0 |tail                 22022 311k 311k  0%|mysqld       196M|   0     0 |  14    8    0    5    0
Mar 12 05:44:08 cloud-provider1-0000014300 dstat.sh[30418]: 12-03 05:44:08|  6   4  72  18   0| 645M 3847M  170M 3175M|  16k 6908B|   0  3524k|   0   260 |2035  3928 |0.98 0.77 0.56|  0 1.0 2.0|   0     0 |mysqld               296994.5%   0    0 |keystone-manage      31733  13k8749B3.0%|mysqld       197M|   0     0 |  14    8    0    5    0
Mar 12 05:44:09 cloud-provider1-0000014300 dstat.sh[30418]: 12-03 05:44:09|  5   3  72  19   0| 646M 3846M  170M 3175M|8226B 3686B|   0  3348k|   0   261 |1989  3869 |0.98 0.77 0.56|  0 1.0   0|   0     0 |mysqld               296993.8%   0    0 |keystone-manage      31733  11k8342B2.5%|mysqld       197M|   0     0 |  14    8    0    5    0
Mar 12 05:44:10 cloud-provider1-0000014300 dstat.sh[30418]: 12-03 05:44:10|  6   3  72  19   0| 647M 3845M  170M 3175M|6383B 5670B|   0  4036k|   0   336 |1908  3567 |0.98 0.77 0.56|1.0 1.0   0|   0     0 |mysqld               296996.2%   0    0 |python2              30463  14k 461B0.2%|mysqld       198M|   0     0 |  14    8    0    5    0
Mar 12 05:44:11 cloud-provider1-0000014300 dstat.sh[30418]: 12-03 05:44:11|  7   3  71  19   0| 648M 3843M  171M 3175M|8458B 4822B|   0  4356k|   0   327 |2226  4161 |1.06 0.80 0.57|2.0   0   0|   0     0 |mysqld               296994.0%   0    0 |keystone-manage      31733  14k  10k3.2%|mysqld       199M|   0     0 |  14    8    0    5    0
Mar 12 05:44:12 cloud-provider1-0000014300 dstat.sh[30418]: 12-03 05:44:12|  6   3  68  22   0| 650M 3841M  171M 3175M|  14k 5048B|   0    41M|   0   911 |3049  3979 |1.06 0.80 0.57|3.0 1.0   0|   0     0 |mysqld               296993.0%   0    0 |python               6015   65k 135k0.5%|mysqld       199M|   0     0 |  14    8    0    5    0
