-- Logs begin at Mon 2020-03-16 18:53:43 UTC, end at Mon 2020-03-16 19:50:40 UTC. --
Mar 16 19:39:06 cloud-provider1-0000016432 systemd[1]: Started Devstack devstack@dstat.service.
Mar 16 19:39:06 cloud-provider1-0000016432 dstat.sh[30287]: [286B blob data]
Mar 16 19:39:06 cloud-provider1-0000016432 dstat.sh[30287]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 16 19:39:06 cloud-provider1-0000016432 dstat.sh[30287]: 16-03 19:39:06|  6   2  91   1   0| 421M 4138M  165M 2994M|   0     0 | 119k 3443k|4.35  31.5 |1003  1684 |0.67 0.68 0.51|1.0   0  23|   0     0 |systemd              1    0.1%   0    0 |bash                 1937 2678k2328k0.1%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 16 19:39:07 cloud-provider1-0000016432 dstat.sh[30287]: 16-03 19:39:07|  9  21  69   0   0| 420M 4139M  165M 2994M|6258B 1998B|   0    84k|   0  10.0 |2639  4903 |0.67 0.68 0.51|1.0   0 474|   0     0 |bash                 1937 3.8%1596k  30k|bash                 1937 1596k  30k3.8%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 16 19:39:08 cloud-provider1-0000016432 dstat.sh[30287]: 16-03 19:39:08| 12  21  66   0   0| 420M 4138M  165M 2994M|7977B 2106B|   0    36k|   0  9.00 |3470  5988 |0.67 0.68 0.51|  0   0 385|   0     0 |systemd              1    3.5%   0    0 |bash                 1937 3089k  25k2.0%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 16 19:39:09 cloud-provider1-0000016432 dstat.sh[30287]: 16-03 19:39:09|  9  10  81   0   0| 546M 4012M  165M 3116M|7573B 2214B|   0  3032k|   0  9.00 |3473  5505 |0.67 0.68 0.51|1.0   0 118|   0     0 |systemd              1    6.2%   0    0 |bash                 1937  428k3699B0.5%|mysqld       173M|   0     0 |  14    5    0    4    0
Mar 16 19:39:10 cloud-provider1-0000016432 dstat.sh[30287]: 16-03 19:39:10| 15  13  72   0   0| 561M 3997M  165M 3116M|6217B 2160B|   0     0 |   0     0 |1815  2974 |0.67 0.68 0.51|2.0   0 263|   0     0 |keystone-manage      31601 11%3744k  79k|keystone-manage      316013744k  79k 11%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 16 19:39:11 cloud-provider1-0000016432 dstat.sh[30287]: 16-03 19:39:11| 22   3  74   1   0| 611M 3946M  165M 3117M|4730B 2160B| 144k    0 |11.0     0 | 705   820 |0.70 0.68 0.52|1.0   0 1.0|   0     0 |keystone-manage      31601 24%  12M 315k|keystone-manage      31601  12M 315k 24%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 16 19:39:12 cloud-provider1-0000016432 dstat.sh[30287]: 16-03 19:39:12| 13   5  73   9   0| 633M 3921M  166M 3119M|6458B 1944B|  16k   10M|2.00   758 |4132  7854 |0.70 0.68 0.52|4.0 1.0   0|   0     0 |keystone-manage      316019.0%1537k 447k|keystone-manage      316011537k 447k9.0%|mysqld       189M|   0     0 |  14    7    0    5    0
Mar 16 19:39:13 cloud-provider1-0000016432 dstat.sh[30287]: 16-03 19:39:13|  9   6  72  14   0| 637M 3850M  166M 3184M|  13k 1944B|   0    72M|   0   704 |3691  6938 |0.70 0.68 0.52|  0 1.0   0|   0     0 |mysqld               295656.2%   0    0 |keystone-manage      31601  27k  17k4.2%|mysqld       193M|   0     0 |  14    7    0    5    0
Mar 16 19:39:14 cloud-provider1-0000016432 dstat.sh[30287]: 16-03 19:39:14| 14   5  70  12   0| 639M 3847M  167M 3185M|6461B 2160B|   0    11M|   0   798 |4257  8063 |0.70 0.68 0.52|1.0   0   0|   0     0 |mysqld               295658.0%   0    0 |keystone-manage      31601  34k  20k6.8%|mysqld       194M|   0     0 |  14    7    0    5    0
Mar 16 19:39:15 cloud-provider1-0000016432 dstat.sh[30287]: 16-03 19:39:15| 14   4  72  10   0| 640M 3844M  167M 3185M|6387B 2160B|   0  6412k|   0   522 |4289  8918 |0.70 0.68 0.52|3.0   0   0|   0     0 |keystone-manage      316018.0%  30k 301k|python               5857  290k 602k1.2%|mysqld       196M|   0     0 |  14    7    0    5    0
Mar 16 19:39:16 cloud-provider1-0000016432 dstat.sh[30287]: 16-03 19:39:16| 10   5  71  14   0| 642M 3841M  168M 3186M|6715B 2202B|   0  8252k|   0   649 |4132  6255 |0.80 0.71 0.52|  0 1.0   0|   0     0 |mysqld               295656.5%   0    0 |keystone-manage      31601  31k  23k5.2%|mysqld       197M|   0     0 |  14    7    0    5    0
Mar 16 19:39:17 cloud-provider1-0000016432 dstat.sh[30287]: 16-03 19:39:17| 13   5  70  13   0| 645M 3838M  168M 3187M|5555B 1944B|   0    10M|   0   797 |4613  7208 |0.80 0.71 0.52|  0 1.0   0|   0     0 |mysqld               295658.8%   0    0 |keystone-manage      31601  28k  19k5.8%|mysqld       199M|   0     0 |  14    7    0    5    0
Mar 16 19:39:18 cloud-provider1-0000016432 dstat.sh[30287]: 16-03 19:39:18| 19   5  70   5   0| 646M 3835M  169M 3188M|  14k 2106B|   0  3676k|   0   266 |4998  9194 |0.80 0.71 0.52|  0 1.0   0|   0     0 |keystone-manage      31601 15%  53k 381k|python               5857  361k 750k3.0%|mysqld       199M|   0     0 |  14    7    0    5    0
Mar 16 19:39:19 cloud-provider1-0000016432 dstat.sh[30287]: 16-03 19:39:19| 14   5  68  13   0| 648M 3832M  169M 3189M|7105B 2214B|   0    14M|   0   861 |5905  9806 |0.80 0.71 0.52|  0 2.0   0|   0     0 |keystone-manage      316019.2%  38k 368k|python               5857  355k 738k1.5%|mysqld       200M|   0     0 |  14    7    0    5    0
Mar 16 19:39:20 cloud-provider1-0000016432 dstat.sh[30287]: 16-03 19:39:20| 12   7  69  12   0| 648M 3831M  169M 3189M|7760B 2160B|   0    53M|   0   985 |4756    11k|0.80 0.71 0.52|1.0   0 2.0|   0     0 |keystone-manage      316018.2%  46k  32k|keystone-manage      31601  46k  32k8.2%|mysqld       200M|   0     0 |  14    7    0    5    0
Mar 16 19:39:21 cloud-provider1-0000016432 dstat.sh[30287]: 16-03 19:39:21| 18   7  74   2   0| 588M 3891M  169M 3189M|6934B 2202B|   0  1360k|   0   104 |1678  2868 |0.82 0.71 0.53|2.0   0  78|   0     0 |keystone-manage      31682 10%3730k  37k|bash                 1937   18M2010k1.0%|mysqld       201M|   0     0 |  14    5    0    6    0
Mar 16 19:39:22 cloud-provider1-0000016432 dstat.sh[30287]: 16-03 19:39:22| 24   3  73   0   0| 639M 3840M  169M 3189M|6634B 2160B|   0  2036k|   0  4.00 | 841  1006 |0.82 0.71 0.53|1.0 1.0 1.0|   0     0 |keystone-manage      31682 25%  12M  37k|keystone-manage      31682  12M  37k 25%|mysqld       201M|   0     0 |  14    5    0    6    0
Mar 16 19:39:23 cloud-provider1-0000016432 dstat.sh[30287]: 16-03 19:39:23| 22   4  72   1   0| 606M 3873M  169M 3189M|7822B 2160B|   0  6836k|   0  71.0 |1193  1520 |0.82 0.71 0.53|1.0 1.0  12|   0     0 |keystone-manage      31694 17%7801k  73k|bash                 1937   17M  76k0.2%|mysqld       201M|   0     0 |  14    5    0    6    0
Mar 16 19:39:24 cloud-provider1-0000016432 dstat.sh[30287]: 16-03 19:39:24| 24   3  72   1   0| 643M 3834M  169M 3190M|7532B 2160B|   0  6704k|   0  67.0 |1034  1292 |0.82 0.71 0.53|2.0   0   0|   0     0 |keystone-manage      31694 25%9399k1578B|keystone-manage      316949399k1578B 25%|mysqld       201M|   0     0 |  14    5    0    6    0
Mar 16 19:39:25 cloud-provider1-0000016432 dstat.sh[30287]: 16-03 19:39:25| 11  20  66   3   0| 574M 3902M  169M 3192M|9025B 1836B|   0    24M|   0   453 |3353  6063 |0.82 0.71 0.53|1.0   0 467|   0     0 |bash                 1937 3.0%  19M 105k|bash                 1937   19M 105k3.0%|mysqld       201M|   0     0 |  14    5    0    6    0
Mar 16 19:39:26 cloud-provider1-0000016432 dstat.sh[30287]: 16-03 19:39:26| 14  20  66   0   0| 581M 3894M  169M 3193M|7414B 2268B|   0   736k|   0  12.0 |4645  7797 |0.83 0.72 0.53|3.0   0 276|   0     0 |systemd              1    6.2%   0    0 |bash                 1937 2173k  14k1.5%|mysqld       201M|   0     0 |  14    5    0    6    0
Mar 16 19:39:27 cloud-provider1-0000016432 dstat.sh[30287]: 16-03 19:39:27| 46  11  43   0   0| 665M 3810M  169M 3193M|8304B 2160B|   0     0 |   0     0 |1390  2019 |0.83 0.72 0.53|2.0   0 131|   0     0 |uwsgi                32438 25%9768k  73k|uwsgi                324389768k  73k 25%|mysqld       201M|   0     0 |  14    7    0    6    0
Mar 16 19:39:28 cloud-provider1-0000016432 dstat.sh[30287]: 16-03 19:39:28| 44   5  50   2   0| 728M 3746M  169M 3194M|6298B 2160B| 148k  284k|5.00  38.0 | 945   827 |0.83 0.72 0.53|2.0   0   0|   0     0 |uwsgi                32437 24%7640k 289k|uwsgi                324387709k 308k 24%|mysqld       201M|   0     0 |  14    7    0    6    0
Mar 16 19:39:29 cloud-provider1-0000016432 dstat.sh[30287]: 16-03 19:39:29| 36  13  52   0   0| 751M 3721M  169M 3195M|  14k 2160B|   0    28k|   0  3.00 |2777  9418 |0.83 0.72 0.53| 11   0 171|   0     0 |uwsgi                32437 16% 900k 232k|keystone-manage      327131669k  37k2.8%|mysqld       201M|   0     0 |  14    5    0    7    0
Mar 16 19:39:30 cloud-provider1-0000016432 dstat.sh[30287]: 16-03 19:39:30| 25   2  73   0   0| 785M 3687M  169M 3195M|6242B 2160B|   0    20k|   0  2.00 | 850  1053 |0.83 0.72 0.53|1.0   0 3.0|   0     0 |keystone-manage      32713 25%8642k  37k|keystone-manage      327138642k  37k 25%|mysqld       201M|   0     0 |  14    5    0    7    0
Mar 16 19:39:31 cloud-provider1-0000016432 dstat.sh[30287]: 16-03 19:39:31| 24   3  73   0   0| 830M 3642M  169M 3195M|  15k 2160B|   0   924k|   0  6.00 | 861  1019 |0.85 0.72 0.53|1.0   0 2.0|   0     0 |keystone-manage      32713 24%8775k  10k|keystone-manage      327138775k  10k 24%|mysqld       203M|   0     0 |  14   11    0    7    0
Mar 16 19:39:32 cloud-provider1-0000016432 dstat.sh[30287]: 16-03 19:39:32| 21   5  73   1   0| 764M 3708M  170M 3195M|7986B 2106B|   0   456k|   0  55.0 |1411  2240 |0.85 0.72 0.53|1.0   0  53|   0     0 |openstack            333   11%3427k  37k|bash                 1937   19M  89k0.2%|mysqld       203M|   0     0 |  14    5    0   10    0
