"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000076",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","30 Mar 2020 15:01:23 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
30-03 15:01:23,0.744,0.253,98.876,0.084,0.042,442204160,4666658816,151457792,2857861120,0,0,17743.408,460375.820,0.636,4.046,308.119,365.098,0.820,0.830,0.590,2,0,3.269,0,0,12,3,0,4,0
30-03 15:01:24,9.669,20.611,69.466,0,0.254,441839616,4666073088,151465984,2858373120,7690,2308,24576,81920,1,8,2658,4662,0.820,0.830,0.590,3,0,441,0,0,12,3,0,4,0
30-03 15:01:25,13.819,20.854,65.327,0,0,442396672,4665085952,151465984,2858930176,6897,2160,0,36864,0,9,4079,7216,0.820,0.830,0.590,2,0,381,0,0,12,3,0,4,0
30-03 15:01:26,8.333,8.586,82.828,0,0.253,574754816,4532166656,151465984,2986876928,7484,2052,0,0,0,0,2977,4481,0.820,0.830,0.590,2,0,106,0,0,14,5,0,4,0
30-03 15:01:27,15.365,12.594,72.040,0,0,593170432,4513734656,151465984,2986893312,8081,2052,0,0,0,0,1958,3257,0.820,0.830,0.590,1,0,278,0,0,14,5,0,6,0
30-03 15:01:28,21.053,3.759,73.935,1.003,0.251,640040960,4465836032,151465984,2987921408,6004,2160,196608,405504,13,20,620,785,0.840,0.830,0.590,1,0,0,0,0,14,5,0,6,0
30-03 15:01:29,9.645,3.299,74.365,12.690,0,658956288,4444844032,151818240,2989645824,8122,2106,12288,8089600,1,516,2883,5220,0.840,0.830,0.590,0,1,0,0,0,14,7,0,6,0
30-03 15:01:30,8.354,6.582,72.911,11.899,0.253,664735744,4368490496,152371200,3058040832,6555,2288,0,78815232,0,1016,4879,9903,0.840,0.830,0.590,0,1,0,0,0,14,7,0,6,0
30-03 15:01:31,16.121,5.793,68.766,9.068,0.252,667860992,4363923456,152961024,3058831360,6991,2106,0,12427264,0,1043,6186,13553,0.840,0.830,0.590,1,0,2,0,0,14,7,0,6,0
30-03 15:01:32,13.740,4.071,70.483,11.450,0.254,670097408,4359983104,153595904,3059843072,7085,2214,0,9240576,0,742,5316,11842,0.840,0.830,0.590,1,0,0,0,0,14,7,0,6,0
30-03 15:01:33,10.474,7.980,67.581,13.965,0,671563776,4357636096,154034176,3060224000,7262,2160,0,87953408,0,1094,4097,7935,1.170,0.900,0.610,1,0,0,0,0,14,7,0,6,0
30-03 15:01:34,17.085,5.276,68.593,8.794,0.251,673886208,4353679360,154447872,3061391360,5275,1944,0,6950912,0,514,5049,13901,1.170,0.900,0.610,1,0,0,0,0,14,7,0,6,0
30-03 15:01:35,18.734,5.316,68.101,7.848,0,675094528,4350906368,154779648,3062562816,6005,2160,0,6377472,0,455,3961,11765,1.170,0.900,0.610,1,1,0,0,0,14,7,0,6,0
30-03 15:01:36,15.657,5.303,70.707,8.081,0.253,675786752,4349538304,155283456,3062673408,9077,2160,0,10145792,0,769,5319,12948,1.170,0.900,0.610,1,0,0,0,0,14,7,0,6,0
30-03 15:01:37,20.907,5.290,73.552,0,0.252,628232192,4397031424,155291648,3062722560,6937,2160,0,143360,0,10,1188,1646,1.170,0.900,0.610,1,0,78,0,0,14,5,0,7,0
30-03 15:01:38,22.750,4,71.500,1.750,0,671129600,4353572864,155320320,3063250944,8093,2160,0,10551296,0,85,1032,1409,1.160,0.900,0.620,1,1,0,0,0,14,5,0,7,0
30-03 15:01:39,22.556,3.509,72.431,1.253,0.251,648261632,4375891968,155381760,3063738368,15065,2106,0,7938048,0,87,1084,1510,1.160,0.900,0.620,1,0,11,0,0,14,5,0,7,0
30-03 15:01:40,16.709,12.405,69.873,0.759,0.253,603181056,4419211264,155467776,3065380864,14516,2214,0,6504448,0,133,2531,4271,1.160,0.900,0.620,1,0,294,0,0,14,5,0,7,0
30-03 15:01:41,13.418,20.759,65.823,0,0,604618752,4416757760,155467776,3066335232,10602,2160,0,118784,0,15,3035,5849,1.160,0.900,0.620,2,0,408,0,0,14,5,0,7,0
30-03 15:01:42,39.098,13.283,47.368,0,0.251,687124480,4333854720,155475968,3067092992,8704,2160,0,94208,0,6,2752,4103,1.160,0.900,0.620,2,0,172,0,0,14,7,0,7,0
30-03 15:01:43,45.250,4.750,47.750,2,0.250,750260224,4269858816,155484160,3067740160,6633,2052,151552,7860224,5,409,1764,888,1.220,0.920,0.620,2,0,0,0,0,14,7,0,7,0
30-03 15:01:44,41.162,13.384,45.202,0,0.253,782221312,4235722752,155484160,3069575168,12018,2106,0,0,0,0,2575,8718,1.220,0.920,0.620,1,0,176,0,0,14,5,0,8,0
