"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000132",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","01 Apr 2020 16:41:19 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
01-04 16:41:19,9.148,3.104,86.481,1.198,0.069,445820928,4690321408,151457792,2834554880,0,0,230095.570,6012710.507,8.199,52.707,1587.435,2924.852,0.600,0.630,0.460,3,0,38.641,0,0,12,3,0,4,0
01-04 16:41:20,10.050,20.854,68.844,0,0.251,446038016,4689166336,151465984,2835034112,7552,2106,24576,430080,1,26,2722,5054,0.630,0.640,0.460,2,0,478,0,0,12,3,0,4,0
01-04 16:41:21,12.977,19.338,67.430,0,0.254,444669952,4690087936,151465984,2835456000,8475,2214,0,32768,0,8,2876,5104,0.630,0.640,0.460,2,0,342,0,0,12,3,0,4,0
01-04 16:41:22,9.873,7.848,82.278,0,0,577101824,4557418496,151465984,2963386368,6435,2160,0,0,0,0,3214,5040,0.630,0.640,0.460,1,0,85,0,0,14,3,0,4,0
01-04 16:41:23,13.784,13.784,72.180,0,0.251,589135872,4545056768,151465984,2963595264,8468,2160,0,0,0,0,2233,3494,0.630,0.640,0.460,3,0,296,0,0,14,5,0,6,0
01-04 16:41:24,22.055,3.509,73.684,0.752,0,632504320,4501352448,151465984,2963931136,10623,2160,122880,0,7,0,765,824,0.630,0.640,0.460,2,0,2,0,0,14,5,0,6,0
01-04 16:41:25,13.065,3.518,69.095,14.070,0.251,662638592,4468883456,151658496,2965991424,7708,2160,86016,9670656,7,366,2532,3896,0.740,0.660,0.470,1,2,0,0,0,14,7,0,6,0
01-04 16:41:26,7.305,3.778,64.987,23.929,0,665382912,4465090560,152121344,2966577152,9115,2202,0,32940032,0,1288,4765,6492,0.740,0.660,0.470,3,0,0,0,0,14,7,0,6,0
01-04 16:41:27,7.576,4.798,72.980,14.394,0.253,668725248,4391215104,152625152,3035049984,5922,1944,0,75436032,0,728,4038,7383,0.740,0.660,0.470,3,0,0,0,0,14,7,0,6,0
01-04 16:41:28,15.539,3.509,70.677,10.276,0,671379456,4387246080,153178112,3035783168,9174,2160,0,9424896,0,788,5545,12821,0.740,0.660,0.470,4,0,0,0,0,14,7,0,6,0
01-04 16:41:29,11.307,5.025,71.357,12.312,0,673230848,4383928320,153878528,3036495872,11745,2202,0,8880128,0,701,4254,9366,0.740,0.660,0.470,2,0,0,0,0,14,7,0,6,0
01-04 16:41:30,11.646,4.051,71.899,12.152,0.253,675463168,4380282880,154701824,3037044736,7416,2106,0,10526720,0,827,4214,10035,0.760,0.670,0.470,2,0,0,0,0,14,7,0,6,0
01-04 16:41:31,17.557,5.598,70.229,6.361,0.254,677535744,4376911872,155013120,3038019584,15879,2160,0,69963776,0,769,5233,12170,0.760,0.670,0.470,3,0,0,0,0,14,7,0,6,0
01-04 16:41:32,20.101,5.276,67.588,7.035,0,678727680,4373958656,155488256,3039203328,7149,2214,0,9019392,0,705,5134,14227,0.760,0.670,0.470,3,0,0,0,0,14,7,0,6,0
01-04 16:41:33,17.337,6.281,70.603,5.528,0.251,605757440,4446322688,155836416,3039420416,15568,2106,0,6803456,0,477,4491,10726,0.760,0.670,0.470,2,0,53,0,0,14,5,0,7,0
01-04 16:41:34,23.618,3.518,72.362,0.503,0,648876032,4402671616,155860992,3039928320,7671,2214,0,6971392,0,69,1189,1620,0.760,0.670,0.470,2,0,27,0,0,14,5,0,7,0
