"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000309",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","17 Apr 2020 04:45:50 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
17-04 04:45:50,1.098,0.362,98.315,0.183,0.042,448012288,4206858240,152248320,3302658048,0,0,25709.324,712957.329,0.917,6.144,353.627,420.458,0.690,0.660,0.480,2,0,4.322,0,0,12,4,0,4,0
17-04 04:45:51,10.204,21.429,68.112,0.255,0,446480384,4207587328,152256512,3303047168,8775,16170,24576,163840,1,8,2636,5293,0.690,0.660,0.480,1,0,467,0,0,12,4,0,4,0
17-04 04:45:52,13.165,19.241,67.342,0,0.253,446689280,4207157248,152256512,3303305216,11276,21220,0,28672,0,7,3161,6446,0.710,0.670,0.480,1,0,336,0,0,12,4,0,4,0
17-04 04:45:53,9.694,8.163,82.143,0,0,577896448,4075413504,152256512,3431522304,12587,8854,0,0,0,0,2497,3897,0.710,0.670,0.480,0,0,86,0,0,14,4,0,4,0
17-04 04:45:54,8.271,13.784,77.694,0,0.251,584998912,4068130816,152256512,3431616512,7107,2934,0,0,0,0,2010,3484,0.710,0.670,0.480,2,0,297,0,0,14,6,0,6,0
17-04 04:45:55,22.166,2.771,74.055,1.008,0,627314688,4025470976,152256512,3431960576,7297,15358,122880,0,7,0,769,826,0.710,0.670,0.480,1,0,0,0,0,14,6,0,6,0
17-04 04:45:56,15.617,3.778,73.552,7.053,0,663420928,3987390464,152375296,3433816064,6399,2160,86016,5586944,7,259,1936,3604,0.710,0.670,0.480,0,0,0,0,0,14,8,0,6,0
17-04 04:45:57,9.045,4.774,71.859,14.070,0.251,667361280,3981930496,152883200,3434729472,10852,129084,0,9396224,0,820,4099,7639,0.820,0.690,0.490,3,0,0,0,0,14,8,0,6,0
17-04 04:45:58,1.256,4.020,54.774,39.950,0,668057600,3912712192,152907776,3501973504,8626,5900,0,121020416,0,407,914,955,0.820,0.690,0.490,1,1,0,0,0,14,8,0,6,0
17-04 04:45:59,4.271,2.010,73.367,20.101,0.251,669442048,3910008832,153137152,3502809088,24512,2160,0,4251648,0,331,2026,3439,0.820,0.690,0.490,0,1,0,0,0,14,8,0,6,0
17-04 04:46:00,4.557,3.038,72.405,20,0,670195712,3908767744,153374720,3503050752,9335,3446,0,3604480,0,296,1880,3817,0.820,0.690,0.490,0,1,0,0,0,14,8,0,6,0
17-04 04:46:01,6,3.500,71,19.250,0.250,671440896,3906863104,153759744,3503304704,8022,3206,0,4730880,0,389,2287,3879,0.820,0.690,0.490,0,1,0,0,0,14,8,0,6,0
17-04 04:46:02,8.376,4.822,69.543,17.259,0,672190464,3905597440,154181632,3503390720,8698,3206,0,4816896,0,376,2616,4100,0.830,0.700,0.490,1,1,0,0,0,14,8,0,6,0
17-04 04:46:03,10.859,5.556,68.434,14.899,0.253,674516992,3902345216,154517504,3503964160,7304,5482,0,14843904,0,357,3150,6891,0.830,0.700,0.490,0,2,0,0,0,14,8,0,6,0
17-04 04:46:04,7.888,5.852,67.684,18.575,0,674070528,3902386176,154771456,3504099328,14944,312132,0,24481792,0,426,2552,5002,0.830,0.700,0.490,0,1,2,0,0,14,8,0,6,0
17-04 04:46:05,6.313,3.283,69.697,20.455,0.253,675332096,3900440576,154980352,3504553984,7321,5404,0,4071424,0,297,1994,3912,0.830,0.700,0.490,0,1,0,0,0,14,8,0,6,0
17-04 04:46:06,6.076,3.544,71.646,18.734,0,676098048,3899064320,155254784,3504848896,9785,4444,0,5148672,0,406,2881,5315,0.830,0.700,0.490,2,0,0,0,0,14,8,0,6,0
17-04 04:46:07,5.556,4.040,70.960,19.444,0,676962304,3897794560,155607040,3504881664,9179,5716,0,4415488,0,341,2117,4483,0.850,0.700,0.490,0,1,0,0,0,14,8,0,6,0
17-04 04:46:08,6.566,3.535,70.455,19.444,0,678182912,3896143872,155910144,3504996352,9068,5250,0,4349952,0,341,2242,4864,0.850,0.700,0.490,0,1,0,0,0,14,8,0,6,0
17-04 04:46:09,10.777,3.008,69.674,16.291,0.251,678887424,3894435840,155983872,3505930240,6555,4390,0,10260480,0,638,3274,6881,0.850,0.700,0.490,1,0,0,0,0,14,8,0,6,0
17-04 04:46:10,11.529,3.509,71.930,13.033,0,679206912,3893518336,156082176,3506397184,21950,381512,0,2654208,0,158,2939,9031,0.850,0.700,0.490,1,0,0,0,0,14,8,0,6,0
17-04 04:46:11,12.183,3.299,72.589,11.929,0,680398848,3891351552,156225536,3507200000,15207,14858,0,3399680,0,243,3609,7886,0.850,0.700,0.490,1,0,0,0,0,14,8,0,6,0
17-04 04:46:12,8.479,2.993,70.823,17.456,0.249,680534016,3890622464,156536832,3507462144,12006,383202,0,5464064,0,449,3293,6304,0.860,0.710,0.500,1,0,0,0,0,14,8,0,6,0
