-- Logs begin at Fri 2020-04-17 01:08:15 UTC, end at Fri 2020-04-17 05:18:08 UTC. --
Apr 17 04:45:50 cloud-provider-iscsi-0000000309 systemd[1]: Started Devstack devstack@dstat.service.
Apr 17 04:45:50 cloud-provider-iscsi-0000000309 dstat.sh[24057]: [286B blob data]
Apr 17 04:45:50 cloud-provider-iscsi-0000000309 dstat.sh[24057]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 17 04:45:50 cloud-provider-iscsi-0000000309 dstat.sh[24057]: 17-04 04:45:50|  1   0  98   0   0| 426M 4013M  145M 3150M|   0     0 |  25k  696k|0.92  6.14 | 354   420 |0.69 0.66 0.48|2.0   0 4.3|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2278  553k 527k0.0%|mysqld       173M|   0     0 |  12    4    0    4    0
Apr 17 04:45:51 cloud-provider-iscsi-0000000309 dstat.sh[24057]: 17-04 04:45:51| 10  22  68   0   0| 427M 4012M  145M 3150M|8775B   16k|   0   160k|   0  8.00 |2685  5357 |0.69 0.66 0.48|1.0   0 478|   0     0 |bash                 2278 3.8%1991k  31k|bash                 2278 1991k  31k3.8%|mysqld       173M|   0     0 |  12    4    0    4    0
Apr 17 04:45:52 cloud-provider-iscsi-0000000309 dstat.sh[24057]: 17-04 04:45:52| 13  19  68   0   0| 426M 4012M  145M 3151M|  14k   21k|   0    28k|   0  7.00 |3321  6801 |0.71 0.67 0.48|  0   0 317|   0     0 |systemd              1    3.2%   0    0 |bash                 2278 2628k  21k2.0%|mysqld       173M|   0     0 |  12    4    0    4    0
Apr 17 04:45:53 cloud-provider-iscsi-0000000309 dstat.sh[24057]: 17-04 04:45:53|  9   8  83   0   0| 551M 3887M  145M 3273M|9360B 8962B|   0     0 |   0     0 |2263  3392 |0.71 0.67 0.48|  0   0  86|   0     0 |systemd              1    5.5%   0    0 |bash                 2278  247k 656B0.2%|mysqld       173M|   0     0 |  14    4    0    4    0
Apr 17 04:45:54 cloud-provider-iscsi-0000000309 dstat.sh[24057]: 17-04 04:45:54|  9  14  77   0   0| 559M 3879M  145M 3273M|7167B 2934B|   0     0 |   0     0 |2034  3506 |0.71 0.67 0.48|1.0   0 297|   0     0 |keystone-manage      253713.2%1407k  79k|keystone-manage      253711407k  79k3.2%|mysqld       173M|   0     0 |  14    6    0    6    0
Apr 17 04:45:55 cloud-provider-iscsi-0000000309 dstat.sh[24057]: 17-04 04:45:55| 22   3  74   1   0| 599M 3838M  145M 3273M|7601B   15k| 120k    0 |7.00     0 | 759   811 |0.71 0.67 0.48|1.0   0   0|   0     0 |keystone-manage      25371 24%  10M 153k|keystone-manage      25371  10M 153k 24%|mysqld       173M|   0     0 |  14    6    0    6    0
Apr 17 04:45:56 cloud-provider-iscsi-0000000309 dstat.sh[24057]: 17-04 04:45:56| 15   4  74   8   0| 633M 3802M  145M 3275M|6035B 2052B|  84k 5728k|7.00   277 |2005  3707 |0.71 0.67 0.48|  0 1.0   0|   0     0 |keystone-manage      25371 14%5018k 551k|keystone-manage      253715018k 551k 14%|mysqld       187M|   0     0 |  14    8    0    6    0
Apr 17 04:45:57 cloud-provider-iscsi-0000000309 dstat.sh[24057]: 17-04 04:45:57|  9   5  71  14   0| 637M 3797M  146M 3276M|  11k  126k|   0  8980k|   0   804 |4043  7564 |0.82 0.69 0.49|  0 2.0   0|   0     0 |mysqld               233397.2%   0    0 |tail                 10682 120k 120k  0%|mysqld       191M|   0     0 |  14    8    0    6    0
Apr 17 04:45:58 cloud-provider-iscsi-0000000309 dstat.sh[24057]: 17-04 04:45:58|  1   4  55  40   0| 637M 3731M  146M 3340M|8197B 5792B|   0   115M|   0   411 | 917   963 |0.82 0.69 0.49|  0 1.0   0|   0     0 |mysqld               233391.8%   0    0 |python2              24143  14k 463B  0%|mysqld       192M|   0     0 |  14    8    0    6    0
Apr 17 04:45:59 cloud-provider-iscsi-0000000309 dstat.sh[24057]: 17-04 04:45:59|  5   3  73  20   0| 638M 3729M  146M 3341M|  24k 2160B|   0  4164k|   0   341 |2076  3672 |0.82 0.69 0.49|  0 1.0   0|   0     0 |mysqld               233392.8%   0    0 |keystone-manage      25371  10k6386B2.0%|mysqld       193M|   0     0 |  14    8    0    6    0
