"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000141",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","02 Apr 2020 06:43:50 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
02-04 06:43:50,0.494,0.168,99.234,0.065,0.039,448266240,4656738304,168570880,2837446656,0,0,13256.497,328799.916,0.605,2.950,261.885,296.469,0.660,0.800,0.550,2,0,2.114,0,0,12,3,0,4,0
02-04 06:43:51,10.127,19.747,69.873,0,0.253,447299584,4656861184,168583168,2838032384,13618,2160,24576,274432,1,9,2498,5314,0.660,0.800,0.550,3,0,462,0,0,12,3,0,4,0
02-04 06:43:52,12.214,20.611,66.921,0,0.254,448499712,4655325184,168583168,2838409216,16441,2160,0,32768,0,8,3335,5562,0.600,0.780,0.540,1,0,374,0,0,12,3,0,4,0
02-04 06:43:53,7.868,9.645,82.487,0,0,580190208,4523212800,168583168,2966413312,7899,2160,0,0,0,0,2991,4044,0.600,0.780,0.540,1,0,83,0,0,14,3,0,4,0
02-04 06:43:54,11.750,13.500,74.500,0,0.250,591851520,4511244288,168587264,2966536192,7532,2202,0,335872,0,15,2099,3408,0.600,0.780,0.540,3,0,295,0,0,14,5,0,6,0
02-04 06:43:55,21.970,3.535,74.242,0.253,0,636215296,4466483200,168587264,2966933504,8916,1986,122880,0,7,0,710,736,0.600,0.780,0.540,2,0,0,0,0,14,5,0,6,0
02-04 06:43:56,13.098,4.030,73.300,9.572,0,663838720,4436918272,168742912,2968719360,7247,2160,86016,5541888,7,248,2377,3795,0.600,0.780,0.540,2,0,0,0,0,14,7,0,6,0
02-04 06:43:57,7.576,3.788,71.970,16.414,0.253,669093888,4430225408,169181184,2969653248,6468,2160,0,9838592,0,847,4293,8670,0.630,0.790,0.550,2,0,2,0,0,14,7,0,6,0
02-04 06:43:58,8.060,5.038,72.796,14.106,0,671768576,4357099520,169545728,3038023680,8947,2160,0,74440704,0,647,3505,5888,0.630,0.790,0.550,2,0,0,0,0,14,7,0,6,0
02-04 06:43:59,9.645,6.345,67.513,16.497,0,673726464,4354469888,170033152,3038134272,6531,2160,0,62246912,0,936,4615,7870,0.630,0.790,0.550,2,0,0,0,0,14,7,0,6,0
02-04 06:44:00,13.819,5.276,69.598,11.055,0.251,675315712,4351397888,170549248,3039055872,5494,2160,0,8032256,0,650,5850,11475,0.630,0.790,0.550,1,1,0,0,0,14,7,0,6,0
02-04 06:44:01,10.633,4.304,72.405,12.658,0,678244352,4346793984,171323392,3039891456,5930,2160,0,11448320,0,904,4964,7866,0.630,0.790,0.550,2,0,0,0,0,14,7,0,6,0
02-04 06:44:02,15.776,5.852,70.992,7.379,0,680161280,4343336960,171634688,3041091584,6228,2160,0,6340608,0,478,5645,10689,0.740,0.810,0.560,1,1,0,0,0,14,7,0,6,0
02-04 06:44:03,15.657,5.303,71.212,7.576,0.253,681566208,4340514816,172019712,3042095104,7442,2160,0,7639040,0,578,5822,11969,0.740,0.810,0.560,3,0,0,0,0,14,7,0,6,0
02-04 06:44:04,17.955,4.988,70.324,6.733,0,607797248,4413415424,172531712,3042377728,7523,2160,0,39161856,0,840,4897,12131,0.740,0.810,0.560,2,0,3,0,0,14,5,0,7,0
02-04 06:44:05,20.960,4.798,74.242,0,0,652857344,4368347136,172531712,3042385920,15649,1944,0,0,0,0,974,1437,0.740,0.810,0.560,2,0,75,0,0,14,5,0,7,0
02-04 06:44:06,23.678,2.771,73.048,0.504,0,633638912,4387028992,172560384,3042889728,7965,2106,0,7733248,0,77,973,1310,0.740,0.810,0.560,2,0,11,0,0,14,5,0,7,0
02-04 06:44:07,20.603,6.030,72.362,0.754,0.251,608641024,4411457536,172580864,3043438592,9206,2214,0,8155136,0,139,1302,1661,0.760,0.810,0.560,3,0,63,0,0,14,5,0,7,0
02-04 06:44:08,10.714,20.663,68.112,0.510,0,608997376,4408901632,172638208,3045638144,14042,2200,0,6787072,0,142,3479,6836,0.760,0.810,0.560,3,0,518,0,0,14,5,0,7,0
02-04 06:44:09,27.068,18.296,52.632,1.754,0.251,641269760,4376162304,172650496,3046354944,15306,2160,0,2379776,0,145,4324,6119,0.760,0.810,0.560,3,1,291,0,0,14,7,0,7,0
02-04 06:44:10,45.340,3.778,49.622,1.259,0,726245376,4290740224,172650496,3046744064,9408,2214,131072,2035712,1,35,1075,885,0.760,0.810,0.560,3,0,2,0,0,14,7,0,7,0
02-04 06:44:11,46,7.750,45.750,0.250,0.250,776388608,4238127104,172658688,3049123840,8597,2106,12288,638976,2,76,1505,6135,0.760,0.810,0.560,2,0,31,0,0,14,5,0,8,0
02-04 06:44:12,20.611,8.397,70.992,0,0,810852352,4203229184,172658688,3049107456,9702,2214,0,0,0,0,1995,2549,0.780,0.810,0.560,3,0,140,0,0,14,5,0,8,0
02-04 06:44:13,23.367,2.513,74.121,0,0,853614592,4160466944,172658688,3049107456,8766,2160,0,0,0,0,720,862,0.780,0.810,0.560,2,0,0,0,0,14,5,0,8,0
02-04 06:44:14,21.554,4.511,72.682,1.003,0.251,790904832,4223053824,172720128,3049140224,6385,2052,0,2568192,0,221,1958,2627,0.780,0.810,0.560,2,0,54,0,0,14,5,0,11,0
02-04 06:44:15,22.613,3.518,73.618,0.251,0,830746624,4183212032,172720128,3049140224,7604,2052,0,2711552,0,74,920,1092,0.780,0.810,0.560,2,0,1,0,0,14,5,0,11,0
02-04 06:44:16,19.949,4.798,73.232,2.020,0,801955840,4211847168,172720128,3049238528,16031,2160,73728,0,18,0,1465,2438,0.780,0.810,0.560,4,0,61,0,0,14,29,0,16,0
02-04 06:44:17,23.559,2.757,73.183,0.251,0.251,841240576,4172550144,172728320,3049242624,7205,2160,0,1323008,0,71,841,966,0.800,0.820,0.560,2,0,3,0,0,14,29,0,16,0
02-04 06:44:18,21.805,6.015,72.180,0,0,824508416,4189122560,172728320,3049398272,7167,2106,0,0,0,0,1185,2089,0.800,0.820,0.560,2,0,100,0,0,14,29,0,21,0
02-04 06:44:19,23.618,2.513,73.618,0,0.251,848400384,4164993024,172728320,3049631744,6665,2214,0,0,0,0,1079,1657,0.800,0.820,0.560,2,0,0,0,0,14,29,0,29,1
02-04 06:44:20,21.945,4.988,71.571,1.496,0,836067328,4177321984,172728320,3049631744,6281,2160,0,13541376,0,413,1425,1127,0.800,0.820,0.560,2,0,22,0,0,14,29,0,29,0
02-04 06:44:21,23.232,4.545,72.222,0,0,813899776,4199460864,172732416,3049656320,9112,2160,0,765952,0,16,1473,2413,0.800,0.820,0.560,2,0,73,0,0,14,29,0,37,0
02-04 06:44:22,21.446,4.489,73.566,0.249,0.249,851079168,4162244608,172736512,3049668608,7639,2106,0,577536,0,21,790,867,0.820,0.820,0.560,2,0,1,0,0,14,29,0,37,0
02-04 06:44:23,22.250,6,71.750,0,0,813752320,4199342080,172736512,3049897984,8403,2214,0,0,0,0,1651,2584,0.820,0.820,0.560,3,0,100,0,0,14,29,0,45,0
02-04 06:44:24,22.807,3.258,73.935,0,0,851804160,4161282048,172736512,3049906176,7946,1944,0,311296,0,6,851,1023,0.820,0.820,0.560,2,0,1,0,0,14,31,0,47,0
02-04 06:44:25,22.807,4.511,72.682,0,0,838053888,4175028224,172740608,3049906176,7142,2160,0,2535424,0,31,1215,1665,0.820,0.820,0.560,2,0,69,0,0,14,29,0,50,0
02-04 06:44:26,23,4.250,72.500,0,0.250,805715968,4207190016,172740608,3050078208,8271,2160,0,335872,0,3,1241,1895,0.820,0.820,0.560,2,0,39,0,0,14,29,0,56,0
02-04 06:44:27,22.750,3.750,73.250,0.250,0,850743296,4162142208,172756992,3050065920,6756,2160,0,479232,0,15,774,1120,0.830,0.830,0.570,2,0,34,0,0,14,29,0,56,0
02-04 06:44:28,22.222,5.051,72.727,0,0,834572288,4178255872,172777472,3050098688,10536,2160,0,434176,0,14,1244,1951,0.830,0.830,0.570,2,0,69,0,0,14,29,0,60,0
02-04 06:44:29,21.945,4.988,72.569,0.249,0.249,817758208,4195057664,172793856,3050094592,9304,2160,0,364544,0,9,1266,1809,0.830,0.830,0.570,2,0,72,0,0,14,29,0,64,0
02-04 06:44:30,22.807,3.759,73.434,0,0,855511040,4157267968,172806144,3050119168,7259,2160,0,1925120,0,75,1046,1255,0.830,0.830,0.570,2,0,1,0,0,14,31,0,67,0
02-04 06:44:31,21.106,5.779,73.116,0,0,842514432,4170256384,172810240,3050123264,13484,2202,0,352256,0,8,1099,1464,0.830,0.830,0.570,2,0,78,0,0,14,29,0,68,0
02-04 06:44:32,20.759,5.570,73.671,0,0,818520064,4194074624,172814336,3050291200,17572,2106,0,204800,0,3,1297,2007,0.850,0.830,0.570,3,0,85,0,0,14,29,0,73,0
02-04 06:44:33,22.886,3.483,73.134,0.249,0.249,856567808,4156026880,172818432,3050287104,7134,2214,0,536576,0,18,807,905,0.850,0.830,0.570,2,0,1,0,0,14,31,0,73,0
02-04 06:44:34,20.907,5.793,73.300,0,0,828825600,4183744512,172818432,3050307584,6626,1890,0,163840,0,3,1486,2260,0.850,0.830,0.570,3,0,98,0,0,14,29,0,78,0
02-04 06:44:35,23.116,3.769,73.116,0,0,806637568,4205924352,172822528,3050311680,8745,2214,0,1523712,0,17,1208,1784,0.850,0.830,0.570,2,0,19,0,0,14,29,0,83,0
02-04 06:44:36,20.907,6.801,72.292,0,0,844292096,4168241152,172822528,3050340352,6937,2160,0,339968,0,9,1240,1762,0.850,0.830,0.570,2,0,126,0,0,14,29,0,84,0
02-04 06:44:37,23.192,3.990,72.319,0.249,0.249,816267264,4196085760,172822528,3050508288,8543,2160,0,303104,0,8,1419,2176,0.850,0.830,0.570,3,0,23,0,0,14,29,0,93,0
02-04 06:44:38,22.362,4.020,73.618,0,0,855171072,4157173760,172834816,3050504192,8251,2160,0,1048576,0,31,860,960,0.860,0.830,0.570,2,0,1,0,0,14,29,0,92,0
02-04 06:44:39,21.608,6.281,71.859,0.251,0,838561792,4173717504,172834816,3050549248,7117,2160,0,167936,0,3,1307,2304,0.860,0.830,0.570,2,0,72,0,0,14,29,0,100,0
02-04 06:44:40,23.250,4.250,72.250,0,0.250,807772160,4204507136,172834816,3050549248,7107,2160,0,16384,0,1,1349,2369,0.860,0.830,0.570,2,0,67,0,0,14,29,0,109,0
02-04 06:44:41,20.455,7.071,72.475,0,0,852017152,4160077824,172834816,3050729472,6888,2202,0,323584,0,6,1137,1647,0.860,0.830,0.570,2,0,102,0,0,14,29,0,109,0
02-04 06:44:42,22.335,3.807,73.858,0,0,818221056,4193837056,172834816,3050766336,6228,2160,0,0,0,0,1364,2086,0.860,0.830,0.570,3,0,21,0,0,14,29,0,118,0
02-04 06:44:43,22.444,4.239,73.067,0,0.249,856453120,4155580416,172834816,3050786816,14265,2052,0,425984,0,9,1068,1476,0.870,0.830,0.570,2,0,1,0,0,14,31,0,123,0
02-04 06:44:44,22.278,4.810,72.911,0,0,844779520,4167241728,172843008,3050790912,7952,1998,0,405504,0,13,1193,1811,0.870,0.830,0.570,2,0,72,0,0,14,29,0,126,0
02-04 06:44:45,22.922,4.030,72.544,0.504,0,807301120,4204539904,172847104,3050962944,9592,2214,0,1310720,0,91,1684,2587,0.870,0.830,0.570,2,0,59,0,0,14,29,0,135,0
02-04 06:44:46,22.418,4.786,72.292,0.252,0.252,844787712,4167036928,172855296,3050971136,7971,2052,0,561152,0,19,1109,1639,0.870,0.830,0.570,2,0,110,0,0,14,29,0,135,0
02-04 06:44:47,22.693,4.988,72.319,0,0,818413568,4193357824,172855296,3051020288,7090,2268,0,0,0,0,1400,2142,0.870,0.830,0.570,2,0,23,0,0,14,29,0,141,0
02-04 06:44:48,24.250,2.250,73.500,0,0,853520384,4158251008,172859392,3051016192,5812,2160,0,319488,0,6,638,844,0.880,0.840,0.580,2,0,1,0,0,14,29,0,141,0
02-04 06:44:49,23.116,4.774,71.859,0,0.251,835358720,4176240640,172859392,3051188224,8492,2160,0,167936,0,3,1378,2257,0.880,0.840,0.580,2,0,72,0,0,14,29,0,149,0
02-04 06:44:50,23.250,3.500,73.250,0,0,858869760,4152721408,172859392,3051192320,15328,2160,0,4096,0,1,1129,1870,0.880,0.840,0.580,3,0,0,0,0,14,31,0,157,0
02-04 06:44:51,19.799,8.521,71.679,0,0,837496832,4174090240,172859392,3051196416,6952,2160,0,0,0,0,1437,2201,0.880,0.840,0.580,2,0,169,0,0,14,29,0,158,0
02-04 06:44:52,23.038,3.291,73.671,0,0,858382336,4153135104,172859392,3051266048,6226,2160,0,0,0,0,1110,1713,0.880,0.840,0.580,2,0,0,0,0,14,29,0,167,0
02-04 06:44:53,23.058,3.008,73.684,0,0.251,844689408,4166688768,172859392,3051401216,5499,2052,0,0,0,0,855,1036,0.890,0.840,0.580,2,0,22,0,0,14,29,0,167,0
02-04 06:44:54,23.174,5.038,71.537,0.252,0,820535296,4190826496,172863488,3051409408,13733,2094,0,552960,0,15,1497,2482,0.890,0.840,0.580,2,0,71,0,0,14,29,0,175,0
02-04 06:44:55,24.121,2.261,73.367,0.251,0,858927104,4152393728,172867584,3051446272,9415,2160,0,1634304,0,74,928,1278,0.890,0.840,0.580,2,0,1,0,0,14,31,0,175,0
02-04 06:44:56,21.750,5.750,72.500,0,0,834113536,4177043456,172867584,3051610112,8466,2160,0,430080,0,7,1532,2585,0.890,0.840,0.580,2,0,110,0,0,14,29,0,182,0
02-04 06:44:57,20.551,6.767,72.431,0.251,0,811982848,4199145472,172871680,3051630592,6396,2160,0,319488,0,3,1365,2220,0.890,0.840,0.580,2,0,99,0,0,14,29,0,187,0
02-04 06:44:58,22.556,3.759,73.183,0.251,0.251,858259456,4152856576,172888064,3051626496,7101,2106,0,552960,0,15,902,1073,0.900,0.840,0.580,2,0,1,0,0,14,31,0,188,0
02-04 06:44:59,20,8,71.750,0.250,0,839700480,4171407360,172900352,3051622400,6912,2214,0,438272,0,15,1497,2519,0.900,0.840,0.580,2,0,145,0,0,14,29,0,192,0
02-04 06:45:00,23.116,3.015,73.869,0,0,809054208,4201975808,172904448,3051696128,6503,2160,0,266240,0,6,1102,1773,0.900,0.840,0.580,2,0,8,0,0,14,29,0,201,0
02-04 06:45:01,23.058,3.008,73.183,0.501,0.251,843194368,4167831552,172916736,3051687936,6670,2106,0,2764800,0,59,842,855,0.900,0.840,0.580,2,0,14,0,0,14,29,0,201,0
02-04 06:45:02,23.367,5.025,71.608,0,0,816623616,4194201600,172933120,3051868160,8176,2256,0,262144,0,9,1248,2034,0.900,0.840,0.580,3,0,71,0,0,14,29,0,209,0
02-04 06:45:03,22.111,4.020,73.618,0.251,0,854867968,4155953152,172953600,3051851776,8931,1944,0,651264,0,23,659,821,0.910,0.850,0.580,2,0,1,0,0,14,29,0,209,0
02-04 06:45:04,20.101,8.543,71.106,0,0.251,820740096,4190011392,172957696,3051917312,8871,2106,0,155648,0,5,1534,3067,0.910,0.850,0.580,2,0,168,0,0,14,29,0,218,0
02-04 06:45:05,21.914,4.030,73.804,0.252,0,859402240,4151349248,172969984,3051905024,15796,2214,0,643072,0,18,824,959,0.910,0.850,0.580,2,0,1,0,0,14,31,0,219,0
02-04 06:45:06,22.807,4.010,73.183,0,0,831315968,4179247104,172969984,3052089344,7240,2160,0,376832,0,7,1351,1947,0.910,0.850,0.580,2,0,22,0,0,14,29,0,226,0
02-04 06:45:07,22.418,5.038,72.544,0,0,815849472,4194701312,172969984,3052101632,8632,2160,0,245760,0,3,1118,2112,0.910,0.850,0.580,2,0,73,0,0,14,29,0,234,0
02-04 06:45:08,23.810,2.506,73.434,0,0.251,854831104,4155695104,172969984,3052126208,9707,2254,0,0,0,0,700,720,0.920,0.850,0.590,2,0,1,0,0,14,29,0,234,0
02-04 06:45:09,21.197,8.229,70.574,0,0,821420032,4188934144,172969984,3052298240,14513,2160,0,0,0,0,1598,3079,0.920,0.850,0.590,2,0,168,0,0,14,29,0,243,0
02-04 06:45:10,22.306,3.509,73.684,0.501,0,857604096,4152741888,172978176,3052298240,8403,2160,0,548864,0,14,747,863,0.920,0.850,0.590,3,0,1,0,0,14,29,0,243,0
02-04 06:45:11,23.485,3.030,73.485,0,0,832659456,4177637376,172978176,3052343296,6296,2160,0,0,0,0,1143,2006,0.920,0.850,0.590,3,0,22,0,0,14,29,0,252,0
02-04 06:45:12,23.618,2.513,73.618,0,0.251,857636864,4152655872,172982272,3052343296,8171,2160,0,294912,0,3,805,1353,0.920,0.850,0.590,2,0,0,0,0,14,29,0,260,0
02-04 06:45:13,22.195,5.486,72.319,0,0,851415040,4158701568,172982272,3052511232,6895,1944,0,270336,0,5,904,1268,0.920,0.850,0.590,2,0,72,0,0,14,29,0,259,0
02-04 06:45:14,21.266,6.329,72.405,0,0,820899840,4189163520,172998656,3052548096,13786,2160,0,323584,0,11,1850,2957,0.920,0.850,0.590,3,0,115,0,0,14,29,0,268,0
