-- Logs begin at Tue 2020-04-21 12:57:18 UTC, end at Tue 2020-04-21 15:31:37 UTC. --
Apr 21 15:00:24 cloud-provider-iscsi-0000000345 systemd[1]: Started Devstack devstack@dstat.service.
Apr 21 15:00:24 cloud-provider-iscsi-0000000345 dstat.sh[29947]: [286B blob data]
Apr 21 15:00:24 cloud-provider-iscsi-0000000345 dstat.sh[29947]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 21 15:00:24 cloud-provider-iscsi-0000000345 dstat.sh[29947]: 21-04 15:00:24|  2   1  97   0   0| 425M 3828M  150M 3321M|   0     0 |  44k 1243k|1.61  10.9 | 489   635 |0.59 0.60 0.46|2.0   0 8.4|   0     0 |systemd              1    0.0%   0    0 |bash                 2664 1046k 997k0.0%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 21 15:00:25 cloud-provider-iscsi-0000000345 dstat.sh[29947]: 21-04 15:00:25| 11  20  69   0   0| 425M 3827M  150M 3321M|  12k 2160B|   0    96k|   0  6.00 |2583  4707 |0.55 0.59 0.46|1.0   0 450|   0     0 |bash                 2664 4.2%1365k  28k|bash                 2664 1365k  28k4.2%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 21 15:00:26 cloud-provider-iscsi-0000000345 dstat.sh[29947]: 21-04 15:00:26| 13  21  66   0   0| 425M 3826M  150M 3321M|  11k 2160B|   0    36k|   0  9.00 |3337  6093 |0.55 0.59 0.46|  0   0 389|   0     0 |systemd              1    3.2%   0    0 |bash                 2664 3294k  26k2.0%|mysqld       174M|   0     0 |  12    3    0    4    0
Apr 21 15:00:27 cloud-provider-iscsi-0000000345 dstat.sh[29947]: 21-04 15:00:27|  8   8  83   0   0| 550M 3700M  150M 3443M|6947B 2202B|   0   408k|   0  2.00 |2783  5303 |0.55 0.59 0.46|1.0   0  85|   0     0 |systemd              1    5.2%   0    0 |bash                 2664  246k 656B  0%|mysqld       174M|   0     0 |  14    3    0    4    0
Apr 21 15:00:28 cloud-provider-iscsi-0000000345 dstat.sh[29947]: 21-04 15:00:28| 12  15  73   0   0| 561M 3689M  150M 3443M|8526B 2106B|   0     0 |   0     0 |2153  3522 |0.55 0.59 0.46|1.0   0 297|   0     0 |keystone-manage      312605.8%2242k  79k|keystone-manage      312602242k  79k5.8%|mysqld       174M|   0     0 |  14    5    0    6    0
Apr 21 15:00:29 cloud-provider-iscsi-0000000345 dstat.sh[29947]: 21-04 15:00:29| 23   3  74   0   0| 607M 3643M  150M 3444M|9414B 2106B|4096B    0 |1.00     0 | 746   852 |0.55 0.59 0.46|1.0   0   0|   0     0 |keystone-manage      31260 25%  12M 221k|keystone-manage      31260  12M 221k 25%|mysqld       174M|   0     0 |  14    5    0    6    0
Apr 21 15:00:30 cloud-provider-iscsi-0000000345 dstat.sh[29947]: 21-04 15:00:30| 14   2  73  10   0| 630M 3618M  150M 3446M|9124B 2052B|  36k 5520k|4.00   296 |2584  4027 |0.58 0.60 0.46|  0 1.0   0|   0     0 |keystone-manage      31260 11%2147k 484k|keystone-manage      312602147k 484k 11%|mysqld       187M|   0     0 |  14    7    0    6    0
Apr 21 15:00:31 cloud-provider-iscsi-0000000345 dstat.sh[29947]: 21-04 15:00:31|  9   5  71  15   0| 635M 3613M  151M 3446M|8353B 2160B|   0  8504k|   0   761 |3723  6929 |0.58 0.60 0.46|  0 1.0   0|   0     0 |mysqld               292247.2%   0    0 |keystone-manage      31260  11k6573B3.0%|mysqld       191M|   0     0 |  14    7    0    6    0
Apr 21 15:00:32 cloud-provider-iscsi-0000000345 dstat.sh[29947]: 21-04 15:00:32|  6   4  67  23   0| 639M 3542M  151M 3511M|8093B 2160B|   0    78M|   0   613 |1913  4420 |0.58 0.60 0.46|1.0 2.0   0|   0     0 |mysqld               292243.8%   0    0 |keystone-manage      31260  17k  10k2.8%|mysqld       193M|   0     0 |  14    7    0    6    0
Apr 21 15:00:33 cloud-provider-iscsi-0000000345 dstat.sh[29947]: 21-04 15:00:33|  8   6  69  18   0| 639M 3541M  152M 3512M|6898B 2160B|   0    71M|   0   968 |3208  7318 |0.58 0.60 0.46|  0 1.0   0|   0     0 |mysqld               292247.0%   0    0 |keystone-manage      31260  20k  11k3.2%|mysqld       195M|   0     0 |  14    7    0    6    0
Apr 21 15:00:34 cloud-provider-iscsi-0000000345 dstat.sh[29947]: 21-04 15:00:34| 15   6  69  10   0| 641M 3538M  152M 3512M|6568B 2160B|   0  7484k|   0   625 |4382    11k|0.58 0.60 0.46|1.0 1.0   0|   0     0 |keystone-manage      31260 11%  43k 292k|python3.6            6413  275k 572k1.8%|mysqld       196M|   0     0 |  14    7    0    6    0
Apr 21 15:00:35 cloud-provider-iscsi-0000000345 dstat.sh[29947]: 21-04 15:00:35| 10   4  73  13   0| 642M 3535M  153M 3513M|5426B 2106B|   0  7896k|   0   639 |3287  8070 |0.70 0.62 0.47|1.0   0   0|   0     0 |mysqld               292245.8%   0    0 |keystone-manage      31260  30k  20k5.8%|mysqld       197M|   0     0 |  14    7    0    6    0
Apr 21 15:00:36 cloud-provider-iscsi-0000000345 dstat.sh[29947]: 21-04 15:00:36| 12   6  69  13   0| 644M 3532M  153M 3513M|6887B 2160B|   0  9324k|   0   744 |4033  9412 |0.70 0.62 0.47|  0 1.0   0|   0     0 |mysqld               292249.0%   0    0 |keystone-manage      31260  28k  17k5.2%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 21 15:00:37 cloud-provider-iscsi-0000000345 dstat.sh[29947]: 21-04 15:00:37| 18   5  69   8   0| 646M 3529M  153M 3515M|6078B 2214B|   0  5564k|   0   417 |3474    10k|0.70 0.62 0.47|3.0   0 2.0|   0     0 |keystone-manage      31260 12%  46k 359k|python3.6            6413  341k 710k2.5%|mysqld       199M|   0     0 |  14    7    0    6    0
