"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud-provider-iscsi-0000000312",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","17 Apr 2020 09:21:11 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
17-04 09:21:11,1.031,0.331,98.436,0.161,0.041,444747776,4175683584,170172416,3307319296,0,0,25348.070,662155.230,1.155,5.674,342.816,396.738,0.740,0.680,0.480,2,0,4.039,0,0,12,3,0,4,0
17-04 09:21:12,10.886,21.013,68.101,0,0,446398464,4173090816,170184704,3307831296,16726,2160,24576,208896,1,15,2826,5245,0.740,0.680,0.480,3,0,504,0,0,12,3,0,4,0
17-04 09:21:13,14.646,18.939,66.414,0,0,446230528,4172648448,170184704,3308421120,6489,2160,0,28672,0,7,3224,6225,0.740,0.680,0.480,1,0,347,0,0,12,3,0,4,0
17-04 09:21:14,5.793,9.068,84.887,0,0.252,577458176,4041003008,170184704,3436380160,9709,2160,0,417792,0,2,3038,6903,0.740,0.680,0.480,1,0,110,0,0,14,5,0,4,0
17-04 09:21:15,16.373,10.831,72.796,0,0,603238400,4015124480,170184704,3436412928,12517,2160,0,0,0,0,1712,2785,0.740,0.680,0.480,1,0,244,0,0,14,5,0,6,0
17-04 09:21:16,18.546,2.005,74.436,5.013,0,635826176,3981950976,170184704,3436998656,17130,2160,155648,0,8,0,639,655,0.760,0.690,0.480,1,0,0,0,0,14,5,0,6,0
17-04 09:21:17,11.970,3.242,73.566,10.973,0.249,661229568,3954184192,170426368,3439046656,8132,2160,53248,7204864,6,372,2397,4208,0.760,0.690,0.480,0,1,0,0,0,14,7,0,6,0
17-04 09:21:18,8.122,6.345,71.320,14.213,0,666488832,3878944768,170864640,3507175424,5897,2106,0,76460032,0,865,4446,7215,0.760,0.690,0.480,1,0,2,0,0,14,7,0,6,0
17-04 09:21:19,6.297,3.778,66.751,22.922,0.252,668581888,3875733504,171180032,3507871744,7172,1998,0,66584576,0,959,3567,5652,0.760,0.690,0.480,0,1,0,0,0,14,7,0,6,0
17-04 09:21:20,10.660,3.807,71.066,14.467,0,670769152,3872452608,171884544,3508191232,7836,2106,0,9674752,0,794,4660,9001,0.760,0.690,0.480,2,0,0,0,0,14,7,0,6,0
17-04 09:21:21,13.131,4.545,70.455,11.869,0,672522240,3869278208,172437504,3509018624,7009,2214,0,7548928,0,598,4444,10961,0.780,0.690,0.480,0,1,0,0,0,14,7,0,6,0
17-04 09:21:22,9.091,5.556,71.465,13.889,0,674852864,3865694208,173010944,3509612544,6164,2160,0,9895936,0,789,3068,9118,0.780,0.690,0.480,0,1,0,0,0,14,7,0,6,0
17-04 09:21:23,17.677,4.040,69.697,8.333,0.253,676835328,3861852160,173461504,3510972416,7376,2106,0,7639040,0,560,4451,11542,0.780,0.690,0.480,1,0,0,0,0,14,7,0,6,0
17-04 09:21:24,14.213,4.315,70.305,11.168,0,678051840,3858989056,173871104,3512123392,19541,2214,0,35684352,0,855,5000,11419,0.780,0.690,0.480,1,0,0,0,0,14,7,0,6,0
17-04 09:21:25,16.040,6.266,71.679,6.015,0,607305728,3929161728,174178304,3512365056,10534,2160,0,6639616,0,478,3862,7045,0.780,0.690,0.480,1,0,77,0,0,14,5,0,7,0
17-04 09:21:26,23.058,3.008,73.183,0.501,0.251,657645568,3878289408,174219264,3512840192,15067,2160,0,7049216,0,85,804,1254,0.800,0.700,0.490,1,0,1,0,0,14,5,0,7,0
17-04 09:21:27,23.441,3.242,73.317,0,0,628637696,3906736128,174227456,3513393152,7426,2160,0,7098368,0,115,994,1333,0.800,0.700,0.490,1,1,11,0,0,14,5,0,7,0
17-04 09:21:28,23.367,3.266,73.116,0.251,0,675459072,3859021824,174288896,3514245120,6310,1998,0,5779456,0,122,947,1447,0.800,0.700,0.490,2,0,2,0,0,14,5,0,7,0
17-04 09:21:29,10.500,21,67.500,0.750,0.250,606908416,3926114304,174338048,3515596800,6252,2052,0,5984256,0,218,3355,5816,0.800,0.700,0.490,1,0,463,0,0,14,5,0,7,0
17-04 09:21:30,15.228,19.543,65.228,0,0,607318016,3925254144,174346240,3516030976,6328,2214,0,270336,0,11,3667,6633,0.800,0.700,0.490,3,0,277,0,0,14,5,0,7,0
17-04 09:21:31,46.115,9.023,44.110,0.752,0,711397376,3820724224,174346240,3516764160,9930,2160,131072,0,1,0,1208,1849,0.890,0.720,0.490,2,0,132,0,0,14,7,0,7,0
17-04 09:21:32,44.862,5.013,47.870,2.256,0,766734336,3763662848,174346240,3518402560,9615,2202,12288,421888,2,52,916,2701,0.890,0.720,0.490,2,0,0,0,0,14,7,0,7,0
17-04 09:21:33,28.643,10.302,60.804,0,0.251,794906624,3734212608,174346240,3519270912,7198,2160,0,86016,0,10,2153,3846,0.890,0.720,0.490,1,0,173,0,0,14,5,0,8,0
17-04 09:21:34,22.807,3.008,74.185,0,0,842035200,3687100416,174346240,3519275008,5836,2160,0,0,0,0,488,704,0.890,0.720,0.490,1,0,0,0,0,14,5,0,8,0
17-04 09:21:35,23.058,3.008,72.932,1.003,0,862228480,3666878464,174374912,3519262720,8860,2160,0,6041600,0,418,1932,2034,0.890,0.720,0.490,1,0,2,0,0,14,5,0,11,0
17-04 09:21:36,21.303,5.263,72.932,0.251,0.251,815050752,3714035712,174379008,3519303680,14634,2160,0,2416640,0,64,986,1307,0.900,0.720,0.500,1,0,53,0,0,14,5,0,11,0
17-04 09:21:37,22.500,2.500,73,2,0,842428416,3686543360,174379008,3519381504,5915,2160,73728,49152,18,5,1120,1539,0.900,0.720,0.500,1,0,1,0,0,14,25,0,13,0
17-04 09:21:38,22.362,4.774,72.864,0,0,826019840,3702927360,174379008,3519406080,5922,1998,0,0,0,0,1259,1736,0.900,0.720,0.500,1,0,63,0,0,14,29,0,16,0
17-04 09:21:39,22.111,5.276,72.362,0,0.251,801239040,3727704064,174379008,3519410176,8843,2106,0,0,0,0,1405,2083,0.900,0.720,0.500,1,0,99,0,0,14,29,0,21,0
17-04 09:21:40,23.559,3.258,72.682,0.501,0,846495744,3682283520,174379008,3519569920,7026,2160,0,10043392,0,140,910,1040,0.900,0.720,0.500,1,0,1,0,0,14,31,0,23,0
17-04 09:21:41,22.250,4.750,73,0,0,821547008,3706998784,174383104,3519795200,7963,2106,0,1441792,0,8,1248,1793,0.910,0.730,0.500,1,0,22,0,0,14,29,0,29,0
17-04 09:21:42,24.623,2.010,73.367,0,0,845574144,3682816000,174383104,3519950848,8008,2214,0,323584,0,5,1172,1793,0.910,0.730,0.500,1,0,1,0,0,14,31,0,36,0
17-04 09:21:43,22.306,4.762,72.431,0.251,0.251,833290240,3695054848,174391296,3519967232,8911,2160,0,303104,0,6,954,1300,0.910,0.730,0.500,1,0,73,0,0,14,29,0,37,0
17-04 09:21:44,24.439,2.244,73.317,0,0,850817024,3677339648,174391296,3520131072,16712,2160,0,49152,0,5,1235,1777,0.910,0.730,0.500,1,0,0,0,0,14,29,0,45,0
17-04 09:21:45,19.241,7.595,73.165,0,0,835141632,3693010944,174395392,3520131072,7138,2160,0,3047424,0,41,1162,1532,0.910,0.730,0.500,1,0,101,0,0,14,29,0,45,0
17-04 09:21:46,21.750,5.500,72.500,0,0.250,809955328,3718180864,174403584,3520139264,16182,2160,0,45056,0,6,1245,1732,0.840,0.720,0.500,1,0,68,0,0,14,29,0,50,0
17-04 09:21:47,24.060,2.757,73.183,0,0,849895424,3678220288,174403584,3520159744,9678,2160,0,0,0,0,726,884,0.840,0.720,0.500,1,0,1,0,0,14,31,0,52,0
17-04 09:21:48,20.960,5.808,73.232,0,0,824578048,3703500800,174411776,3520184320,8026,1998,0,364544,0,9,1242,1898,0.840,0.720,0.500,1,0,73,0,0,14,29,0,56,0
17-04 09:21:49,23.058,4.511,72.180,0.251,0,806334464,3721744384,174419968,3520176128,7251,2106,0,405504,0,13,1085,1785,0.840,0.720,0.500,1,0,68,0,0,14,29,0,60,0
17-04 09:21:50,22.750,3,73.500,0.500,0.250,849436672,3678482432,174419968,3520335872,8915,2160,0,1933312,0,63,857,874,0.840,0.720,0.500,1,0,1,0,0,14,29,0,60,0
17-04 09:21:51,21.914,5.038,73.048,0,0,830164992,3697737728,174432256,3520339968,8133,2202,0,200704,0,9,1193,1777,0.930,0.740,0.510,1,0,73,0,0,14,29,0,64,0
17-04 09:21:52,21.574,4.822,73.604,0,0,810409984,3717455872,174436352,3520368640,10347,2160,0,303104,0,3,1113,1650,0.930,0.740,0.510,1,0,77,0,0,14,29,0,68,0
17-04 09:21:53,21,5,73.500,0.250,0.250,853749760,3674116096,174436352,3520368640,7832,2160,0,421888,0,9,705,739,0.930,0.740,0.510,1,0,1,0,0,14,29,0,68,0
17-04 09:21:54,21.914,5.038,73.048,0,0,828530688,3699310592,174436352,3520389120,18752,2160,0,118784,0,3,1228,1906,0.930,0.740,0.510,1,0,86,0,0,14,29,0,73,0
