-- Logs begin at Fri 2020-04-17 05:27:51 UTC, end at Fri 2020-04-17 09:51:59 UTC. --
Apr 17 09:21:11 cloud-provider-iscsi-0000000312 systemd[1]: Started Devstack devstack@dstat.service.
Apr 17 09:21:11 cloud-provider-iscsi-0000000312 dstat.sh[24221]: [286B blob data]
Apr 17 09:21:11 cloud-provider-iscsi-0000000312 dstat.sh[24221]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 17 09:21:11 cloud-provider-iscsi-0000000312 dstat.sh[24221]: 17-04 09:21:11|  1   0  98   0   0| 424M 3982M  162M 3154M|   0     0 |  25k  647k|1.15  5.67 | 343   397 |0.74 0.68 0.48|1.0   0 4.0|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2504  515k 491k0.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 17 09:21:12 cloud-provider-iscsi-0000000312 dstat.sh[24221]: 17-04 09:21:12| 11  21  68   0   0| 425M 3981M  162M 3155M|  16k 2160B|  24k  204k|1.00  15.0 |2821  5197 |0.74 0.68 0.48|2.0   0 500|   0     0 |bash                 2504 3.5%2018k  32k|bash                 2504 2018k  32k3.5%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 17 09:21:13 cloud-provider-iscsi-0000000312 dstat.sh[24221]: 17-04 09:21:13| 14  19  67   0   0| 426M 3979M  162M 3155M|6489B 2160B|   0    28k|   0  7.00 |3243  6176 |0.74 0.68 0.48|1.0   0 341|   0     0 |systemd              1    5.0%   0    0 |bash                 2504 2611k  20k2.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 17 09:21:14 cloud-provider-iscsi-0000000312 dstat.sh[24221]: 17-04 09:21:14|  6   9  85   0   0| 550M 3854M  162M 3277M|9709B 2160B|   0   408k|   0  2.00 |3028  6974 |0.74 0.68 0.48|1.0   0 116|   0     0 |systemd              1    3.5%   0    0 |bash                 2504  461k4892B0.5%|mysqld       173M|   0     0 |  14    5    0    4    0
Apr 17 09:21:15 cloud-provider-iscsi-0000000312 dstat.sh[24221]: 17-04 09:21:15| 17  11  73   0   0| 577M 3828M  162M 3277M|  12k 2160B|   0     0 |   0     0 |1689  2735 |0.74 0.68 0.48|2.0   0 237|   0     0 |keystone-manage      25534 13%6219k  79k|keystone-manage      255346219k  79k 13%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 17 09:21:16 cloud-provider-iscsi-0000000312 dstat.sh[24221]: 17-04 09:21:16| 19   2  75   5   0| 606M 3797M  162M 3278M|  17k 2160B| 152k    0 |8.00     0 | 641   650 |0.76 0.69 0.48|1.0   0   0|   0     0 |keystone-manage      25534 20%8121k 221k|keystone-manage      255348121k 221k 20%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 17 09:21:17 cloud-provider-iscsi-0000000312 dstat.sh[24221]: 17-04 09:21:17| 12   4  74  11   0| 631M 3771M  163M 3280M|8003B 2160B|  52k 7164k|6.00   387 |2460  4287 |0.76 0.69 0.48|  0 1.0   0|   0     0 |keystone-manage      255349.2%2294k 484k|keystone-manage      255342294k 484k9.2%|mysqld       187M|   0     0 |  14    7    0    6    0
Apr 17 09:21:18 cloud-provider-iscsi-0000000312 dstat.sh[24221]: 17-04 09:21:18|  8   6  71  14   0| 636M 3699M  163M 3345M|5897B 2106B|   0    73M|   0   869 |4469  7275 |0.76 0.69 0.48|3.0   0 2.0|   0     0 |mysqld               235038.0%   0    0 |keystone-manage      25534  23k  13k3.5%|mysqld       192M|   0     0 |  14    7    0    6    0
Apr 17 09:21:19 cloud-provider-iscsi-0000000312 dstat.sh[24221]: 17-04 09:21:19|  6   4  67  23   0| 638M 3696M  163M 3345M|7468B 2214B|   0    63M|   0   946 |3508  5541 |0.76 0.69 0.48|1.0   0   0|   0     0 |mysqld               235033.8%   0    0 |keystone-manage      25534  17k  10k2.8%|mysqld       194M|   0     0 |  14    7    0    6    0
Apr 17 09:21:20 cloud-provider-iscsi-0000000312 dstat.sh[24221]: 17-04 09:21:20| 11   4  71  14   0| 640M 3693M  164M 3346M|7848B 1890B|   0  9356k|   0   788 |4718  9289 |0.76 0.69 0.48|3.0   0   0|   0     0 |mysqld               235037.0%   0    0 |python3.6            6254   54k 113k0.2%|mysqld       195M|   0     0 |  14    7    0    6    0
Apr 17 09:21:21 cloud-provider-iscsi-0000000312 dstat.sh[24221]: 17-04 09:21:21| 13   5  71  12   0| 641M 3690M  164M 3346M|6701B 2214B|   0  7424k|   0   606 |4385    11k|0.78 0.69 0.48|2.0   0   0|   0     0 |keystone-manage      255347.8%  42k 240k|python3.6            6254  225k 469k1.2%|mysqld       197M|   0     0 |  14    7    0    6    0
Apr 17 09:21:22 cloud-provider-iscsi-0000000312 dstat.sh[24221]: 17-04 09:21:22|  9   5  71  14   0| 644M 3687M  165M 3347M|6164B 2160B|   0  9788k|   0   789 |3043  9055 |0.78 0.69 0.48|  0 1.0   0|   0     0 |mysqld               235036.8%   0    0 |keystone-manage      25534  28k  17k5.0%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 17 09:21:23 cloud-provider-iscsi-0000000312 dstat.sh[24221]: 17-04 09:21:23| 18   4  70   8   0| 645M 3683M  165M 3348M|7376B 2106B|   0  7432k|   0   561 |4541    12k|0.78 0.69 0.48|2.0   0   0|   0     0 |keystone-manage      25534 12%  67k 372k|python3.6            6254  345k 721k1.8%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 17 09:21:24 cloud-provider-iscsi-0000000312 dstat.sh[24221]: 17-04 09:21:24| 14   5  70  11   0| 647M 3680M  166M 3349M|  19k 2214B|   0    34M|   0   851 |4931    11k|0.78 0.69 0.48|  0 1.0   0|   0     0 |keystone-manage      255349.0%  50k 358k|python3.6            6254  339k 707k1.5%|mysqld       200M|   0     0 |  14    7    0    6    0
Apr 17 09:21:25 cloud-provider-iscsi-0000000312 dstat.sh[24221]: 17-04 09:21:25| 16   6  72   6   0| 580M 3746M  166M 3350M|  10k 2160B|   0  6296k|   0   473 |3840  6985 |0.78 0.69 0.48|1.0   0  77|   0     0 |mysqld               235034.8%   0    0 |bash                 2504   17M1898k0.8%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 17 09:21:26 cloud-provider-iscsi-0000000312 dstat.sh[24221]: 17-04 09:21:26| 23   3  73   1   0| 628M 3698M  166M 3350M|  15k 2160B|   0  6884k|   0  85.0 | 796  1248 |0.80 0.70 0.49|1.0   0 1.0|   0     0 |keystone-manage      25614 25%  12M  37k|keystone-manage      25614  12M  37k 25%|mysqld       200M|   0     0 |  14    5    0    7    0
