-- Logs begin at Thu 2020-04-09 03:00:33 UTC, end at Thu 2020-04-09 04:09:00 UTC. --
Apr 09 03:37:37 cloud-provider-iscsi-0000000209 systemd[1]: Started Devstack devstack@dstat.service.
Apr 09 03:37:37 cloud-provider-iscsi-0000000209 dstat.sh[24107]: [286B blob data]
Apr 09 03:37:37 cloud-provider-iscsi-0000000209 dstat.sh[24107]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 09 03:37:37 cloud-provider-iscsi-0000000209 dstat.sh[24107]: 09-04 03:37:37|  6   2  91   1   0| 419M 4447M  145M 2734M|   0     0 | 147k 3868k|5.38  34.6 |1119  1982 |0.90 0.83 0.57|2.0   0  25|   0     0 |systemd              1    0.1%   0    0 |bash                 1998 2693k2541k0.1%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 09 03:37:38 cloud-provider-iscsi-0000000209 dstat.sh[24107]: 09-04 03:37:38| 10  20  70   0   0| 420M 4446M  145M 2734M|7643B 2214B|  24k  144k|1.00  6.00 |2698  5076 |0.90 0.83 0.57|2.0   0 460|   0     0 |bash                 1998 4.0%1580k  29k|bash                 1998 1580k  29k4.0%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 09 03:37:39 cloud-provider-iscsi-0000000209 dstat.sh[24107]: 09-04 03:37:39| 14  20  66   0   0| 419M 4446M  145M 2735M|7008B 2160B|   0    36k|   0  9.00 |3375  6929 |0.90 0.83 0.57|  0   0 385|   0     0 |systemd              1    3.0%   0    0 |bash                 1998 3091k  25k2.2%|mysqld       173M|   0     0 |  12    3    0    4    0
Apr 09 03:37:40 cloud-provider-iscsi-0000000209 dstat.sh[24107]: 09-04 03:37:40| 11  14  75   0   0| 545M 4320M  145M 2857M|6444B 2160B|   0     0 |   0     0 |3903  6123 |0.90 0.83 0.57|1.0   0 194|   0     0 |systemd              1    6.0%   0    0 |bash                 1998  508k6978B1.0%|mysqld       173M|   0     0 |  14    5    0    4    0
Apr 09 03:37:41 cloud-provider-iscsi-0000000209 dstat.sh[24107]: 09-04 03:37:41| 18   9  73   0   0| 573M 4291M  145M 2857M|6906B 2160B|   0     0 |   0     0 |1543  2386 |0.99 0.85 0.57|1.0   0 184|   0     0 |keystone-manage      25416 16%7008k 125k|keystone-manage      254167008k 125k 16%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 09 03:37:42 cloud-provider-iscsi-0000000209 dstat.sh[24107]: 09-04 03:37:42| 20   2  74   4   0| 608M 4256M  145M 2858M|7676B 2160B| 192k  396k|13.0  26.0 | 733   799 |0.99 0.85 0.57|1.0   0   0|   0     0 |keystone-manage      25416 22%9185k 519k|keystone-manage      254169185k 519k 22%|mysqld       173M|   0     0 |  14    5    0    6    0
Apr 09 03:37:43 cloud-provider-iscsi-0000000209 dstat.sh[24107]: 09-04 03:37:43|  9   5  73  14   0| 626M 4235M  145M 2860M|6071B 2052B|  12k 8980k|1.00   592 |3110  5964 |0.99 0.85 0.57|  0 1.0 2.0|   0     0 |keystone-manage      254165.8% 401k 136k|keystone-manage      25416 401k 136k5.8%|mysqld       188M|   0     0 |  14    7    0    6    0
Apr 09 03:37:44 cloud-provider-iscsi-0000000209 dstat.sh[24107]: 09-04 03:37:44|  8   5  74  14   0| 631M 4164M  145M 2925M|5356B 2052B|   0    72M|   0   737 |3871  7326 |0.99 0.85 0.57|1.0   0   0|   0     0 |mysqld               233866.5%   0    0 |keystone-manage      25416  23k  13k4.0%|mysqld       192M|   0     0 |  14    7    0    6    0
Apr 09 03:37:45 cloud-provider-iscsi-0000000209 dstat.sh[24107]: 09-04 03:37:45| 10   4  71  15   0| 633M 4160M  146M 2925M|6648B 2160B|   0  8900k|   0   779 |4402  6759 |0.99 0.85 0.57|1.0   0   0|   0     0 |mysqld               233866.8%   0    0 |keystone-manage      25416  25k  15k4.2%|mysqld       194M|   0     0 |  14    7    0    6    0
Apr 09 03:37:46 cloud-provider-iscsi-0000000209 dstat.sh[24107]: 09-04 03:37:46| 16   5  68  11   0| 635M 4158M  146M 2926M|7522B 2160B|   0  6932k|   0   549 |5086  9938 |1.15 0.88 0.59|  0 1.0   0|   0     0 |keystone-manage      254169.0%  35k 286k|python3.6            5751  273k 569k2.0%|mysqld       195M|   0     0 |  14    7    0    6    0
Apr 09 03:37:47 cloud-provider-iscsi-0000000209 dstat.sh[24107]: 09-04 03:37:47|  7   5  63  24   0| 636M 4156M  147M 2926M|9055B 2160B|   0    85M|   0   916 |3413  5967 |1.15 0.88 0.59|1.0   0   0|   0     0 |mysqld               233864.2%   0    0 |keystone-manage      25416  25k  18k4.2%|mysqld       196M|   0     0 |  14    7    0    6    0
Apr 09 03:37:48 cloud-provider-iscsi-0000000209 dstat.sh[24107]: 09-04 03:37:48|  9   5  71  14   0| 638M 4153M  147M 2927M|7215B 2160B|   0  8476k|   0   682 |3786  7250 |1.15 0.88 0.59|2.0   0   0|   0     0 |mysqld               233866.5%   0    0 |keystone-manage      25416  28k  17k5.0%|mysqld       198M|   0     0 |  14    7    0    6    0
Apr 09 03:37:49 cloud-provider-iscsi-0000000209 dstat.sh[24107]: 09-04 03:37:49| 12   5  71  12   0| 640M 4149M  148M 2928M|7318B 2160B|   0  7620k|   0   615 |4165  8584 |1.15 0.88 0.59|1.0   0   0|   0     0 |keystone-manage      254167.8%  29k 215k|python3.6            5751  194k 404k1.2%|mysqld       199M|   0     0 |  14    7    0    6    0
Apr 09 03:37:50 cloud-provider-iscsi-0000000209 dstat.sh[24107]: 09-04 03:37:50| 21   4  68   6   0| 641M 4146M  148M 2929M|8200B 2106B|   0  5304k|   0   360 |4871    12k|1.15 0.88 0.59|  0 1.0   0|   0     0 |keystone-manage      25416 15%  72k 505k|python3.6            5751  488k1018k2.8%|mysqld       200M|   0     0 |  14    7    0    6    0
Apr 09 03:37:51 cloud-provider-iscsi-0000000209 dstat.sh[24107]: 09-04 03:37:51| 14   4  71  11   0| 641M 4145M  148M 2929M|  13k 2214B|   0  8580k|   0   667 |4523  7308 |1.22 0.90 0.60|1.0   0   0|   0     0 |keystone-manage      254168.0%  40k  26k|keystone-manage      25416  40k  26k8.0%|mysqld       200M|   0     0 |  14    7    0    6    0
Apr 09 03:37:52 cloud-provider-iscsi-0000000209 dstat.sh[24107]: 09-04 03:37:52| 17   7  71   4   0| 582M 4204M  148M 2930M|7575B 2106B|   0  6848k|   0   306 |2962  5864 |1.22 0.90 0.60|1.0   0  78|   0     0 |keystone-manage      254964.2%2109k  37k|bash                 1998   17M1895k0.8%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 09 03:37:53 cloud-provider-iscsi-0000000209 dstat.sh[24107]: 09-04 03:37:53| 24   3  73   1   0| 623M 4163M  148M 2930M|6925B 2052B|   0  8060k|   0   143 |1091  1283 |1.22 0.90 0.60|1.0   0 2.0|   0     0 |keystone-manage      25496 25%  11M   0 |keystone-manage      25496  11M   0  25%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 09 03:37:54 cloud-provider-iscsi-0000000209 dstat.sh[24107]: 09-04 03:37:54| 22   4  73   0   0| 597M 4189M  149M 2930M|7926B 2106B|   0  7044k|   0  67.0 |1022  1309 |1.22 0.90 0.60|1.0   0  11|   0     0 |keystone-manage      25509 15%6389k  37k|bash                 1998   16M  39k  0%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 09 03:37:55 cloud-provider-iscsi-0000000209 dstat.sh[24107]: 09-04 03:37:55| 21   5  73   1   0| 573M 4211M  149M 2932M|7891B 2160B|   0  6744k|   0   152 |1670  2508 |1.22 0.90 0.60|2.0   0 104|   0     0 |bash                 1998 0.8%  16M  45k|bash                 1998   16M  45k0.8%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 09 03:37:56 cloud-provider-iscsi-0000000209 dstat.sh[24107]: 09-04 03:37:56| 12  21  67   0   1| 573M 4210M  149M 2933M|  16k 2214B|   0   188k|   0  19.0 |2783  6467 |1.12 0.89 0.59|2.0   0 495|   0     0 |bash                 1998 3.0%3453k  33k|bash                 1998 3453k  33k3.0%|mysqld       200M|   0     0 |  14    5    0    7    0
Apr 09 03:37:57 cloud-provider-iscsi-0000000209 dstat.sh[24107]: 09-04 03:37:57| 30  15  55   0   0| 605M 4177M  149M 2934M|  14k 2148B|   0  1292k|   0  54.0 |3623  5883 |1.12 0.89 0.59|2.0 1.0 272|   0     0 |uwsgi                262528.8%2498k   0 |uwsgi                262522498k   0 8.8%|mysqld       200M|   0     0 |  14    7    0    7    0
Apr 09 03:37:58 cloud-provider-iscsi-0000000209 dstat.sh[24107]: 09-04 03:37:58| 46   4  49   0   0| 690M 4092M  149M 2934M|5218B 2160B| 128k 2612k|1.00   119 |1127   888 |1.12 0.89 0.59|1.0 1.0 2.0|   0     0 |uwsgi                26252 25%  10M  37k|uwsgi                26253  11M  68k 24%|mysqld       200M|   0     0 |  14    7    0    7    0
Apr 09 03:37:59 cloud-provider-iscsi-0000000209 dstat.sh[24107]: 09-04 03:37:59| 43   9  47   1   0| 733M 4047M  149M 2936M|8011B 2160B|  20k  436k|4.00  47.0 |2568  7429 |1.12 0.89 0.59|2.0   0 104|   0     0 |uwsgi                26253 22%3282k 614k|uwsgi                262524699k 614k 20%|mysqld       200M|   0     0 |  14    5    0    8    0
Apr 09 03:38:00 cloud-provider-iscsi-0000000209 dstat.sh[24107]: 09-04 03:38:00| 22   8  71   0   0| 773M 4006M  149M 2936M|5762B 2160B|   0     0 |   0     0 |1679  1933 |1.12 0.89 0.59|1.0   0  69|   0     0 |keystone-manage      26528 22%9782k  37k|keystone-manage      265289782k  37k 22%|mysqld       200M|   0     0 |  14    5    0    8    0
Apr 09 03:38:01 cloud-provider-iscsi-0000000209 dstat.sh[24107]: 09-04 03:38:01| 23   2  74   1   0| 813M 3967M  149M 2936M|4817B 2160B|   0  2368k|   0   206 |1172   992 |1.11 0.89 0.59|1.0   0 2.0|   0     0 |keystone-manage      26528 24%8161k9539B|keystone-manage      265288161k9539B 24%|mysqld       203M|   0     0 |  14   11    0    8    0
Apr 09 03:38:02 cloud-provider-iscsi-0000000209 dstat.sh[24107]: 09-04 03:38:02| 23   5  72   1   0| 757M 4022M  149M 2936M|7373B 2160B|   0   520k|   0  62.0 |1512  2414 |1.11 0.89 0.59|1.0   0  53|   0     0 |openstack            266109.8%4309k  37k|bash                 1998   18M  50k0.2%|mysqld       203M|   0     0 |  14    5    0   11    0
Apr 09 03:38:03 cloud-provider-iscsi-0000000209 dstat.sh[24107]: 09-04 03:38:03| 22   3  73   2   0| 793M 3986M  149M 2936M|7564B 2052B|  36k 8852k|9.00   124 |1056  1317 |1.11 0.89 0.59|  0 1.0 2.0|   0     0 |openstack            26610 17%6937k   0 |openstack            266106937k   0  17%|mysqld       203M|   0     0 |  14   17    0   13    0
