-- Logs begin at Mon 2020-04-13 13:05:38 UTC, end at Tue 2020-04-14 10:08:32 UTC. --
Apr 14 09:37:15 cloud-provider-iscsi-0000000251 systemd[1]: Started Devstack devstack@dstat.service.
Apr 14 09:37:15 cloud-provider-iscsi-0000000251 dstat.sh[30274]: [286B blob data]
Apr 14 09:37:15 cloud-provider-iscsi-0000000251 dstat.sh[30274]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 14 09:37:15 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:15|  0   0 100   0   0| 430M 4406M  163M 2729M|   0     0 |4833B  118k|0.22  1.09 | 222   203 |0.51 0.67 0.50|1.0   0 0.8|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 3068   82k  77k0.0%|mysqld       173M|   0     0 |  12    4    0    4    0
Apr 14 09:37:16 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:16|  9  20  70   0   0| 430M 4405M  163M 2729M|8326B   24k|   0   120k|   0  8.00 |2422  4778 |0.51 0.67 0.50|1.0   0 422|   0     0 |bash                 3068 4.0%1339k  26k|bash                 3068 1339k  26k4.0%|mysqld       173M|   0     0 |  12    4    0    4    0
Apr 14 09:37:17 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:17| 13  20  67   0   0| 430M 4405M  163M 2730M|7219B   11k|   0   328k|   0  23.0 |3059  5703 |0.51 0.67 0.50|1.0   0 359|   0     0 |systemd              1    2.5%   0    0 |bash                 3068 2866k  23k2.2%|mysqld       173M|   0     0 |  12    4    0    4    0
Apr 14 09:37:18 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:18| 10  14  76   0   0| 556M 4278M  163M 2852M|6978B 5910B|   0  8192B|   0  2.00 |3297  5375 |0.63 0.69 0.51|  0   0 147|   0     0 |systemd              1    5.8%   0    0 |bash                 3068  715k5400B0.5%|mysqld       173M|   0     0 |  14    4    0    4    0
Apr 14 09:37:19 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:19|  6  15  79   0   0| 559M 4275M  163M 2852M|6919B   13k|   0     0 |   0     0 |2060  3404 |0.63 0.69 0.51|1.0   0 295|   0     0 |bash                 3068 3.2% 608k  18k|bash                 3068  608k  18k3.2%|mysqld       173M|   0     0 |  14    6    0    6    0
Apr 14 09:37:20 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:20| 22   4  74   1   0| 598M 4236M  163M 2852M|6490B 4062B|  96k    0 |4.00     0 | 736   840 |0.63 0.69 0.51|1.0   0 3.0|   0     0 |keystone-manage      31588 24%9363k 125k|keystone-manage      315889363k 125k 24%|mysqld       173M|   0     0 |  14    6    0    6    0
Apr 14 09:37:21 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:21| 21   2  74   3   0| 636M 4197M  163M 2854M|6675B   95k| 108k 2068k|10.0  36.0 |1353  2764 |0.63 0.69 0.51|  0 1.0   0|   0     0 |keystone-manage      31588 20%6825k 658k|keystone-manage      315886825k 658k 20%|mysqld       186M|   0     0 |  14    8    0    6    0
Apr 14 09:37:22 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:22|  3   4  68  26   0| 637M 4194M  163M 2855M|  13k   33k|   0    54M|   0   704 |2586  3203 |0.63 0.69 0.51|1.0   0   0|   0     0 |mysqld               295452.2%   0    0 |tail                 11873  30k  30k  0%|mysqld       188M|   0     0 |  14    8    0    6    0
Apr 14 09:37:23 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:23|  7   6  72  15   0| 642M 4123M  164M 2919M|9483B 5846B|   0    72M|   0   806 |4265  8664 |0.74 0.71 0.52|1.0   0   0|   0     0 |mysqld               295458.2%   0    0 |keystone-manage      31588  20k  11k3.2%|mysqld       192M|   0     0 |  14    8    0    6    0
Apr 14 09:37:24 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:24|  8   5  71  16   0| 644M 4119M  164M 2920M|6876B 4492B|   0  7636k|   0   626 |3432  6579 |0.74 0.71 0.52|1.0   0   0|   0     0 |mysqld               295455.2%   0    0 |keystone-manage      31588  20k  12k4.5%|mysqld       194M|   0     0 |  14    8    0    6    0
Apr 14 09:37:25 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:25| 10   6  70  14   0| 646M 4116M  165M 2921M|7722B 6186B|   0  8708k|   0   719 |4108  8437 |0.74 0.71 0.52|  0 1.0   0|   0     0 |mysqld               295458.0%   0    0 |keystone-manage      31588  29k  17k5.0%|mysqld       196M|   0     0 |  14    8    0    6    0
Apr 14 09:37:26 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:26| 16   5  68  10   0| 648M 4114M  165M 2921M|  12k  308k|   0  6700k|   0   569 |5109    11k|0.74 0.71 0.52|2.0   0   0|   0     0 |keystone-manage      315889.0%  43k 294k|python3.6            6820  275k 574k1.8%|mysqld       196M|   0     0 |  14    8    0    6    0
Apr 14 09:37:27 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:27|  9   6  68  17   0| 654M 4106M  166M 2922M|9176B 8028B|   0    35M|   0   900 |3733  7503 |0.74 0.71 0.52|1.0 2.0   0|   0     0 |mysqld               295457.0%   0    0 |keystone-manage      31588  22k  13k4.2%|mysqld       198M|   0     0 |  14    8    0    6    0
Apr 14 09:37:28 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:28| 12   4  71  14   0| 651M 4108M  166M 2922M|  16k 7398B|   0    14M|   0   674 |4150  8066 |0.76 0.72 0.52|  0 1.0   0|   0     0 |mysqld               295457.5%   0    0 |keystone-manage      31588  25k  16k5.2%|mysqld       200M|   0     0 |  14    8    0    6    0
Apr 14 09:37:29 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:29| 22   6  64   8   0| 652M 4105M  166M 2924M|  16k  389k|   0  6492k|   0   430 |4444    12k|0.76 0.72 0.52|2.0   0 2.0|   0     0 |keystone-manage      31588 16%  70k 529k|python3.6            6820  495k1032k3.0%|mysqld       200M|   0     0 |  14    8    0    6    0
Apr 14 09:37:30 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:30| 14   5  70  12   0| 653M 4104M  167M 2924M|9291B  378k|   0  7852k|   0   656 |4940    12k|0.76 0.72 0.52|2.0   0 2.0|   0     0 |keystone-manage      315888.0%  32k 192k|tail                 11873 362k 362k0.2%|mysqld       200M|   0     0 |  14    8    0    7    0
Apr 14 09:37:31 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:31| 18   5  71   6   0| 584M 4172M  167M 2925M|9183B   16k|   0  6216k|   0   454 |3554  9832 |0.76 0.72 0.52|2.0   0  24|   0     0 |mysqld               295455.2%   0    0 |bash                 3068   17M1895k  0%|mysqld       201M|   0     0 |  14    6    0    7    0
Apr 14 09:37:32 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:32| 20   6  73   1   0| 625M 4130M  167M 2925M|8404B 6628B|   0  6660k|   0  82.0 |1058  1859 |0.76 0.72 0.52|1.0   0  54|   0     0 |keystone-manage      31672 22%9965k  37k|keystone-manage      316729965k  37k 22%|mysqld       201M|   0     0 |  14    6    0    7    0
Apr 14 09:37:33 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:33| 23   3  72   1   0| 601M 4154M  167M 2926M|8292B 4522B|   0  8724k|   0   157 |1132  1564 |0.78 0.72 0.52|1.0   0  11|   0     0 |keystone-manage      31683 10%4140k  37k|bash                 3068   16M  39k0.2%|mysqld       201M|   0     0 |  14    6    0    7    0
Apr 14 09:37:34 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:34| 23   3  73   1   0| 650M 4104M  167M 2927M|7530B 2160B|   0  6372k|   0   134 | 925  1633 |0.78 0.72 0.52|1.0   0   0|   0     0 |keystone-manage      31683 25%  12M1362B|keystone-manage      31683  12M1362B 25%|mysqld       201M|   0     0 |  14    6    0    7    0
Apr 14 09:37:35 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:35| 13  17  70   0   0| 584M 4169M  167M 2927M|  11k   19k|   0   152k|   0  12.0 |2455  4615 |0.78 0.72 0.52|1.0   0 385|   0     0 |bash                 3068 3.0%  18M  63k|bash                 3068   18M  63k3.0%|mysqld       201M|   0     0 |  14    6    0    7    0
Apr 14 09:37:36 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:36| 13  22  64   0   1| 592M 4160M  167M 2928M|9110B   11k|   0    28k|   0  7.00 |3921  7062 |0.78 0.72 0.52|7.0   0 349|   0     0 |systemd              1    3.8%   0    0 |bash                 3068 2621k  19k2.2%|mysqld       201M|   0     0 |  14    6    0    7    0
Apr 14 09:37:37 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:37| 43  10  46   0   0| 668M 4084M  167M 2929M|8444B 9742B|   0     0 |   0     0 |2081  3281 |0.78 0.72 0.52|2.0   0 141|   0     0 |uwsgi                32428 21%9126k  37k|uwsgi                324299158k  37k 21%|mysqld       201M|   0     0 |  14    8    0    7    0
Apr 14 09:37:38 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:38| 45   3  48   3   0| 732M 4019M  167M 2930M|8136B 2160B| 140k 3316k|3.00   257 |1440   825 |0.88 0.75 0.53|2.0   0   0|   0     0 |uwsgi                32428 24%7852k 324k|uwsgi                324297902k 376k 23%|mysqld       201M|   0     0 |  14    8    0    7    0
Apr 14 09:37:39 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:39| 32  11  56   0   0| 754M 3995M  167M 2931M|  10k   10k|   0   152k|   0  18.0 |2333  6406 |0.88 0.75 0.53|2.0   0 169|   0     0 |uwsgi                32429 10% 502k 248k|keystone-manage      327032229k  37k7.8%|mysqld       201M|   0     0 |  14    6    0    8    0
Apr 14 09:37:40 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:40| 23   3  73   0   0| 800M 3949M  167M 2931M|7983B 2200B|   0   824k|   0  3.00 | 747   865 |0.88 0.75 0.53|1.0   0 2.0|   0     0 |keystone-manage      32703 25%  12M   0 |keystone-manage      32703  12M   0  25%|mysqld       201M|   0     0 |  14    6    0    8    0
Apr 14 09:37:41 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:41| 23   3  73   1   0| 828M 3921M  167M 2931M|8339B   16k|   0   596k|   0  63.0 |1208  2155 |0.88 0.75 0.53|1.0   0 2.0|   0     0 |keystone-manage      32703 23%3450k  13k|keystone-manage      327033450k  13k 23%|mysqld       203M|   0     0 |  14   12    0    8    0
Apr 14 09:37:42 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:42| 22   5  74   0   0| 777M 3972M  167M 2931M|  18k 4370B|   0     0 |   0     0 | 932  1133 |0.88 0.75 0.53|1.0   0  53|   0     0 |openstack            318   15%6230k  37k|bash                 3068   18M  50k  0%|mysqld       203M|   0     0 |  14    6    0   11    0
Apr 14 09:37:43 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:43| 21   4  72   3   0| 809M 3940M  167M 2931M|8180B 2160B|  72k 9208k|18.0   120 |1015  1316 |0.89 0.75 0.53|1.0   0 1.0|   0     0 |openstack            318   14%5017k   0 |openstack            318  5017k   0  14%|mysqld       205M|   0     0 |  14   26    0   13    0
Apr 14 09:37:44 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:44| 23   5  72   0   0| 792M 3957M  167M 2931M|9265B 3904B|   0  1512k|   0  12.0 |1119  1859 |0.89 0.75 0.53|1.0   0  61|   0     0 |openstack            380   15%6329k  37k|bash                 3068   11M  39k  0%|mysqld       205M|   0     0 |  14   30    0   16    0
Apr 14 09:37:45 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:45| 24   2  74   0   0| 764M 3984M  167M 2931M|  18k 1998B|   0     0 |   0     0 | 991  1520 |0.89 0.75 0.53|1.0   0  20|   0     0 |uwsgi                324292.0%3490B9123B|bash                 3068   11M  40k0.2%|mysqld       205M|   0     0 |  14   30    0   21    0
Apr 14 09:37:46 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:46| 22   5  73   0   0| 810M 3939M  167M 2931M|7715B 5836B|   0    52k|   0  5.00 | 771  1516 |0.89 0.75 0.53|1.0   0  80|   0     0 |openstack            493   23%  10M  37k|openstack            493    10M  37k 23%|mysqld       205M|   0     0 |  14   30    0   21    0
Apr 14 09:37:47 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:47| 23   4  73   0   0| 788M 3960M  167M 2932M|5597B 3262B|   0   256k|   0  12.0 |1271  2167 |0.89 0.75 0.53|1.0   0  22|   0     0 |openstack            515   12%5255k  37k|bash                 3068   11M  41k0.2%|mysqld       205M|   0     0 |  14   30    0   29    0
Apr 14 09:37:48 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:48| 25   2  73   1   0| 815M 3933M  167M 2932M|7449B 2106B|   0  3152k|   0  50.0 |1150  1771 |0.89 0.75 0.54|1.0   0 2.0|   0     0 |openstack            515   17%5969k   0 |openstack            515  5969k   0  17%|mysqld       205M|   0     0 |  14   30    0   37    0
Apr 14 09:37:49 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:49| 23   4  73   0   0| 817M 3931M  167M 2932M|7251B 4340B|   0   244k|   0  16.0 | 836  1398 |0.89 0.75 0.54|1.0   0  72|   0     0 |openstack            589   23%  11M  37k|openstack            589    11M  37k 23%|mysqld       205M|   0     0 |  14   32    0   38    0
Apr 14 09:37:50 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:50| 22   6  72   0   0| 782M 3966M  167M 2932M|7686B 5968B|   0   220k|   0  12.0 |1720  3066 |0.89 0.75 0.54|1.0   0 102|   0     0 |openstack            694  8.8%2811k  37k|bash                 3068   11M  44k  0%|mysqld       205M|   0     0 |  14   30    0   45    0
Apr 14 09:37:51 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:51| 24   2  73   0   0| 817M 3931M  167M 2932M|6280B 2214B|   0  1408k|   0  42.0 |1115  1584 |0.89 0.75 0.54|1.0   0 1.0|   0     0 |openstack            694   21%8423k   8B|openstack            694  8423k   8B 21%|mysqld       205M|   0     0 |  14   30    0   50    0
Apr 14 09:37:52 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:52| 22   5  73   0   0| 805M 3943M  167M 2932M|6839B 4560B|   0     0 |   0     0 |1080  1465 |0.89 0.75 0.54|1.0   0  69|   0     0 |openstack            764   21%8501k  37k|bash                 3068   11M  40k0.5%|mysqld       205M|   0     0 |  14   30    0   50    0
Apr 14 09:37:53 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:53| 22   6  72   0   0| 780M 3968M  167M 2932M|  12k 4668B|   0  1108k|   0  37.0 |1521  2425 |0.90 0.76 0.54|1.0   0  70|   0     0 |uwsgi                324287.0% 684k  12k|bash                 3068   11M  40k  0%|mysqld       205M|   0     0 |  14   30    0   56    0
Apr 14 09:37:54 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:54| 22   4  74   0   0| 817M 3931M  167M 2932M|  15k 2106B|   0   304k|   0  15.0 | 782   879 |0.90 0.76 0.54|1.0   0 1.0|   0     0 |openstack            838   25%9652k  37k|openstack            838  9652k  37k 25%|mysqld       205M|   0     0 |  14   30    0   56    0
Apr 14 09:37:55 cloud-provider-iscsi-0000000251 dstat.sh[30274]: 14-04 09:37:55| 21   7  72   1   0| 796M 3952M  167M 2932M|7425B 2106B|   0   172k|   0  20.0 |1319  2269 |0.90 0.76 0.54|1.0   0  69|   0     0 |openstack            911   12%5423k  37k|bash                 3068   11M  40k0.2%|mysqld       205M|   0     0 |  14   30    0   60    0
