-- Logs begin at Sat 2020-03-28 05:18:56 UTC, end at Sat 2020-03-28 07:06:55 UTC. --
Mar 28 06:55:54 cloud-provider-iscsi-0000000061 systemd[1]: Started Devstack devstack@dstat.service.
Mar 28 06:55:54 cloud-provider-iscsi-0000000061 dstat.sh[24708]: [286B blob data]
Mar 28 06:55:54 cloud-provider-iscsi-0000000061 dstat.sh[24708]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 28 06:55:54 cloud-provider-iscsi-0000000061 dstat.sh[24708]: 28-03 06:55:54|  3   1  96   0   0| 422M 4205M  184M 2904M|   0     0 |  60k 1583k|2.82  14.6 | 590   878 |0.68 0.63 0.46|2.0   0 9.8|   0     0 |systemd              1    0.1%   0    0 |bash                 2186 1173k1027k0.0%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 28 06:55:55 cloud-provider-iscsi-0000000061 dstat.sh[24708]: 28-03 06:55:55| 10  21  69   0   1| 422M 4204M  184M 2905M|8303B 2160B|   0  3512k|   0  20.0 |2796  4899 |0.68 0.63 0.46|2.0   0 452|   0     0 |bash                 2186 4.0%1374k  28k|bash                 2186 1374k  28k4.0%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 28 06:55:56 cloud-provider-iscsi-0000000061 dstat.sh[24708]: 28-03 06:55:56| 13  21  66   0   0| 423M 4203M  184M 2905M|  15k 2160B|   0    32k|   0  8.00 |2872  5752 |0.70 0.64 0.46|3.0   0 352|   0     0 |systemd              1    3.8%   0    0 |bash                 2186 2944k  23k2.0%|mysqld       173M|   0     0 |  12    3    0    3    0
Mar 28 06:55:57 cloud-provider-iscsi-0000000061 dstat.sh[24708]: 28-03 06:55:57|  9  12  80   0   0| 547M 4078M  184M 3027M|6763B 2160B|   0  4096B|   0  1.00 |3183  5269 |0.70 0.64 0.46|  0   0 130|   0     0 |systemd              1    6.0%   0    0 |bash                 2186  602k4167B0.5%|mysqld       173M|   0     0 |  14    3    0    3    0
Mar 28 06:55:58 cloud-provider-iscsi-0000000061 dstat.sh[24708]: 28-03 06:55:58|  6  14  80   0   0| 549M 4076M  184M 3027M|7152B 2160B|   0     0 |   0     0 |2013  3509 |0.70 0.64 0.46|2.0   0 294|   0     0 |bash                 2186 2.8% 608k  18k|bash                 2186  608k  18k2.8%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 28 06:55:59 cloud-provider-iscsi-0000000061 dstat.sh[24708]: 28-03 06:55:59| 22   4  74   1   0| 590M 4034M  184M 3028M|7285B 2160B|  76k    0 |2.00     0 | 653   745 |0.70 0.64 0.46|1.0   0 2.0|   0     0 |keystone-manage      26016 24%  10M 162k|keystone-manage      26016  10M 162k 24%|mysqld       173M|   0     0 |  14    5    0    5    0
Mar 28 06:56:00 cloud-provider-iscsi-0000000061 dstat.sh[24708]: 28-03 06:56:00| 21   4  72   3   0| 629M 3994M  184M 3029M|6412B 2160B|  76k 2456k|9.00  27.0 | 848  1698 |0.70 0.64 0.46|2.0   0 2.0|   0     0 |keystone-manage      26016 22%7269k 679k|keystone-manage      260167269k 679k 22%|mysqld       184M|   0     0 |  14    7    0    5    0
Mar 28 06:56:01 cloud-provider-iscsi-0000000061 dstat.sh[24708]: 28-03 06:56:01|  6   4  74  16   0| 634M 3987M  184M 3030M|7806B 2160B|   0  8788k|   0   734 |3318  5248 |0.73 0.64 0.47|2.0   0   0|   0     0 |mysqld               239885.2%   0    0 |python2              24752  14k 457B  0%|mysqld       189M|   0     0 |  14    7    0    5    0
Mar 28 06:56:02 cloud-provider-iscsi-0000000061 dstat.sh[24708]: 28-03 06:56:02|  9   7  72  13   0| 639M 3916M  185M 3095M|7280B 2160B|   0    72M|   0   701 |2904  6883 |0.73 0.64 0.47|  0 1.0   0|   0     0 |mysqld               239887.5%   0    0 |keystone-manage      26016  27k  17k3.8%|mysqld       193M|   0     0 |  14    7    0    5    0
Mar 28 06:56:03 cloud-provider-iscsi-0000000061 dstat.sh[24708]: 28-03 06:56:03| 10   4  73  13   0| 640M 3913M  185M 3096M|7457B 2160B|   0  7788k|   0   662 |2882  6800 |0.73 0.64 0.47|  0 1.0   0|   0     0 |mysqld               239886.5%   0    0 |keystone-manage      26016  21k  12k5.5%|mysqld       194M|   0     0 |  14    7    0    5    0
Mar 28 06:56:04 cloud-provider-iscsi-0000000061 dstat.sh[24708]: 28-03 06:56:04| 16   5  69  10   0| 642M 3911M  186M 3096M|8653B 1998B|   0  6952k|   0   565 |4557    11k|0.73 0.64 0.47|2.0   0   0|   0     0 |keystone-manage      26016 10%  38k 305k|python               5242  291k 604k2.0%|mysqld       195M|   0     0 |  14    7    0    5    0
Mar 28 06:56:05 cloud-provider-iscsi-0000000061 dstat.sh[24708]: 28-03 06:56:05| 10   5  71  13   0| 644M 3908M  186M 3097M|7656B 2106B|   0  9004k|   0   725 |3775  8964 |0.73 0.64 0.47|1.0   0   0|   0     0 |mysqld               239887.0%   0    0 |keystone-manage      26016  36k  26k5.8%|mysqld       197M|   0     0 |  14    7    0    5    0
Mar 28 06:56:06 cloud-provider-iscsi-0000000061 dstat.sh[24708]: 28-03 06:56:06| 13   6  70  11   0| 646M 3904M  187M 3098M|8887B 2160B|   0    15M|   0   941 |4731    10k|0.67 0.63 0.46|1.0   0   0|   0     0 |mysqld               239888.8%   0    0 |keystone-manage      26016  28k  19k5.8%|mysqld       199M|   0     0 |  14    7    0    5    0
Mar 28 06:56:07 cloud-provider-iscsi-0000000061 dstat.sh[24708]: 28-03 06:56:07| 26   5  66   3   0| 647M 3901M  187M 3099M|  24k 2160B|   0  4480k|   0   297 |5872    16k|0.67 0.63 0.46|3.0   0   0|   0     0 |keystone-manage      26016 19%  77k 740k|python               5242  713k1482k3.2%|mysqld       199M|   0     0 |  14    7    0    5    0
Mar 28 06:56:08 cloud-provider-iscsi-0000000061 dstat.sh[24708]: 28-03 06:56:08| 10   4  71  15   0| 648M 3899M  187M 3100M|8854B 2160B|   0    10M|   0   788 |4309  8444 |0.67 0.63 0.46|1.0 1.0   0|   0     0 |mysqld               239886.5%   0    0 |keystone-manage      26016  28k  19k5.2%|mysqld       200M|   0     0 |  14    7    0    5    0
Mar 28 06:56:09 cloud-provider-iscsi-0000000061 dstat.sh[24708]: 28-03 06:56:09| 16   5  72   7   0| 575M 3972M  187M 3100M|8135B 2160B|   0  7076k|   0   606 |4455  9657 |0.67 0.63 0.46|1.0   0  19|   0     0 |mysqld               239885.5%   0    0 |bash                 2186   18M2007k0.5%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 28 06:56:10 cloud-provider-iscsi-0000000061 dstat.sh[24708]: 28-03 06:56:10| 20   6  73   1   0| 615M 3932M  187M 3100M|8703B 2160B|   0  6856k|   0  72.0 |1261  1794 |0.67 0.63 0.46|1.0   0  62|   0     0 |keystone-manage      26097 22%  10M  73k|keystone-manage      26097  10M  73k 22%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 28 06:56:11 cloud-provider-iscsi-0000000061 dstat.sh[24708]: 28-03 06:56:11| 24   4  68   4   0| 585M 3961M  187M 3101M|9966B 2160B|   0    75M|   0  1253 |3019  1305 |0.70 0.64 0.47|1.0   0  11|   0     0 |keystone-manage      261113.8%2161k  37k|bash                 2186   17M  76k0.2%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 28 06:56:12 cloud-provider-iscsi-0000000061 dstat.sh[24708]: 28-03 06:56:12| 23   3  71   3   0| 627M 3918M  188M 3102M|9839B 2160B|   0  6536k|   0   142 |1230  1512 |0.70 0.64 0.47|1.0   0 1.0|   0     0 |keystone-manage      26111 25%  11M  37k|keystone-manage      26111  11M  37k 25%|mysqld       200M|   0     0 |  14    5    0    6    0
Mar 28 06:56:13 cloud-provider-iscsi-0000000061 dstat.sh[24708]: 28-03 06:56:13| 16  13  71   0   0| 575M 3969M  188M 3103M|  10k 2160B|   0   208k|   0  7.00 |2130  3741 |0.70 0.64 0.47|2.0   0 297|   0     0 |bash                 2186 2.8%  18M  94k|bash                 2186   18M  94k2.8%|mysqld       200M|   0     0 |  14    5    0    6    0
