-- Logs begin at Tue 2020-03-31 06:53:12 UTC, end at Tue 2020-03-31 13:24:39 UTC. --
Mar 31 12:55:28 cloud-provider-iscsi-0000000090 systemd[1]: Started Devstack devstack@dstat.service.
Mar 31 12:55:28 cloud-provider-iscsi-0000000090 dstat.sh[29922]: [286B blob data]
Mar 31 12:55:28 cloud-provider-iscsi-0000000090 dstat.sh[29922]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Mar 31 12:55:28 cloud-provider-iscsi-0000000090 dstat.sh[29922]: 31-03 12:55:28|  1   0  99   0   0| 420M 4472M  146M 2704M|   0     0 |  15k  391k|0.56  3.54 | 285   338 |0.73 0.80 0.55|2.0   0 2.9|   0     0 |rcu_sched            8    0.0%   0    0 |bash                 2465  283k 262k0.0%|mysqld       174M|   0     0 |  12    3    0    4    0
Mar 31 12:55:29 cloud-provider-iscsi-0000000090 dstat.sh[29922]: 31-03 12:55:29| 10  20  69   0   0| 421M 4471M  146M 2704M|8321B 2106B|  24k  104k|1.00  9.00 |2612  5037 |0.75 0.80 0.55|1.0   0 462|   0     0 |bash                 2465 3.8%1677k  29k|bash                 2465 1677k  29k3.8%|mysqld       174M|   0     0 |  12    3    0    4    0
Mar 31 12:55:30 cloud-provider-iscsi-0000000090 dstat.sh[29922]: 31-03 12:55:30| 13  20  67   0   0| 421M 4471M  146M 2705M|6622B 2214B|   0    32k|   0  8.00 |3027  6389 |0.75 0.80 0.55|  0   0 374|   0     0 |systemd              1    2.8%   0    0 |bash                 2465 2983k  24k2.0%|mysqld       174M|   0     0 |  12    3    0    4    0
Mar 31 12:55:31 cloud-provider-iscsi-0000000090 dstat.sh[29922]: 31-03 12:55:31| 12   9  79   0   0| 546M 4345M  146M 2827M|  13k 2160B|   0   316k|   0  15.0 |2570  3591 |0.75 0.80 0.55|1.0   0  83|   0     0 |systemd              1    8.8%   0    0 |bash                 2465  246k 656B  0%|mysqld       174M|   0     0 |  14    3    0    4    0
Mar 31 12:55:32 cloud-provider-iscsi-0000000090 dstat.sh[29922]: 31-03 12:55:32| 12  16  72   0   0| 557M 4334M  146M 2827M|6670B 1944B|   0     0 |   0     0 |2195  3568 |0.75 0.80 0.55|2.0   0 298|   0     0 |keystone-manage      312336.8%2243k  79k|keystone-manage      312332243k  79k6.8%|mysqld       174M|   0     0 |  14    5    0    6    0
Mar 31 12:55:33 cloud-provider-iscsi-0000000090 dstat.sh[29922]: 31-03 12:55:33| 23   3  74   1   0| 598M 4292M  146M 2827M|8503B 2106B| 120k    0 |7.00     0 | 614   718 |0.75 0.80 0.55|1.0   0   0|   0     0 |keystone-manage      31233 24%  11M 153k|keystone-manage      31233  11M 153k 24%|mysqld       174M|   0     0 |  14    5    0    6    0
Mar 31 12:55:34 cloud-provider-iscsi-0000000090 dstat.sh[29922]: 31-03 12:55:34| 14   3  74   9   0| 626M 4262M  146M 2829M|9573B 2160B|  84k 4836k|7.00   235 |2122  3661 |0.77 0.81 0.55|  0 1.0   0|   0     0 |keystone-manage      31233 13%3505k 548k|keystone-manage      312333505k 548k 13%|mysqld       187M|   0     0 |  14    7    0    6    0
Mar 31 12:55:35 cloud-provider-iscsi-0000000090 dstat.sh[29922]: 31-03 12:55:35|  8   6  72  14   0| 631M 4255M  147M 2831M|6856B 2214B|   0    10M|   0   876 |4587  8788 |0.77 0.81 0.55|2.0   0   0|   0     0 |mysqld               292047.2%   0    0 |keystone-manage      31233  20k  11k3.8%|mysqld       192M|   0     0 |  14    7    0    6    0
Mar 31 12:55:36 cloud-provider-iscsi-0000000090 dstat.sh[29922]: 31-03 12:55:36|  3   3  68  25   0| 632M 4188M  147M 2894M|  16k 2160B|   0    78M|   0   497 |1950  2549 |0.77 0.81 0.55|1.0 2.0   0|   0     0 |mysqld               292042.8%   0    0 |python2              29989  14k 463B0.2%|mysqld       193M|   0     0 |  14    7    0    6    0
Mar 31 12:55:37 cloud-provider-iscsi-0000000090 dstat.sh[29922]: 31-03 12:55:37|  7   4  69  20   0| 634M 4186M  147M 2895M|6297B 2160B|   0    50M|   0   995 |3940  6355 |0.77 0.81 0.55|1.0   0   0|   0     0 |mysqld               292044.5%   0    0 |keystone-manage      31233  23k  13k4.0%|mysqld       194M|   0     0 |  14    7    0    6    0
