-- Logs begin at Thu 2020-04-02 07:38:40 UTC, end at Thu 2020-04-02 09:15:40 UTC. --
Apr 02 08:47:29 cloud-provider-iscsi-0000000144 systemd[1]: Started Devstack devstack@dstat.service.
Apr 02 08:47:29 cloud-provider-iscsi-0000000144 dstat.sh[24377]: [286B blob data]
Apr 02 08:47:29 cloud-provider-iscsi-0000000144 dstat.sh[24377]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Apr 02 08:47:29 cloud-provider-iscsi-0000000144 dstat.sh[24377]: 02-04 08:47:29|  3   1  95   0   0| 425M 4451M  144M 2726M|   0     0 |  79k 2095k|2.92  19.0 | 691  1148 |0.76 0.71 0.48|2.0   0  14|   0     0 |systemd              1    0.1%   0    0 |bash                 2175 1450k1367k0.1%|mysqld       173M|   0     0 |  12    4    0    4    0
Apr 02 08:47:30 cloud-provider-iscsi-0000000144 dstat.sh[24377]: 02-04 08:47:30| 10  21  69   0   0| 424M 4451M  144M 2726M|  10k   26k|  24k  264k|1.00  10.0 |2695  6467 |0.76 0.71 0.48|3.0   0 496|   0     0 |bash                 2175 3.2%2016k  32k|bash                 2175 2016k  32k3.2%|mysqld       173M|   0     0 |  12    4    0    4    0
Apr 02 08:47:31 cloud-provider-iscsi-0000000144 dstat.sh[24377]: 02-04 08:47:31| 13  17  60   9   0| 424M 4450M  144M 2727M|  10k   11k|   0  4340k|   0   192 |3522  7253 |0.76 0.71 0.48|1.0 2.0 321|   0     0 |systemd              1    3.0%   0    0 |bash                 2175 2628k  21k1.8%|mysqld       173M|   0     0 |  12    4    0    4    0
Apr 02 08:47:32 cloud-provider-iscsi-0000000144 dstat.sh[24377]: 02-04 08:47:32|  9  10  81   0   0| 550M 4323M  144M 2849M|  10k 6012B|   0  2432k|   0  87.0 |3588  4937 |0.76 0.71 0.48|2.0   0 121|   0     0 |systemd              1    5.8%   0    0 |bash                 2175  421k3064B0.2%|mysqld       173M|   0     0 |  14    6    0    4    0
Apr 02 08:47:33 cloud-provider-iscsi-0000000144 dstat.sh[24377]: 02-04 08:47:33| 14  14  72   0   0| 567M 4307M  144M 2849M|8290B   15k|   0     0 |   0     0 |2059  3635 |0.76 0.71 0.48|4.0   0 283|   0     0 |keystone-manage      256969.5%4126k  79k|keystone-manage      256964126k  79k9.5%|mysqld       173M|   0     0 |  14    6    0    6    0
Apr 02 08:47:34 cloud-provider-iscsi-0000000144 dstat.sh[24377]: 02-04 08:47:34| 22   3  74   1   0| 610M 4263M  144M 2850M|6998B 2160B| 188k    0 |12.0     0 | 600   774 |0.78 0.72 0.48|2.0   0   0|   0     0 |keystone-manage      25696 24%  11M 291k|keystone-manage      25696  11M 291k 24%|mysqld       173M|   0     0 |  14    6    0    6    0
Apr 02 08:47:35 cloud-provider-iscsi-0000000144 dstat.sh[24377]: 02-04 08:47:35| 12   3  73  12   0| 631M 4240M  144M 2851M|8478B  130k|  16k 8000k|2.00   467 |3138  6357 |0.78 0.72 0.48|2.0   0   0|   0     0 |keystone-manage      256968.8%1459k 410k|keystone-manage      256961459k 410k8.8%|mysqld       188M|   0     0 |  14    8    0    6    0
Apr 02 08:47:36 cloud-provider-iscsi-0000000144 dstat.sh[24377]: 02-04 08:47:36|  9   6  72  12   0| 636M 4168M  144M 2917M|  10k 5854B|   0    74M|   0   936 |5010  7947 |0.78 0.72 0.48|1.0 1.0   0|   0     0 |mysqld               236599.5%   0    0 |keystone-manage      25696  25k  14k4.0%|mysqld       192M|   0     0 |  14    8    0    6    0
Apr 02 08:47:37 cloud-provider-iscsi-0000000144 dstat.sh[24377]: 02-04 08:47:37| 11   5  70  13   0| 638M 4164M  145M 2917M|  15k 4676B|   0    16M|   0   975 |5331  8033 |0.78 0.72 0.48|2.0   0   0|   0     0 |mysqld               236597.0%   0    0 |keystone-manage      25696  36k  21k5.8%|mysqld       194M|   0     0 |  14    8    0    6    0
Apr 02 08:47:38 cloud-provider-iscsi-0000000144 dstat.sh[24377]: 02-04 08:47:38| 15   7  68  10   0| 640M 4161M  146M 2918M|  22k  304k|   0  6932k|   0   590 |5555  9529 |0.78 0.72 0.48|3.0   0   0|   0     0 |keystone-manage      256969.2%  36k 286k|python3.6            5924  271k 565k2.5%|mysqld       196M|   0     0 |  14    8    0    6    0
